,hotel,review,stars
0,Lv8 Resort Hotel,"Nila orangnya ramah terhadap customer,serta menawarkan makanan minuman selalu dgn wajah senyum  Sangat bagus tata kramahnya Cara kerja nya juga sangat cekatan dlm mengambil piring setelah kita selesai menikmati makanan ",5
1,Lv8 Resort Hotel,"Service dari mbk nila sangat baik,rekomendasi makannya sangat cocok dengan lidah saya ,tempatnya bersih rapi sangat rekomendasi  kalau mau liburan di sini ,pemandangannya sangat bagus ,lokasi juga stategis ,pkoknya the best",5
2,Lv8 Resort Hotel,"Selama kita tinggal  pelayanan sangat baik,ramah dari nila dan padma pemandangannya bagus,kolam renangnya besar dan bersih,makanan yang kita pesan chicken satay lumayan ok mungkin kalau ke bali lagi kita akan datang kesini lagi,🤩",5
3,Lv8 Resort Hotel,"Dulu pernah kesini belum ada beach club,sekarang datang kesini liburan bersama teman,pemandangan bagus private beach kolamnya besar banget,dj nya ok,pelayanan ramah dari padma.mungkin kembali lagi kesini",5
4,Lv8 Resort Hotel,"Vue beach club is amazing place, saya datang dengan teman2 merasa sangat senang karna d sambut dengan baik dari front smpe nyri tempat duduk, saya order pizza enak sekli dan happy hour pelayanan staff ramah2 sekali. Bli jik naya, madya,eva, mas crist, gek ana, asel, demon, kevin dan ari semuanya memverikan good service Recoment banget dateng kesini kalau liburan..good job dehh",5
5,Lv8 Resort Hotel,"Datang ke vue beach club bersama teman sya,, tempatnya bagus dan bersih pelayanan sangat bagus dan ramah sekali  makanannya enak dan minumanya mantappp   semua staff ramah sekli  madya, eva, jiknaya, gek ana, crist, asel, demon, andika, ari memberikan pelayanan dengan sepenuh hati .. Good job do the best and keep going ",5
6,Lv8 Resort Hotel,"saya menginap di LV8 hotel, lalu saya liat kebersihan bagus, staffnya ramah dan baik"" khususnya Conciergenya Bapak Ari sangat ramah dan baik serta apapun yang saya butuhkan beliau cepat tanggap. teima kasih Lv8 next saya balik lagi.",5
7,Lv8 Resort Hotel,"Tempat enak, makanan enakk, view nya terbaik di bali sihh, Stafff ramahhh dekett area seminyakk jadi akses kesini ga begitu jauh, next bisa pasti kesini,  rekomen kesini sih weekend jadi bisa live dj gituu kak, Agus, Eva, Asel",5
8,Lv8 Resort Hotel,Saya stay di tanggal 23-25 bener bener nyaman bangeg dan staff nya baik baik banget khususnya pak murah. breakfastnya juga enak banget hadap ke pantai dan enak enak pilihannya juga bervarisi banget. kamarnya juga besar dan nyaman,5
9,Lv8 Resort Hotel,"Makanan nya enak, tempat nya asik buat sunset! Di Canggu area, pantai berawa. Mas2 nya ramah, kita di serve sama mas Willy!  Buat acara keluarga,BBQ dinner by the beach juga bisa dong! Pokoknya THE BEST ❤ Thank you LV8 😍 will come back soon 😍😍😍😍",5
10,Lv8 Resort Hotel,"Pertama kali berkujung ke sini di waktu cuaca yang baik ,tempatnya bagus dan langsung menghadap ke pantai ,view sunsetnya sangat cantik kami dilayani dengan baik oleh Bli Willy .harga makanan dan minumannya sangat bersahabat",5
11,Lv8 Resort Hotel,"makanan nya enak , view nya baguss , kita prder 1 beef salami pizza, pelayanan nya bagus kita dilayani sama kakak budiasih dan kakak demon ,  lain kali bakalan lagi ke lv8 resort dan ke vue beach club, sunsetnya disini bagus😍  thank uu i will be back here❤️",5
12,Lv8 Resort Hotel,"Seneng banget main ke Vue Beach Club 🥰 view nya top, pelayanan nya juga ramah cekatan aku di bantu terus sama waiter bli ngurah 😊👏 sebelumnya pernah juga kesini nonton Darius. Nginep di hotel nya LV8 juga rekomen loh 😉",5
13,Lv8 Resort Hotel,"Datang ke beach club canggu dengan pemandangan yang indah deburan ombak sambil berenang dengan kolam renang yang sangat besar,kita juga pesan makanan yang tidak kalah enak nya,minuman nya juga mantap banget,pelayanan disini sangat ramah dan baik dengan robi tempat yang akan kita kunjungi lagi,terimakasih robi minuman lava flow mantap the best.",5
14,Lv8 Resort Hotel,"Padma pelayanan baik suka bgt dengan tmpatnya enak nyaman sejuk dekat dengan pantai kita tau beach club dari tiktok kesan yang sangat menyenangkan dengan pelayan yang cepat dari padma,mungkin akan kembali lagi",5
15,Lv8 Resort Hotel,Untuk hotelnya lumayan bagus. Service nya oke hanya saja tdk ada welcome drinks nya. Dan kamar banyak lampu yg mati dan kaca2 pada berkarat. Kalau saja lv8 direnov dan dibuat lebih bagus bakalan lebih banyak pengunjung. Untk makanan oke dgn hrga segitu.,4
16,Lv8 Resort Hotel,"Makanan yang disediakan enak, porsi cukup, minumannya oke. Suasananya sangat nyaman, pemandangan pantai dan kolam renang yang luas. Dibantu dan dilayani oleh staff yang helpful, mas wira dan rizky. Terima kasih banyak vue!",5
17,Lv8 Resort Hotel,"beautiful place nice fool... pelayanan sangat ramah, makanannya enak ad a banyak menu dan harganya bintang lima rekomendasi buat nyantai bareng temen pasangan ataupun keluarga see you Bali. See you Canggu. wira servernya ramah dan sangt baik",5
