,hotel,review,stars
0,M Suite,"Pada tanggal 6 sd 7 mei 2016,saya sekeluarga menginap di hotel ini. Ringkasan sbb : 1. Pelayanan bagus,room gede dan bersih 2. Breakfast ala kadarnya setara bintang 1 3. Hari ke 1,saya terkesan,semua fasilitas room ada setara bintang 4 4. Hari ke 2,masuk kamar mandi ternyata air tidak mengalir sama sekali dan receptionis tidak memberi informasi apa-apa,air mati lebih dari 30menit,terpaksa pakai air mineral 5. Hari ke 2,tidak ada penggantian alat mandi (sikat gígi,pasta gigi) dan tidak ada penambahan kopi dan gula",3
1,M Suite,"Tgl 31 jan 16 kemarin saya dan suami menginap disana, sekedar bersantai. Saat di front office suami saya tanya soal jam check out dan late check out. Dan staff disana menginformasikan bs ambil late check out smp jam 6 sore dan di charge setengah harga. Jadi sangat flexible dan membantu kami. Hotel dengan harga terjangkau tapi fasilitas sgt memuaskan. Semuanya perfect, cm sedikit kekurangan di bedcover. Bedcover tipis dan terkesan spt kuno, tp bukan masalah besar krn semua sudah perfect. Untuk breakfast jg lumayan, disediakan beberapa pilihan western dan indonesian food. Kopi yg disediakan lumayan enak.",5
2,M Suite,"Kami tinggal di suite Tokyo dengan jacuzzi pribadi di balkon kami. Kamar adalah segala yang kami inginkan untuk malam terakhir kami di Bali dekat dengan bandara. Kamar mandi dan tempat tidur yang luar biasa, desain kamar yang sangat bagus dan area yang cukup.",5
3,M Suite,"Saya dan suami saya tinggal di sini selama satu minggu, kami puas dengan kesopanan staf, pembersihan, lokasi, dan harga terakhir! Sarapan selalu sama, miskin makanan penutup tapi ini sudut pandang saya! ! Kami merekomendasikannya! !",5
4,M Suite,"Tempat ini di pusat seminyak sangat bagus dan tenang. Kamarnya bersih dan layanannya sangat bagus. Terutama salah satu staf dari kantor depan, Ms. Sally sangat ramah dan menyenangkan, dia membantu saya mengatur kamar kami dengan begitu sempurna. . itu adalah momen yang tak terlupakan bagi kami. Tempat ini sangat direkomendasikan oleh layanan. . Terima kasih Sally menjadi tuan rumah yang menyenangkan bagi kami. .",5
5,M Suite,"Awalnya dipesan di tempat lain tetapi mendapat voucher dari situs web wisata dengan diskon jadi memutuskan untuk beralih. Datang ke hotel ini saat melakukan penelitian. Memesan kamar twin standar dan ditingkatkan ke kamar double deluxe. (tawar-menawar ganda!!) Ruangan itu sangat luas, memiliki balkon kecil. Tempat tidur dan bantal sangat nyaman. Termasuk sarapan, prasmanan Indonesia dan barat dan Anda dapat memesan telur yang baru dimasak sesuai dengan keinginan Anda. Tidak ada yang mewah, tapi sangat enak. Hotel ini terletak tidak jauh dari jalan yang tenang dan sekitar 10 menit berjalan kaki ke jalan seminyak melalui jalur. Staf sangat ramah dan membantu, pasti akan tinggal di sini lagi. Juga di sebelahnya, ada sebuah pub yang menyajikan makanan semalam dan memiliki musik live.",5
6,M Suite,Kamar bersih dan besar. Sarapan yang baik Staf yang ramah  Agak masuk dari jalan utama. Pembatasan taksi untuk beberapa layanan untuk pickup. Kolam sangat kecil. Fasilitas tidak jauh dibandingkan dengan harga  Tidak ada lift di tempat.,3
7,M Suite,"Kami memutuskan untuk tinggal di sini untuk ulang tahun kami selama 2 malam karena rekomendasi yang bagus. Jadi kami memesan kamar suite dengan jacuzzi. Ruangan itu sangat bagus dan dengan harga sekitar $ 160 per malam jadi seharusnya. Tapi di situlah berhenti. Kami telah tinggal di banyak hotel selama bertahun-tahun dan tidak pernah meminta deposit untuk kunci kamar sampai sekarang. Kami pergi berenang dan panjang kolam pada kenyataannya sangat kecil dibandingkan dengan foto. Ada banyak kerumunan dengan kursi berjemur, yang tidak ada dalam gambar, dan ruangan di belakang tampak menjadi tempat kami akan sarapan. Itu akan menarik di pagi hari. Kursi-kursi di sekitar kolam memiliki kaki yang berkarat, tidak ada bantal di kursi berjemur dan tidak ada handuk kolam renang yang…",1
8,M Suite,"Saya menginap satu malam di M Suite setelah cukup terkesan dengan foto-foto mereka secara online. Saya memesan Tokyo Suite melalui Agoda dan ada campuran dengan Agoda / Booking. com (tidak yakin bagaimana Pemesanan. com datang ke dalam gambar) dan pada akhirnya mereka mengatakan kami memesan Bali Suite. Namun demikian setelah menunggu 2 jam atau lebih untuk mendapatkan kamar campuran - beres, Tokyo Suite telah kehilangan banyak fasilitas seperti alat makan (yang membuatnya sulit untuk menggunakan microwave dan fasilitas di kamar) dan handuk. Saya membuka kulkas untuk menyimpan makanan yang telah kami beli di sana, tetapi kosong dan hanya ada kolam air di kedua kompartemen.  Setelah membayar premi untuk apa kamar terbaik mereka, ruangan ini sedikit mengecewakan.  Kolam renang…",2
9,M Suite,"Kami memutuskan untuk tinggal selama 2 hari tambahan di Seminyak dan tidak bisa memperpanjang tinggal di villa kami, jadi memesan tempat ini. Tampaknya memiliki ulasan yang sangat baik dan saya harus mengatakan itu sesuai dengan harapan kami.  Ini bukan hotel mewah, tapi sangat imut dan sederhana. Staf ramah dan layanan baik. Penyebaran sarapan juga bagus dan mereka menawarkan layanan antar jemput ke pantai juga. Jika Anda sedang dalam bisnis atau hanya butuh tempat untuk menginap singkat daripada menginap di vila, ini sempurna.  Satu-satunya masalah adalah di daerah perumahan yang jauh dari pasar jadi agak gelap dan terpencil jika Anda berjalan kembali larut malam. Anda akan membutuhkan taksi kembali.  Akan senang tinggal di sini lagi.",5
10,M Suite,"Setelah penerbangan yang panjang dari U. K. ini hanya kemewahan yang kami butuhkan - kamar yang bersih, kamar mandi yang luar biasa, kamar mandi dan tempat tidur yang nyaman. Akomodasi yang bagus seperti kualitas sesuai dengan harga yang dibayar! Staf sangat ramah dan membantu, sarapan yang baik dan memiliki lokasi yang bagus hanya 10 menit ke pantai. Pasti akan tinggal di sini lagi ketika saya kembali ke Seminyak!",5
11,M Suite,"Ini adalah kunjungan saya yang ke 2 kalinya untuk menginap. Saya suka hotel ini. Kamar bersih dan akan mengulangi lagi, tapi ada 2 hal yang akan saya mereka untuk memperbaiki. 1 : kontainer sampo dan kondisioner yang terlalu keras. Karena itu, ruangan tidak terjatuh dari wadah. 2 : kamar mandi lantai yang licin. Lebih baik menggunakan merayap atau sesuatu.",4
12,M Suite,"Setelah tiba setelah 18 jam penerbangan 18 jam dengan delay di tengah-tengah tempat ini, kami sangat senang untuk tiba di M Suite. Staf sangat membantu dan menunjukkan kami langsung ke kamar kami. Sekali di kamar saya terkejut dengan tempat tidur besar, kamar mandi dan bak mandi! Saya langsung mulai menjalankan sebuah bak mandi. Karena kami lelah kami memutuskan untuk memesan layanan kamar, makanan dan 2 untuk 2 minuman itu datang untuk £ 7! ! Kami kagum. Kami tidak menginap di hotel ini di hari karena kami memiliki hal yang berbeda direncanakan tetapi kolam renangnya banyak lebih kecil dari yang saya diantisipasi. Sarapannya oke dan hanya apa yang diperlukan untuk memberikan energi untuk sisa hari.  Semua dalam semua untuk harga kamarnya sangat luar biasa! Saya akan membayar…",5
13,M Suite,"Untuk menjadi jujur. Saya sedikit kecewa dengan bagaimana resepsionis tampak seperti dibandingkan dengan kesan yang diberikan dari foto. Bagian dari Hotel adalah tidak sangat terawat dengan baik tetapi kamar cukup nyaman dan cukup luas. Desain sangat baik juga dan ada bak mandi di kamar mandi, dan daerah luar ruangan kecil ' teras' untuk perokok. Hotel ini memiliki layanan antar jemput yang sangat terbatas dan sebagian besar waktu. Saya harus mencari sendiri keluar dan kembali. Sarapan memiliki banyak pilihan, tidak terlihat enak dan murah mencari peralatan. Staf yang ramah dan membantu. ",4
