,hotel,review,stars
0,Masia Villa Ubud,"Karena sakit, kami meminta hotel untuk membatalkan reservasi kami secara gratis. Pada saat itu kami tidak dapat pindah ke hotel lain dan ingin memesan ulang segera setelahnya kami akan baik-baik saja lagi.  Hanya beberapa menit setelah permintaan kami, hotel menjawab bahwa kami harus membayar sepanjang malam. Tanpa kata-kata yang ramah. INI BUKAN BAGUS dan kami TIDAK akan rebook hotel ini atau merekomendasikan hal ini kepada teman-teman! !",1
1,Masia Villa Ubud,Kami memiliki waktu yang fantastis di sini. Lokasi ini indah dan benar-benar damai tetapi hanya berjalan kaki singkat atau moped (disediakan secara gratis oleh hotel) dari pusat. Kamar besar dan bersih dan kami menyukai kamar mandi luar. Staf sangat ramah dan bersemangat untuk membantu setiap saat. Akan sangat merekomendasikan.,5
2,Masia Villa Ubud,"Kami menginap di Masia selama 4 malam, kamar yang nyaman dengan pemandangan yang luar biasa ke sawah, saya merekomendasikan untuk sarapan di balkon kamar.  Wuyan membuat pengalaman menginap kami tidak terlupakan, dia sangat profesional",5
3,Masia Villa Ubud,"Kamar mandi terbaik yang pernah ada! Dan ya. . Lokasi yang sangat cantik dan tenang. di sawah, sangat bagus dan perhatian staf, kamar yang bersih dan fungsional dengan teras yang bagus, restoran yang bagus juga. Hotel ini berada di paddied nasi dengan tidak ada mobil yang mengakses (! ) tapi nyaman dengan berjalan kaki ke Jl. Raya Ubud dan kami mendapat naik skuter dari hotel setiap kali kami ingin (termasuk dengan barang bawaan kami yang besar pada saat kedatangan) .",5
4,Masia Villa Ubud,"Saya menginap tiga malam di sini dan sangat luar biasa. Saya mendapat villa besar yang menghadap ke sawah. Ayam dan ayam yang berkeliaran. Tokek hidup di kamar saya dan saya sangat suka dengan kebisingan di malam hari. Sarapan yang bagus dan mereka juga akan mengirimkannya ke villa anda teras depannya. Lima menit berjalan kaki ke Ubud dengan banyak restoran di sepanjang jalan, bar, pijat, salon rambut dan restoran yang luar biasa melewati villa. . . . Mahal tapi layak .. Mobil tidak dapat berkendara dari jalan utama ke villa, jadi mereka anda dan barang bawaan anda sendok pada sepeda motor. Saya tiba saat hujan dan saya suka menunggang melalui hujan pada sepeda motor dengan payung di tangan saya.",5
5,Masia Villa Ubud,"Vila ini rapi dan bersih, namun mereka sangat standar. Ada tempat tidur dengan kelambu (ini harus) . TV dan kulkas kecil, brankas, dan lemari kecil. Dalam kamar hanya ada satu kursi untuk duduk di tempat tidur. Selain Sebuah sofa kecil akan lebih baik. Tidak ada fasilitas untuk membuat teh dan kopi di villa ini, untuk saya, yang harus. Tidak ada tempat untuk menggantung handuk dan pakaian basah. Hal yang baik adalah pemandangannya yang indah yang telah anda dari sawah. Ini adalah sawah jadi anda bekerja melihat petani untuk menjaga nasi mereka. Kolam renang yang menyegarkan, tidak besar tetapi melakukan pekerjaan. Staf sangat membantu dan sangat ramah. Satu-satunya jalan ke vila ini dengan skuter. Jadi jika anda tidak tertarik untuk menjadi scootered dan keluar setiap kali anda…",4
6,Masia Villa Ubud,"Kami menginap di Villa Ubud Masia sekitar 2 bulan yang lalu, dan sampai hari ini kami masih berpikir tentang tempat yang indah ini. Vila Masia adalah permata di tengah-tengah sawah. Dengan hanya 8 kamar, tempat ini sangat intim dan tidak ramai.  Kami bepergian dengan anak kami ( 4 , 5 tahun) . Tempat ini terletak di sebuah bukit yang dapat """" tidak dapat dijangkau dengan mobil. Itulah yang membuat tempat ini sangat spesial. Pemandangan yang spektakuler! Jika anda tanya jika anda dapat berjalan kaki dari Masia ke pusat jawabannya adalah ya. Ada dua opsi rute untuk berjalan kaki ke kota dan keduanya cukup indah. Kami berjalan beberapa kali dengan anak kami tapi dia benar-benar menikmati naik sepeda motor. Staf sangat ramah dan membantu untuk membawa dan menjemput kami saat…",5
7,Masia Villa Ubud,Saya memesan pizza dan retret Yoga di sini di Villa Masia. Dari saat aku arroved sampai saat aku meninggalkan aku merasa seperti bangsawan. Staf benar-benar luar biasa dan tidak bekerja adalah sebuah masalah. Wayan mengambil perawatan khusus ketika saya tiba untuk mengatur segala sesuatu bagi saya dan memberi saya banyak motor drive ke kota dan bahkan menunggu untuk saya tanpa keluhan ketika saya sengaja terlambat untuk menjemput. Maaf lagi! Kamar saya melihat keluar ke sawah yang menyenangkan untuk bangun setiap pagi. Anda merasa seperti Anda mil jauhnya dari apa pun tapi hanya 15 menit berjalan kaki dari kota. Luar kamar mandi dan mandi luar biasa! Kamar yang besar dan sarapan setiap pagi adalah sentuhan yang bagus. Makanan di restoran adalah beberapa yang terbaik yang pernah…,5
8,Masia Villa Ubud,"Ruangan itu sendiri adalah luas. Sayangnya, kami mengalami kebocoran air dari atap di malam hari saat tidur karena untuk hujan lebat. Oleh karena itu, di malam hari, kami dapat mendengar air menurun di lantai sebelah tempat tidur. Ada tidak ada fasilitas di kamar mandi, tidak ada sampo tidak ada kondisioner. Bak mandi adalah kotor.   Anda tidak dapat akses ke Villa ini dengan mobil. Anda juga dapat berjalan (20 - 30 menit, perkiraan kasar) atau menunggu untuk Villa staf untuk naik sepeda motor untuk membawa Anda masuk dan keluar. Ada beberapa kelompok kami dengan bayi dan itu benar-benar perjalanan yang menyenangkan untuk orang dewasa tapi hujan sering selama periode waktu kami tinggal sehingga tidak ada ide yang baik untuk tinggal di vila ini jika Anda membawa anak kecil…",3
9,Masia Villa Ubud,"Pacar saya dan saya tinggal selama 4 malam di villa ini. Tempat itu sendiri sangat tenang dan indah. Kami menawarkan minuman selamat datang pada saat kedatangan oleh staf yang adalah kejutan yang menyenangkan. Restoran sangat bagus dan dengan harga yang terjangkau dan layanan yang selalu kedudukan tertinggi.  Villa kami adalah persis apa yang kami harapkan, sangat luas dan bersih. Satu catatan untuk perbaikan akan menambahkan cermin, hanya ada satu di kamar mandi dan untuk menambahkan kait di kamar mandi untuk menggantung pakaian basah. Luar kamar mandi adalah sentuhan yang sangat bagus untuk villa dan kami tidak punya masalah dengan serangga.   Saya memberikannya empat bintang karena kedatangan kami harus menghubungi staf untuk menjemput kami dengan mobil motor karena tidak…",4
