,hotel,review,stars
0,Matahari Bungalow,"Hotel ini mengerikan! Tempatnya kotor dan sangat tua, foto-fotonya tidak seperti apa yang akan kamu lihat waktu kamu tiba. Staf bahkan tidak tahu kami datang dan memesan melalui expedia. Tidak ada orang yang menjemput kami di bandara, kami harus mencari jalan sendiri. Tidak bisa mandi karena kamar mandinya kotor, pergi berenang karena kolam renangnya lebih bersih sedikit! Sarapan terdiri dari telur, daging babi asap, dan roti bakar, tidak ada pilihan. Kalau tidak mau, ya sudah.   Tinggal satu malam, lalu memesan hotel lain karena kondisi yang mengerikan. Staf yang sangat enggan menawarkan untuk memindahkan kami ke kamar lain ketika kami cek out tetapi kami tinggal di kamar deluxe, tidak ada yang terlihat lebih baik. Hotel yang mengerikan, expedia harus malu menampilkannya di…",1
1,Matahari Bungalow,"Saya menghabiskan satu malam di sana dengan pacar saya; tempatnya sendiri cukup besar dan ada banyak pilihan kamar meskipun kamar standard dan deluxe-nya tidak jauh berbeda.   Pengaturannya dulu sangat baik; tapi sudah tidak kelihatan terlalu bagus sekarang dan semuanya kelihatan tua.   Di kamar kami, kipas anginnya sangat berisik dan lambat jadi kami mematikannya. Akhirnya kami tidur dfengan pintu terbuka karena kamar kami sangat panas.   Kamar mandinya agak berbagu dan keseluruhan kamar tidak terlalu bersih.   Saya memberi satu bintang, karena harganya yang murah, wifi yang cukup bagus, dan beberapa kelebihan lain, tapi saya tidak menyarankan hotel ini.",2
2,Matahari Bungalow,"di booking voucher saya dinyatakan check in pk 14.00 tapi saat kami datang pk 09.00 untuk check in kami langsung mendapatkan kamar tanpa menunggu lama.lokasi sangat strategis dekat dengan monumen bom bali.room service juga sangat friendly.hanya saja kekurangan hotel ini lantai kamar mandi sangat licin,saya sempat terjatuh ketika mandi.untuk kelengkapan mandi tidak di tambah meskipun kami menginap selama 3 hari,sabun dan sampo tidak diberikan lagi (hanya dapat saat masuk hari pertama)",4
3,Matahari Bungalow,"Tinggal bersama ibu, saudara laki-laki dan 2 anak laki-laki kecil saya dan kami semua menyukai tempat itu! Saya harus menyebutkan bahwa pada malam pertama kami tiba, ibu saya kurang terkesan dan mengatakan dia akan memeriksa hal pertama di pagi hari (hujan deras, lalu lintas di jalan tidak bergerak - hampir 1 jam untuk perjalanan sekitar 2 km!!, staf resepsi malam tidak membantu membongkar tas kami / bayi tidur, kamar awal (keluarga ganda) berada di lantai 2 dengan tangga yang sangat curam, AC membutuhkan waktu lama untuk bekerja, tidak ada fasilitas teh / kopi yang aman di kamar) . . Namun keesokan harinya setelah sarapan yang lezat, melihat kolam renang yang indah dan tanah, dan memiliki staf yang sangat ramah dan membantu memindahkan kami ke kamar deluxe yang lebih baru di…",5
4,Matahari Bungalow,"Kami tinggal di ruang keluarga standar, ini adalah kamar dasar tapi saya berharap membayar sekitar $ 70 per malam, kamarnya besar dan memiliki semua fasilitas yang diperlukan, area kolam fantastis, tak bernoda dan indah, sebuah oasis dari jalur utama, kami pikir sarapan 10/10 fantastis Anda harus memesan menu dan ketika pesanan datang sangat baik. Staf pergi di atas dan di luar dan setiap staf mengagumkan. Kami check out pada 12 Januari dan kami telah menyetor $ 50 untuk kamar yang ditandatangani untuk mengatakan bahwa kami telah menerimanya, kami telah memesan taksi sehingga bergegas keluar ke taksi meninggalkan $ 50 di konter di belakang dua anggota staf kehabisan kami naik taksi untuk mengatakan bahwa kami telah meninggalkan uang di belakang. Saya kewalahan dengan betapa…",5
5,Matahari Bungalow,"Lokasi pusat yang bagus tapi tidak berisik sama sekali yang saya alami di hotel lain di daerah ini. Kamarnya bagus, kamar mandi bisa menggunakan deep scrub. Kamar mandi kami agak aneh - kamar mandi dan toilet berada di semacam 'kamar basah' dan meja riasnya ada di dalam kamar. Tidak ada masalah dengan semua itu, hanya aneh ketika Anda pertama kali tiba! Staf yang sangat baik, sangat baik dan akomodatif. Senang kami sudah termasuk sarapan, tetapi ingin melihat makanan Indonesia pada menu sarapan. Kami memiliki ruang lantai dasar yang masih pribadi tanpa suara. Satunya downside adalah bahwa kolam itu sangat hangat, tidak menyegarkan. Mungkin disebabkan oleh waktu tahun tetapi kadang-kadang itu memang dingin.",4
6,Matahari Bungalow,"Saya senang tinggal di sini dan saya pasti akan kembali. Staf yang luar biasa, kolam renang besar, makanan enak dan lokasi tepat di tengah jika semuanya tapi sangat tenang. Kamarnya besar dan bersih. Staf yang ramah dan makanan di restoran luar biasa.",5
7,Matahari Bungalow,"Ini adalah hotel yang bagus jika Anda suka keluar dan menikmati kehidupan malam. Yang mengatakan itu juga sangat nyaman untuk berbelanja, makan, perawatan spa dan banyak lagi. Sangat dekat dengan Ground Zero Memorial, di mana banyak klub dan bar berada. Saya tinggal di sini dua kali selama perjalanan. Saya tiba terlambat dari Perth dan check in sangat baik pria di meja sangat bagus dan kamarnya ok untuk titik harga saya telah memesan $ 28. Saya pergi untuk menjelajahi pulau pada hari berikutnya jadi di checkout saya bertanya apakah saya bisa mendapatkan kamar ini ketika saya kembali jika memungkinkan. Karena saya akan tinggal di 5 hari lagi. Wanita itu tidak dengan bijaksana berkata oh tidak, kami telah meningkatkanmu. Anda tidak dapat memiliki kamar itu kecuali Anda membayar $…",3
8,Matahari Bungalow,"Jika saya memilih tempat tinggal saya akan memilih tempat lain. Ini adalah hotel tua yang sangat membutuhkan renovasi. Harganya agak tinggi untuk apa yang Anda dapatkan. Kamar standar tidak ideal, jadi saya membayar untuk upgrade. Tidak ada informasi di kamar untuk layanan kamar atau layanan lain yang ditawarkan hotel ini. Tempat tidur agak keras dan bantal tidak nyaman. Pancuran saya tidak akan mengalir saat mandi. Saya tidak suka ide shampo dan mencuci tangan di dispenser besar karena Anda tidak tahu berapa umurnya. Wifi saya di kamar saya tidak terlalu buruk. Tidak banyak pilihan saluran tv. Saya lebih suka brankas di kamar saya tetapi mereka memiliki kotak kunci bersama di lobi. Mini bar tetap dingin. Saya memiliki pemandangan taman dan kolam renang. Kolam itu bagus dan…",3
9,Matahari Bungalow,Kami tinggal mengatakan bahwa kami harus pergi ke bandara mereka membiarkan kami di di 12: 30 pm kami telah tinggal di sanur selama seminggu dan membutuhkan tempat untuk meninggalkan tas dan berbelanja sebelum kami pergi ke kamar rumah bagus tapi tidak ada lemari es atau baskom tangan tetapi memiliki pancuran dan toilet yang sangat bagus untuk dapat digunakan sebelum kami pergi pasti akan melakukannya lagi staf sangat baik dan kolam renang sangat bagus untuk bersantai di terima kasih matahari penginapan,5
10,Matahari Bungalow,"Tempat ini sangat tenang dan memiliki kolam renang santai kecil yang bagus untuk menikmati berenang atau hanya berbaring. Saya tinggal di Kamar Deluxe Double dan senang dengan kamar. Tempat tidur dan bantal nyaman dan kamar bersih. Jika saya kembali ke Bali, saya akan senang tinggal di sini lagi. Staf sangat ramah. Harga kamar berkisar sehingga Anda dapat membayar untuk kamar yang sangat dasar untuk yang telah diperbaharui yang sedikit lebih mahal.",5
11,Matahari Bungalow,"Kami tiba di hotel ini di pagi hari dan layanannya benar-benar mengerikan, kamar yang kami miliki seperti tinggal di penjara bali yang hanya ingin Anda keluarkan. Tempat tidur yang sangat sulit dan tidur di lantai. Kami meninggalkan hotel ini dalam waktu 4 jam kedatangan dan pergi ke yang lain, tidak akan merekomendasikan kepada siapa pun, Belum lagi kami tidak bisa mendapatkan uang kami kembali untuk pengembalian uang.",1
12,Matahari Bungalow,"Saya merasa senang tinggal di hotel yang indah ini di bulan Februari tahun ini untuk menghadiri pernikahan. Harga akomodasi fantastis. Staf, makanan, dan kamar yang sempurna. Bahkan hotel yang sulit hanya turun dari kehidupan malam Kuta Anda bahkan tidak akan tahu. Hotel ini terletak jauh dari jalan tetapi kenyamanan semua yang Anda butuhkan dalam jarak berjalan kaki. Pasti akan tinggal di sana lagi",5
13,Matahari Bungalow,"Setelah kedatangan, staf sangat ramah dengan layanan sopan cepat. Bar kolam renang cantik. Kamarnya cukup luas untuk melakukan yoga. Pendingin ruangannya sangat bagus seperti wifi. Saya suka bak mandi dalam di kamar. Ada lemari es di kamar & teras yang indah. Sarapan memiliki roti sourdough, yum, dan kopi asli. Staf telah sangat membantu dalam memenuhi permintaan saya. Kebun & alasan menakjubkan. Saya menantikan pijat di tempat hari ini. Saya telah melakukan perjalanan 6 benua & benar-benar sangat merekomendasikan hotel ini.",5
14,Matahari Bungalow,"Yang baik tidak banyak yang baik tentang tempat ini dan mungkin kolam renang Keburukan Sarapan yang mengerikan, tidak ada prasmanan, satu pesanan kopi p / orang yang tidak dapat Anda minum di kamar deluxe akan menjadi standar hotel lainnya. Deposit $ 100 pada handuk kolam renang p / orang, tidak ada handuk tangan atau pakaian muka di kamar. Sedikit atau tidak ada pembersihan teras kamar Jelek  1 ruang jalan ukuran baik tetapi tanpa diundang Kamar yang ditingkatkan menjadi deluxe $ 10 p / malam dapat diterima tetapi kualitas stand kecil di sebagian besar tempat lain Secara keseluruhan sangat kecewa cinta Bali tapi jelas bukan tempat ini jelek tapi tidak bagus sama sekali H&Y",1
15,Matahari Bungalow,"Kami menggunakan fasilitas kolam renang mereka tahun lalu sementara tidak tinggal di sana jadi memesan seminggu di sana tahun ini. Area kolam fantastis, staf yang ramah dan membantu dan lokasi yang sempurna, tapi kami sangat kecewa dengan kamar, linen adalah warna putih kotor dan memiliki bau apak, harus menjalankan kamar mandi selama lebih dari 10 menit untuk mendapatkan air panas dan beberapa lampu tidak bekerja, fasilitas kopi tidak dapat digunakan dan ini adalah kamar sisi kolam renang mewah di $ 75 per malam. Ini adalah 5 th perjalanan kami ke Bali dan hotel ke-6 dan harus mengatakan sarapan terburuk yang kami temui, hanya benar-benar suram. Malu benar karena sisi positifnya luar biasa tetapi jalan keluarnya dinomori oleh negatif",3
16,Matahari Bungalow,Tidak akan tinggal di sini lagi. Lokasi dan kolam renang luar biasa sejauh ini   cpl mengecewakan. Itu akan sangat bagus jika berbeda.  Selimut lembar kamar yang ditemukan tidak dapat diubah kecuali saya meminta.  Bin di kamar mandi belum dibersihkan. Harus meminta air dan kertas toilet.  Sarapan adalah yang terbesar dikecewakan. Mereka membatasi apa yang bisa Anda makan. Satu potong daging asap. Hanya diperbolehkan dua telur. Harus menunggu mentega. Bersulang dingin saat itu. Tidak semua Anda bisa makan prasmanan.  Menemukan mereka juga membiarkan siapa pun memesan kamar Anda. Saya berusia 9 tahun memiliki hari lapangan ketika kami pergi ke kamar kami. Anak laki-laki saya yang lebih tua memiliki orang-orang yang memesan kamar sementara kami berada di toko tato.  Bukan…,1
17,Matahari Bungalow,"Orang-orang akan menemukan alasan anda untuk membayar biaya tambahan. $ 100 di sini $ 50 di sini. Mereka tidak memberitahu anda terlebih dahulu. Sangat berbahaya. Mereka juga akan mengganggu orang-orang yang anda bersosialisasi dengan, jika mereka tidak dapat menemukan anda. Sangat mengecewakan",1
18,Matahari Bungalow,"Lokasi hotel ini sangat baik. Di Jalan Raya Legian yang ramai tapi kamar deluxe jauh di belakang yang menghadap ke kolam renang dan kami tidak bisa mendengar jalan yang sibuk di semua. Banyak cafe/restoran dan tempat pijat di sekitar jarak berjalan kaki kemana-mana. Taman dan kolam renang dengan bar yang luar biasa dan staf sangat baik. Satu-satunya hal yang mengecewakan adalah kamar kami yang sangat tua, sedikit kotor dan tidak ada air panas di kamar mandi. Untuk bersikap adil, staf tidak terlihat di pagi hari pertama dan akan kembali tapi sekali lagi pagi berikutnya. Kami menyerah karena kami check out pada hari yang besar. Mereka perlu memperbarui sistem air panas dan memperbarui kamar tapi tempat tidurnya salah satu yang kami tiduri di comfiest saat berada di Bali.",4
19,Matahari Bungalow,"Kami hanya membayar $ 50 per malam untuk kamar suite kamar bungalow dan yang termasuk sarapan untuk 2 orang baru dimasak telur bagaimana anda ingin mereka dengan daging babi dan sebagai stip dari sisi ada sayuran yang indah dengan nasi atau mie tomat, bawang atau beberapa hari kentang dan jamur. Soup . Pancake dan buah-buahan. Anda harus membayar $ 25 d per orang hanya untuk sarapan yang tanpa kamar di sebagian besar negara. Kami mendapatkan kamar yang memiliki dapur 69 empat tempat tidur dan kamar mandi yang luas tempat duduk di luar ruangan. Kamar mandi perlu robek keluar yang tidak bagus tapi semuanya berfungsi dengan baik. Kepala shower perlu decalcifying karena mereka adalah salah satu cerat watwr tapi kami besar yang memiliki banyak air panas dan kamar dibersihkan setiap…",4
20,Matahari Bungalow,"Saya mengalami pengalaman yang sangat bagus di sini, staf yang sangat menyenangkan. Lokasinya sempurna karena dekat dengan segala sesuatu tetapi segera setelah anda berjalan-jalan di Kuta akan hilang dan anda merasa kekacauan anda telah berpindah ke lokasi yang terpencil.  Sarapannya adalah bonus yang sangat bagus dan begitu juga dengan kolam renang. Saya akan menginap di sini lagi!",5
21,Matahari Bungalow,"Kami benar-benar menikmati pengalaman menginap kami di sini. Tepat di jantung klub malam dan bar dengan pemandangan yang banyak terjadi di luar. Kemudian anda berjalan pulang ke oasis kecil dan bersantai hingga anda siap untuk keluar lagi. Kolam renang (dengan berenang up bar) dan tamannya terawat dengan baik dan indah. Makanannya enak dan stafnya sangat ramah. Untuk kamar, kami cukup ok. Jika anda wisatawan yang semacam hakim tempat hanya pada kualitas kamar, maka Anda mungkin menemukan tempat ini kurang. Namun, bagi kami. Kamarnya lebih dari memadai. Yang nongkrong di sebuah kamar hotel ketika di Kuta? Semuanya bersih dan fungsional.  Sarapan yang disediakan sangat bagus dan beberapa makanan yang kami coba untuk makan siang yang benar-benar bagus! Anda dikelilingi oleh…",5
22,Matahari Bungalow,"Ketika kami mencari tempat ini di jalan yang ramai, saya tidak berpikir saya akan tinggal di sana. Tidak ada tanda-tanda mereka di depan ketika anda tiba, lobi berada 50 meter. Namun, setelah kami sampai di lantai dasar dan kamar kami seperti dunia yang berbeda, terpencil di terawat dengan baik, tanaman yang rimbun lingkungan. Area dalam besar dan saya tidak pernah mendengar kebisingan dari jalan ada lebih banyak. Beberapa jalan untuk berjalan kaki. Yang sangat bagus, kolam renang yang besar dan area kolam renang. Sarapan adalah rata-rata atau di atas. Akhirnya kami makan hampir semua makan malam kami di restoran. Bungalow kami sangat bagus, tenang, dengan lanai di depan. Stafnya menjaga lantainya bersih dan semua tanaman terpotong. Kami sangat menyukai tempat ini dan saya pikir…",5
