,hotel,review,stars
0,Medewi Bay Retreat,"Ini adalah ketiga kalinya kami bersinggah di Medewi. 1. Ya, butuh rata-rata 3 jam perjalanan dari bandara utama - saya sarankan Anda mencuci mata dalam perjalanan Anda, seperti: berkunjung ke Tanah Lot, pusat belanja, pasar dan candi. 2. Lalu lintasnya sangat buruk di manapun Anda berada di Bali, jadi ambil napas, rileks dan nikmati pemandangan yang indah selama perjalanan Anda. 3. Berbelanjalah saat di tengah perjalanan atau kunjungi Negara yang berjarak hanya 30 menit berkendara, terdapat gerai besar bernama Hardy's di mana Anda dapat membeli berbagai macam barang mulai dari makanan, minuman, pakaian, sepatu, make up, serta alat-alat listrik. Terdapat toko roti yang murah di dekat situ. Kebanyakan hotel hanya memberikan botol air untuk kamar mandi Anda, Anda dapat membeli 20…",4
1,Medewi Bay Retreat,"Saya juga memperoleh surat lewat fax untuk 7 hari dengan harga yang sangat murah, jadi dari harga tersebut saya tidak menetapkan standar yang terlalu tinggi. Saya melancong antara tanggal 24 November - 30 November.  Saya menelepon perusahaan yang menjual tiket sembari membaca komentar-komentar disini, membuat saya TIDAK ingin berada dekat-dekat tempat tersebut. Ia meyakinkan saya kalau tempat itu sangat nyaman dan diperbarui, saya bertanya mengenai waktu perjalanan dan dia memberitahu saya bahwa penerbangan saya yang tiba pukul 10 pagi akan sempurna dan tidak akan terlalu banyak lalulintas. Sungguh SUNGGUH SALAH, tak peduli jam berapapun Anda tiba disana akan SELALU ADA LALULINTAS dan BANYAK LALULINTAS!!  WAKTU PERJALANAN/LALU LINTAS Kami perlu 3,5 - 4 jam untuk tiba disana,…",3
2,Medewi Bay Retreat,"Pertama-tama staf hebat dan melakukan semua yang mereka bisa untuk membantu. Seperti ulasan sebelumnya, kesan pertama adalah ok. Kemudian Anda melihat bahwa beberapa bangunan memiliki lubang di atap dan jelas tidak digunakan dan tidak dipelihara dengan tanaman beton yang pecah yang tumbuh dari ilalang dan cat yang mengelupas yang sangat mengganggu pemandangan dari balkon kita dan ini merusak apa yang saya yakin pernah menjadi resor tampak bagus. Ok kalau begitu ke makanan. Dua kali kami harus mengeluh bahwa makanan itu tidak segar sebenarnya itu. Staf ditangani dengan sopan dan efisien ketika dipandu oleh saya sendiri pada resolusi (saya telah bekerja di perhotelan selama bertahun-tahun sebagai pemilik bisnis) tetapi karena resor tidak memiliki manajer umum (yang kami temukan…",3
3,Medewi Bay Retreat,"Kami dipesan untuk 1 minggu tetapi akhirnya pergi setelah 4 hari. Resor ini indah pada kesan pertama, tetapi memiliki beberapa kekurangan mencolok.  Pertama yang positif. Kolam ini indah dan umumnya terawat dengan baik, meskipun ada gundukan besar dari beberapa gundukan di bawah salah satu semburan air yang merupakan lumba-lumba. Banyak sekali kursi di sekitar kolam dan jarang digunakan. Stafnya sangat membantu. Ketika toilet kami berhenti bekerja, mereka segera memperbaikinya. Mereka akan pergi keluar dari jalan mereka untuk membantu, tetapi dibatasi oleh harga dan kebijakan. Taman-taman indah dan terawat dengan baik.  Namun! ! ! Internet hanya berfungsi di restoran! Tidak ada akses di sekitar kolam renang atau di kamar. Harga minuman dan makanan juga jauh lebih tinggi daripada…",3
4,Medewi Bay Retreat,"Sebagai pemilik di sini kita tidak bisa mendapatkan cukup Medewi Bay Retreat. Orang-orang membayar mobil kecil untuk melakukan perjalanan ke lokasi eksotis di seluruh dunia dan di sini ada satu tepat di ambang pintu di Bali. Sebuah restoran dan Bar yang luar biasa, kolam renang yang fantastis dan fasilitas serta akomodasi yang luar biasa, mengapa Anda pergi ke tempat lain? Terletak di pedesaan Bali barat, inilah Bali sejati, Bali tua yang dibicarakan dan ditulis oleh para pelancong.  Mick & Amanda",5
5,Medewi Bay Retreat,"Kami telah menghabiskan minggu yang menyenangkan dan santai di Medewi Bay Retreat. Hotel yang bagus Jika Anda tidak ingin orang banyak dan lalu lintas di sekitar Anda sepanjang waktu. Sangat menyenangkan untuk hanya menghabiskan waktu di sebelah area kolam renang yang indah dengan sebuah buku, berjalan-jalan di pantai tanpa seorangpun (kecuali seorang nelayan) yang terlihat. Makanan di restoran yang bagus dan tidak terlalu mahal, kami memiliki kamar yang bagus di sebelah kolam renang. Staf sangat ramah dan membantu, terutama Linga yang menyelesaikan masalah yang kami miliki setelah check-in - terima kasih! ! WiFi di area kolam renang dan restoran, sayangnya tidak di kamar. Pasti akan melewatkan waktu santai kami yang menyenangkan di Medewi.",4
6,Medewi Bay Retreat,"Kami menghabiskan 7 hari yang sangat menyenangkan dan santai di Teluk Medewi. Staf sangat baik, sangat ramah dan kami menemukan banyak untuk membuat kami sibuk di sekitar area. Anda juga dapat bersantai dan menikmati kolam renang atau melakukan perjalanan sehari. Kami pasti akan kembali dan akan tinggal selama dua minggu atau lebih lama waktu berikutnya.  Jane dan Graham King",4
7,Medewi Bay Retreat,Tempat yang sangat bagus dan staf yang ramah yang ingin memastikan kebutuhan Anda terpenuhi. Namun resor ini sangat terisolasi. Jika Anda senang tinggal di resor maka baik-baik saja. Jika Anda ingin kehidupan malam atau bisa berjalan ke toko-toko atau restoran lain maka ini tidak lurus ke depan,4
8,Medewi Bay Retreat,Ini adalah tempat yang sempurna jika Anda mencari pelarian yang menyenangkan dari pusat kota. Sangat tenang dan tenteram. Staf sangat sopan dan responsif. Semua dalam semua tempat yang sangat bagus untuk tinggal,4
9,Medewi Bay Retreat,"Hai tim RCI,  Umpan balik tentang properti:  Kami memeriksa di resor pukul 11 ​​malam pada tanggal 3 November 2018 dan dalam 2 jam kami memutuskan untuk meninggalkan tempat itu. Kami telah memesan hotel melalui RCI selama 7 malam. Alasan di bawah ini:  Istri saya menemukan tempat teduh dan menakutkan karena tidak memberikan nuansa properti bintang 3.  Rumah satu kamar tidur yang diberikan luas dengan kolam terjun tetapi karena alasan di bawah ini membuat tempat yang lebih menakutkan dan tidak aman untuk tinggal  Lubang besar di langit-langit area pemandian karena nyamuk mana yang tidak bisa dihentikan untuk masuk ke dalam ruangan dan membuatnya sulit untuk tinggal dan tidur.  Resepsionis tutup pukul 11 ​​malam, jadi tidak yakin siapa yang harus dihubungi atau mencari bantuan…",1
