,hotel,review,stars
0,Melati Cottages,"Saya tinggal seminggu di sini, sangat senang saya menemukannya. Saya akan tinggal lagi jika saya kembali. Bangunan ini terinspirasi. Pondok-pondok yang menarik terselip, hampir tidak terlihat, di tanah luas yang indah, hijau hijau hijau. Semua staf ramah dan hangat. Saya tidak perlu kamar saya dibersihkan setiap hari, tetapi mereka bersikeras, dan secara cerdik melakukannya saat saya sedang sarapan agar tidak mengganggu. Sarapan - lezat - buah segar, pepaya terbaik, berbagai cara telur & pancake diisi. Hanya hati-hati - kamar tidak kedap suara, tapi saya hanya mendengar tetangga sekali. Menyukai ruangan yang terang dan terang, pemandangan taman, dan pengalaman total. Oh, dan itu lokasi yang bagus.",4
1,Melati Cottages,"Sangat kecewa dengan kualitas untuk harga. Kamar mandi sudah tua, seperti seprai dan kasur yang tidak nyaman. Seluruh tempat membutuhkan perbaikan untuk mengembalikan kejayaannya. Sarapannya tidak enak. . . kecil dan terbatas.",2
2,Melati Cottages,"Hotel ini arsitektur gaya Bali yang indah. Kolam renang yang bagus. Lokasi yang sangat baik di Penestanan, sangat tenang. Tapi kami punya tikus di kamar tidur, dan staf tampaknya tidak menganggap serius apa pun. Sangat disayangkan karena saya suka tempat ini, tetapi harus mengatakan, saya merasa kecewa. Kami menyewa sebuah vila selama 1 bulan, melakukan deposit. Ketika kami tiba, kami tidak memiliki tatapan untuk memasak, tidak ada air untuk diminum, ruangan itu kotor dan tidak ada staf untuk dibersihkan. . . Internet tidak berfungsi selama 2 minggu, tetapi masih termasuk dalam harga. Dan tikus-tikus itu. . .",2
3,Melati Cottages,"Saya menginap di pondok Melati dan berjalan hampir di sebelah rumah untuk menikmati makanan vegetarian khas Bali yang dimasak di Pri Ma, kemudian tepat di sebelahnya, Pusat Meditasi Raja Yoga yang menawarkan kursus gratis dalam meditasi.",5
4,Melati Cottages,"Cottage indah, dua lantai tinggi. Satu kamar di lantai dasar dan satu lagi di lantai satu. Masing-masing dengan akses independen. Kamar kami memiliki dua tempat tidur ganda dan beranda indah yang menghadap ke kolam renang dan taman. Dekorasi al dalam gaya Bali dengan langit-langit tinggi dan lantai kayu dan perabotan. Ruangan itu indah. Kamar mandi perlu diperbarui. Tidak ada tekanan air di kamar mandi sehingga agak sulit. Sanitasi bertanggal. Hotel ini menawarkan akses WIFI tetapi sinyal tidak begitu baik dari kamar tetapi sangat bagus dari penerimaan. Sarapan gratis disajikan di bagian penerima tamu. - tarif sederhana tapi bagus: telur dadar, pisang pancake, dan buah-buahan segar. Disajikan sebagai prasmanan.",3
5,Melati Cottages,"Pro: Bersih, kamar yang luas, dan tempat yang indah dan tenang. Kontra: Kamarnya dapat lusuh dan berisik di kolam renang, yang depresif di waktu-waktu tertentu dengan staf yang bermain game dengan balita keluarga mereka sendiri.  Kamar kami di lantai dasar # 24 sudah tua dan melihat foto-foto yang terpasang (depresif) tapi kamar teman kami di lantai 1 jalan (# 23 ) sangat bagus, sejuk, dengan pemandangan yang cukup bagus dan terang.  Setelah berbicara dengan beberapa supir taksi lokal, kami mendengar Melati telah sekitar selama beberapa dekade, dan tidak pernah direnovasi selama bertahun-tahun, jadi tidak mengherankan beberapa kamar seperti yang kami dapatkan di dalam kondisi yang buruk.  Ada banyak pilihan lain di sekitar untuk harga yang sama dengan 3 - tag bintang di Ubud…",2
6,Melati Cottages,"Tempat ini memiliki keajaiban tersendiri dan merupakan tempat yang benar-benar menyenangkan untuk ditinggali. Nikmati untuk apa itu, sebuah retret pribadi kecil di Bali, dengan kamar-kamar luas yang terawat baik, terletak di antara taman-taman yang indah dan sawah, dikelola oleh orang-orang yang membantu, menyediakan kolam renang yang indah dan ruangan yoga, peta gratis dari area lokal, dan sarapan gratis yang sehat, Jangan berharap untuk menjadi hotel terbaik, dan belajar untuk berjalan di Bali. Saya tinggal di sini selama lebih dari seminggu untuk retret yoga dengan kelompok yoga dan yoga yoga Perth, pada saat Jetstar membatalkan penerbangan karena awan Gunung Agung abu. Mereka dengan ramah mengatakan kepada kami bahwa kami dapat tinggal selama yang kami butuhkan ketika…",4
7,Melati Cottages,"Sebuah oasis di sawah dekat Ubud. Kamar yang besar dengan teras di luar ditutupi dengan sofa dan kursi () dikelilingi oleh kolam teratai paritnya. Tempat ini dianggap sebagai ""Melati"" tetapi memiliki keluarga yang ramah yang menjalankan itu, area kolam renang yang indah, Wi Fi, sarapan, - tersedia makanan lain dan banyak restoran hanya benar-benar hanya beberapa langkah jauhnya di Penestanang. Saya menginap di sini untuk beberapa minggu beberapa tahun yang lalu, yang juga pada retret rohani, dan kami menggunakan menutupi udara terbuka - tapi aula pertemuan di sawah. Kami makan, tari dan berdoa di sana. Ubud adalah menarik, luar biasa, penuh dengan seni dan luar biasa belanja. Tempat ini terasa seperti sebuah dunia yang berbeda - tapi di dekatnya.",4
8,Melati Cottages,"Setiap kamar memiliki pemandangan taman yang berbeda. Sarapan disajikan di ruang makan yang ramah, di mana satu dapat bertemu dan mengobrol dengan tamu lain. Staf selalu tersenyum, sangat membantu dan ramah dan pemilik, Ketut, akan membantu Anda dengan rencana tamasya atau aktivitas. Di - wifi di dalam kamar akan tersedia dalam waktu dekat. Lokasi ini dekat dengan supermarket, terbuka - pasar AC, beberapa restoran dan Yoga Studio yang paling populer. Harga taksi ke tempat tujuan lokal sangat murah.",5
9,Melati Cottages,Meskipun Pondok Melati adalah menunjukkan usia mereka masih memiliki jumlah tertentu dari pesona. Gaya bangunan ini indah dan begitu juga taman dengan banyak patung-patung di sekitar. Kolam renang sangat bersih dan indah untuk berenang di dan terletak di antara taman dan dekat dengan daerah luar ruangan tempat duduk. Sarapan termasuk dalam harga kamar kami dan meskipun dasar omelet dan buah ini sangat enak dan mengenyangkan. Kamar kami adalah besar dengan beranda yang besar juga. Lokasi yang bagus dengan berjalan jalan ke toko-toko lokal dan kafe.  Kelemahan utama adalah bahwa Anda perlu menyadari bahwa Anda akan menemukan beberapa serangga dan hewan pada masa tinggal Anda. Kami punya beberapa tokek di dalam kamar yang terlepas dari sedikit kotoran dari waktu ke waktu baik untuk…,3
10,Melati Cottages,"Kami tinggal di pondok melati, yang murah, untuk yoga dan penulis ', tetapi tempat ini juga akan membuat orang-orang yang bepergian untuk akomodasi liburan dengan anggaran yang ketat. Hotel ini berada di penestanan, di pinggiran ubud. Akomodasi di kamar yang sangat luas, dengan kamar mandi yang sederhana, dan pandangan taman yang indah. Sarapan yang disediakan di ruang kerja yang baik untuk menulis sepanjang hari, dan kolam renang yang besar adalah tonik di kapan saja. Di Wantilan, oleh sawah, merupakan sebuah tempat magis untuk melakukan yoga.  Melati terletak strategis dekat dengan berbagai restoran dan pijat tempat - tempat favorit saya, karena boreh aya, di samping alkimia tempat ketut yang luar biasa yang disediakan, terapi, pijat akupresur, boreh dan boreh tubuh…",3
11,Melati Cottages,"Tinggal di sini selama seminggu. Kamar cukup nyaman dan harga yang besar. Namun, jangan berharap mewah jika anda tinggal di sini. Meskipun ac apa saja dan masih hangat. Kami membayar ekstra untuk memiliki min kecil kulkas di kamar - baik sepadan. Akan lebih baik dengan kipas angin di langit-langit. Balkon bagus dan diabaikan taman. Kamar mandi adalah bukan kepalang dan mandi. Staf yang sangat ramah dan membantu dan sarapan yang baik jika tidak luas. Kolam renang yang hebat dan taman dan posisi yang baik.",3
12,Melati Cottages,"Melati dari luar sepertinya tempat yang sempurna: indah pengaturan, taman cukup saya tip, khas bangunan tua indah dan baik diposisikan di tengah dari hijau. Tapi untuk lebih menunjukkan benar-benar dna: kolam renang adalah kotor, kamar kotor dan bau seperti tua, furnitur tua, kamar mandi tampaknya datang langsung dari rumah tua yang 70s - pada waktu yang lalu. Di kamar kami ada koloni semut raksasa (secara harfiah di mana-mana), dan kamar mandi kami memiliki kesenangan untuk menikmati perusahaan dari seluruh keluarga kecoak 4 cm - yang menyambut kami setiap malam. Kami mendapat sedikit oleh sesuatu di tempat tidur meskipun kelambu (penuh lubang dengan benar). Staf penerimaan selalu tersenyum tetapi ceroboh, dan mencoba untuk menjual kami hal setiap kali mereka membawa kami…",2
13,Melati Cottages,"Melati cottages terletak di lokasi yang indah, sangat baik staf (terutama pria pada penerimaan dan wanita yang melayani sarapan), dan ada kolam renang yang indah.  Sayangnya kamar 5 memiliki kutu semut besar, yang merusak saya tinggal di sini. Ada semut bersarang di kamar mandi dan merangkak dengan mereka di malam hari - termasuk di tempat tidur. Saya buruk digigit oleh semut. Saya tidak bisa tidur karena semut merangkak pada saya, dan seluruh pengalaman itu sangat tidak menyenangkan dan tidak nyaman.   Serta penuh dengan semut, kamar mandinya juga tidak bersih, itu berjamur, lembab, tidak ada tirai mandi dan tidak ada penutup di jendela, jadi saya harus mandi di gelap. Kamar tidur adalah ringan, sejuk dan tampak bagus (tapi ada semut yang penuh).",2
14,Melati Cottages,"kami harus memperpanjang kami tinggal di ini menyambut, santai dan sangat sakit inviroment karena kami sangat menyukainya. Tempat ini memiliki besar kolam renang yang indah, dan staf hotelnya luar biasa pancake pisang yang dapat anda pilih di mana sarapan termasuk dalam daftar commodation anda. kami membayar $40/malam untuk 3 dari kami (2adault 1 anak) Hotel ini juga memiliki sebuah pintu masuk yang luar biasa kembali ke trafficless kembali jalan pintas ke mana yang memberikan tempat yang menarik.",5
15,Melati Cottages,"Melati adalah seperti rumah kedua bagi kami. Kami telah menghabiskan satu bulan di sana tahun ini dan tahun lalu ngengat. Tidak, ini bukan tempat paling mewah di ubud dan ya, wifi kadang-kadang memiliki masalah. Tapi itu hanya menambah pesona dan keaslian dari tempat ini. Melati ini dimiliki oleh orang bali dan ini sangat penting! Uang mengalir ke kantong dari warga eropa, australia atau amerika yang membeli tanah di bali dan menyewa tenaga kerja murah adalah tidak ada yang kami ingin lakukan. Staf di melati menakjubkan, taman indah, kolam renang yang dingin dan bersih, kamar besar dan indah. Tempat ini memancarkan budaya bali! Kami telah ada yang berlatih yoga dan Wantilan adalah tempat magis untuk mempraktekkan yang kami telah pernah datang di. Kami pasti akan datang kembali!",5
16,Melati Cottages,"Melati adalah di lokasi yang besar tepat di bukit dari kota utama dan dekat banyak restoran besar. Staf di melati benar-benar berdiri keluar. Mereka sangat ramah, membantu dan selalu besar anda dengan senyum. Karena ini adalah tempat anda bisa menjalankan bali informasi cara bali hidup dengan melihat persembahan yang dibuat setiap hari dan banyak lagi. Sarapan adalah sederhana dan lezat. Kolam renang yang sangat bagus dan damai pengaturan di hutan.",4
17,Melati Cottages,"Hal terbaik tentang hotel melati yang sangat cantik dan ramah, staf membantu. Sopir, ketut, terutama sangat membantu dan ramah. Kamar kami sangat bagus, jika sedikit kuno. Hotel ini memiliki balkon besar dengan pemandangan taman yang indah di dalam. Kolam renangnya juga bagus dan santai. Saya pikir lokasi yang sangat baik karena itu terselip kembali sedikit dari kegilaan dari ubud, tetapi hanya sepuluh atau lima belas menit berjalan kaki ke pusat kota. Ada beberapa restoran yang baik sangat dekat meskipun. Wifi adalah kelemahan terbesar bagi kami, karena ini sangat membuat frustrasi untuk menggunakan jika bekerja sama sekali. Selain itu. Saya akan merekomendasikan pondok melati.",4
18,Melati Cottages,"Aku selalu datang kembali ke sini ketika saya mengunjungi ubud. Pintu masuk utama adalah melalui jalan (sehingga nyaman untuk pengantaran dan penjemputan) tapi pintu belakang terbuka menghadap sawah yang tenang di mana anda dapat berjalan-jalan di kafe, yoga studio, spa, galeri seni, toko kecil dengan tidak ada mobil. Properti ini adalah benar-benar besar, dengan area taman, dengan tradisional bali memajemukan yang telah ada untuk waktu yang lama dan tidak membobolkan sawahsawah perkembangan baru karena mereka (harap berhenti tinggal di-vila yang memerlukan makanan dan kecantikan dari bali!). Kolam renang adalah begitu menyegarkan dan indah -- Aku bertemu indah orang di sana atau hanya santai di toilet. Wifi di cafe adalah super bagus -- Aku membuat panggilan skype dan melakukan…",5
19,Melati Cottages,"Mendapat kesan tempat ini telah di.atas itu untuk sementara laurcls diberikan popularitas kawasan ubud. Kami tinggal di bangunan serta area resepsionis itu sangat lelah dan di kolam renang bisa telah bersih.   Staf sangat ramah tetapi mari kita turun beberapa kali ketika mereka berkata mereka akan mengetahui tentang rencana kami telah tinggal untuk membuat, tapi besar untuk melakukannya. Tetapi beberapa kali kami digunakan untuk wisata di daerah. Tur ini adalah nilai yang baik dan dia adalah berpengetahuan dan berbicara bahasa inggris yang baik. Namun, dia mengatakan kepada kita ia akan menelepon dan memesan kapal ke nusa Lemgongan untuk kami, tetapi ketika kami sampai di sana, tidak ada pemesanan dan kami menemukan harga yang bisa mencakup penjemputan dan pengantaran dari…",3
20,Melati Cottages,mencintai tempat ini. akan mengunjungi lagi... tinggal di kamar ber-ac. Tidak hanya masalah 8 & 5. adalah koneksi wifi di dalam kamar. Tidak kuat. Apa yang saya benar-benar mencintai berjalan melalui kembali jalan & menikmati kopi dan santai. yang benar-benar cara terbaik untuk destress,5
21,Melati Cottages,"Tempat yang sangat baik untuk pelancong yang menginginkan tempat menginap yang lebih tenang. Taman adalah sangat besar dan terpelihara dengan baik. Kamarnya besar dan bersih, dengan sedikit dusunan bali merasa. Ini adalah hotel untuk keluarga dan pelancong solo yang ingin hanya membaca buku. Stafnya ramah. Koneksi wifi dapat sedikit jauh namun anda dapat menggunakan ini. Akan sangat merekomendasikan tinggal di pondok melati. ",5
22,Melati Cottages,"Aku tinggal di pondok melati ketika penerbangan kami dibatalkan kembali ke australia karena awan abu vulkanik. Staf yang indah dan untuk makanan pembuka kami, aku tidak tahu bagaimana saya telah membuat lebih mudah. Mereka sangat mendukung dan membuat kamar saya jika penerbangan yang dibatalkan lagi. Saya menyukai suasana dan keramahan bali. Besar terima kasih kepada staf untuk menjadi begitu baik dan pemahaman. Aku merasa di rumah dan akan tinggal di sini lagi.",5
23,Melati Cottages,"Saya bepergian dengan keluarga, mereka memesan kamar dari situs web pemesanan online. Kesan pertama adalah benar-benar baik dengan staf yang ramah dan mereka mengatakan kepada saya hampir jika dansanak dan mereka tinggal bersama-sama di sekitar desa memajemukan. Aku merasakan suasana keluarga bali di sini. Tinggi merekomendasikan tempat ini untuk liburan keluarga.",5
24,Melati Cottages,"Kami berada di bali untuk berwisata dengan kelompok tari suci dan berjalan-jalan, dan jadi kami tidak memilih akomodasi kami, tapi kebetulan seorang teman yang telah ke bali berkali-kali dan selalu menginap di melati srempeng tentang sangat baik tempat dan staf. Dan kita tidak bisa setuju lebih banyak! Tinggal di sini selama dua minggu dan akan senang untuk kembali lagi!",5
25,Melati Cottages,"Aku beruntung untuk tinggal di pondok melati banyak kali, yang harus dirakit cukup, namun saat saya menulis ulasan di cove. Melati adalah salah satu tempat akomodasi pertama yang didirikan di dekat ubud di desa penestanan. pesona pedesaan ini dibangun di tengah-tengah pemandangan, taman alami yang memberikan nuansa tradisional berpadu dengan kebutuhan yang diperlukan untuk orang barat modern. Dari 10 hingga 15 menit ' berjalan dari pusat ubud berarti desa ini tenang dan damai dengan hanya suara alam yang muncul dari keheningan.  Ada banyak jalan untuk dinikmati di semua petunjuk sudah di persawahan, hutan, sungai, restoran, seni dan toko pakaian. Fasilitas akomodasi yang, sesuai dengan usia mereka dan lingkungan, dibangun dari kayu dan bambu lokal. Khususnya, pintu depan pola…",5
26,Melati Cottages,"Kami ditebus di udara memberikan setelah satu malam dan datang ke sini - apa yang lega. Bepergian dengan satu anak ini sebenarnya akan dipilih - sulit untuk memiliki remaja dengan anda tapi dia terlalu muda untuk menjadi di ruang yang terpisah di berbagai tempat. Kamar kami sangat besar dan memiliki 2 tempat tidur single dan satu tempat tidur king - lebih dari cukup ruang untuk kita semua. Kamar mandi adalah bersih dan rapi, kamar itu indah. Tidak yakin yang didesain kecil, pintu utama tapi itu indah dan tradisional dan ukiran yang ditambahkan ke pesona. Hotel ini indah.  Staf sangat membantu, terutama karena anak saya tidak baik ketika kami tiba.   Ini adalah hotel yang menakjubkan, tetapi kami menemukan bahwa kolam renang indonesia biasanya memiliki hanya satu hal dan itu…",5
27,Melati Cottages,"Kamar saya memiliki yang sangat besar dengan teras sendiri koi/kolam teratai dan pemandangan sawah. Saya di sana selama dua minggu pra-retreat dan 2 minggu dari retreat (""di taman-""). Sedikit di luar hiruk pikuk ubud yang luar biasa, ada banyak restoran yang sangat baik dan kami menemukan sebuah tempat pijat yang sangat baik. Orang-orang seperti bali -- senyum yang indah, ramah, anggun, ramah. Orang-orang yang tinggal di sini cenderung berkumpul di ""cafe"" area dan mengenal satu sama lain -- atau tidak. Tempat yang indah di tengah-tengah biasa keindahan garden kami diberikan.",5
28,Melati Cottages,"Melati cottages berada di 'desa' dari Penastanan di dekatnya. Ini adalah lebih tua gaya tradisional akomodasi - dengan harga terjangkau. Ini adalah ide saya tempat yang sempurna untuk tinggal di ubud. Anda mendapatkan perasaan berada di seperti tempat yang indah tapi tidak kewalahan oleh merambas turis berkeliaran di jalan-jalan utama dengan toko-toko dan 'bisnis' . jadi jika itu yang anda cari - ini bukan tempat. Kamarnya besar, dengan kipas angin dan ac. Tersedia wifi dan sarapan disajikan di dalam restoran yang menghadap pusat yang benar-benar indah kolam renang besar - cukup lama untuk berenang! Melati adalah mengatur kembali dari jalan sehingga anda merasa seperti anda berada di tempat khusus. Dikelilingi oleh taman dan sawah tapi masih dalam jarak setengah jam berjalan…",4
29,Melati Cottages,Kebanyakan saya tulis berterima kasih kepada staf indah.... tapi melati adalah sangat indah dan damai untuk ditinggali.... semua orang adalah membantu dan membuat anda merasa seperti bagian dari keluarga besar.... lokasinya cantik dan kamar sangat nyaman.... terima kasih dan melihat anda segera!,5
30,Melati Cottages,"Terletak tepat di luar ubud, yang sebenarnya adalah sedikit dari busyness. Namun demikian, anda dapat berjalan kaki ke pusat ubud di sekitar 10-15 menit (atau itu hanya beberapa menit di taksi murah). Ada beberapa kafe dan toko-toko di dekatnya jika anda tidak ingin pergi ke pusat setiap hari.   Kamar bersih, besar dan memiliki nuansa karakter yang cocok dengan baik dengan mengelilingi sawah.   Staf sangat ramah dan murah hati. Sarapan baik. Saya mengatur penjemputan bandara dengan mereka, yang sangat menyenangkan dan nilai yang baik.   Saya memesan saya ke pulau gili transportasi dengan mereka melalui kemudahan dan waktu terbatas untuk mengatasinya di kota. Namun, yang penting ada mark-up... sehingga terbaik untuk buku ini di tempat lain jika anda pergi dengan cara itu.   ",4
31,Melati Cottages,"Pengaturan menakjubkan, staf begitu indah-khas Bali. Kamar pasti tanggal tapi ada pesona tentang mereka. Anda merasa seperti seorang putri di tempat tidur kanopi. Taman yang indah, di padis beras. Jalur dan jalan Cottages yang memikat dan begitu banyak menyenangkan untuk mengeksplorasi. Namun, ada tidak ada lemari es - kejatuhan hanya! Tidak spa, Layanan kamar atau pusat kebugaran-tidak bahwa jenis akomodasi.",4
32,Melati Cottages,"Kami tinggal 5 malam dan benar-benar menikmati tempat. Meskipun terletak tidak terlalu jauh dari jalan-jalan yang sibuk di Ubud, hotel itu sendiri sangat tenang dan santai. Staf ramah. Bagus dan bersih kolam renang di kebun yang indah.  Ruangan itu besar dan bersih, dengan teras yang kami menikmati pemandangan di sawah.  Memilih yang nyata baik jika Anda tinggal di Ubud.",4
33,Melati Cottages,Kami tinggal di sini selama 2 malam dan meskipun pengaturan hotel hanya indah kamar sayangnya sangat rata-rata. Kami tidur sangat apak dan meskipun staf mengubah tempat tidur bagi kita setelah waktu singkat itu bau lagi karena untuk bantal dan kasur yang sangat apak. Lemari adalah sangat apak dan kita bisa tidak menutup pakaian kami di dalamnya. Aku tahu ada kelembaban yang tinggi di Bali tapi hotel lainnya tidak berbau seperti ini. Kamar mandi sangat tua dan lusuh dan adalah yang serius memerlukan pembaruan. Hotel ini sedikit jalan keluar dari Ubud... kami tidak cukup beruntung untuk memiliki mobil seperti aku akan tidak menyukai gelap panjang berjalan menanjak kembali dari kota larut malam. Saya akan merekomendasikan mendapatkan taksi kembali hanya untuk aspek keamanan.…,3
34,Melati Cottages,"memesan di sini karena aku tinggal di bali dan tahu bahwa kamar di sini tampak bagus. Tidak akan pernah repot-repot lagi.  Ketika kami tiba kami menunjukkan untuk ruang keluarga - besar tapi buruk dipertahankan, lusuh dan gelap. Kami memiliki beberapa kantong tapi kita harus membawa mereka diri - pemilik / manager itu tidak tertarik dalam membantu kami.  Sekitar setengah jalan melalui sore kami tenang ukelele orkestra praktek mulai di dalam ruangan di atas kita - besar footstomping musik jika Anda suka bahwa jenis hal... tapi aku tidak. Jadi aku bertanya jika kita dapat mengubah kamar - oh tidak kita penuh adalah jawabannya. Mereka tidak. Aku berjalan di sekitar dan melihat bahwa kamar mencari benar-benar baik dengan ricefield dilihat aku pikir kita masuk ke itu masih kosong -…",1
35,Melati Cottages,"Lokasi bagus di paddy beras, 15 berjalan menit dari pusat kota. restoran di sekitar.   Ruangan yang besar, baik teras. Kamar mandi sudah tidak ada jendela dan benar-benar bau buruk.   Layanan antar-jemput tidak ada dan tidak ada perhatian khusus dari staf.",3
36,Melati Cottages,"Seperti resensi lain, kami mendapat dicuri tak lama sebelum memeriksa.  Kami membuat kesalahan bodoh tidak membawa semua uang kita dengan kami dan meninggalkan kami mata uang Euro dan bernyanyi Dol di ruang dalam salah satu kantong kami.  Jelas menjengkelkan, tempat yang tidak begitu besar dan berhenti pricy.  Itu sudah tidak bagus sebelumnya, tetapi ketika saya faktor EUR 100 kehilangan, rip off... lihat di tempat lain, ada banyak akomodasi lain, mungkin lebih baik.",1
