,hotel,review,stars
0,Mercure Bali Legian,"Kesediaan tempat sampah bisa ditambah, untuk pintu kamar mandi di kamar 329 susah dibuka dan ditutup, untuk makanan bisa ditambah menu indonesia, ditambah sesuatu yang identik dengan bali seperti makanannya.",5
1,Mercure Bali Legian,PENGALAMAN stay yg memyenangkan bersama keluarga  Kamar nya bersih dan nyaman  Restaurant nya bagus  Kolam renang sangat luas  Saya senang dengan pelayanan semua staff dan ibu sussy  Fasilitas nya juga sangat bagus  Hotel dekat drngan pantai,5
2,Mercure Bali Legian,Kamar dapat di lantai5 menghadap ke pool dan belakang hotel. Balcony kurang bersih tapi overall stay sangat menyenangkan. Cuaca bali lagi dingin di bulan5 duduk di area pool lt4 ambiance sangat nyaman untuk duduk di sore hari,5
3,Mercure Bali Legian,"Liburan keluarga, hotel sangat valuable ada 2 kolam renang dan rooftop pool juga. Suasana hidup dan ramai tapii makanan breakfast jadi habis juga. Lokasi hotel dekst ke pantai hanya 5 menit jalan kaki",5
4,Mercure Bali Legian,"Pelayanan bagus, dekat dengan pantai, tapi masih harus diperbaiki yang bocor di depan loby. Jalan parkir juga harus diperlebar agar manuver kendaraan bisa lebih leluasa dalam memarkirkan kendaraaan yang akan parkir.",5
5,Mercure Bali Legian,"Saya menginap 4H3M, so far puas menginap disini, kamarnya bersih, kamar mandinya juga oke, kolam renangnya keren ada 2 dan bersih banget, ga kena matahari jd enak bisa renang kapan aja, anak2 smpe minta renang terus pagi dan sore",5
6,Mercure Bali Legian,"Kamar luas, dekat dengan pusat hiburan/cafe2. minusnya dikamar 372, beberapa kali terdengar suara dentuman yg lumayan keras dr atas, dan setelah dikonfirmasi ternyata diatas kamar sy Gym. lumayan mengganggu. but so far so good. ",5
7,Mercure Bali Legian,"Pertama Kali ke hotel Mercure Legian, saya merasa nyaman dengan fasilitas yg tersedia, menu makan siang sangat enak di nikmati, coffee break good. kondisi kamar hotel good. Recommend banget DECH. 👍👍👍.",5
8,Mercure Bali Legian,"Kamarnya bagus, bersih. Breakfastnya banyak macamnya dan enak rasanya.  Lokasi nya dekat dengan pantai. Staff nya sangat ramah, reception baik. Sussy sangat membantu  Kolam renang ada 2, dangat luas.  Saya akan kembali liburan dengan keluarga.  Terima kasih mercure legian ",5
9,Mercure Bali Legian,"Hotel sangat bagus sekali Nyaman , saya sangat suka dengan suasana nya. Staff sangat ramah dan sopan. Restauran Bagus dan makanan enak.  Reception as sangat ramah.  Kami akan kembali dengan keluarga dan teman ",5
10,Mercure Bali Legian,"secara keseluruhan baik, hotel maupun pelayanan di hotel ini secar keseluruhan juga baik, makanan dan minuman disini enak, kebersihan maupun udara dalam ruangan juga sangat nyaman sehingga membuat kesan yang baik dalam hotel ini",5
