,hotel,review,stars
0,Merthayasa Bungalows,"Ketika saya tiba di hotel, pengurus rumah tangga menyambut saya dan bahkan mengenali nama saya. Mereka fleksibel dalam pembayaran masa tinggal saya ketika saya membayarnya sebelum hari keberangkatan saya. Hanya saja mereka tidak menerima kartu. Secara umum, staf menampung. Sementara kamar yang saya dapatkan adalah murah, kamar sangat terorganisir dan besar itu bernilai uang Anda. Tempat ini juga terletak di hutan Ubud Monkey yang terkenal dan toko-toko lainnya. Saya pasti akan tinggal di sini lagi jika ada kesempatan.",5
1,Merthayasa Bungalows,"Kami menginap di Bungalow Merthayasa. Area kolam renang sangat bagus dan terawat dengan baik. Kamarnya sederhana tapi masih memiliki suasana yang nyaman. Pancuran air panas, wifi di dalam kamar dan area kolam renang dan sarapannya sangat enak. Apa lagi yang anda butuhkan? Oh dan lokasinya sangat dekat dengan semua yang anda butuhkan. Monkeyforrest, pasar Ubud, restoran yang bagus, tempat yoga dan saya bisa pergi. Semua Ubuds banyak menawarkan cukup dengan jalan kaki. Dan jika anda ingin pergi ke tempat yang jauh dari kota atau membutuhkan transportasi lain, mereka sangat membantu.  Saya akan kembali lagi pastinya! Hanya menikmati menginap di sini!",5
2,Merthayasa Bungalows,"Hotel murah baik untuk sarapan bagus nigth. Dapat meningkatkan pembersihan ruangan, dekat dengan hutan monyet, tidak menyediakan sabun atau sampo. Kolam renang yang indah. Bersantai staf yang ramah lingkungan.",4
3,Merthayasa Bungalows,Kami tinggal 3 malam. Hotel tenang yang indah. Sebuah oasis yang tenang di kesibukan dan kebisingan Ubud. Kamar yang tertata dengan baik. Balkon bersih dan bagus untuk duduk di. Kolam renang yang sangat bagus. Sarapan yang baik. Staf yang ramah yang senang untuk membantu menyarankan dan mengatur taksi dll. Menonton seorang raja di sungai di belakang hotel.,5
4,Merthayasa Bungalows,"? TINJAUAN LOKASI: UBER YANG BAIK TERSEDIA: TIDAK! Jadi Anda akan perlu menggunakan sistem taksi mafia di Ubud KEBERSIHAN: 2/10 - dinding basah di kamar saya dan berbau buruk! SARAPAN TERMASUK: Ya JIKA YA, NILAI: LEZAT! KEKUATAN WIFI: 10/10 FRIENDLINESS OF STAFF: Jujur, bahasa Indonesia lainnya, sangat layak. KENYAMANAN TINGKAT: 5/10 FASILITAS BATHROOM / KEBERSIHAN: 5/10 - dasar SETIAP REMARKS YANG LUAR BIASA TENTANG TEMPAT INI: Saya yakin bahwa saya hanya memesan tempat ini untuk area kolam renang, tetapi untuk harga ini, saya bisa mendapatkan jauh lebih baik. Ini adalah tempat dasar untuk harga yang dibayar, saya akan menyarankan mereka menurunkan tarif mereka sampai mereka memperbaiki masalah air mereka. AKAN SAYA TINGGAL DI SINI LAGI? Ummm, tidak. REMARKS LAINNYA: Tidak ada",3
5,Merthayasa Bungalows,"Kamar dasar dengan sarapan di balconey. Kami memiliki satu tempat tidur yang baik dan satu dengan matras yang sangat tipis. Anda mendapatkan apa yang Anda bayar tetapi kolam renang adalah tambahan yang bagus. Transfer dan kapal cepat ke pulau Gili dapat dipesan di sini. Jika Anda menawar sedikit, Anda bisa mendapatkannya untuk 250 000 per orang. Selalu periksa apa yang pemilik mencoba untuk membiarkan Anda membayar. Kami menyewa skuter dan menyepakati 60.000 tapi ada 70.000 pada tagihan. Katakan padanya dan dia akan mengubahnya.",3
6,Merthayasa Bungalows,"Kami tinggal selama satu malam, dan kamar kami adalah ok, tapi kami tidak bisa menemukan kertas toilet atau air mancur di dekatnya. Ruangan itu terlalu kosong, tapi kami tidak bisa meminta lebih banyak untuk tempat yang lebih murah. Tapi kolam renang adalah wifi yang bagus dan cepat. Terbaik untuk tinggal hemat.",3
7,Merthayasa Bungalows,"Kamar yang sangat bagus dan toilet, wifi yang bagus, air panas di kamar mandi. Sarapan di tempat tidur. Staf sangat ramah! Area kolam bagus. Lalu lintas agak keras jika Anda mendapatkan kamar dekat dengan jalan. Anda harus membayar untuk AC tetapi ada kipas angin di kamar.",4
8,Merthayasa Bungalows,Terletak 5 menit dari Monkey Forest - tempat ini memiliki lokasi yang bagus dan dekat pusat kota.   sangat aman dan aman tertutup dengan kolam renang yang indah. sangat membantu pemilik yang akan menyewa skuter Anda dan membantu untuk mengatur tur/shuttle bus biaya jika Anda memerlukan ini.   Kamar sangat bersih. jadi bersih saya mampu untuk berlatih yoga di lantai. Tempat tidur kayu yang dibuat setiap hari saya berlari.   Kamar mandi selalu punya air panas yang tidak terbatas. Saya diberi kertas tissue.   Bungalow dasar dalam hal furnitur dan lampu tetapi Anda memiliki Anda sendiri teras dan mini mart yang berlokasi persis di seberang jalan.   Saya pasti akan menginap di sini lagi!,4
9,Merthayasa Bungalows,"Kami tinggal di sana selama 2 malam, dan itu bukan tempat terbaik.  Beberapa orang yang mengelola hotel tenang kasar, tidak pernah tersenyum, tidak pernah mengatakan halo, mereka selalu mencoba untuk menjual tur atau angkutan yang mahal untuk harga. Tidak membantu tentang apa yang harus dilakukan di sekitar dan tentang harga.  Tempat tidur yang sangat tidak nyaman juga.  Lokasi yang bagus,  Tapi kami tidak akan pernah datang kembali ke sini, karena dari pengalaman yang kasar.  Saya berharap ini akan membantu.",3
