,hotel,review,stars
0,Munduk Moding Plantation Nature Resort & Spa,"Kamar bersih dan nyaman, berada jauh dari kota, sangat sunyi dan tenang. Yang paling saya suka kolam renangnya. Sangat indah dengan pemandangan hamparan bukit, pelayanan ramah, sarapannya enak. Sangat cocok buat yg lg honeymoon.",4
1,Munduk Moding Plantation Nature Resort & Spa,"Kelebihan: kamar nyaman, kamar mandi luas, semua pelayan ramah, view lake dari kamar, bathtub bagus, infinity pool keren  Kekurangan: makanan kurang bervariasi dan ala carte (bukan buffet), lokasi agak susah dicapai karena jalanannya nenanjak dan berkelok, jauh dari tempat wisata",4
2,Munduk Moding Plantation Nature Resort & Spa,"Walaupun lokasi cukup terpencil dan jauh dari manapun, hotel ini sangat cantik. Wajib foto di kolam renangnya dan coba indonesian food mereka. Jika langit cerah, kita bisa melihat pantai utara Bali dari restoran dan kolam mereka.",4
3,Munduk Moding Plantation Nature Resort & Spa,"Datang di sambut dengan senyuman + welcome drink rasa kopi dan jahe yg segar  Dapat free upgrade ke private pool and jacuzzi   Infinity view pool yang luar biasa indah pemandangannya  Makanan sdh cukup enak  Kopi luwak nya luar biasa mantapppp  Villa dgn nuansa natural, view hutan dan lautan dari kejauhan, berendam di jacuzzi nuansa alam terasa beda banget  Foto2 sambil minum kopi luwak pengalaman yang tak terlupakan",5
4,Munduk Moding Plantation Nature Resort & Spa,"Saya stay di munduk moding pada akhir bulan oktober. Lokasi hotel di daerah terpencil, melewati jalan berbatu.. Tetapi begitu memasuki area hotel disungguhi area yang teduh rimbun banyak pohon.. Pemandangan nya luar biasa... Apalagi di infinity pool nya bagus banget.. Tetapi sayang nya air kolam renang nya dingin, apalagi menjelang sore hari, terdapat pula jacuzzi air hangat, tetapi air nya kurang panas. Saya tinggal di Garden Villa, villa nya bagus bersih dan luas, tetapi banyak sekali lalat di sekitar area hotel sampai masuk ke kamar,  sangat menganggu, kata pegawai hotel karena sekitar nya pada musim panen sayur. Breakfast sangat mengecewakan untuk ukuran hotel dengan harga diatas 2 juta, cuma ala carte dengan 2 pilihan, porsi kecil dan tidak bisa menambah lagi. Tetapi…",5
5,Munduk Moding Plantation Nature Resort & Spa,"Munduk dan bulan madu adalah kombinasi paling PAS.   Letaknya diperkebunan kopi membuat suasana romantis tercipta dengan sendirinya sejak menginjakkan kaki pertama di kawasan ini. Mereka hanya punya beberapa kamar, maka dari itu tempat ini terasa sekali privatenya. Meski jauh dari keramaian, tapi saya rasa yang menginap di Munduk memang sedang tak butuh keramaian lain.  Infinity poolnya luar biasa. Berenang sembari melihat samudra terbentang luas... wonderful moment!!  Keren untuk bulan madu atau menghabiskan waktu bersama orang-orang tercinta. Mereka juga menyediakan aktifitas outdoor untuk keluarga.   ps. restorannya memiliki list menu yang enak enak dan spanya... hm.. worth to try!!",5
6,Munduk Moding Plantation Nature Resort & Spa,"Kami menghabiskan 2 malam di MMP pada bulan Juli 2013. Awalnya kami sedikit kecewa karena meninggalkan area pesisir Lovina yang cerah dan hangat Lovina dan tiba di pegunungan Munduk yang berkabut dan gerimis. Namun di MMP kami disambut dengan senyuman, karangan bunga dan minuman selamat datang serta – saat kami tiba sebelum waktu check-in - kami diajak berkeliling dalam tur gratis di sekitar perkebunan terlebih dahulu. Pemandunya baik tapi jalannya cukup licin dan perkebunannya tampak sedikit tidak terurus di daerah yang jauh dari vila dan dari bangunan utama. Kami juga melihat sebuah lapangan tenis yang lebih mirip lapangan parkir dan tidak terawat.  Setelah tur, kami dibawa ke vila kami (satu untuk orang dewasa dan satu lagi untuk dua orang anak kami). Vilanya bagus: luas,…",4
7,Munduk Moding Plantation Nature Resort & Spa,"Dikunjungi dengan keluarga saya. Kami telah tinggal di suite keluarga untuk malam dan di villa taman untuk malam. Kami memiliki suite waktu there.Family sangat baik akan lebih baik jika Anda bepergian dengan anak-anak muda. Saya punya satu bulan 3 tahun dan 8 tahun bepergian dengan kami. Hotel ini menyambut anak-anak. Anak saya memiliki sebuah pondok bayi kokoh, restaraunt membuat burbur biasa pada permintaan. Ada bagian anak-anak yang layak di perpustakaan kecil. Itu terus gadis saya terisi sementara kita bisa bersantai family suite well.The memiliki pandangan yang terbaik. Infinity kolam besar tapi sangat dingin untuk berenang. Mereka bekerja pada menambahkan jaccuzi dan pemanas kolam renang. Harus mengagumkan itu .. Bak mandi adalah yang terbaik yang saya lihat di seluruh…",5
8,Munduk Moding Plantation Nature Resort & Spa,"Kami berencana untuk liburan 6 malam terdiri atas 8 anak-anak dan 6 dari mereka kembar, dan kami pergi mengunjungi Bali. Kami datang dari Mengwi sebelum makan siang dan kami harus menunggu kamar Family Sky kami siap. Ada 2 kamar besar disana dan balkon yang sangat besar tepat berada di atas restoran (tidak ada makanan untuk anak-anak namun pilihannya banyak, terutama jika kalian bukan penyuka berbagai makanan seperti kami), lalu ada pemandangan ke arah kolam renang, gunung dan laut. Sangat-sangat indah. Makanannya juga enak dan harganya masuk akal. Kamarnya juga tertata rapi dengan masih banyak ruang kosong disana. Namun, sepertinya kamar ini masih perlu perbaikan disana-sini, terutama di kamar mandi (seperti pancuran air, langit-langit dan catnya serta lainnya). Tidak…",5
9,Munduk Moding Plantation Nature Resort & Spa,"Tempat ini spesial. . . tidak hanya hotel / pemandangannya menakjubkan, tetapi stafnya juga luar biasa. Mereka telah memikirkan segalanya dan fokus pada setiap aspek pengalaman Anda.  Staf hotel mereka tahu kami dengan nama depan dan pergi di atas dan di luar setiap hari - luar biasa.  Jika Anda datang ke Bali - Anda HARUS tinggal di sini.",5
