,hotel,review,stars
0,New Pondok Sara Villa,"Meskipun staf sangat indah dan vila-vila berjalan kaki singkat ke jalan ganda 6, villa ini adalah 2. Bintang 5 terbaik. Jelas bukan bintang 4 yang diiklankan. Kami membayar sekitar $ 300 AUD per malam untuk villa 2 br untuk 5 malam dan jelas tidak sepadan. Linen berwarna abu-abu, tipis, bernoda dan sobek. Handuk itu lebih seperti kain. Semua sobek dan abu-abu. Tempat tidur tidak nyaman. Segel kulkas berjamur dan rapuh karena itu tidak berfungsi sama sekali. Sarapan termasuk tetapi memuaskan di terbaik. Mereka perlu memilah-milah menu mereka (misalnya roti panggang Perancis adalah roti panggang keju??) Vila-vila ini membutuhkan banyak pekerjaan. Sama sekali tidak akan merekomendasikan sama sekali. Banyak orang lain untuk dipilih.",1
1,New Pondok Sara Villa,"Ini adalah tempat yang bagus untuk villa yang terjangkau, terawat dan dikelola dengan baik di lokasi yang baik. Layanan yang sangat ramah dan efisien.  Saya sudah tinggal di banyak villa di Bali di semua titik harga. Ini hits di atas nilainya. Taman rimbun yang indah, dekorasi berselera tinggi, terawat dengan baik dan sebuah oasis di Seminyak yang sibuk.  Ruang taman / kolam renang di sekitar vila agak sempit tetapi sepenuhnya tertutup tanaman hijau sehingga terasa seperti di taman pribadi. Sudah selesai dilakukan dengan baik.  Saya akan kembali.",5
2,New Pondok Sara Villa,"Memesan ini selama empat hari pada bulan Agustus 2019. Hotel mengirim mobil untuk menjemput kami dari bandara dan meskipun tidak tiba sampai tengah malam ada seseorang di sana untuk memeriksa kami dan menunjukkan kami ke kamar kami, Ruangan itu sendiri fantastis - kamar mandi besar dengan bak mandi besar dan pancuran hujan, kamar tidur yang sangat nyaman dan ruang duduk luar yang indah dan kolam renang pribadi. Lokasi hotel ini cukup jauh dari jalan utama untuk tidak terganggu oleh kebisingan di malam hari tapi kemudian 2 menit berjalan kaki ke jalan utama dan 5 menit berjalan kaki ke pantai. Hotel juga memiliki kolam renang umum yang terpisah untuk para tamu. Secara keseluruhan tidak bisa lebih bahagia dan pasti akan merekomendasikan kepada siapa pun yang menginginkan tempat…",5
3,New Pondok Sara Villa,New Pondok Sara Villa dekat dengan tempat makan dan berbelanja. Ini sangat tenang dan damai dan stafnya tidak mengganggu. Putri saya dan saya telah tinggal di sini dua kali dan akan memesan lagi untuk Februari 2020.,4
4,New Pondok Sara Villa,"Villa terletak di lokasi yang lebih tenang. Tidak ada pantai & 66 pantai bukan yang terbersih jika Anda setelah satu. WiFi buruk. Saya lebih suka resor depan pantai waktu berikutnya saya kira Jika Anda ingin mengalami liburan pantai yang tepat, Anda akan lebih baik di pantai Jimbaran atau Nusa Dua",3
5,New Pondok Sara Villa,Tidak pernah tinggal di Seminyak sebelum atau di Villa dan mulai sekarang akan tinggal di apa-apa selain. Sarapan setiap hari diantarkan ke kamar Anda. Pancuran outdoor dan bathtub besar sangat cocok untuk pasangan yang menginap di sini. Mitra NY dan saya pasti akan kembali,5
6,New Pondok Sara Villa,"Saya menutup perjalanan saya di Bali di sini. Sementara saya berharap saya telah memperpanjang di Canggu dalam pengaturan yang lebih mewah, Pondok Sara Villas Baru sesuai dengan tagihan untuk apa yang saya butuhkan untuk satu malam menginap dan bangun pagi ke bandara keesokan paginya.  Saya suka bagaimana ada pintu masuk pribadi dari trotoar utama dan ""villa"" terletak dengan baik dengan area tempat duduk outdoor di tepi kolam renang, tetapi ruangan itu hampir tidak mengesankan. Putus asa untuk makan di check - in setelah hari yang panjang perjalanan (dan berjalan ke kota itu menipu panjang) dan pengiriman kamar baik - baik saja di terbaik.  Kamar mandi terbuka secara teori bagus tapi ternyata membawa suara berat ke ruang utama. Kolam itu tidak mengesankan dibandingkan dengan…",3
7,New Pondok Sara Villa,"Kami tinggal di sini minggu lalu, tidak akan merekomendasikan untuk harga. Handuk sudah tua dan tidak mengeringkan Anda Sarapannya mengerikan dan dingin Seprai kotor Kami harus menelepon penerimaan untuk meminta kertas toilet bilah tidak buka sampai jam 1 siang Juga di dek tempat kolam itu berada, aku memindahkan kursi santai dan ada paku yang mencuat dan papan patah positif ada di lokasi yang baik",3
8,New Pondok Sara Villa,"Saya akan memulai ulasan dengan positif dengan mengatakan bahwa stafnya baik.  Secara keseluruhan tidak tinggal di sini. Tua dan benar-benar rusak. Kami telah tinggal di Bali beberapa kali dan untuk harga yang kami bayarkan di sini sama sekali tidak sepadan.   1. Keselamatan - bahkan tidak berpikir untuk membawa anak-anak ke sini. Penghias kolam sangat lari ke bawah sehingga menangkap kaki Anda ketika Anda berjalan dan memiliki beberapa kuku berkarat mencuat. Jadi, kecuali Anda siap untuk memiliki pembaruan tetanus, Anda harus berhati-hati.   2. AC nyaris tidak bekerja   3. Kolam itu kotor dan ubin semua jatuh.   4. Air panas adalah masalah. Itu tidak bekerja selama 2 hari. Setelah diperbaiki itu dimatikan dan dihidupkan.   5. Berteriak pukul 6 pagi dari sekitar penerimaan…",1
9,New Pondok Sara Villa,"Kami tinggal di villa pribadi 1 kamar tidur dengan kolam renang mulai November 2018 di NPSV. Saya tidak yakin mengapa mereka menyebutnya 'Baru' Pondok Sara Villas, karena tampaknya mereka lebih tua dan sekarang menunjukkan beberapa kelelahan & keausan. Staf yang sangat membantu, ramah dan penuh perhatian untuk setiap masalah (kami memiliki atap yang menetes di area dapur, yang karena keabadian bangunan, saya khawatir itu masalah - namun, staf cepat untuk menyelidiki masalah dan memperbaiki masalah dengan senyum.Pembersihan vila untuk standar saya bukanlah yang terbaik, jendela yang melihat dari tempat tidur di atas kolam adalah kotor & jelas itu tidak pernah melihat untuk beberapa waktu karena ada tirai di atasnya. Kamar mandi sangat tua dan lelah mencari, dengan noda di ubin,…",4
10,New Pondok Sara Villa,Vila lokasi yang bagus. . . . Bisa berjalan ganda enam pantai. Villas dirancang vila kolam renang klasik dan bagus. Perlu membersihkan Jendela dari kamar tidur untuk melihat kolam renang. . . Untuk kotor. Saya memesan email langsung dan itu bagus untuk memberi saya 30 menit untuk kembali pijat. Saya suka itu. Saya berharap renovasi dan membersihkan vila-vila lainnya. . Itu saja.,4
11,New Pondok Sara Villa,"Memesan untuk 4 malam di Agustus 2018. Saya telah mengatur dengan resor untuk penjemputan di bandara untuk 4 orang yang kami biaya sekitar $ 25 AUD. Proses check in sangat lancar dan kami ditawari minuman selamat datang dan kemudian ditunjukkan ke villa kami. Kami memiliki tempat tidur ukuran raja nyaman yang indah dengan kolam renang kita sendiri. Fasilitas dapur tersedia dengan kulkas ekstra besar yang sangat bagus karena dapat menyimpan di atas air. Sarapan harian sangat besar. Hampir setiap hari saya tidak bisa menyelesaikan semuanya. Staf yang sangat ramah dan membantu. Layanan kamar sangat efisien & makanan baik-baik saja. Saya hanya berharap ada kolam rel untuk masuk dan keluar dari kolam renang, jika tidak tempat yang indah untuk tinggal.",4
12,New Pondok Sara Villa,"Saya sudah mengunjungi Bali berkali-kali, tapi kali ini kami memutuskan untuk mencoba pengalaman menginap kami di Villa. Pondok Sara memiliki semua yang kami inginkan. Akomodasi yang sangat standar yang sangat tinggi, Vila ini memiliki semua yang kami butuhkan, termasuk sebuah dapur. Staf yang selalu membantu dan senang, lokasinya sangat bagus juga. Hanya berjalan kaki dan kecil kami berada di jantung pusat perbelanjaan dan restoran. Kami berbagi 3 vila dengan 1 kamar tidur, banyak kamar, kolam renang yang bagus untuk diri kita sendiri serta penggunaan kolam renang resor. Kami pasti akan kembali lagi.",5
13,New Pondok Sara Villa,"Vila yang indah dan witj staf yang ramah. Mereka menyiapkan kue kecil karena ini adalah hari ulang tahun saya. Kamarnya bersih, kolam renangnya juga bersih walaupun ada tanda-tanda yang menunjukkan bahwa properti telah usang. Satu-satunya masalah yang kami alami adalah ketika kami tidak bisa menemukan udara - remote AC karena udara ruangan tidak benar-benar - dingin. Kami menelepon resepsionis dan mereka membantu. Dan sarapan juga kurang variasi untuk dipilih. tapi secara keseluruhan saya senang bahwa saya memilih untuk menginap di properti ini.",4
14,New Pondok Sara Villa,"Lokasi yang bagus, sangat tenang namun hanya beberapa langkah dari toko-toko, restoran dan pantai.  Saya menginap di 2 kamar tidur villa yang benar-benar bagus: kolam renang yang bagus, kamar mandi terbuka dua dan semua yang anda butuhkan untuk kunjungan singkat dan tinggal lama.  Sarapannya enak dan diantar langsung ke villa anda, seperti urutan apa pun dari menu mereka.  Layanan yang sangat bagus. untuk menjadi villa tidak tersedia di malam pertama. Kami menawarkan dua terhubung 1 villa sebagai gantinya.  Secara keseluruhan, pengalaman yang bagus dan kami pasti akan kembali ke sini lagi.",5
15,New Pondok Sara Villa,"Ini adalah kunjungan saya yang ke 2 kalinya menginap di Villa ini. Beberapa alasan saya memilih villa ini adalah 1 ) adalah sekitar 2 - 3 menit berjalan kaki dari jalan utama Double - Enam jalan utama dan tenang. 2 ) juga dekat dengan supermarket Bintang bagi saya untuk membeli beberapa toko karena saya ingin memasak beberapa kali saya makan. 3 ) dan tentu saja, saya menikmati waktu saya selama saya menginap terakhir.  Salah satu masalah besar kali ini adalah suara bising. Ada beberapa jenis pekerjaan konstruksi di dekatnya dan ada drillings, meskipun tidak di sepanjang hari. Gangguan yang lebih besar adalah 1 atau lebih ayam jantan berkokok sepanjang hari. . . dan malam hari. Ada kalanya bahwa ayam berkokok berdarah adalah pada jam 3 pagi. Ini adalah poin negatif saya besar…",4
16,New Pondok Sara Villa,"Sedikit usang tapi hey, anda mendapatkan apa yang anda bayar dan ini adalah harga yang murah. Para stafnya luar biasa dan untuk membantu untuk membuat pengalaman menginap anda yang berharga. Makanannya enak dan minumannya terlalu mahal. Kami sangat menikmati waktu bersantai di sini dan menemukan itu di posisi yang sempurna untuk pijat, pusat perbelanjaan, dan restoran yang bagus murah. Apa lagi yang bisa anda minta untuk! Terima kasih anda untuk mencari setelah kami.",5
17,New Pondok Sara Villa,Tempat yang indah vila yang luas dengan kolam renang kami sendiri. Kamar mandi yang indah yang sangat besar. Pusat pantai utama Seminyak. Kolam renang utama dan area bar kurang memiliki getaran meskipun dan perabotan yang membutuhkan perbaikan. Secara keseluruhan nilai yang baik untuk uang.,4
18,New Pondok Sara Villa,"Dengan Baik. Bali untuk cinta, kami tiba di bersahaja Balagnese Beranda untuk penerimaan, yang saya pikir sangat aneh teman saya memesan kami ke tempat sampah! Sedikit yang saya tahu bahwa kami memiliki villa pribadi dengan kolam renang sendiri! Maksud saya saya bisa mengajak seluruh Bali untuk sebuah pesta kolam renang di Villa pribadi saya dengan halaman dan sarapan yang luar biasa setiap hari di teras.   Kamarnya sangat menyegarkan! Lokasi ini secara harfiah 10 menit berjalan kaki ke pantai dan restoran yang bagus! Dan pasar sepanjang jalan ke pantai! Saya akan tinggal di sini lagi untuk nilai untuk uang dan priximity Objek Wisata di Bali.   Satu thinng pembaca harus adalah minuman beralkohol yang sangat tinggi di Bali! mahal! Anda dapat membeli di toko bebas pajak dan tidak…",5
19,New Pondok Sara Villa,"Saya tidak ada tapi memuji & terima kasih untuk memberikan staf di pondok Sara Villa selama 3 malam menginap membuat kami begitu mudah, nyaman dan tenteram. Vila ini melebihi harapan kita, begitu damai dan santai. Kolam renang pribadi Villa ini dijual kepada kami dan tidak mengecewakan. Kamar mandi memiliki mandi udara terbuka dengan spa seperti merasa. Tempat tidur yang sangat nyaman, kami memiliki yang terbaik tidur. Anda memilih Anda sarapan di malam hari & itu dibawa ke villa anda setiap pagi. Bintang ember juga sangat murah. Secara keseluruhan adalah pemenang bagi kita.",5
20,New Pondok Sara Villa,"Kami memiliki tinggal yang fantastis di tempat ini. Kami memiliki satu masalah selama kami tinggal dengan menggunakan pompa kolam yang mengenakan keluar tapi staf beres ini segera, layanan besar. Villa bagus dan sangat berbeda dari rumah bagi kita, dalam ruangan/luar ruangan sangat hidup, hanya apa yang Anda meminta ketika berlibur. Disebutkan secara khusus untuk Dawar yang menjalankan bar dan layanan kamar dan Eka yang berada di meja resepsionis dan mengatasi masalah kolam renang bersama dengan manajer. Lokasi dekat dengan pantai, toko-toko, restoran dll sangat bagus namun cukup jauh untuk memiliki gang kami mencari damai dan tenang. Sangat direkomendasikan dan akan menjadi pilihan pertama kami ketika kami kembali.",5
21,New Pondok Sara Villa,"3 rd waktu kami ke Bali dan kami telah tinggal di Double Six, cabai dan kali ini baru Pondok Sara. Lokasi adalah fantastis. 10 menit berjalan kaki ke pantai double six dan 5 menit untuk Sicilia Spa (Pijat $10! ). Bintang supermarket adalah 15 menit berjalan kaki yang. Villa diri sedikit kuno tetapi memiliki semua yang Anda butuhkan. Kami berada di 2 tempat tidur vila kolam renang dan tidak bisa kesalahan sama sekali. Kedua kamar berpendingin ruangan, tempat tidur yang sangat nyaman dan bersih, kamar mandi yang baik dengan air mancur yang memiliki pancuran air dan bak mandi yang sangat besar. Sarapan (disampaikan ke kamar Anda) dan Wifi disertakan. Kolam renang Utama dengan bar serta menu yang ada (tidak duduk restoran) di villa sampai 11 PM yang luar biasa untuk anak-anak yang…",5
22,New Pondok Sara Villa,terletak sangat baik.  Kami sangat senang untuk menginap di vila ini. Kami memiliki kolam renang pribadi yang kita tidak pernah digunakan karena air yang cukup dingin. Tapi kami sangat senang. Kami merasa sangat santai di hari yang kami menghabiskan di sini. Oleh karena itu kami benar-benar dapat merekomendasikan hotel ini untuk semua dari anda!   PS. Staf yang sangat baik ,5
23,New Pondok Sara Villa,"Apa vila yang indah, langsung dari keluar dari kamar tidur dan kolam renang, untuk sarapan yang disajikan di kamar Anda yang nyaman. Tenang dan romantis memang.   Kolam renang yang bersih dan terawat dengan baik. Kamar memiliki semua fasilitas yang Anda butuhkan untuk Anda menginap.   Selain dari suara yang dapat didengar di ruang tamu dari kamar lain. Saya dan suami saya benar-benar tidak ada masalah dengan tinggal di sini.   Staf sangat bersemangat untuk melayani kebutuhan Anda.   Di kamar mandi perlu menyebutkan.   Kami menelepon untuk layanan pijat di dalam kamar yang sangat terjangkau dan bagus.   Kami menikmati kami 2 malam menginap. Dan pasti akan datang kembali ke pondok.",5
24,New Pondok Sara Villa,"Pertama Kali Menginap di Villa ini dan kami menyukainya. Kamar besar, tata letak yang besar dan lokasi yang baik. Sarapan adalah sedikit hit dan Miss tetapi staf sangat baik dan membantu, vila itu sendiri bersih dan pasti akan tinggal di sini lagi.",4
25,New Pondok Sara Villa,"Kami tinggal selama 7 malam di sebuah 2 kamar tidur vila, kami tiba terlambat sehingga tidak melihat banyak tapi ketika kami bangun lingkungan kita indah, kolam renang ukuran yang layak. tempat tidur dan kamar mandi yang sangat bersih. AC bekerja yang memperlakukan dan ruang yang cukup untuk 4 orang dewasa untuk menikmati. Sarapan yang baik tetapi tidak besar porsi yang sangat segar. TV di setiap kamar membuat malam yang santai dan bagus untuk bersantai. Lokasi adalah luar biasa 4 menit berjalan kaki ke pantai double six dan murah taksi di mana-mana. Akan sangat merekomendasikan ",4
26,New Pondok Sara Villa,"Kami menikmati masa menginap kami di sini! Lokasi yang besar ruang tamu dan dapur, yang adalah tepat di samping kolam renang mini. begitu juga kamar mandi dan berpakaian! Mereka melayani sarapan di pintu dan mereka punya sarapan indah presentasi. Satu-satunya sisi adalah ada kecoak di hari 1 ketika kami pertama kali tiba dan pengering rambut terlalu tenang, itu dapat membawa Anda 1 - 2 jam untuk mengeringkan rambut Anda.",4
27,New Pondok Sara Villa,"Single private villa dengan kolam renang, staf yang semua sopan dan bekerja keras untuk menjaga properti ini, taman dilayani dengan baik, kamar tidur kami atas tampak kolam renang, ruang tamu outdoor, hari tempat tidur di atas kepala penggemar (AC di kamar tidur yang indah,,) kamar mandi yang bagus luas ruang ganti baju, berdiri batu besar dan pancuran yang terpisah. wanita di resepsionis menyenangkan, akan membantu. Sarapan terbatas tapi untuk vegans pasti tidak masalah. Tidak bisa menunggu untuk kembali<3",5
28,New Pondok Sara Villa,"Tinggal di sini dengan pasangan saya untuk 4 malam di akhir perjalanan kami di seluruh Asia. Kami mulai khawatir dengan semua ulasan negatif di sini, jadi aku diemail hotel dan mereka meyakinkan saya bahwa mereka tidak seperti yang dijelaskan pada ulasan dan jadi kami sedikit lebih mudah. Pada saat kedatangan staf yang ramah dan tetap ramah selama kami tinggal. Villa adalah indah dan bersih, sarapan disajikan di kamar setiap pagi, kolam renang adalah dibersihkan, handuk, kamar mandi yang bagus. Saya tidak bisa kesalahan tempat. Bahkan memiliki setidaknya 10 saluran film dalam bahasa Inggris yang menyentuh, ranjang super AC bekerja, memiliki pengering rambut yang baik dan ruang ganti baju, jubah dan sandal yang disediakan. Kolam renang kami adalah saat kami sampai di rumah salah…",5
29,New Pondok Sara Villa,"Pertama Plus - 10 menit dari pantai dan lokasi yang bagus - di gang tenang - staf yang luar biasa - sarapan yang baik.  Kolam Renang Villa menunjukkan ini adalah usia. Papan lantai yang sangat tidak merata dan keriting di ujungnya. Villa adalah tidak bersih. Ketika kolam renang lampu di malam hari, Anda bisa melihat berenang di air mengendap. Kami meminta untuk membersihkan kolam renang, tapi sedikit perbaikan. Wifi cakupan. Saluran TV yang kebanyakan diblokir. Dari banyak kunjungan ke Bali, vila ini pengecualian ke kondisi normal yang kami datang untuk mengharapkan.",2
