,hotel,review,stars
0,Nick's Homestay,"Saya sudah tinggal di Nick's Homestay cukup banyak setiap kali saya di Ubud (sering) sejak 2009. Seperti halnya homestay lain di kota pada titik harga ini, ada beberapa keluhan kecil. Bersedia membayar $ 10 lebih banyak jika Anda mengharapkan lebih banyak. Tetapi Anda tidak akan menemukan taman yang lebih menyenangkan di kota, jauh dari kebisingan jalanan. Saya seorang musafir anggaran, dan Nick's cocok untukku. Ini bukan benar-benar tempat sosial, cari hostel atau kolam untuk adegan itu.  Mengatasi beberapa masalah sebelumnya: Wi-Fi di Nick USED menjadi mengerikan. Saya harus tahu, saya bekerja online saat saya bepergian. Tetapi sekarang sangat fungsional. Mereka mungkin telah melakukan sesuatu untuk meningkatkan konektivitas; Saya menikmati kecepatan jauh lebih cepat daripada…",4
1,Nick's Homestay,"Pergi ke Ubud untuk menemui beberapa teman yang tinggal di tempat lain dan sudah penuh dipesan. Temukan Nick's Homestay. Harga murah dan tempat peristirahatan yang damai di pusat Ubud yang ramai. Dekat dengan Monkey Forest dan semua bar, restoran, dan toko. Staf indah dan sarapan termasuk dan disajikan di teras. Manis.",5
2,Nick's Homestay,"Berisik, Bengis dengan semua binatang di kandang melakukan banyak kebisingan yang mencoba untuk melarikan diri dari perhambaan itu, hanya 1 Sabun untuk 2, hanya 1 handuk untuk setiap 1 minggu. Kami harus meminta untuk mengganti Sprei dan handuk baru. Ketika kami tiba kami satu-satunya tamu dan kami diberi sebuah kamar di lantai 2 nd. Di hari yang sama mereka mulai pengeboran tepat di bawah kami. Di seluruh hotel di kamar! Hotel ini sangat indah dan area umum tetapi ketika diminta untuk mendapatkan sarapan kami di sana kami diberitahu bahwa itu mungkin hanya di kamar kami. Sarapan yang sama untuk seluruh tinggal meskipun kami telah diberitahu kami memiliki pilihan",2
3,Nick's Homestay,"Kami telah tinggal di sini di nick yang luar biasa. Taman yang Indah, Pondok luar biasa, lokasi yang sangat baik. Sementara itu terlihat dari jalan utama dan Monkey Forest, Anda bisa santai di sana di 5 menit, setelah melewati berbagai tempat makan dan toko perbelanjaan.  Staf yang sangat ramah dan membantu.  Taman-taman indah, banyak burung dan ikan di properti untuk mengatakan halo untuk anak anak juga.  Saya sangat merekomendasikan hotel ini untuk siapa pun yang mengunjungi. Tempat ini adalah harta karun di Ubud. Terletak tepat di jantung pegunungan Desa ",4
4,Nick's Homestay,"Kamar bersih, memiliki kipas angin dan kamar mandi dalam.  Staf sangat membantu dan baik. Anda dapat memesan melalui mereka semua.  Taman yang terawat dengan baik dan indah.  ini adalah jauh dari jalan yang sibuk tapi dekat dengan transportasi masuk dan keluar dari Ubud.",5
5,Nick's Homestay,"Kami menghabiskan tiga bulan di nick's homestay dua tahun yang lalu, dan tidak ragu untuk kembali ke tempat yang sama untuk tiga bulan sebagai bagian dari liburan musim dingin kami dari adelaide. Sekarang kita lanjutkan untuk menyanyikan pujian itu. Ini adalah sebuah penginapan, tidak 5 hotel bintang, tetapi kamar sangat nyaman dan lapang; kipas angin dan ac yang tersedia, teh menunggu kami ketika kami mulai populer, banyak sarapan yang dikirim ke beranda kami setiap hari, staf yang menyenangkan dan efisien, rumput dan taman yang terlihat baik, terletak di pusat ubud, wifi gratis.",5
6,Nick's Homestay,"Ya, tempat ini adalah dingin jika anda ingin membayar 10 euro untuk merasa seperti tidur di tengah hutan. Sebenarnya. Saya, dan itu sedikit mengganggu. Kepala pancuran yang rusak, pada dasarnya penyemprotan air di mana-mana, dan wifi tidak bekerja di kamar saya jadi saya menawarkan untuk duduk di kabin yang lain dari pada yang lain untuk menggunakan beton, buruk dan tidak aman. Tempat tidur nyaman setidaknya. Kami akan check out setelah satu malam. Kesimpulan anda pada dasarnya membayar di luar di bagian belakang untuk membayar untuk taman. ",3
7,Nick's Homestay,"Well, cukup kecewa - Saya tidak pilih-pilih sama sekali dan tempat ini cukup mengagumkan, tetapi ini adalah hal-hal dasar yang kurang:   * tidak bisa tidur: di 7am 5am ke para tetangga ayam pergi gila dan bangun semua orang sampai. Tidak ada kesempatan untuk tidur di.  * tidak ada wifi: Saya harus keluar dari kamar saya untuk menggunakan wifi. Sinyal sangat buruk.  * tidak ada cahaya: Kamar utama cukup gelap, lampu tidak bekerja.  * tidak ada air hangat  Untuk harga anda dapat melakukan jauh lebih baik di ubud. Staf bagus - beberapa dari mereka berbicara bahasa inggris. Mereka tampak comcerned tentang keluhan saya. Sarapan yang baik. ",2
8,Nick's Homestay,"Positif: Kamar bersih, yang hanya merapikan setiap hari! Sebagian besar staf yang ramah dan siap membantu benar-benar ada Lokasi adalah titik di Teh menunggu di luar pintu anda setiap pagi, dan kemudian ada pilihan sarapan dasar jika anda ingin (biasanya buah semacam & telur)  Hal Negatif: Wi-fi tidak bebas yang hebat, meskipun yang diiklankan sebagai tersedia Ac biaya tambahan (meskipun ini adalah standar di area khusus) Banyak burung-burung di sangkar di halaman, yang dapat bising di pagi hari",3
9,Nick's Homestay,"Ramah bahagia homestay adalah nilai untuk uang homestay di ubud untuk masa menginap yang nyaman. Taman yang tenang dan suara alam yang damai perlindunganny di ubud. Dan setelah tinggal di banyak tempat di ubud, tidak benar-benar mengganggu suara ayam, burung dan kupu-kupu hanya! Kembali untuk kedua kalinya, itu seperti pulang ke rumah ketika kembali kami disambut dengan senyum besar. Terima kasih untuk menginap :) ",5
