,hotel,review,stars
0,Nyoman Karsa Bungalows,"Saya bersenang-senang di sana. Saya dapat mengakses ke mana-mana dengan mudah, terutama gudang yoga. Staf sangat membantu dan ramah.  Saya memiliki masalah transportasi tetapi mereka memberikan beberapa penawaran khusus dan waktu yang sangat indah. Saya ingin tinggal di sana lagi.   4 ???????????????????????????????????????????????????????? ??????????????????????  ???????????????????????????? ?????????????????????????????????????????????????????????? ????????????????????? 4 ?????????????????????????? ????????????????????????????????????????????  ???????????????????????????????",4
1,Nyoman Karsa Bungalows,"Staf terburuk dan keterampilan manajemen mereka. Kami memesan 2 kamar hotel ini tetapi mereka memberikan kamar kami kepada orang lain. Mereka meminta kami untuk pergi ke hotel mereka yang lain yang merupakan rumah Lili. Kami ingin tinggal di sini hanya karena kami memesan kamar karena dekat dengan jalan utama dan memiliki begitu banyak tempat di sekitar area itu. Staf itu jauh kasar, dan menyesal. Kami melakukan perjalanan sekitar 8 - 12 jam kemudian mencapai ubud dari bandara dalam 2 jam lagi, kami semua lelah dan ingin pergi ke kamar kami secepatnya dan kemudian kami mendapat kabar baik bahwa mereka menipu kami. Sekali ini juga tidak ada yang mengucapkan sepatah kata pun maaf atau merasakan sesuatu seperti itu. Kami telah melakukan Pembayaran online, jadi kami  telah setuju…",1
2,Nyoman Karsa Bungalows,"Saya membenci setiap detik yang saya menginap di sini. Pertama, mereka satu setengah jam terlambat menjemput saya di bandara. Kedua, kamar ini kosong dan ada fasilitas nol. Tidak ada teko kopi, tidak ada pengering rambut, botol sampo sudah retak saya dan bocor di seluruh bak mandi, wastafel yang menggantung dari dinding, tidak ada kotak keamanan, pintu memiliki celah di dalamnya sehingga serangga yang masuk ke kamar saya sepanjang waktu saya menginap. Ketika saya tiba, tv tidak berfungsi, ada lampu bohlam keluar, dan kulkas mini. Hal yang harus check in sebelum tamu tiba. Saya membayar untuk "" "" dan pemandangan sawah patty tidak memiliki pemandangan yang. Sarapan kecil dan anda harus memesan di malam sebelumnya dan memberitahu mereka apa yang harus mereka membawa waktu untuk…",1
3,Nyoman Karsa Bungalows,"Menakjubkan lokasi yang tepat di sebelah Monkey Forest, sarapan dibawa ke kamar setiap hari. Kolam Renang menghadap ke sawah yang juga bagus, stafnya juga sangat ramah.  Kamar sangat bersih dan modern satu-satunya keluhan adalah WiFi - wifi sangat buruk.",5
4,Nyoman Karsa Bungalows,Kami diberi ruang 10. Dinding di kamar 10 dengan bangunan. setiap hari dari 8 jam - 5 malam itu konstan Palu. Sejujurnya kami tidak ada untuk tinggal di tempat tidur sampai larut pagi hari tapi karena ini adalah liburan bagi kami ini akan menyenangkan untuk memiliki pilihan untuk tidur sampai setidaknya jam 9. Itu tidak hanya sedikit suara palu itu terus menerus. Karena cuaca tidak besar selama kami tinggal lokasi strategis kami ingin menghabiskan waktu di balkon karena itu adalah sebuah area yang indah tapi karena palu konstan yang membuat ini sangat sulit. Saya dapat menghargai pekerjaan bangunan dan tidak di hotel kontrol tetapi mereka perlu terus berlangsung sehingga saya pikir pelanggan harus mengetahui pekerjaan ini sebelum menghadiri atau lebih baik masih tidak memesan…,3
5,Nyoman Karsa Bungalows,"Bersih, tengah dan sangat membantu staf yang pergi keluar dari jalan mereka untuk membantu! Saya harus pergi ke klinik kesehatan dan staf yang mengantar saya ke sana segera dan menunggu dengan saya jadi saya akan kembali. Kamar sangat bersih dan luas. Gratis sarapan adalah selalu tepat waktu! Tempat yang sangat bagus, tetapi layanan ini bahkan lebih baik! Saya akan menginap lagi di tempat ini!",5
6,Nyoman Karsa Bungalows,"Kami telah di sini 3 tahun yang lalu dan juga musim panas ini, sedikit lebih dari satu minggu tinggal. Lokasi fantastis, tidak ada banyak orang di daerah ini dari jalan Monkey Forest. Coco dekat pasar, toko-toko dan kafe yang bagus (du monyet) dan restoran (Taco Casa atau MammaMia). Monyet yang mengunjungi kolam renang untuk melihat Anda. Menjadi barang dagangan mereka mungkin mengambil makanan Anda!   Penyewaan skuter di hotel, harga bagus. Staf yang sangat ramah. Sarapan tidak besar tapi cukup untuk memulai hari Anda. Kadang-kadang kurangnya handuk. Tidak ada tangan. Berharap mereka akan membeli yang baru.   Pemandangan yang bagus dari kamar. Sawah di sekitar kolam renang dan sangat santai dan menyenangkan lingkungan. Tempat pijat sebelah.   Kamar juga baru jalan, yang…",5
7,Nyoman Karsa Bungalows,"Saya dan mitra saya tinggal di hotel ini selama 5 malam. Lokasi yang sangat dekat dengan hutan monyet dan dekat dengan supermarket Coco, Pasar Ubud dan beberapa restoran yang bagus dan spa. Kami senang tinggal di sini di hotel ini kecil, kamar cukup besar dan dilengkapi dengan semua yang Anda butuhkan. AC bekerja baik yang penting di Ubud. Kami menyukai pemandangan dari balkon yang menghadap ke kolam renang dan sawah. Kolam renang sangat bagus dan kami menyukai menonton Satwa Liar (banyak burung) dan sangat tenang. Kami hampir tidak melihat orang lain di kolam renang dan kebanyakan itu untuk diri kita sendiri. Lokasi kolam renang yang menghadap ke sawah yang menakjubkan. Karena hotel ini kecil namun tidak sumpek dengan para tamu dan memiliki sentuhan pribadi. Staf yang indah dan…",5
8,Nyoman Karsa Bungalows,"Tempat yang bagus untuk tinggal di Ubud, memiliki kamar yang bersih dan nyaman, dengan gaya Balenese AC, wifi, kamar mandi lengkap, tempat tidur yang nyaman dengan teras dan refrig. Kolam Renang memiliki pemandangan yang indah dari persawahan dan kami bahkan melihat monyet.  Sarapan dibawa ke Anda di teras. Staf yang ramah dan harga terjangkau! Kami berada di anggaran dan beberapa tempat kami telah tinggal untuk harga yang sama kami Nyoman Karsa bungalow tidak kualitas ini! Hotel bintang 5 pasti! Murah!",5
9,Nyoman Karsa Bungalows,Tempat ini sangat baik untuk biaya. Lokasi yang bagus dekat dengan Monkey Forest. Staf yang indah. Kamar yang besar dan sangat bersih. Sarapan termasuk adalah dasar tapi baik dan beberapa pilihan. Pasti akan tinggal di sana lagi.,5
10,Nyoman Karsa Bungalows,"Hotel ini memiliki lokasi yang bagus, tepat di pusat Ubud dan berjalan jarak dari pasar, dan di tengah jalan Monkey Forest. Tapi di saat Sam yang dikelilingi oleh ladang padi sehingga Anda tidak hanya pemandangan yang indah tetapi juga sangat tenang dan lingkungan yang damai. Staf adalah sangat ramah dan membantu. Saya bangun di pagi hari dan di teras dengan pemandangan sawah perasan jus semangka dan sarapan tradisional sudah menunggu untuk saya. Ini sungguh luar biasa mulai untuk hari. Area kolam renang dan pemandangan yang memberikan kesenangan dan kebahagiaan yang lengkap. Saya sangat menyukai tempat ini banyak.  Terima Kasih, Juli!",5
11,Nyoman Karsa Bungalows,"Saya pertama kali di Nyoman Karsa di 2012 dengan teman saya dan itu adalah pengalaman yang indah. Ketika saya kembali di Bali pada bulan April di 2017, banyak memiliki achanged. Kamar itu sangat bersih dan kolam renang adalah tempat yang bagus untuk bersantai, di samping sawah.  Sayangnya, itu telah berubah sejak saat itu. Tentu saja, kamar sangat murah tapi setidaknya yang saya harapkan kamar yang bersih. Itu tidak dan kamar mandi kecil, gelap sepanjang waktu, dan hampir tidak ada cahaya di kamar mandi tidak mengalir sangat baik. Di tempat tidur matahari di kolam renang ditumpuk di atas satu sama lain, duduk di samping kolam renang, itu tampak seperti tidak ada yang peduli tentang hal-hal yang terlihat. Dan pria di meja depan itu, selain dari semua orang-orang Bali, bukan yang…",2
12,Nyoman Karsa Bungalows,"Hotel ini di lokasi yang besar, dekat dengan supermarket besar dan hutan monyet. Kolam Renang memiliki pemandangan sawah dan adalah sepotong surga di keramaian dan hiruk pikuk Ubud.  Staf sangat ramah dan bersedia untuk membantu dengan setiap permintaan. Ini adalah kunjungan kami keenam ke hotel ini dan akan terus untuk kembali ketika kami pergi ke Ubud.",5
13,Nyoman Karsa Bungalows,"Ini adalah tempat yang bagus untuk tinggal. Salah satu kamar aku tinggal di, tidak ada colokan untuk mandi dan wastafel. Itu tampak agak tua dan lebih buruk untuk memakai. Area kolam renang adalah fitur terbaik dari tempat ini. Itu adalah di bagian belakang properti yang menghadap sawah jadi merasa sangat tenang di keramaian Ubud. Bisa telah sedikit lebih bersih tapi ok. Sarapannya cukup standar, namun saya sangat kecewa dengan kopi. Mereka menggunakan kopi instan dan ketika saya bertanya untuk Kopi Bali, mereka disediakan dalam botol termos dengan air panas, tidak dimasak cukup bagus!",3
