,hotel,review,stars
0,Ohana Hotel,Hotel ini sangat nyaman dan harganya tidak terlalu mahal. Tidak terlalu jauh dari bandara. Namun parkirnya sangat kecil. Menu sarapan juga enak. Kamar tidur nyaman. Amenities lengkap. Lokasinya yang dekat dengan bandara dan beberapa tempat menarik menjadi hotel yang cocok untuk transit,5
1,Ohana Hotel,"Hotel terletak di jalan kecil dekat kuta square dan joger, beranda hotel agak sempit hanya bisa untuk parkir 3 sampai 4 mobil, tapi kondisi bagian dalam hotel cukup luas dengan kolam renang yang teduh dan fasilitas gym di tempat terbuka (di lorong hotel), suasana kamar saya pesan kamar non smoking dapatnya kamar smoking, bau rokok sangat keras dan bikin batuk, view kamar di lantai 3 juga jelek, sarapan lumayan variatif menu nasi, roti-roti, telur, buah-buah. Ke kuta jalan kaki sekitar 1 km bisa sekalian joging olahraga.",3
2,Ohana Hotel,"Lokasi di area Kuta Dekat dengan Restoran-restoran Kamar Nyaman dan Bersih, hanya saja saya kecewa jet washer di Kamar Mandi bocor dan tidak diperbaiki Rate harga yang saya dapat sekitar 400rb/malam. Saya menginap selama 4 malam dan mendapatan voucher restoran 200.000",4
3,Ohana Hotel,"Pelayanannya ramah,, administrasinya mudah ,,, harganya murah dapat hotel berbintang ,, kamarnya luas banget ,,, makanannya enak ,,, pokonya klw ke bali lg,, mw nginap disini lg,, oiaa bisa langsung sewa motor juga disitu , murah lagi,, dekat ke pantai , joger dan dekat tempat tempat makan yang enak dan halal",5
4,Ohana Hotel,"Tampak luar hotelnya kecil, tapi didalam menyenangkan. Kamar dingin, bersih, breakfast cukup enak dan lengkap. staf nya ramah dan sangat membantu. Lokasinya strategis, dekat jln besar,  dekat ke hardys dan berbagai toko oleh2, banyak rumah mkn dan laundry disekitarnya... Tengkyu ohana!",5
5,Ohana Hotel,"Kamar ok , toilet ok, kolam renang ok kekurangan dimakanannya kurang enak lahan parkiran sempit  Lokasi strategis!! Dekat pantai kita, joger , pusat oleh2, nasi pedas ibu andhika jadi enk kalo mau kemana2 deket tinggal jalan doang",3
6,Ohana Hotel,"Sy tiba di tgl 30 Juli 2017. Sy dtg bersama istri dan bayi kami yg berusia 14 bln. Sy mendapatkan kamar 104. Yg pemandangan luar kamar adl kolam renang. Di dkt kmr mandi ada bau tdk sedap. Awalnya sy dan keluarga merasa nyaman saja. Sampai sy menemukan ada nyamuk di dlm kmr kami.   Dan di mlm itu, sy terbangun 2x krn kaki sy terasa sgt gatal. Di pagi hari, kaki sy bentol-bentol. Semula sy kira digigit nyamuk. Ternyata istri sy menemukan binatang kecil di sprei kami. Seperti kutu. Banyak dan bisa meloncat-loncat. Sy minta pindah kmr. Kami diberikan kmr 307. Tp sy tdk melihat resepsionis meminta maaf atas ketidaknyamanan saya. Hny menyuruh sy utk membereskan barang kami sj agar gampang dipindahkan. Kaki sy byk bentol merah dan sangat gatal. Sy sampai ke apotik utk membeli salep…",1
7,Ohana Hotel,"Aku dan keluarga menginap di OHANA HOTEL liburan lebaran kemarin, hotelnya nyaman, staf ramah, dekat ke pantai kuta bisa di tempuh jalan kaki, di sekitar hotel banyak tempat makan, kalau untuk pengunjung muslim bisa cari makan di depan ada nasi pedas ibu andika yang enak dan murah, kalau untuk non muslim di sekitar hotel banyak, dekat ke pusat oleh2 juga loh ....pusat oleh2 JOGER  disekitarnya  juga masih banyak lagi tampat oleh2 lainnya.",4
8,Ohana Hotel,"Hotelnya sangat nyaman,kolam renang kecil dan breakfast kurang bervariasi hanya standart bintang 3..staf2 hotel sangat ramah dan lokasi hotel sangat strategis  juga wi-fi nya sangat lancar dan  disekitar hotel banyak berjualan makanan",3
9,Ohana Hotel,"Crew Hotel cukup friendly,  Breakfast standard bintang 3. Kolam renang kecil, tidak sempat mencoba karena pergi pagi dan pulang menjelang malam. Kami menginap 3 malam. Malam pertama, kamar 501, kran wastafel mentok dengan kaca. Air panas tidak konsisten. Esok pagi, kami meminta diganti kamar yang lebih baik , diberikan kamar 301. Air kamar mandi merembes keluar ruang kaca. Honestly saya merasa 501 a little bit better than 301. Sudah malas complaint, kami biarkan saja. Note : Tidak ada sabun cair, sandal harus minta dan diberikan 1 (untuk family room for 3 people). Sekitar hotel cukup gampang mencari kedai makan.",3
