,hotel,review,stars
0,Oka7 Bungalow,"Kami benar-benar menikmati Oka 7.  Posisi yang fantastis, dekat pantai dan dek.  Kamarnya sederhana, tapi nyaman.  Staf, terutama Nyoman sangat ramah dan membantu.  Kami menikmati masa menginap kami!",4
1,Oka7 Bungalow,"Pasangan saya dan saya mengunjungi di sini untuk makan malam, kami tidak tinggal di akomodasi. Menu memiliki pilihan yang baik, sebagian besar makanan barat, tetapi dengan beberapa variasi.  Layanan yang baik, dan mereka dihormati Happy Hour meskipun kami tiba beberapa menit terlambat.   Tidak ada keluhan tentang makanan. Saya burger memperbaiki jadi saya punya burger keju yang benar-benar mengejutkan saya terkejut, saya dan pasangan saya memiliki ayam goreng Samba, yang sangat lezat dan dimasak dengan sempurna.   Pemandangan bagus menghadap pantai dan laut surut.",4
2,Oka7 Bungalow,"Kami tinggal selama 8 hari, dengan anggota keluarga yang lain, semua yang ada di kamar yang berbeda. Pemandangan yang luar biasa dari setiap kamar. Ada banyak tangga, jadi ini mungkin tidak cocok untuk semua orang, tapi pemandangan sangat layak pendakian. Staf yang sangat ramah dan sarapan setiap hari adalah sangat baik. Kopi adalah selalu baik dan panas dan telur yang dimasak sesuai dengan selera kami. Kamar yang sangat bersih. Kolam renang adalah sangat mengundang dengan dingin bin Tangs di tangan.",5
3,Oka7 Bungalow,"itu tidak benar-benar layak dengan tarif yang saya bayar, mahal sekali dan masalah lain terjadi sementara tinggal seperti ada tidak ada air dingin dan kebersihan adalah lebih buruk pernah. Benar-benar tidak layak sama sekali",3
4,Oka7 Bungalow,Oka Bungalo 7 terletak di Nusa Lembongan. Sekitar 40 menit naik perahu dari Sanur. Ini adalah pulau kecil yang bagus. Indah Dan Memukau. Semua yang Anda butuhkan adalah sekitar 2 hari untuk menjelajah di sini.  Dan Oka 7 adalah sempurna. Setelah Anda mendapatkan dari perahu sekitar 300 meter. Pemandangan adalah tak terlukiskan! Setiap bungalow adalah di atas tangga. Kita adalah yang terakhir di atas. jadi anda hanya bisa membayangkan pemandangan! Luar Biasa!  Saya termasuk gambar dari kamar kami.,4
5,Oka7 Bungalow,Saya menginap di sini selama 2 malam selama perayaan Nyepi. Kamar yang sangat bagus dengan teras dan pemandangan laut. Ada banyak tangga untuk naik ke kamar sehingga jika Anda memiliki kaki yang buruk dll. memilih hotel lain. Ketika mereka mematikan listrik selama 24 jam selama nyepi kamar mendapat sangat panas dan banyak moscitos datang dari kamar mandi ke kamar. Sarapan sangat baik dan disajikan dalam jangka waktu lama. Karena Nyepi mereka tidak menyediakan makan siang atau makan malam dan tidak ada wifi selama waktu itu. Staf yang baik dan ramah dan tempat yang baik secara keseluruhan.,5
6,Oka7 Bungalow,"Sebagian besar orang akan mengeluh tentang tangga naik ke kamar tapi itu benar-benar layak yang tenang dan pemandangan indah di seluruh pantai Jungut Batu dengan Gunung Agung sebagai latar belakangnya. Tidak ada banyak tangga untuk jujur jika kamar Anda benar-benar jauh. Kami menginap di kamar nomor 3 yang setengah bahwa kami memiliki pemandangan laut yang baik. Kamar tidur dan balkon adalah sempurna, tetapi kamar mandi benar-benar membutuhkan beberapa perbaikan. Hotel ini sangat dekat dengan tempat di mana kapal cepat (cepat dan cepat berbatu) dok. Sarapan adalah sederhana. Semua dalam semua itu layak mendapatkan kamar dengan pemandangan laut yang tidak terlalu tinggi.",4
7,Oka7 Bungalow,"Tinggal di adik hotel, ada tidak ada bungalow lokasi 7.. Staf yang sangat ramah dan membantu. Kasur di tempat tidur adalah sebagai keras seperti batu. akomodasi yang sesuai dan murah untuk satu malam menginap. Jika saya tinggal lebih lama lagi di pulau pasti akan melihat untuk akomodasi yang lebih baik. Menyewa skuter untuk hari untuk 50 $7.. sangat murah dan masuk akal. Kolam Renang rata-rata. Sarapan sangat baik. Menikmati pisang Pancake",3
8,Oka7 Bungalow,"Kami tiba di hotel di pagi hari dan diberitahu bahwa mereka telah dua kali lipat memesan kamar kami. Saya menunjukkan mereka konfirmasi pemesanan dan alasan adalah 'mereka tidak memiliki koneksi internet yang sangat baik sehingga kami tidak bisa melihat pemesanan kami'.   Staf tidak benar-benar menawarkan alternatif sehingga semua dalam semua, tidak luar biasa.   Lokasi bagus tapi berdasarkan pengalaman kami saya tidak akan merekomendasikan tempat ini kepada siapa pun. Apa gunanya pemesanan jika Anda akan ditolak ketika Anda datang?",1
9,Oka7 Bungalow,"Oka Bungalo 7 adalah tinggal yang menyenangkan, kami berada di sana selama 7 hari di atas bungalow yang memiliki pandangan yang fantastis dari pelabuhan dan tempat surfing untuk tidak melewatkan pemandangan luar biasa dari Bali dan gunung berapi, staf sangat baik dan sopan, satu-satunya negatif 100 langkah ke bungalo kami membutuhkan lebih banyak pilihan dan sarapan itu sangat sederhana. Harga per malam adalah mahal untuk apa yang kami dapatkan, lebih murah alternatif yang tersedia jika Anda melihat di sekitar sayangnya kami telah memesan di internet, lebih baik anda memesan 1 malam dan berbelanja di sekitar. Secara keseluruhan dengan beberapa perbaikan Oka 7 bisa menjadi jauh lebih baik",3
10,Oka7 Bungalow,"Kehidupan di pulau terasa keras! banyak tangga tetapi sekali Anda lakukan di kamar 112 tangga untuk Anda, Anda memiliki pemandangan yang indah dengan pemandangan Teluk.   Kamar bersih, staf ramah, kolam renang yang menyegarkan.   Hotel ini di tempat yang bagus dengan banyak restoran dan bar untuk memilih dari yang sangat dekat. Juga dekat dengan pantai.   Itu adalah istirahat yang bagus dari sibuk Seminyak selama beberapa hari.",4
11,Oka7 Bungalow,"TV tidak bekerja di semua AC, listrik mati beberapa kali di siang hari yang panas. Sarapannya sangat buruk. Staf yang sangat ramah dan minta maaf tentang masalah kami. Kami tinggal satu hari yang lalu menarik steker untuk kembali ke Bali. Pantai meskipun tidak terkait dengan resor yang berantakan. Kami tidak sangat terkesan dengan tempat ini sama sekali.",2
