,hotel,review,stars
0,Penida Dive Resort,"Saya mengunjungi Pulau Nusa Penida selama satu hari dan jatuh cinta dengan ikan pari manta yang jadi saya memutuskan untuk pergi kembali dan snorkeling dengan mereka sebelum meninggalkan Bali. Saya tidak mendaftar untuk perjalanan dan berpikir orang lokal dengan perahu dan bersedia untuk mengambil saya. Bukannya ini yang orang lokal membawa saya ke Penida Dive Resort di mana beberapa orang tentang untuk pergi untuk menyelam/snorkeling. Saya bisa bergabung dengan grup untuk 300 K Rp (murah) yang berlangsung sekitar 4, 5 jam dan 2 anggota tim lokal. 1 orang Perancis (instruktur menyelam) bergabung dengan grup. Berenang dengan ikan pari yang M Z yang saya dan G dan layak semua uang namun tempat Sangat ramai. Setidaknya ada 4 lain sekitar 15 kapal di sana dengan snorkeling di Manta…",5
1,Penida Dive Resort,"sangat dekat dengan feri, yang Anda tidak perlu transportasi ekstra.  Kamar sederhana tapi bersih.  Menyelam sangat baik.  Andrea (Manajer Hotel) yang menunjukkan tempat yang bagus di pulau itu, tempat yang bagus untuk makan juga.  Penyewaan Moto 3 menit dengan berjalan kaki dari hotel 80 . 000, - /hari",5
2,Penida Dive Resort,"Kami bermaksud untuk tinggal selama tiga malam dan berakhir di sini selama seminggu penuh. Kamarnya bagus dan bersih dan staf yang sangat ramah! Kami merasa familiar dengan cepat, itu mudah untuk memenuhi tamu lain dan makanannya sangat enak!  Saya juga pergi menyelam dengan Mattia dan Erika. Kedua hangat - hati, mudah - orang-orang di sekitar dan pergi menyelam di Nusa Penida sangat luar biasa. Saya membuat saya open water course dengan Mattia, instruktur menyelam yang sangat baik, dan selalu merasa aman dan nyaman dengan mereka! Besar terima kasih untuk waktu yang luar biasa! Saya pasti ingin untuk kembali untuk lebih banyak menyelam! :)",5
3,Penida Dive Resort,"Saya menginap di kamar privat di Penida Dive Resort dan itu sangat menyebalkan! Pertama dari semua wanita dari Republik Ceko yang ternyata adalah manajer atau sesuatu, dia sangat ramah. Dia adalah sangat kasar/tidak tertarik/tidak pernah tersenyum/bosan. Saya bertanya jika kami bisa membayar dengan cepat karena perahu kami di 15 menit pergi. Jawaban: "" tidak ada itu masalah anda. "" Saya rasa itu bukan segala hal bekerja jika anda bekerja di hospitality. Lebih lanjut ada banyak semut di tempat tidur saya. Kelambu memiliki banyak lubang. Kamar mandi adalah kotor. Tidak ada check-out waktu, itu mungkin mengapa itu begitu kotor, mereka tidak membersihkannya. Hanya sarapan pagi yang oke.",1
4,Penida Dive Resort,"Resor ini sangat tenang dan bagus dan mereka memasak makanan yang luar biasa.  Menyelam instruktur sangat profesional, mereka tahu apa yang mereka lakukan, dan secara keseluruhan, sangat menyenangkan!  Mereka mengambil peduli dari pelajar dalam cara yang sangat pribadi.  sangat direkomendasikan!   Sol dan joaquin",5
5,Penida Dive Resort,"Tinggal selama satu malam selama kunjungan ke Nusa Penida, benar-benar menikmati tempat ini. sangat dekat dengan pusat kota dan dekat dengan feri untuk fasilitas lain di Nusa Penida termasuk pasar, pantai dan pusat menyelam. Sebagian besar klien dari Republik Ceko dan Slovakia. pemilik yang sangat membantu.",5
6,Penida Dive Resort,"Saya melakukan perjalanan dengan kakak saya dan kami tidak memesan akomodasi apapun sebelumnya. Kami terkejut ada tidak banyak pilihan untuk menginap di Nusa Penida. Kami menemukan tempat ini secara online dan memutuskan untuk berjalan di dan memeriksa apakah ada kamar yang tersedia di sana. Beruntung ada. Ruangan itu adil untuk harga murah yang dibayar. Kami menyadari bahwa mereka menawarkan layanan dan pergi snorkeling dan menyelam untuk hari berikutnya. Seluruh hal yang sangat terorganisasi dengan baik. Sayangnya mereka ombaknya terlalu kuat dan kami harus melewati titik Manta. Namun demikian, kami masih melihat banyak ikan dan terumbu karang yang bagus di 2 tempat yang berbeda. Terima kasih khusus kepada pemilik resor. Tidak mendapatkan nama mereka tapi suami dan istri…",5
7,Penida Dive Resort,"Kami menghabiskan hampir 2 minggu di Penida menyelam. Mereka memiliki bagus Guesthouse dengan pilihan untuk kamar dengan kipas angin atau AC dan mereka juga memiliki toko menyelam yang sangat baik didirikan dan pertama toko menyelam di pulau. Staf adalah baik dan dive master yang sangat ramah. Kami melakukan penyelaman satu, manta 66 dan ada banyak ikan pari, sangat indah!  Kami menyukai penginapan karena mereka memiliki makan utama dilengkapi dengan meja di mana Anda dapat bersantai atau bekerja jika anda perlu.",5
8,Penida Dive Resort,"Saya bepergian sendirian di Nusa Penida tidak ada di mana banyak toko-toko menyelam, wanita yang membantu saya dengan reservasi yang sangat baik, dia mengatur 3 penyelaman saya bahkan mereka belum berencana ini. Instruktur menyelam dari Italia sangat bagus juga.  Saya 66 manta titik dan saya mampu untuk menyelam dengan banyak ikan pari yang besar, visibilitas yang sangat tidak bagus karena rainning di nigth sebelum tapi itu tidak masalah.   Pari manta yang penting!",5
9,Penida Dive Resort,Saya pergi dengan teman baik. Ini adalah pertama kalinya dia dan pemandu kami sangat luar biasa. Teman saya dan istrinya dan Erika adalah hanya luar biasa. Saya merasa aman dan kolam nyaman! Terumbu karang hanya di depan dari resor yang indah ini! Saya dapat merekomendasikan higly Matthia dan Erika juga makanan yang sangat baik dan manajemen yang indah. Terima kasih!,5
10,Penida Dive Resort,"Seperti semua lain pengulas terakhir. Saya sangat senang dengan David dan Julie, penduduk dive master. Mereka melakukan pekerjaan yang sangat baik dan membantu setiap orang mendapatkan dilengkapi dan tinggal aman sementara menunjukkan keindahan Pulau Nusa Penida. Kami memiliki besar 4 kali menyelam (menyelam menyelam=lebih murah! ) bersama melihat belut, gurita, dan favorit semua, pari manta! Mereka mempromosikan yang sangat ramah, suasana hampir turun-menurun. Ada banyak tempat nongkrong di wilayah umum, makan siang adalah disertakan dengan menyelam dan kami akhirnya pergi untuk makan malam bersama juga. Mereka bahkan cukup baik untuk memberikan kami akses gratis ke foto mereka di GoPro kamera. Hotel ini terletak hanya beberapa ratus meter dari feri dermaga dan hanya beberapa…",4
11,Penida Dive Resort,"Terima kasih kepada David dan Julie, dive master extraordinaires, Penida Dive Resort menawarkan tidak hanya akses yang mudah ke tempat menyelam yang luar biasa, tapi juga sebuah pengalaman yang sangat ramah di seluruh. Semua situs menyelam menawarkan sesuatu untuk setiap penyelam; pandangan yang luar biasa, penyelaman arus, penyelaman santai, hidup dalam skala makro, pari manta raksasa, banyak sekali spesies ikan termasuk ikan hiu yang sesekali, Cephalopods, krustasea, keras dan lembut karang. Staf di resort di Indonesia, serta perahu kapten dan kru, adalah sangat ramah dan membantu. Resor ini terletak dalam dua menit berjalan kaki dari Maruti Express, sehingga mudah diakses dari Sanur. Nusa Penida adalah pulau yang indah itu, dengan jauh lebih sedikit daripada bali atau turis…",5
12,Penida Dive Resort,"Saya memiliki waktu yang indah menyelam dengan kelompok ini. Sebelum mereka - staf yang sangat baik dan meyakinkan saya bahwa saya adalah di tangan yang baik dengan kepala penyelam. Mereka sangat fleksibel dan memastikan pengalaman menyelam saya dengan baik. Selain itu, mereka menunjukkan rasa hormat untuk alam dan tidak pergi pada menyelam di - pro. Saya sangat menyukai tempat ini karena sebelumnya saya telah menyelam dengan perusahaan yang menggunakan pergi - berdasarkan sifat dan kemudian menyelam Anda menjadi tontonan bagi Facebook. Saya memiliki waktu yang menyenangkan bersama mereka! Saya hanya saran adalah jangan lupa membawa sendal jepit! ",4
13,Penida Dive Resort,"Memiliki waktu yang menakjubkan! David adalah salah satu instruktur menyelam terbaik yang pernah saya miliki. Tempat menyelam yang indah. hotel ini sangat santai, elok dan tempat ini adalah seperti sebuah keluarga kecil. Pasti akan merekomendasikan tinggal di sini untuk beberapa hari.",5
14,Penida Dive Resort,"Saya menginap di Penida Dive Resort dengan beberapa teman untuk pergi menyelam selama akhir pekan. Mengambil perjalanan menyelam dengan David dan Julie yang sangat brilian! Saya sangat gugup tentang menyelam untuk pertama kalinya setelah mendapatkan padi ow, saya dan teman-teman yang tidak pernah menyelam sebelum, mereka menempatkan kita di kemudahan dan Anda benar-benar sangat baik panduan.  Akomodasi itu sendiri sangat baik, murah dan ceria dengan sarapan termasuk. Kamarnya bersih dan memiliki AC dan kelambu. Sempurna untuk liburan akhir pekan menyelam dan menjelajahi pulau.  Terima kasih sangat banyak, kami akan kembali lagi!",5
15,Penida Dive Resort,"David dan Julia's gairah untuk menyelam yang menakjubkan. Pengetahuan mereka diatasi. Di atas itu, mereka hanya orang yang luar biasa. Saya tidak tiga kali menyelam dengan mereka dan terpesona dengan kesenangan dan David dan Julie memiliki profesionalisme. Kami disambut dengan senyum dan percakapan ramah. Saya memiliki pengalaman menginap yang luar biasa dengan orang-orang baik, percakapan yang baik, dan saya selalu merasa Selamat datang. Saya tidak bisa menunggu untuk kembali. Resor ini sangat bersih, kamar yang cukup menarik. Makanan yang sangat baik, sedikit lebih mahal jika Anda makan di warang kecil, tapi itulah harga toko. Transportasi, penyewaan skuter, dan wisata pulau dapat dilakukan dari bagian penerima tamu. Saya tidak tahu apa tempat ini adalah seperti beberapa bulan…",5
16,Penida Dive Resort,"Instruktur menyelam yang baru (Julie dan David) tiba hanya beberapa hari sebelum kami melakukan dan sangat menakjubkan dari awal. Keduanya memiliki keseimbangan yang baik antara berada profesional tentang keamanan dan bersenang-senang, dan kami benar-benar menikmati waktu kita dengan mereka.   Saya lakukan saya padi ow dengan David dan merasa yakin bahwa saya dapat meninggalkan Bali yang aman dan bertanggung jawab penyelam, terima kasih ke kedalaman pengetahuan dan kesabaran.   Terumbu karang alami sendiri - pada penyelaman pertama saya melihat kura-kura dan hiu bambu, serta banyak ikan karang dan bahkan beberapa nudibranch.   Jika Anda sudah mencintai menyelam atau ingin belajar. Saya 100% Merekomendasikan Nusa Penida Dive Resort karena lokasinya yang luar biasa, luar biasa…",5
17,Penida Dive Resort,"Saya dan teman saya hanya menyelam dengan David dan Julie. Mereka sangat indah dengan suasana yang hebat yang bekerja bersama-sama. Cerdas dan teliti tapi ramah dan menarik juga. Saya tidak akan pernah menyelam sebelum dan sangat gugup tetapi merasa aman dan didukung dan, meskipun saya awalnya takut. Saya benar-benar menikmatinya. Terima kasih untuk memandu perampokan pertama saya masuk ke dunia bawah laut yang spektakuler!   Akomodasi sederhana namun nyaman, nilai yang sangat baik, dengan suasana yang santai dan sangat cocok dengan kebutuhan kami. Saya akan pasti seperti untuk datang kembali dan akan merekomendasikan.",5
18,Penida Dive Resort,"Tempat ini adalah tempat yang baik untuk menghabiskan malam dan makan, tapi pasti tidak untuk tinggal di sana sepanjang hari atau menyelam dengan orang-orang yang tidak ramah. Kami merasa tidak nyaman selama kami menginap di sana, rasanya seperti Anda berada di tengah-tengah rumah mereka. Kami merasa tak diinginkan sejak hari 1.   Di sisi lain, Staf Indonesia sangat ramah dan membantu, terutama dari resepsionis, Siti.   Tidak direkomendasikan.",2
19,Penida Dive Resort,"Kami tinggal di sana selama 5 hari dan kembali lagi untuk beberapa hari terakhir liburan kami, karena suasana yang sangat santai dan tenang. Kamar cukup dasar dan mungkin agak terlalu mahal. Di antara tiga dari kami, kami memiliki empat kursus menyelam, yang kami sangat menikmati, berkat yang luar biasa indah tempat menyelam dan mendorong, berbelit dan membantu instruktur Barbora. Seperti yang lainnya, ia dapat berkomunikasi dalam bahasa inggris yang sangat baik. Saya akan selalu kembali ke sana lagi.",4
20,Penida Dive Resort,"Halo wisatawan, kami berada di pulau ini untuk bulan madu kami dan kami memutuskan untuk menyelam cerification. Kami tidak pernah menyelam sebelum dan kami melihat amezing whar itu. Kami diajarkan oleh barbara dan memiliki banyak menyenangkan. Kami melihat ikan pari, kura-kura dan belajar menyelam. Kami kemudian di lombok dan sekarang di gili meno tapi kemungkinan adalah yang terbaik menyelam di nusa penida. Barbara adalah gadis muda yang suka untuk menyelam dan penuh energi. Saya merekomendasikan tempat ini untuk orang-orang muda yang sebagian besar. Akomodasi tidak sangat bagus tapi kami tidak ada untuk hotel bintang 5. Semua tentang divig sangat bagus dan saya tidak pernah melihat lebih baik di salah satu tempat yang kami kunjungi di indonesia sampai sekarang. ",5
