,hotel,review,stars
0,Pertiwi Bisma 1,"Kali ini kami sekeluarga memutuskan mengajak keluarga besar berlibur bersama di bali. Kali ini kami ingin pindah suasana dari Kuta ke Ubud dengan harapan kami akan mendapatkan susana yg berbeda. Maka pilihan kami jatuh ke Hotel Pertiwi Bisma 1 di Ubud. Flight kami smp sore hari oleh karena perjalanan yg cukup jauh dr bandara Ngurah Rai ke Ubud maka kami tiba sudah agak malam. Resepsionis menerima kami dengan baik. Kami memesan 4 kamar deluxe, dan proses check in berlangsung dengan lancar. Ketika sampai kamar kami cukup puas dengan keadaan kamar kami, hanya dari segi kebersihan kamar perlu ditingkatkan. Kami menemukan sarung bantal yg berbau krn lembab. Keran kamar mandi kurang berfungsi dgn baik. Namun ketika pagi hari kami bangun pemandangan yg indah telah menanti kami. Cukup…",3
1,Pertiwi Bisma 1,"Saya sangat beruntung karena pada saat saya booking kamar saya memesan tipe valey suite, tetapi entah karena kamar yang saya booking sebelumnya sudah terisi tamu lain, lalu saya diberikan kamar valey villa sebagai kompensasi. View kamar yang sangat luar biasa karena langsung menghadap ke alam terbuka yang hijau dan asri. Suasana yang tenang dan nyaman membuat saya mau kembali lagi untuk menginap disana, pelayanan dan fasilitas yang sangat baik mendukung kenyamanan hotel ini. Secara lokasi memang agak jauh dari jalan utama tapi tidak sulit untuk ditemukan. Menu makanan yang variatif dan rasa yang enak melengkapi kenikmatan menginap di hotel ini.",4
2,Pertiwi Bisma 1,"Kami ditolak pada saat check in padahal kami sudah melakukan booking dan pembayaran dan mereka mengakui bahwa mereka telah menerima konfirmasi booking tersebut. Kami ditawarkan untuk menginap di hotel lain namun hanya untuk satu malam untuk kemudian dicarikan hotel lain untuk malam ke2, padahal kami telah membayar untuk dua malam. Setelah berargumen panjang lebar akhirnya kami diberikan kamar yang sudah kami pesan dengan alasan bahwa sebenarnya kamar tersebut juga sudah di pesan oleh pihak lain melalui travel agents. sungguh mengecewakan.",2
3,Pertiwi Bisma 1,"Teman saya dan saya tinggal di sini pada bulan Juni, kolam renang luar biasa sebagian besar untuk mengambil banyak foto. Kamarnya ok, bersih dan semuanya ada di tempatnya, temukan saja. Staf ramah dan bersedia membantu kapan saja.  Rasio harga - kualitas yang sangat baik.",4
4,Pertiwi Bisma 1,"Tinggal bersama teman saya selama 4 hari di Pertiwi Bisma 1. Kamar hotelnya ok, tidak baru tapi nyaman dan bersih. Ketika kami keluar dari hotel hampir sepanjang hari, kami tidak tinggal banyak di kamar. Sarapan termasuk, banyak buah, sayuran, dan muesli. Telur dadar terpisah dengan sosis atau bacon dapat dipesan (tanpa biaya tambahan). Makan siang beberapa kali, salad dan bebek yang sangat enak. Lokasi hotel bagus, banyak kafe, spa, dan toko-toko di sekitarnya. Hotel ini memiliki pemandangan hutan yang indah dan air terjun kecil yang terlihat di tepi kolam kedua. Layanan bagus dan staf yang ramah.",4
5,Pertiwi Bisma 1,"Hotel bagus, terletak di tempat yang tenang, menghadap ke hutan, air terjun kecil di dalamnya. Kamar yang bagus, tidak mewah, cukup untuk tidur karena sebagian besar waktu kami habiskan menjelajahi Bali) Sarapan sangat lezat, staf ramah dan membantu.",4
6,Pertiwi Bisma 1,"Kadang-kadang Anda harus melihat kamar mandi sebelum memilih hotel. Hotel ini terletak di lokasi yang sangat nyaman dan tidak terlalu jauh dari restoran dan pasar Ubud utama. Sayangnya, kami check-in pada jam yang tidak layak sehingga kami tidak keluar dari kamar reguler yang diganti. Setelah memasuki kamar kami, saya dan istri saya menggelengkan kepala dan kami memutuskan untuk check out di pagi hari. Kami bangun sarapan dan berbicara dengan manajer tentang pembatalan untuk 2 hari ke depan karena kami tidak senang dengan toilet dan kamar. Manajer itu cukup murah hati untuk menawarkan kami sebuah villa untuk dua malam berikutnya yang kami telah memesan dengan mereka. Vila-vila untuk harga lagi tidak layak karena Anda harus turun 2 - 3 lantai sebelum Anda sampai ke villa Anda dan…",2
7,Pertiwi Bisma 1,"Hotel ini adalah yang terbaik sejauh ini yang pernah kami miliki di bali dekat dengan hutan monyet, banyak bar dan restoran di belakang dan tentu saja sarapannya luar biasa. Tetapi berjalan di malam hari adalah hal yang mengerikan karena gelapnya jalan masuk. Staf sangat membantu jika kolam renangnya bagus tapi tempat ini agak tua dan sistem drainase untuk bak mandi kami sangat buruk dan butuh 30 menit. untuk mengeringkan tapi tidak apa-apa.",4
8,Pertiwi Bisma 1,"Selama liburan kami, kami memesan banyak akomodasi, tetapi yang ini adalah yang terburuk! Lokasi ok, tidak begitu jauh dari pusat, namun dibutuhkan 15 menit dengan berjalan kaki dan jalan sangat gelap di malam hari. Hotel ditempatkan di hutan yang sangat dingin dan kedua kolam renangnya cantik. Villa terlihat bagus dan tempat tidurnya bagus, tetapi seluruh interieurnya sudah tidak ada lagi dan perlu upgrade. Pintu balkon tidak menutup dengan benar dan vila tidak terisolasi dengan baik, jadi ada banyak semut dan serangga lainnya (khususnya di kamar mandi). Layanan buruk dan Anda hampir tidak dapat memahami kata-kata apa yang mereka katakan karena aksen yang berat. Saya biasanya tidak membuat masalah tentang itu, tapi kali ini benar-benar buruk. Sarapan adalah lelucon, tolong…",2
9,Pertiwi Bisma 1,Staf ramah dan fasilitas sangat bersih. Sarapannya oke. Jadi kami memiliki pengalaman menginap yang luar biasa di Pertiwi Bisma 1. tempat ini sangat tenang dan Anda dapat melihat langsung ke hutan hujan. Namun demikian Anda berada di pusat Ubud dalam 15 menit berjalan kaki.,5
10,Pertiwi Bisma 1,"Tidak yakin apa yang terjadi dalam kasus kami, tetapi kami memesan untuk Pertiwi Bisma 2, tetapi ketika kami sampai di sana mereka tidak dapat menemukan pemesanan kami, tetapi ternyata kami memesan ke Pertiwi Bisma 1 yang bersebelahan. Tampaknya Pertiwi Bisma 2 adalah sekitar $ 70 sementara Pertiwi Bisma 1 adalah sekitar $ 110, di mana kami membayar $ 90, jadi kami berpotensi membayar untuk hotel yang lebih baik dan mendapatkan hotel yang lebih murah, namun dari gambar, keduanya tampak sangat mirip  Cukup di atas, hotel itu sendiri sangat bagus, lokasi bagus ke ujung hutan monyet Jalan Bisma, Ubud. Kamar-kamar berukuran layak, ubin dan cukup modern Sarapan sedikit kedudukan di atas standar stok termasuk sarapan hotel lain, sedikit lebih beragam dan sedikit lebih keunikan. Ada…",4
11,Pertiwi Bisma 1,"Kami tinggal di sini selama 3 malam, pertama kali di Ubud. Kami memiliki kamar di bawah banyak langkah - balkon kita melihat ke bawah di sungai kecil yang mengalir dan di antara Forrest. Dua kolam renang tanpa batas dan lokasi yang indah jika Anda ingin merasakan ketenangan itu. Staf yang ramah",4
12,Pertiwi Bisma 1,"Saya tidak biasanya menulis ulasan tentang hotel tetapi pada kasus ini saya akan. Jelas bukan 3 bintang karena saya memesan kamar terbaik mereka (villa 1 kamar tidur) dan memiliki masalah besar yang sama dengan villa. Kamar tua karena ada lubang besar di langit-langit dan di kamar mandi, nyamuk dan serangga masuk dan keluar. Ketika diminta untuk mengubah kamar mereka menjawab bahwa mereka penuh dan tidak dapat apa pun selama saya tinggal selama seminggu. Saya juga meminta jika saya bisa check out seperti 1 jam kemudian dan mereka mengatakan kepada saya untuk membayar jumlah uang yang ekstrim. Jadi saya punya 2 permintaan dan mereka sepertinya tidak peduli sama sekali. Bagian terbaiknya adalah saat hujan, air menetes ke seluruh langit-langit. satu-satunya adalah staf saat sarapan…",2
13,Pertiwi Bisma 1,"Ruangan itu besar dan sangat bersih. Handuk mandi bersih setiap hari, handuk pantai, dan linen tempat tidur. Staf yang sangat ramah dan membantu dan berlokasi di pusat kota! Dan sarapannya juga enak! Kolam renang yang indah dan pemandangan.",5
14,Pertiwi Bisma 1,"The Pertiwi Bisma adalah akomodasi ketiga dalam perjalanan kami ke Bali dan Thailand pada bulan Desember 2018. Kami memesan satu hari sebelumnya pada saat pemesanan. com dan mendapat diskon kecil (kami membayar sekitar 60 Euro per malam, tunai pada saat kedatangan) untuk kamar tidur kembar Super Deluxe (kategori kamar terendah yang mereka tawarkan).  Kami dapat membuat Anda bosan dengan lebih banyak gambar dari dua kolam renang yang hebat, tetapi mari kita hadapi itu, itu bukan alasan Anda mengeklik bintang 3 ini - ulasan. Sebagai gantinya, berikut adalah beberapa foto kamar 105, ruangan yang kami berikan ketika kami tiba. Setelah melihat dan mencium jamur di sana, kami meminta ruangan yang berbeda (no. 121) yang segera tersedia. Namun, tidak semua orang seakan maju tentang…",3
15,Pertiwi Bisma 1,"Staf yang indah, sarapan yang luar biasa, dua kolam renang. Kami punya kamar di bagian paling bawah dari resor yang berarti banyak menaiki tangga, saya tidak keberatan tapi mungkin tidak baik untuk pasangan tua. Kamar yang bagus, dengan balkon, tempat tidur yang nyaman. Saya merasa bahwa kamar mandi tidak dibersihkan setiap hari & sering ada bau saluran air kotor di kamar mandi di kali itu bisa mencium dekat kolam di kali. Berjalan jauh ke jalan utama tapi saya suka berjalan. Keseluruhan hotel yang bagus.",4
16,Pertiwi Bisma 1,"Kami menginap dua malam di sini, ini adalah tempat yang sangat bagus, jauh dari rumah sementara kacau jalan utama. Yang membuat tenang untuk tidur, namun spasi 10 - 15 menit berjalan kaki ke pusat Ubud akan membawa anda untuk melihat pemandangan.  Kamarnya luas dan tempat tidurnya nyaman. Layanan sarapan adalah luar biasa. Dan air panas untuk teh/kopi di dalam kamar.",4
17,Pertiwi Bisma 1,"Hotel ini memiliki dua kolam renang dengan pemandangan yang sangat bagus ke hutan dan di lokasi yang cukup bagus, sekitar 15 menit berjalan kaki ke pusat Ubud.  Kami menginap di sebuah villa (juga dengan pemandangan yang bagus) tapi villa ini sendiri hanya begitu - jadi jika dibandingkan dengan tempat lain yang pernah kami di Bali. AC-*jalan* terlalu lemah untuk mendinginkan kamar dan rusak sekali selama kami menginap (diperbaiki di hari berikutnya). Tempat tidur yang sangat nyaman dan sangat tidak berbunyi sama sekali. Sarapannya ok, tidak buruk, namun tidak terlalu bagus juga.  Jika anda memiliki arachnophobia anda mungkin ingin menginap di kamar dan tidak normal vila, kami mendapat 2 cukup besar ( 7 - 8 laba-laba cm) di kamar kami di dua occations. (mungkin tidak berbahaya,…",3
