,hotel,review,stars
0,POP! Hotel Kuta Beach,"Menginap di pop hotel kuta beach, Karyawannya ramah.kamar lumayan luas untuk 3 orang,ada kolam renang juga,mau ke pantai hanya berjalan kaki 100meter sampai di pantai kuta.nanti pasti kan kembali lagi.yang jelas kamar nya bersih sesuai budget hotel.terima kasih pop hotel",5
1,POP! Hotel Kuta Beach,"Hotel ini sangat dekat dengan pantai Kuta. Tinggal berjalan kaki 300meter sampai di pantai Kuta. Dekat dengan hiburan malam, restauran dll. Staff nya ramah, kamar nya bersih. Front office 24jam melayani. Terima kasih pop hotel kuta beach. Next trip will be stay again. ",5
2,POP! Hotel Kuta Beach,"Untuk sekelas hotel bintang 2, tetep ga recommended. Masih banyak hotel lain di sekitar kuta yang lebih bagus. Kekurangannya: - Sarapan kurang lengkap. Tidak ada roti sama sekali. Ibu saya makan potongan ayam kecil dan bayar 30 ribu/ sarapan. Beda banget sama pop hotel yang saya pernah datangi di lampung. - Dilarang pesan grab mobil ke bandara Grab ga ada yang berani ambil penumpang di hotel ini. Mungkin biar kita pakai driver hotel, dan biayanya sangat mahal ke bandara. - Wifi jelek Masa untuk sekelas pop hotel, sinyal ga sampe ke lantai 2. Padahal kamar saya itu tepat di atas resepsionis. Aneh banget. - Reviewnya memang jarak hotel ke pantai 100 meter. Tapi kalau jalan ke pantai itu, harus lewat gang yang berkelok-kelok dan sepi. Total jaraknya kira-kira ke pantai jadi 500…",2
3,POP! Hotel Kuta Beach,"Hotel yang serba tidak tersedia di dalam kamar, no coffee cup, tidak ada kettle jug. Tapi karna hotel budget saya coba pahami. Pesan untuk grup keluarga, tetapi beberapa kamar twin hanya di beri 1 selimut. Di request 1 floor malah saya dapat kamar yang berbeda. Dari awal reservasi saja sudah enggak feel welcome, kalau mau email untuk konfirmasi, udah 2 kali email, reservasinya malah diam seribu bahasa. Saya sudah jadi member tapi ketika ditanya soal keuntungan jadi member dan nanya soal sistem poinnya staffnya hanya bilang silahkan kunjungi webnya untuk info lebih lanjut. Breakfast nya sangat tidak direkomendasi karna tanpa sayur . Yang parahnya adalah staffnya yang stand by  breakfast, jutek banget, kalo ditanya jawabannya singkat tanpa senyum, udah gitu groomingnya tidak…",1
4,POP! Hotel Kuta Beach,"Pop hotel memiliki tempat yang strategis yang berada di dekat dengan pantai Kuta , dari pop hotel bisa berjalan kaki untuk bermain ke pantai Kuta dan mall beach walk. Dan anda bisa menikmati matahari terbenam dan bermain selancar di pantai Kuta Bali.",5
5,POP! Hotel Kuta Beach,Saya dan keluarga saya menginap di hotel ini. Kami pesan dua kamar karena kamarnya kecil. Saya dan ibu saya menginap di kamar 548. Ada beberapa hal yang membuat saya kurang nyaman. Cat tembok di kamar sebagian sudah terkelopek sehingga menimbulkan kesan kurang terawat. Air panas di kamar mandi juga tidak bisa. Remot TV sedikit bermasalah. Wifi hotel juga lemot. Saya harap pihak hotel segera memperbaiki hal-hal tersebut karena hotel ini sebenarnya cukup baik lho untuk traveller dan biaya menginapnya tidak terlalu mahal.,3
6,POP! Hotel Kuta Beach,"Lokasinya Khas Bali banget..alias nylempit2 :) Tapi untuk budget segitu, udah oke bgt lah..untuk ukuran bule mungkin jalan segitu gak jauh...tapi kalo orang indo..mending ngojek aja :) Tapi ya overall oke..apalagi pelayanannya..good.",5
7,POP! Hotel Kuta Beach,"Saya bersama 3 tmn lainnya menginap di Pop hotel Kuta Beach, Bali dari tgl 6-8 April 2019. Selama menginap, kami dilayani dg sangat baik, namun fasilitas wifinya sangat lemah. Tidak menjangkau kamar sinyalnya.",5
8,POP! Hotel Kuta Beach,"Saya kecewa dengan shower di kamar saya menginap, kamar 109.  Karena shower rusak (kendor) sehingga membuat mandi tidak nyaman, harus memegang head shower.  Untuk hal lainnya saya tidak ada masalah, bahkan cukup puas karena disediakan dispenser untuk isi ulang air minum.",3
9,POP! Hotel Kuta Beach,Kondisi di dalam kamar agak lembab. Dan ditemukan bbrapa kecoak dari perjalanan lobi ke kamar. Setelah bberapa jam saat kami keluar dan kembali lagi ke kamar ternyata kecoak yang tergeletak terbalik tersebut masi ada. Butuh perhatian soal kebersihan. Dan dalam kamar jg bau kecoak.,3
10,POP! Hotel Kuta Beach,"dekat dengan pantai kuta, aman dan tenang. tidak ada pub/bar jadi aman membawa anak2. pintu kamar mandi sempat rusak, namun maintenance dengan sigap langsung dibetulkan.  handuk dan sabun diganti setiap hari. kamar bersih ",5
11,POP! Hotel Kuta Beach,"1. parkiran luas - aksesnya deket kalo mau ke daerah kuta, akses ke hotel, masuk melalui jalan yang lebih sempit dari jalan raya... kalo boleh saran, tambahin pencahayaan dan plang petunjuk yang agak besar, tp so far si uda gampang nemuinnya2. about wifi, kenceng warbiasyah, no loading..3. kamar mandi bersih... pas ganti sepre dan selimut dll mohon diperhatikan kebersihannya ya.. 4. ac dingin",4
12,POP! Hotel Kuta Beach,"Oke lah.. lokasi bagus, dekat kalo mau ke kuta atau legian bisa jalab kaki. hotelnya minimalis sesuai konsep hotel pop dimanapun, kamar mandi yg kecil bgt.. sarapannya yg kurang variatif.. masa hrs pilih menu tiap mlm. Rasa makanannya juga kurang oke",3
13,POP! Hotel Kuta Beach,saat booking tidak mengharap kualitas yang lebih atas harga murah yang saya bayarkan. saya mendapatkan harga yang sangat murah untuk menginap selama 3 malam dengan 4 kamar di hari liburan natal dan tahun baru.,4
14,POP! Hotel Kuta Beach,"Yang membutuhkan hotel di sekitar kuta sekadar tempat untuk tidur. Pop hotel sangat Recomended!  Kamarnya bersih. Tempat tidur dan sprei bersih. Kamar mandi bersih. Mengedepankan kualitas tidur. Jalan kaki ke pantai kuta juga tidak jauh.  Dan pop disini ada kolam renang nya, bagus pulak. Padahal sangat jarang pop di kota kota di jawa memiliki kolam renang.  Untuk sarapan tidak buffet, jadi pilih menu ala ala restoran gitu. ",4
15,POP! Hotel Kuta Beach,"Dateng kesini rombongan... 4 kamar, tetapi semua sangat bersih... Trus lokasi klo mau ke kuta gak terlalu jauh,bisa jalan kaki...  Klo mau ke beachwalk juga gak terlalu jauh... Kolam renangnga cuma gak ada untuk anak kecil,trus kamar mandi yg unik, tetapi air hangatnya lancar... Recomended lhaaaa untuk.kembali kesini...  Pelayanannya yg baik, sarapan nya walaupun menu tidak banyak tapi sesuai dengan budget... ",5
16,POP! Hotel Kuta Beach,"Untuk kawasan Kuta yang strategis,hotel ini tergolong murah. Biarpun budget hotel,tetapi ada kolam renang kecil yang cukup bersih! Untuk sarapan tidak ada makanan prasmanan, tapi dari malam sudah ditanya untuk menu apa saja yang tesedia, makanan lumayan enak. Tempat strategis,walaupun masuk gang,tetapi bisa jalan kaki ke beachwalk mall",4
17,POP! Hotel Kuta Beach,"Betah banget disini,playananny bagus,bersih tempat nya..ditengah2 kuta sama legian street jd strategis bgt kemana mana tinggal jalan..yg kerjanya juga ramah2 banget (: da best deh Makanannya lumayan lahh tiap hari ngopi ngeteh sepuasnya dipinggir kolam💕",5
18,POP! Hotel Kuta Beach,"Hotel yg sangat tidak direkomendasikan. Ketika check out,  jeans gw ketinggalan di kamar, gw wa csnya tapi gak di respon, cuma di read aja. So gw nungguin satu hari tapi tetep gk di balas2. Lalu besoknya gw nelpon cs nya untuk konfirmasi klo barang gw ketinggalan, tpi katanya gak ada barang yg tertinggal. Wtf!!",1
19,POP! Hotel Kuta Beach,"KerennnKamar yg unik, desain minimalis, lokasi yg sangat strategis, pelayanan ramah, nyaman buat anak dan keluarga, warna warni type membuat ceria, harga sangat terjangkau utk lokasi yg sangat ideal terimakasih",4
20,POP! Hotel Kuta Beach,"Hotelnya sangat strategis sangat dekat dengan Pantai Kuta, tempat berbelanja dan tempat makan itu semua dapat dijangkau dengan jalan kaki ataupun menggunakan kendaraan...  Hotelnya sangat bersih di lobby area, kolam renang maupun di koridor kamar petugas kebersihan kamar pun sangat ramah para stafnya semua sangat baik, ramah dan friendly terutama di bagian Front Office mas frans, mas surya, mb lisna dan mas triana sangat membantu apapun yang kami butuhkan dan juga mereka memberikan informasi tentang wisata bali dengan sangat detail jd kami seneng bgt semua tempat wisata dapat kami kunjungi berkat info dr mereka.. Dan mereka selalu senyum dengan ramahnya... Pokoknya kami sekeluarga sangat seneng sekali dapat menginap di POP! Hotel Kuta Beach",5
21,POP! Hotel Kuta Beach,"Senang menginap disini, semua staffs Baik dan Ramah. Cuma kurangnya di bathroomnya aja. Showernya udah harus diperbaikin krn hanggingnya rusak jd kurang nyaman mandinnya . Selebihnya okay. Kalo ke Bali pingin nginep disini lg",3
22,POP! Hotel Kuta Beach,Kalau menurutku cuma satu yang kurang di properti ini..hanya restoran saja yg kurang yg lain bagus2 saja untuk budget hotel di daerah wisata seperti bali sama 1 lagi security harus sering chek ke atas karena sering bule2 salah gedor kamar,5
23,POP! Hotel Kuta Beach,"waktu itu saya nginep disana batrai untuk remot tv habis, saya sudah minta ganti lewat wasap tapi tidak ada balasan,cuma di read ajalain kali tolong di perhatikan kebutuhan pengunjung, demi kenyamanan dan keamanan customer",2
24,POP! Hotel Kuta Beach,Menginap disini rasanya menyenangkan. Kamar mandinya unik berbentuk tabung. Kolam renangnya juga cukup besar. Bisa juga nyantai di kursi di pinggir kolam renang kalo males berenang. Lokasinya strategis kalo mau ke kuta tinggal jalan kaki aja ga terlalu jauh. ,4
25,POP! Hotel Kuta Beach,"Pilihan hotel tepat untuk wisatawan budget yang akan meng-explore Bali. Akses mudah ya hotel ini, walaupun agak masuk ke dalam dan jalannya kecil namun hotel ini mempunyai bangunan yang luas dan parkiran yg luas. Terdapat kolam renang juga di hotel ini. Lobby dengan konsep open air akan membuat pagi anda fresh sebelum mulai kegiatan, karyawan sangat ramah dan cekatan. Namun pada saat periode menginap saya, kelihatan sekali para staff agak kewalahan dengan banyaknya tamu, koridor kotor dan break fast area juga kotor. Mungkin sedikit evaluasi untuk hal ini agar tidak terjadi kembali. Untuk breakfast mereka menyediakan juga, ragamnya terbatas namun bisa dibilang cukup untuk memulai hari anda di Bali. Kondisi kamar juga baik, tidak terlalu kecil untuk rate yang ditawarkan. Keep up…",4
26,POP! Hotel Kuta Beach,"Sangat sukses menginap disini dengan pasangan dekat dengan area mall dan pantai,dan berbagai macam menu restoran di sekitar serta area hotel parking yang luas dan memiliki wifi di setiap area gedung serta komunikasi yang nyaman",4
27,POP! Hotel Kuta Beach,"Mungkin, jaringan internet melalui wifi hotel kecepatannya bisa ditambah untuk menambah kepuasan pelanggan, dan mungkin water heater bisa lebih baik lagi terkadang tidak keluar air panasnya jika dipagi hari",3
28,POP! Hotel Kuta Beach,"Setiap pergi ke bali selalu favorit menginap di sini. Tempatnya nyaman, minimalis dan bersih. Staf nya ramah, setia papasan selalu menyapa. Harganya murah include breakfast, ada kolam renang dannn bisa jalan kaki menuju pantai kuta. Strategis deh, deket juga dengan legian. Deket tempat makan pula. Selalu favorit nginap di sini!!!",5
29,POP! Hotel Kuta Beach,Hotelnya bagus. Lokasi strategis. Harga nya juga murah. Cuma sayang wifinya susah nyambungnya. Jd gak bs dipakai. Ribet gimana gtu. Tp puas sm pool nya. Airnya jernih dan gk perih. Bs balik lagi klo idh d bali lagi,4
30,POP! Hotel Kuta Beach,"hotel sangat cozy, harga terjangkau, kamar sangat bersih, fasilitas yang disediakan juga baik, terdapat kolam renang. untuk sarapan yang disediakan yaitu hanya nasi jinggo. akses wisata dari hotel ini bervariatif.",4
31,POP! Hotel Kuta Beach,"Karna pop hotel tidak ada dapur jd makan pagi tidak banyak pilihan, tidak bisa pesan makanan kalau malam hari. Penutup jendelanya rusak jd nutupnya pakai baut. Sower utk wc tidak ada seharus ttp disediakan. ",4
32,POP! Hotel Kuta Beach,"Plus : harga murah, bed empuk, strategis, ada pool, karyawan ramah fast respon. Minus: kamar cenderung gelap, lampu baca rusak. Air panas lama sekali baru keluar itupun sedikit hangat. Kamar mandi kecil redup pula. ",3
33,POP! Hotel Kuta Beach,Lokasinya di dlm gang sempit. Dekat ke pantai dan minimarket. Ada penyewaan motor. Breakfast cukup enak tp tdk bervariasi. Tdk bisa pesan taxi online. Kamar sempit. Kamar mandimya unik seperti kapsul.,4
