,hotel,review,stars
0,PrimeBiz Hotel Kuta,"All The Best, senang menginap di sini.. kamar bersih dan nyaman, menu breakfast lumayan banyak dan enak, pool nyaman dan cukup bersih, tempat gym yang tersedia cukup baik. Lokasi sangat strategis. Good",5
1,PrimeBiz Hotel Kuta,"FUN  Saya dan keluarga check in satu malam, di tanggal 20 -21 agustus 2022,Cukup puas dg fasilitas hotel disini,receptionist (ayu) doing a good job,mungkin satu hal yang perlu diperhatikan adalah security yg bertugas di depan basement agar lebih aware dengan kendaraan yang akan keluar/ masuk basement, tapi so far so good",5
2,PrimeBiz Hotel Kuta,"Saya sudah melakukan pemesanan yg dimana harus dipending karena masalah penerbangan yg terus dibatalkan. Kita sudah pembayaran lunas, tapi harus ada biaya tambahan 100rb/malam, total menginap 3 malam. Penerbangan saya dibatalkan, saya jg ga minta. Dan ternyata kamarnya hangus tdk bs digunakan. Pelayanan sungguh mengecewakan",1
3,PrimeBiz Hotel Kuta,"Tempatnya nyaman. Air panas berfungsi dengan baik. Wifinya bagus. Lokasinya juga strategis. Cukup puas dengan hotel Primebiz Kuta tapi ada satu hal yang bikin saya gak jadi ngasih nilai 5 dari 5. Pas saya mau taruh barang di meja, ternyata di bagian bawah meja ada bekas kopi yang belum dibersihkan. Staff Primebiz perlu lebih detail lagi saat membersihkan kamar.",4
4,PrimeBiz Hotel Kuta,dari tambolaka nginap di bali untuk flight keesokan harinya ke jogja anak saya paling dhemen nyebur berlama lama di kolam renang.. meskipun harus nunggu beberapa waktu pas chekin petugs ramah melayani..  tak tinggal golek mangan.. selesai makan kamar sudah ready..,5
5,PrimeBiz Hotel Kuta,"Dengan Lokasi hotel yg dekat dengan pusat oleh² ( joger, keranjang, dan krisna) sangat menghemat waktu para traveler untuk berbelanja oleh² khas bali, selain itu lokasi hotel yg dekat dengan bandara ( lk. 10 menit) bisa dimanfaatkan para traveler untuk beristirahat mengumpulkan energi sebelum melakukan perjalanan pulang kembali ke daerah asal.   Kamar : bersih, luas,  ac dingin, water heater berjalan baik Staf hotel : baik,  murah senyum, helpfull, dan informatif  ",4
6,PrimeBiz Hotel Kuta,"Bulan ini kebetulan tugas di denpasar lagi, seperti biasa , saya sengaja menginap di primebiz hotel, disamping dekat dan satu jalan ke kantor, pagi ini coba berenang di kolam renang yang ada di lantai 5, bersih dan kebetulan udaranya hangat",4
7,PrimeBiz Hotel Kuta,"Keseluruhan hotel bagus, bersih, pelayanan ramah, dekat dengan kota dan bandara. ada sedikit kendala pada saat check in, sudah resv dari tgl 14 sept untuk menginap tgl 21 sept tetapi pada saat datang, belum ter reservasikan dan kamar penuh, staff memberikan upgrade kamar 1 level diatas room type yg dipesan. Good Job. Ms. Ayu pada saat check out sangat ramah dan very helpfull. Thank you.",4
8,PrimeBiz Hotel Kuta,"Suka banget dengan pelayanan hotel yg ramah, masuk d kamar ada hiasan dari handuk yg d bentuk menyerupai gajah, tempatnya bersih, ada hair dryer juga, makanan enak, ow iya, dari bandara jg dpt jemputan gratis",5
9,PrimeBiz Hotel Kuta,"Dalam satu bulan terakhir ini, tiga kali saya menginap di hotel ini. Pengalaman pertama, cukup terkesan. Pengalaman kedua, menurun, dan yang ketiga justru semakin kecewa. Ketiga saya mengulang untuk yang ketiga kalinya, sebenarnya berharap untuk mendapatkan kesan yang lebih baik. Saya pesan kamar sudah jelas detail request menunjuk lantai yang saya mau, ternyata malah diberikan ke tamu lain, alasannya tamu tersebut susah check-in lebih dahulu, berarti memang bagian reservasi tidak prepare block kamar untuk saya, padahal request saya susah jelas. Apalagi saya sudah menyampaikan pikihan kamar yang berbeda lantai, eh malah dijadikan satu lantai dan bersebelahan. Tidak ada pula petugas yang berinisiatif membantu membawa barang yang cukup banyak, sehingga teman bolak-balik sendiri…",1
10,PrimeBiz Hotel Kuta,"Menginap di daerah Kuta memang tepat sekali, apalagi hotelnya dekat dengan airport, tempat wisata, tempat makan dan oleh-oleh. Membaca review yang cukup baik, maka kami menginap di Prime Biz Kuta ini.   Hotel budget, kamar bersih, nyaman, layanan baik, sarapan baik, kolam renang cukup bagus dan bersih. ",4
11,PrimeBiz Hotel Kuta,"Primebiz hotel kuta letaknya strategis, dekat dengan daerah wisata pantai kuta. harga nya terjangkau untuk anda yang ingin menikmati liburan d bali bersama keluarga,  hotel nya nyaman dan juga bersih, fasilitas nya jg oke",5
12,PrimeBiz Hotel Kuta,"Setelah keleiling di Grogak, pemuteran, terasa letih.....pemandangan pantai dan wisata bawah air menjadi satu tujuan yang harus di singgahi untuk melengkapai khasanah wisata. Wisata kuliner juga cukup memuaskan lidah",3
13,PrimeBiz Hotel Kuta,Meskipun hotel ini tidak terlalu besar namun lokasinya cukup menarik karena dekat bandara.  Ada kolam renang yang kecil dan spa dilantai 5.  Restoran dilantai 1 sangat kecil karena digabung bersama lobby hotel,3
14,PrimeBiz Hotel Kuta,"Cukup nyaman tinggal disini. Saya tinggal selama dua hari terakhir di Bali, lokasi dekat dengan AirPort. Sebenarnya ini hotel tua namun sudah di renovasi. Kamar tidak begitu besar, tapi ingat harga yang dibayar cukup sesuai. Servis staf sangat memuaskan. Saya juga diberikan servis pengantaran ke airport",5
15,PrimeBiz Hotel Kuta,"Salah satu hotel yang terletak dekat dengan bandara ini menawarkan suasana menginap yang menyenangkan.   Mulai dari keramahan staff receptionist, staff house keeping yang mengantarkan bath towel ke kamar, kebersihan kamar yangmaksimal, kolam renang yang nyaman, outdoor area untuk merokok (all room non smoking), dan tersedia juga spa / massage di lantai 5.  Waktu check out, tidak lupa staf receptionist dengan ramah menawarkan guest comment untuk saya isi sesuai dengan apa yang saya dapat. Terima kasih.",4
16,PrimeBiz Hotel Kuta,"2 malam menginap disini, pelayanan oke, sabun dan lainnya bagus, ada kulkas mini bisa buat naruh minum dan cake, sangat suka menginap disini, ada fitnes kcil di lantai atas dan juga kolam renang, bisa melihat naik turun pesawat, atau tempat bersantai juga di lantai 2, tapi masih kurang tempat duduk, makanan cukup oke, ada fasilitas komputer juga di lobby, senang pokoknya menginap disini, mungkin kalau berlibur ke bali bakan menginap disini lagi, mobil parkir di luar untuk motor ada parkir besmen",5
17,PrimeBiz Hotel Kuta,"hotel ini terletak di daerah tuban, bali, yang akses kemana-mana sangat dekat. dekat dengan bandara ngurah rai, dekat dengan jalan tol, dekat dengan pusat oleh-oleh krisna, joger, dll, dan juga dekat bila mau kearah kuta, legian, sunsetroad, dll di hotel ini juga ada Kopi Bali House yang menjual makanan dan minuman yang sangat enak ! begitu datang kamu akan disuguhkan dengan welcome drink yang enak banget dan bila kamu ke rooftop, kamu dapat menikmati kolam renang dan gym with the best bali view. after all, this is the best hotel in BALI :)",5
18,PrimeBiz Hotel Kuta,"Untuk tempat/area merokok, di lantai 2 butuh tambahan meja kursi, karena setiap malam saat saya mau keluar, selalu penuh, dan signal wifi juga sangat lemah di area merokok, mungkin juga disediakan air minum siap saji panas/dingin.",4
19,PrimeBiz Hotel Kuta,"sangat menyenangkan tinggal di hotel primebiz ini, dikarenakan tempatnya nyaman dan untuk menu sarapan pun bervariasi, untuk lingkungan menarik dan jarak dari pusat oleh-oleh seperti krisna, joger tidak jauh dan untuk menuju bandara pun sangat dekat.",4
20,PrimeBiz Hotel Kuta,"Hotel dekat dengan Bandara I Gusti Ngurah Rai,tidak butuh waktu lama untuk menuju hotel ini.Banyak tempat makan,minimart dan pusat oleh-oleh khas Bali.Akses mudah karena terletak di jalan utama kuta.Tidak terlalu jauh ke pantai kuta,Kuta sequare,Discovery Mall,Lippo Mall atau tempat hiburan malam di Legian ",5
21,PrimeBiz Hotel Kuta,"malam tahun baru nginep disini , pas nyampe kamar lumayan seneng ngeliat hotelnya lumayan luas dengan fasilitas yang lengkap , ada sofa nya ,kopi teh dan air panas dan kolom berenang nya ada di atas jadi bisa lihat suasana jalanan  dapet softdrink gratis ternyata gelasnya mini banget  overall untuk tidur sangat nyaman",4
22,PrimeBiz Hotel Kuta,"Saya menginap di hotel ini dan sekaligus mengadakan rapat kecil di salah satu meeting roomnya. Saya mulai dari pada saat saya masuk dan melakukan checkin, staf hotel cukup ramah namun kurang berinisiatif untuk menawarkan bantuan membawa tas atau koper. Dekorasi lobby sangat cantik dan natural, begitu juga dengan toilet lobby yg sangat bersih dan penataannya ringkas. Berlanjut ke kamar. Kebetulan saat itu saya harus mengambil kamar dengan twin bed. Saat pertama masuk kesan yg saya rasakan adalah design kamar sangat biasa saja dan tidak menarik sama sekali. Kamarnya begitu sempit hingga jarak antara kedua bed begitu dekat. Channel tv cukup menarik karena channel beragam dan mencakup channel dari beberapa negara. Selanjutnya bath room, tidak ada yang special, bahkan tidak ada…",3
