,hotel,review,stars
0,Primera Hotel Seminyak,"Pelayanan ramah, fasilitasnya pun lengkap, lokasinya juga strategis dekat dengan pantai, staffnya sangat membantu dan peka, mungkin next time bakal balik lagi nginep di sini! sangat menyenangkaaan!! See you bali..",5
1,Primera Hotel Seminyak,"Seperti pengalaman yg lalu. Ibis selalu jadi hotel pilihan saat liburan sendiri, berpasangan, bersama teman bahkan keluarga. Bersih, nyaman, ramah, mudah & terjangkau  Semoga pasca pandemi covid, ibis buget / style tetap bisa exist & bertambah sukses",5
2,Primera Hotel Seminyak,"Harga sangat ekonomis. Pelayanannya memuaskan sekali.  Bagus untuk yang mau sekedar transit atau yang mau longstay untuk bisnis.  Lokasi strategis, staff very helpful. Recommended pastinya 👍🏼👍🏼👍🏼👍🏼",5
3,Primera Hotel Seminyak,"Budget hotel dengan kamar yang bagus, staff yg ramah Salah satunya fauzul kalau tidak salah pelayanannya bagus pada saat check in, semua layanan sesuai dengan budget yang ada, serta tidak mengecewakan",5
4,Primera Hotel Seminyak,"Kmrn menginap selama 12 hari di hotel ini..dan gw bakal share plus dan minusnya yah..  - MINUSnya dulu yah guys!!   • kurang bersih karena kelihatan di dinding kamar mandi ada seperti lumut lumut gitu..  • pelit bgt untuk memberikan sandal dan perlengkapan kamar mandi,seperti sabun dan diletakan asal gitu aja gk tertata rapi..malah kadang setelah dibereskan kamar petugas hanya memberikan 1 handuk saja yg dimana semestinya harus 2 pcs handuk..  • sinyal buruk banget , meski mereka memiliki wifi tapi wifi suka hilang timbul jd handphone cepet bgt lowbatt..kadang malah gak bisa online..  • beberapa lampu mati, dan gak di cek untuk diganti setelah petugas membereskan kamar..padahal itu penting banget!!  • lalu di kamar temen saya kalau gk salah (275) AC bocor dan saya hampir…",3
5,Primera Hotel Seminyak,"Lovely experience! Kamar yang nyaman, lokasi strategis dan fasilitas hotel yang lengkap. Kamar bersih dan nyaman, ditambah lagi saya mendapatkan kamar dengan balkon yang bisa digunakan untuk tempat merokok dengan view jalan di Seminyak. ",4
6,Primera Hotel Seminyak,"lokasi yang strategis di daerah seminyak membuat saya dan keluarga saya kembali ke memesan hotel ini untuk beberapa hari selama liburan natal dan tahun baru. kedua orang tua saya sangat senang menginap di hotel dengan kamar yang tidak begitu kecil dan tidak begitu luas juga namun bersih, para pekerja yang ramah dan cekatan, makanan yang tidak begitu lezat namun tetap bisa untuk dinikmati, bahkan anda bisa meminta omelete / telur dadar / telur mata sapi kepada pekerja di restonya secara gratis.",5
7,Primera Hotel Seminyak,2017 pertama kesini namanya masih primera seminyak sarapan pagi lengkap staff ramah dan nyenengin ... semua orang sarapan dengan manner yang baik karena duduk dan melihat set up breakfast yang ditata apik plus napkin dan cutleries di meja. tahun ini 2018 its so berubah 180 derajat... banyak tamu yg mannernya gak ok dengan berteriak teriak dimeja makan... menu yang sangat sedikit dan area tidak bersih... berubah nama jadi ibis budget seminyak dengan service dan makanan yang sangat merosot.. im not happy for this. terutama banyaknya tamu chinese yang teriak teriak kampungan itu...,3
8,Primera Hotel Seminyak,"Lokasi hotel sangat strategis, tidak jauh dari mana-mana. Banyak restaurant dan tempat belanja di dekat area hotel. Banyak hal yang perlu diperbaiki dari hotel ini, trutama service yang diberikan ke tamu masih perlu ditingkatkan lagi. Kamar tidak terlalu kedap suara, masih bisa mendengar suara dari luar dan sebelah kamar. Untuk breakfast, mungkin harus ada koordinasi antara reception dan restaurant dalam hal penyediaan kupon breakfast. Variasi menu breakfast sangat sedikit. Terlalu banyak grup china yang stay, mereka sangat berisik.",2
9,Primera Hotel Seminyak,"Hotel dengan budget minim tempat nya enak  dekat dengan pantai, tempat makan kolam renangnya bersih :) saya senang sekali kesini service nya juga oke banget 3 malam disini membuat saya betah sepertinya saya akan kesini lagi :)",4
10,Primera Hotel Seminyak,"Kami mendapatkan kamar di gedung baru mereka, sepertinya masih dalam proses finishing (sehingga jika pada pagi hari lumayan berisik) jika masa finishing sudah selesai mungkin tidak akan bising lagi. Untuk pelayanan secara overall sangat baik, dan ramah. Kamar yang kami dapat juga bagus, ada balkon yang menghadap jalan raya. Namun sayangnya lantai balkon sangat kotor, sepertinya kurang mendapat perhatian. Untuk pilihan makanan sarapan bisa dikatakan kurang. But so far kita enjoy sih stay disini.",4
11,Primera Hotel Seminyak,"Menginap 3 malam disini sangat nyaman, kamar bersih dan wangi staffnya ramah semua, lokasi serba dekat semua, dan kamar jg punya balkon untuk ngerokok.... hotel pilihan untuk menginap untuk daerah seminyak, apalagi hotel ini salah satu hotel dari group Accor hotels",5
12,Primera Hotel Seminyak,Hotel nya bagus ada dipusat kota seminyak mau kepantai atau beli makan deket. Fasilitas hotel bagus kamar juga luas namun sayang pelayan staf hotel kurang baik. Sarapan standar kurang pariasi mohon ditingkatkan lagi untuk pelayanan nya. ,4
13,Primera Hotel Seminyak,"Hotel ini adalah grup dari Accor Hotels. Saya menginap di kamar double bed, tersedia wifi dalam kamar tapi tidak terlalu bagus koneksinya, ada televisi berwarna layar datar. Di kamar mandi ada sabun mandi dan sampo tapi agak sedikit berbau tidak enak. Disediakan sarapan pagi hari, pilihan menu banyak. Ada kolam renang disebelah restoran. Parkir mobil juga terbatas.",4
14,Primera Hotel Seminyak,"Seperti kamar2 hotel budget pd umumnya : kamar agak sempit, fungsional , air hangat (mandi) lancar, disediakan dispenser air dingin/panas di koridor setiap lantai. Staff dan security ramah dan sgt membantu untuk info petunjuk jalan dan segala kebutuhan. Area byk tempat resto, rekomendasi : warung italia, wahaha rib pork, babi guling pak malen (bisa delivery order via go food)",3
15,Primera Hotel Seminyak,"Hotelnya nyaman banget sangat bersih sarapannya juga banyak variasinya , letak hotelnya sangat strategis deket dengan tempat tempat hiburan malam tinggal jalan kaki saja pelayanan d hotel ini juga ramah ",4
16,Primera Hotel Seminyak,Hotelnya sangat bersih. Sarapan sllu bervariasi menunya Posisi hotel dkt dngn tmpt hiburan di daerah seminyak Suasana malam harinya  cukup rame di karenakan berdekatan dengan kafe2  Disarankan jgn menggunakan taksi online di daerah seminyak krna dilarang oleh driver2 yg di daerah tersbut Seandainya berpergian lebih baik sewa motor  ,4
17,Primera Hotel Seminyak,"Hotel dengan harga murah tetapi tidak murahan. Kamar oke cukup besar untuk harga 150 ribu hehe. Apalgi juga dikelola oleh brand sebesar accor. Semua amenities lengkap kecuali tooth brush saja tapi tidak jadi masalah. Banyak pub& bar deket hotel jadi ga bingung mau kemana""",4
