,hotel,review,stars
0,Puri Saron Hotel Baruna Beach Cottages,"Nginep di hotel puri saron sangat menyenangkan bagi keluarga besar saya, suasananya yang nyaman, asri dan tenang...kamarnya juga bersih ditambah staf hotelnya Bapak Ferry juga sangat ramah...sangat recommended untuk liburan bersama keluarga dan teman-teman...di jamin pasti puas.",5
1,Puri Saron Hotel Baruna Beach Cottages,"Nginap di hotel puri saron sangat memuaskan, kamarnya luas, bersih, suasana tenang, cuma kendala wifi yang agak kurang cepat dan menu breakfastnya agak kurang sreg, smeoga bisa di perbaiki, overallnya VERY GOOD!",5
2,Puri Saron Hotel Baruna Beach Cottages,"Kami menginap di puri saron periode 3 s/d 4 desember 2019, tempatnya cocok untuk honeymon karena  tenang dan semi private, meskipun lokasi yg tanggung, agak lumayan jauh dari tempat makan dan objek wisata di kawasan bali utara.   Tolong di tinjau ulang masalah harga makanan direstonya karena kami rasa terlalu mahal untuk akomodasi bintang 3 atau mungkin dari sudut pandang management hotel sengaja mematok harga yg lumayan karena lokasi hotel yg agak masuk kedalam sehingga tamu dipaksa memilih : mencari tempat makan yg murah tapi lumayan jauh atau makan di resto dengan harga yg lumayan mahal ( dikembalikan pada tamu), dan perbanyak menu untuk makanan halal.  Pelayanan : 1. Front office : baik,  ramah, fast respon, informatif. 2. Waiters : baik,  ramah dan memahami isi menu yg…",4
3,Puri Saron Hotel Baruna Beach Cottages,"Nginap di puri saron 1 nginap untuk yg kedua kali nya 👍 Pelayanan staff sangat ramah terutama Bapak Ferry (waiter restaurant) sangat membantu, kamarnya sangat bersih dan nyaman Dan bagian House keepingnya kerja nya sangat cepat 👍👍👍 Recommended",4
4,Puri Saron Hotel Baruna Beach Cottages,Hotel yang nyaman dan sangat bersih . Makanan yang beraneka ragam dan enak . Staff yang ramah . Lokasi hotel yang sangat startegis dekat dengan kota . Kamar yang bersih . Kolam renang yang besar dekat dengan pantai . Thankyou untuk ferry waiter yang ramah,5
5,Puri Saron Hotel Baruna Beach Cottages,"Hotel yang nyaman dan bersih, staff yang ramah dan humble . Makanan yang sangat enak dan beraneka ragam . Lokasi yang sangat strategis dekat dengan kota . Suasana yang nyaman dekat dengan pantai . Thankyou ferry",5
6,Puri Saron Hotel Baruna Beach Cottages,Viewnya cantikkk. Semuanya bagus cocok untuk liburan keluarga karna tempatnya luas banyak spot untuk foto foto. Viewnya juga sudah langsung ke pantai jadi bisa joging dan berenang dipantai juga pokoknya good,5
7,Puri Saron Hotel Baruna Beach Cottages,"Suasana hotel tenang, view hotel bagus dekat dengan pantai, waiternya mas Ferry juga sangat friendly. Recommended untuk menginap bersama keluarga dan teman. Fasilitasnya cukup lengkap, pool nya bersih.",4
8,Puri Saron Hotel Baruna Beach Cottages,"Very recomended hotel.ini kedua kalinya sya menginap dihotel puri saron.Staff yg muda2 dan ramah,view pantai yg mnyejukkan.Room yg bagus dan ckup nyaman.Ditingkatkan variasi menu breakfastnya sja. Sukses sllu utk purisaron lovina ya...",4
9,Puri Saron Hotel Baruna Beach Cottages,Pengalaman luar biasa yang kami “Lsp smkn1 singaraja” rasakan saat mengadakan acara di Puri Saron Lovina. Kami menikmati buffet yang memiliki cita rasa terbaik yang di temani dengan view pantai Lovina yang indah di reataurant. Keep going to give tour best services! great work!,5
