,hotel,review,stars
0,Restu Bali Hotel,"Saat masuk hotel ini saya merasa tenang padahal lokasi hotel yang persis di jalan legian yang sangat ramai. Pelayanan ramah, Interior hotel tidak modern, tp justru itu yang buat nyaman. Saya memesan kamar superior, lokasi kamar dari lobi jalan ke belakang lewati jalan stapak yang di tanami pohon2 dan ada kolam renang (memang rada gelap pas mlm, tp tdk seram kl menurut saya). Kamar pun bersih, ac cukup dingin, air hangat berfungsi, kamar mandi luas, ada hair dryer. ",5
1,Restu Bali Hotel,Kalau yang saya tempati ada dua kamar yang satu kamar Deluxe dan satunya kamar lama hmmm untuk kamar Deluxe sih mantap aja dan sangat di sarankan karena nyaman dan sesuai harga tapi klo yg kamar lama mending jangan soalnya kalau kata kami Dept SHE namanya tidak Safety hahahaha ni nah Poto nya aku lampirkan dan kenalin nama anaknya Alvaro Alexis ya dan ini kamar Deluxe jadi sangat di sarankan pesan kamar jenis ini minimal untuk kenyamanan dan satu lagi kamarnya di bersihkan tiap hari keren pokoknya Thanks Restu bali o iya satu lagi kllo mau murah booking nya pakai Traveloka di jamin beda 50 rbu semalam lumayan buat beli Es hahahaha ,5
2,Restu Bali Hotel,"Liburan terparah sepanjang hidup, foto beda 180' dgn yg dipromosikan, hotel tua, kotor, bau, awal masuk kamar selimut, sprei & sarung bantal tdk diganti, krn masih ada kotorannya, dan bantal agak berminyak bau, kamar banyak kecoak, pakai traveloka susah check in, katanya nama tidak terdaftar, pelayan ramah, lokasi dekat tugu, banyak jual makanan, mending dibangun dulu aja hotelnya, dan berikan foto yg sebenarnya, jgn di edit atau dibolak balik jenis kamarnya dgn penawaran di travel manapun bila A katakan A, saya kecopetan sampai hilang kunci kamar, disuruh ganti 200rb, padahal menggandakan kunci paling 30rb, saya minta nota pelunasan hotelnya, receptions tdk bisa kasih. Akhirnya batal bayar 200rb ",2
3,Restu Bali Hotel,"Kamar yang baru kualitas OKE dan tarif kompetitif, tp untuk kamar jenis lama sangat tidak kompetitif alias kemahalan. Untuk traveller yang sensitif, tidak disarankan menggunakan kamar jenis lama (PARAH ABIEZZZZ...). Tarif kamar juga dapat berubah drastis, berhati-hati.",2
4,Restu Bali Hotel,"tiga hari menginap di hotel RESTU BALI puas bgt sama pelayanannya yg ramah,pasilitas pun ok bgt harga sangat terjangkau dilokasi yg strategis terima kasih hotel RESTU BALI semoga semakin jaya klo temen2 berkunjung kesna hotel ini rekomended bgt pokoknya ga kecewa deh.",5
5,Restu Bali Hotel,"Jujur, saya terkejut melihat fasilitas Hotel yang begitu baik dan lengkap dengan harga terjangkau dan lokasi sangat strategis - di antara gegap gempita Legian yang terkenal. Kamar mandi bersih dan standar hotel berbintang meskipun langit-langit di shower terlihat menjamur. Kolam renang bagus dan loby hotel sangat comfy dan classy. Apalagi setiap staff ramah menyapa anda. Highly recommended.",5
6,Restu Bali Hotel,"Pertama kali liburan ke Bali saya menginap di Restu Bali Hotel. Restu Bali memiliki lokasi yang sangat strategis di jalan Legian, cuma sayangnya akses menuju hotel ini dengan mobil agak riskan di siang hari karena jalanan macet dan sangat padat. Tapi jika kita ingin berjalan-jalan dengan jalan kaki hotel ini sangat pas. Staff hotelnya sangat ramah dan sigap, harganya pun tergolong murah, lokasi strategis, hotelnya pun bersih, fasilitas cukup lengkap, benar-benar dekat kemana-mana dari sini. Very good hotel ! :)",4
7,Restu Bali Hotel,"Lokasi strategis di jalan legian, termasuk hotel yang mempunyai areal parkir yang memadai, dekat dengan pusat keramaian wisatawan domestik maupun dari luar negeri serta di sekitar banyak hiburan malam. Dekat dengan monumen bom bali sekitar 600 m dan pantai kuta berjalan kaki sekitar 10 menit",3
8,Restu Bali Hotel,"Tidak bakalan nyesel menginap di Restu bali hotel,, Staff yang ramah dan baik berbeda dengan staff2 di hotel lainnya, pelayanan kamar dan service yang memuaskan,, mudah2 tahun depan bisa menginep di sini lagi,,",5
9,Restu Bali Hotel,"Saya menginap direstu bali tanggal 27 may - 30 may,, menurut saya pelayanan yang dilakukan staff hotel sangat baik dan cepat tanggap, meski bangunan terlihat sudah lama namun tetap merasa nyaman, ditambah lagi lokasi yang strategis dijalan legian dimana keinginan saya untuk berbelanja bisa langsung terpenuhi tinggal jalan kaki saya bisa langsung emukan toko-toko dan restoran-restoran favorit saya.",4
