,hotel,review,stars
0,Rosani Hotel,"Hotel ini ideal ketika kami tiba di 2 pagi dan staf ada di sana untuk menunjukkan kepada kami ke kamar kami. Sarapan termasuk dan bagus, namun sedikit monoton setelah beberapa hari hanya bersulang. Saya sudah tinggal di hotel yang lebih bersih tetapi nilai uangnya luar biasa dan saya sarankan untuk pelancong yang ingin menginap di hotel yang aman dengan harga murah karena lokasinya yang bagus, hanya beberapa menit berjalan kaki ke pantai di pinggir jalan.",3
1,Rosani Hotel,"Hotel ini adalah nilai terbaik untuk uang mengingat kamar bersih dan nyaman, termasuk kolam renang besar dan sarapan. Lokasinya juga bagus. Kami berada di hotel yang berbeda malam sebelumnya, hanya beberapa ratus meter jauhnya, harga yang sama namun tidak sebagus. Rosani Hotel adalah salah satu nilai terbaik untuk uang.",4
2,Rosani Hotel,Untuk ke-5 kalinya dan menyukainya Ini bukan ritze tetapi untuk uang Anda tidak akan mengalahkannya Kamar dan kolam renang bersih luar biasa Staf orang yang luar biasa Sarapan hanya tetapi sarapan lengkap di luar hanya 5 dolar Mudah berjalan ke kuta dan di mana-mana  Apa lagi yang bisa Anda tanyakan  Salam RUth & BOb 2029 maret,5
3,Rosani Hotel,"Hotel ini ok, tapi toilet area kolam adalah toilet paling menjijikkan di Bali mungkin dunia. Tidak ada kertas toilet (pada 3 kesempatan) tidak ada sabun tangan atau sabun, baunya, dan seorang anggota staf mengatakan tidak ada lampu yang berfungsi. Artinya toilet dengan pintu terbuka. Bau. Ahhhh membuatku mual sekarang. Begitu banyak staf berjalan. Bersihkan toilet. Itu tidak sulit. Kolam renang yang bagus, makanan yang enak dan toilet yang bau",1
4,Rosani Hotel,"Pertama kali di hotel ini. Kamar bersih bagus. Pembersih berada di bola dan jika Anda pergi untuk sarapan, kamar dibersihkan kembali. Staf yang menyenangkan. Area bagus dekat dengan semuanya. Makanan oke jika Anda ingin makan di sana atau memiliki layanan kamar. Purrfect Spa di ujung jalan itu hebat. Kotak keamanan yang baik di meja depan / resepsi. Satu kunci yang Anda simpan. Satpam di pintu masuk. Ted's Bar adalah bar kecil yang luar biasa di luar.",4
5,Rosani Hotel,"sangat perlu mengganti furnitur / bantal kolam mereka adalah aib, dan tidak sehat. Kolam renang bisa dilakukan dengan sedikit perbaikan / bersih. staf dan lokasi sangat bagus, kamar besar tapi bisa lebih bersih di kamar mandi. Ini adalah tempat yang sangat murah dan tidak buruk untuk apa yang Anda bayar.",3
6,Rosani Hotel,"Adikku dan aku awalnya memesan 2 malam sebagai hotel ini dan langsung terkesan. Kami tiba larut malam (seperti tengah malam) dan diperiksa dengan cepat dan mereka tidak khawatir tentang pembayaran malam itu tetapi mengatakan kepada kami bahwa kami dapat melakukannya di pagi hari. Kamar sangat bagus dan nyaman. Berada di beberapa tempat sedikit tanggal, tetapi umumnya kami menemukan bahwa mereka telah diperbarui dan bersih dan rapi. Tempat tidur yang nyaman, ada air botol gratis di kamar, kamar mandi adalah ukuran yang baik, dengan kamar mandi bagus yang memiliki tekanan air dan suhu yang baik. Rumah tangga super efisien dan selalu meninggalkan kami handuk bersih dan baru. Kolam itu indah dan kami menikmati berenang di dalamnya. Ada pohon-pohon indah yang tumbuh di sekitarnya…",5
7,Rosani Hotel,"Kami hanya menginap satu malam di sini tapi sekarang pada daftar singkat kami untuk kembali ke hotel. Kamarnya tidak besar tapi cukup terbesar. Memiliki tv, ac, kulkas, ketel dan salah satu pancuran terbaik yang kami makan di Bali. bar juga . Benar-benar tidak melihat alasan mengapa kami tidak akan memesan hotel ini untuk jangka waktu lebih lama waktu berikutnya,",5
8,Rosani Hotel,Hotel tampak OK pada awalnya. Namun kami telah memuntahkan semua dinding kami dari pengunjung sebelumnya. Harus meminta 3 tines untuk itu harus dibersihkan. Igarettes juga ditinggalkan di kamar. Bahkan tidak memberi kami diskon untuk kebersihan yang buruk. Kolam renang membutuhkan beberapa renovasi serius.,1
9,Rosani Hotel,"Ketika Anda memesan menyimpan sedikit uang dan tidak memiliki sarapan termasuk itu sangat dasar dan tidak banyak pilihan,. Kami sering keluar untuk sarapan. Ruangan itu bersih tapi satu-satunya keluhan adalah lounge tua dan usang dan memiliki lubang di dalamnya perlu ditingkatkan. Staf sangat ramah dan membantu.",3
10,Rosani Hotel,Brilian sedikit. akomodasi yang sangat murah. Wifi yang cukup baik. Kolam renang yang bersih dan staf yang ramah. Dekat dengan bar dan restoran. Paman norma sebelah bar kecil yang bagus. Tidak bisa mendengar suara yang bising seperti beberapa review mengatakan. Aku tinggal di 2 kesempatan terpisah dan l tidur dengan baik.,4
