,hotel,review,stars
0,Sania's House Bungalows,"Bangunan itu sendiri & lokasi untuk harga akan sulit dikalahkan Sarapan bukanlah hal yang istimewa & tidak mungkin untuk mengamankan kamar Anda, tetapi saya tidak akan berdalih untuk harganya Jika saya dapat mengubah satu hal, tolong biarkan burung kecil yang malang itu di dalam sangkar kecil membebaskan kehidupan yang menyedihkan bagi orang miskin mengapa melakukan itu? ??",3
1,Sania's House Bungalows,"Kami tinggal di 3 kamar yang paling dekat dengan kolam kecil dengan 2 anak. Ruangan itu dasar, hanya seprai di tempat tidur, satu bantal per orang, tidak ada lemari es, fasilitas membuat TV atau kopi. Kamar mandi sudah mandi tapi tidak ada steker dan kamar mandi adalah selang genggam yang tidak dapat digantung. Sayangnya kami perlu meminta kertas toilet dan handuk untuk dipasok ke kamar juga. Pendingin udara menetes semalaman dan ayam jantan yang sangat dekat akan mulai berkokok sangat awal setiap pagi. Pengaturan cantik dengan arsitektur tradisional dan kebun. Ada tempat pijat di lokasi dan sarapan kecil disediakan. Namun, balkon tidak aman untuk anak kecil. Lokasi pusat dan terletak di pusat pasar dan tidak dapat diakses oleh mobil-mobil yang menjadikan transportasi bagasi…",2
2,Sania's House Bungalows,Kami tinggal di 82 dan 122 dan kamar terakhir baik-baik saja tapi 82 (dan berpikir seluruh rumah ini dengan semua kamar) memiliki masalah serius dengan sistem saluran pembuangan dan kamar berbau serius ini dan mematikan. Sarapan ok (dan sangat bagus disajikan di terrasse). Tidak ada air panas yang konsisten dan layanan yang tidak terlalu bagus. Di sisi positifnya lokasi yang sangat bagus dan agak sepi diberikan di dalam pasar Ibud. Kolam renang kecil tapi bagus dan bersih.,2
3,Sania's House Bungalows,"Kami tiba lebih awal dari waktu check-in, dan kami diberitahu bahwa kamar kami belum tersedia. Ini tidak masalah sama sekali. Kami memiliki sehari penuh di depan kami, dan teman-teman kami sudah keluar untuk sarapan. Jadi kami hanya nongkrong di resepsi, menunggu teman-teman kami untuk menjawab dan memberi tahu kami ke mana mereka pergi.  Sambil berdiri, ada seorang gadis yang datang dan berkata, 'Kamar kami jauh lebih baik sekarang, yang lain benar-benar mengerikan. Baunya sangat buruk. “Si resepsionis memandang catatannya dan menggumamkan sesuatu tentang staf yang mengurusnya.  Itu seharusnya The Sign. Saya telah melihat cukup banyak film horor untuk mengetahui bahwa selalu ada peringatan, selalu ada Person Gone Mad, atau tanda peringatan reyot yang akan mencoba dan…",1
4,Sania's House Bungalows,"Tempat sempurna, indah dan damai. Stafnya sangat baik. Arsitektur tidak bisa dipercaya. Sangat senang berada di sana selama beberapa malam.  Saya merekomendasikan tempat ini untuk semua orang yang ingin melihat tinggal di surga.",5
5,Sania's House Bungalows,"Kami tidak menginap di sini, jadi tidak bisa berkomentar tentang akomodasi. Tepat di tengah-tengah pasar Ubud jadi situasi tidak bisa lebih baik lagi. Ini adalah sebuah oasis, jauh dari keramaian dan kebisingan. Saya sudah pernah melihat kurang hiasan di istana dan perabotan layanan dan makanan yang baik. Harganya sangat masuk akal.",5
6,Sania's House Bungalows,"Sania. Rumah tidak memenuhi harapan, gambar dan deskripsi berikut di website kami membaca. Kamarnya tidak terlalu bersih, tidak modern. Kami tidak melihat gambar-gambar kamar mandi online dan ternyata ada alasan mengapa, itu cukup mengerikan. Tempat ini sangat tua dan kotor. Tidak ada dinding gunung untuk mandi dan tidak ada tirai mandi sehingga kamar mandinya sering kebanjiran. Ada juga bau benar-benar buruk semua melalui kamar yang berasal dari kamar mandi. Kamar-kamarnya tidak dibersihkan setiap saat kami berada di sana titik yang mengarah ke akumulasi sampah. Kami juga harus meminta handuk setiap hari, dan tisu toilet, terutama karena kami menggunakan handuk untuk mengepel lantai basah! Sarapan diantar ke kamar setiap pagi yang bagus tapi lagi-lagi, adalah sebuah kekecewaan.…",2
7,Sania's House Bungalows,"Salah satu tempat yang membuat anda langsung bersantai segera setelah anda tiba. Rapi, rapi & lucu. Staf yang hebat. Tidak ada kulkas di dalam kamar, tv atau aman, namun itu membuat defisit di pesona. Sangat direkomendasikan untuk siapa saja",4
8,Sania's House Bungalows,"Pada saat check in dan kami memesan kamar keluarga sudah dikonfirmasi menyewa ke orang lain, jadi kami harus menginap di dua kamar di lantai yang berbeda, malam pertama. Tidak ada awal yang baik.  Kolam renangnya kecil tapi cukup bagus tapi sangat dingin. Sarapannya enak di beranda anda. Staf sangat ramah tapi tidak banyak kemampuan Bahasa Inggris. Staf pembersih pada sisi lain harus paling tidak kompeten di hotel manapun yang pernah ada. Lupa handuk dan tisu toilet setiap hari.  WiFi sangat buruk dan sering berhenti bekerja. Kamarnya sederhana dengan tidak ada tambahan seperti pemanas air atau peralatan mandi.  Lokasinya bagus. Tetapi anda harus pergi ke sana untuk bir dan beberapa foto daripada menginap di sana.",2
9,Sania's House Bungalows,"Saya pilih secara acak dan benar-benar hidup Sanias rumah itu. Nilai yang bagus untuk uang. Kamar mandi perlu pembaruan tapi cukup bersih dan setiap hal yang bekerja. Staf yang luar biasa. Orang-orang yang sangat indah. Theodoran pemiliknya adalah tuan rumah yang mengagumkan. Ini adalah terletak di pusat di pasar, tetapi sangat tenang. Kolam renang kecil yang indah dan perlengkapan yang otentik. Saya akan kembali.",5
