,hotel,review,stars
0,Sun Royal Hotel,"Kamarnya agak lembab dan sumpek, terlihat sudah kurang dirawat sih, tapi sprei handuk masih bersih. Resepsionis ramah. Makanan untuk breakfast biasa aja, mungkin dimasak pas-pasan karena saya dan suami sempat kehabisan roti. untuk yang cuma buat ""numpang"" tidur aja (karena beraktifitas seharian di luar) mungkin bisa jadi pilihan karena harganya cenderung murah. tapi kalo untuk menikmati hotel, ga rekomen.",3
1,Sun Royal Hotel,"Kurang nyaman bermalam di hotel ini. Dengan rate harga yg lumayan pricy. Fasilitas dan kenyamanan yg tersedia sangat tidak memuaskan.  Saya dapet kamar di lantai 6  Ac nya sentral, tidak bisa di atur.  Lantainya berminyak dan di pinggir kasur banyak debu kayak tidak di sapu.  Air panas tidak nyala  Kasur berdebu, urung bantal dan sprei bau nggak enak ketika di minta pindah kamar tidak ada respon yg baik. Posisi membawa anak kecil sehingga cerewet tidak bisa tdr.   Mungkin kebetulan saya tidak beruntung mendapatkan kamar seperti ini.  Tapi saya terlanjur book buat 4 malam saya sangat tidak puas bermalam di sini.  ",2
2,Sun Royal Hotel," Menginap 3 malam di hotel ini untuk urusan pekerjaan Lokasi strategis karena berada di pinggir jalan Sunset Road sehingga Anda tidak akan kesulitan untuk menemukannya.  Ukuran kamar besar Air panas shower kencang Tersedia meja untuk kerja Teko listrik untuk membuat kopi juga ada Internet tersedia dengan cukup baik; jangan banyak berharap dengan internet Lokasi parkir memadai  Kolam renang untuk anak-anak bermain  Harga yang pas, under 300 di salah satu situs penjualan tiket dan hotel online. Jika walk-in rate, harganya terllu mahal.   Yang harus diperbaiki  Kecepatan intenet Sarapan; di banyak review tentang hotel ini memang telah disebutkan kalau sarapan tidak banyak ragam dan rasa tapi saya rasa sudah cukuplah untuk harga yang dibayarkan   Terimakasih 7 Days Semoga sukses…",3
3,Sun Royal Hotel,"hari kedua dan selanjutnya saya menginap di 7 days setelah sebelumnya saya menginap d hotel X yang amat buruk di legian, harga sangat terjangkau tapi ketika memasuki kamar, saya merasa senang dengan design kamar serta bersih sekali, disiapkan kamar yang ac nya sudah dinyalakan pokonya WELL PREPARE sekali, sangat perhatian.. suasana tenang dan sangat dekat dengan banyak tempat makan serta krisna oleh oleh.. intinya ada di dalam kamar sangat nyaman dengan semuanya 😊 betah sekali",4
4,Sun Royal Hotel,"Menurut saya hotel ini boleh mendapatkan 5 bintang untuk lokasi nya. Dekat kemana-mana, kuta, seminyak, legian, akses ke pantai (10 min drive). Harga nya murah, harga waktu itu saya dpt di sekitar 300,000 per malam.",5
5,Sun Royal Hotel,Pelayananya bagus pegawainya ramah trus waktu ini izin ngasih surprise di kamar nyalain lilin di kasih Pokoknya gak nyesel nginep di sini sorry gak bisa upload foto karna msh nyakut di kamera blm sempet mindahin,5
6,Sun Royal Hotel,"Sepertinya ini hotel baru di daerah Kuta. Harga yang kami dapatkan saat itu sekitar 350,000 IDR/night/room. Yang artinya cukup murah bila melihat hotelnya. Proses check in lancar dan cepat. Pelayanannya bagus. Lokasinya juga bagus",4
7,Sun Royal Hotel,"Area Kamar mandi bocor karena ada keran yg bocor. Sarapan pagi tidak menarik, tidak banyak variasi alias seadanya. Banyak makanan yg sudah habis tapi tidak segera di refil. Harus menunggu sampai kita meminta untuk di refil.  Kamar yg tidak dirapihkan dan dibersihkan dengan baik. Over all sy tidak mau lagi menginap disini.",1
8,Sun Royal Hotel,"Gampang baget cari hotel ini. Letaknya di sunset road sebelahan pas sama khrisna toko oleh2 bali.  Tempatnya ga gede bahkan lumayan kecil tapi cozy banget. Ada kolam renang anak bahkan. Dan bayi saya bisa berenanh disitu. Kamar not so big, kamar mandinya juga. Cuma yang cukup mengganggu saya adalah lantai kamar mandi yang cenderung licin banget kalo basah. Terus sarapannya ga bisa milih lbh dari satu menu. But normal dengan tarifnya. Nice small budget hotel!",3
9,Sun Royal Hotel,"Proses check in cepat, staf ramah, bfast cukup dan dekat dengan krisna oleh oleh, agung bali juga lumayan deket. Cuma handuk msih ada tulisan nm hotel sebelumnya dan air kolam renang terlalu banyak kaporit. ",3
10,Sun Royal Hotel,"Sebenarnya saya bersama keluarga menginap wkt liburan lebaran th 2014..saya browsing hotel lwt pegi-pegi .com dan mendapat hrg yg paling murah..ternyata setelah kami tiba dihotel kami disambut dg pelayan yg ramah dan diberi welcome drink yg cukup segar. Kemudian kami menuju ke kamar yg disediakan untuk kami di lt.3 pojok .. Kamar cukup bersih, nyaman, fasilitas lengkap ada teko untuk membuat teh yg sangat membantu saya untuk membuat susu anak kami yg msh balita. Kamar mandi jg bersih. Di dlm kamar terdapat sofa untuk duduk2..kolam renang bersih. Dan terlihat bagus dimalam hari. Posisi hotel jg dekat dg pusat oleh2 tinggal berjalan kaki dan dekat dengan resto D'cost jd kami sangat senang menginap disana. Terlebih ketika kami menjemur pakaian renang anak kami di teras dekat kamar…",4
11,Sun Royal Hotel,"Bali kini sangat ramai dan macet, apalagi pada peak season sehingga untuk keluar masuk wilayah Kuta pasti menyebalkan. Oleh karenanya jika menginap di 7 days premium Kuta, lebih fleksibel untuk wira wiri mengelilingi pulau Bali. Selain kamarnya cukup nyaman, bangunan masih lumayan baru dan terawat, Menu sarapan lumayan, Nah yang lebih asyik, jika anda ingin shopping, ada outlet cukup besar tidak jauh dari hotel sekitar 200-300 meter, ada toko Krisna yang buka 24 jam. Dan apabila bingung parkir jika ingin ke pantai Kuta, bisa di drop atau naik taksi hanya beberapa kilometer dari hotel.",3
12,Sun Royal Hotel,"Pelayanan nya oke. Room nya bersih, kamar mandi bersih. Wifi nya kurang sampai ke kamar. Akses mudah di jangkau dekat dengan bandara. Sebelah hotel ada tempat belanja oleh2 krisna. Pokok nya recommended hotel deh untuk yang pingin liburan bareng pasangan atau bareng keluarga. Harga nya oke banget di kantong",4
13,Sun Royal Hotel,"Letaknya strategis di jantung legian. Dekat dengan krisna oleh2 bali, dekat dengan the atanaya. Berada di jalur besar jalan raya sunset road kuta. Kamarnya luas, ada pembuat coffee, ada jendela tapi kemaren di lantai 5 dapat kamar paling pojok jadi wifi tidak masuk sampai ke kamar sama sekali. Pool nya keren deket dengan lobby. Parkiran juga luas. Staff ramah. Silahkan bisa bermalam disini dengan budget backpacker. ",4
14,Sun Royal Hotel,Sy sngat kesal ketika kmr sy  bs  d buka oleh tamu lain saat sy berada d dlm kmr .itu hal yg paling sy kesalkan .ketika sy tlp fo dy bilang tidak tahu! terus sy tanya sm siapa .sy was was tdr dengn keadaan seperti itu dan anehnya lg sy tes keluar buka kmr sy ternyata bs kebuka walau d dlm sudah terkunci,3
15,Sun Royal Hotel,"Seperti judul ulasannya, hotel ini dekat sekali dengan toko oleh-oleh Krisna cuma 5 menit jalan kaki. Jadi bisa bolak balik deh kalo ada oleh-oleh yang ketinggalan. hehehee ga susah ko cari makan malam di sini, ada *cost yang bisa ditempuh dengan jalan kaki, atau ada warung kaki lima yang makanannya lumayan enak. Dan mengenai hotel ini, yah lumayan nyaman sih (apalagi kalo mo beli oleh2, dekeettt bangeett hehehee).",3
16,Sun Royal Hotel,"handuk ok, kamar ok, saya dapat city view alias road view dan cek in ok, sewa motor dibantu di receptsionist dgn biaya Rp 75000 per 24 jam, makan pagi terbatas pilihannya, staff ok.kekedapan kamar masih bisa terdengar tp sepandan dengan harga yang kita bayar.",3
17,Sun Royal Hotel,"Hotel yg  strategis dekat kemana-mana, pelayan cukup ramah dan kamar nyaman, dan harga pun murah. Hotel ini berada di jalan sunset road yg besar jd tidak terlalu macet seperti di legian ata kuta, saya mau kemana-mana jd lebih gampang",4
18,Sun Royal Hotel,"Hotel ini sebenernya bagus, sayangnya kurang rapi dan agak kotor, atau mungkin saat kami sekeluarga nginep disana pas peak season. Area parkir gak ada yg ngarahin, jadi posisi mobil yang parkir berantakan plus gak ada juga staff lobby hotel yang menyambut para tamu di depan hotel, boro-boro bawain tas dan koper tamu. Aku dan adekku dapat kamar yang ada pintu tembus ke kamar sebelah, sedangkan kamar sebelah adalah tamu dr rombongan lain yg gak kenal, bukan ortuku... hiksss... Terus pintu kamar mandi terkunci pas kami pertama datang, udah dibukain ama teknisi hotel... eh pas abis aku selese mandi malah kekunci di dlm kamar mandi... untung ada adekku jd telpon teknisi hotel minta tolong dibukain lagi... hmmm... Lumayan lah buat pengalaman, walo lokasi strategis tapi beberapa…",3
19,Sun Royal Hotel,"Bln nop kmrn sy nginap dsni slm 5 mlm, proses check in agak ribet, dgn voucer yg sdh sy beli msh ditanya lg dgn bukti pembayaran antara sy dgn pihak penjual voucer, yg mnrt sy sgt aneh. Dan slm menginap kami ktmu rombongan bsr, jd bgt breakfast jika terlambat sdkt maka makanannya pun cm sisa"" & tdk ditambah lg olh staff, makanan pun slm 5hr tsb itu""saja, & sgt standar krn cm disediakan 1lauk, 1 sayur,nasi, mie, & buah, roti, minum ala kadarnya. Dan utk kebersihan ckp rapi tp syg slm 5hr sprei tdk diganti sm skali.",3
20,Sun Royal Hotel,"Menginap saat liburan sekolah bersama keluarga besar. Secara lokasi hotel ini cukup strategis, terletak di jalan raya, Sunset Road yang mampu kemana2 dengan cepat. Lokasi juga berdekatan dengan pusat oleh2 Krisna Sunset Road, hanya cukup berjalan kaki saja. Kamar cukup baik dengan fasilitas standard sesuai dengan harganya.",3
21,Sun Royal Hotel,"Untuk kamar lumayan lah kalau buat tidur.  Tp pelayanannya kurang bagus.  Resepsionisnya nya tidak teliti.  Booking saya sudah di blok kamarnya,  tp dikasih tamu lain.  Waktu mau check in juga dibilang belum masuk ditanya.  Jelas jelas saya sudah bawa voucher yang diberikan. Setelah saya tunjukkan email baru iya iya",3
