,hotel,review,stars
0,Sunset Hotel,"Kinjungan pertama saya ke 100 sunsetsekarang punya breakfast yang memuaskan daripada sebelumnya  Kamar yang luas, strategi lokasinya dan staff yang ramah mau kembali lagi kerna lebih memuaskan saya rekomend",5
1,Sunset Hotel,"Saya melakukan pemesanan kamar 15 April dan ketika datang ke hotel, hotel dalam kondisi renovasi, lobby utama tertutup dan tidak ada pemberitahuan kalau di alihkan ke gedung lain, saya tidak jadi menginap dan pindah ke hotel lain",1
2,Sunset Hotel,"Saya baru pertama kali menginap di hotel ini dan hotel ini bagus banget, saya Check in di tanggal 06/03/2018 kamar yg saya tempatin #129, kamarnya yang sangat luas dan rapih serta jaringan WIFI nya yang bagus cuma pas saya sarapan pagi table yang saya tempatin kotor banget, banyak debu dan banyak sisa kerak dari minuman seperti kopi dan jus, heran banget itu petugas restorannya tidak memperhatikan dari kebersihan table nya, padahal waktu itu resto untuk sarapan paginya tidak begitu rame, tolong untuk pihak terkait harus lebih diperhatikan dalam hal kebersihan table di restoran nya",4
3,Sunset Hotel,"Harusnya 100 Sunset yang Hotel sudah tutup dan di beri note ""closed"" baik di tripadvisor maupun di online booking. Kebersihan kamarnya, terutama lantai harusnya double check, karena lantainya lengket dan seperti kurang perhatian perawatan. Kasur nyaman dan enak. Kamar mandi juga agak kurang bersih.",2
4,Sunset Hotel,"menginap 19 - 23 maret 2017  bersama keluarga besar, kami menyewa 7 kamar di 100 sunset, kamar luas, bersih, dan nyaman, staff ramah, kami menggunakan mini bus dari hotel untuk bepergian bersama keluarga, staff hotel atas nama Gede Wiki dan joni sebagai driver kami sangat ramah sekali terhadap keluarga kami, dan sabar dalam melayani permintaan keluarga kami. lokasi hotel agak jauh dari pantai, bisa minta tolong carikan penyewaan motor kepada reception.",4
5,Sunset Hotel,Harganya cukup murah sekitar 700/2malam.ada kolam renang.ada spa jg..pegawai ramah..ada restoranya...masakan di restonya lebih ke chinese.klo nginep di sana hrs cobain ikan asam manisnya.duh enaaak bgt...,4
6,Sunset Hotel,"Pelayanan maximal oleh salah satu receptionist yang bernama Pandu. Sigap membantu tamu yang salah schedule seperti saya kemari.. Overall,  recommended hotel,  jangan lupa, cari mas Pandu,  warmth of Bali",4
7,Sunset Hotel,"Hotel ini letaknya sangat strategis, suasana nyaman, pelayanannya ramah & fasilitasnya cukup bagus, sarapannya enak, masakan di restorannya juga enak, yang paling kami minati adalah ikan gurame steamnya.",4
8,Sunset Hotel,"Saya menginap di Hotel ini karena mengikuti 4 hari pameran yang didakah di Ball Room hotel 100 Sunset 2 Hotel. Untuk pameran atau wedding ball roomnya mantab dan representatif. Makanan juga enak-enak karena hotel ini juga memiliki restaurant oriental yang cukup terkenal dan enak. Kamar berih, pelayanan ramah dan recomended bagi anda yang bepergian dalam rangka bisnis maupun wisata. ",4
9,Sunset Hotel,ya memang hanya hotel inilah yg paling dekat dengan RS. Siloam karena hanya berjarak 5 menit saja dengan berjalan kaki. Selain itu didekat hotel juga ada banyak tempat makan termasuk rm halal ayam presto diseberang hotel. Ke mall Galeria dam bandara juga dekat.  Pelayanan hotel cepat tanggap saat kami meminta perbaikan lampu yg rusak dan jendela yg tak bisa terkunci. Kamar cukup luas dengan perlengkapan hotel yg cukup.  Overall puas dengan 100 sunset dan berikut tips buat yg mau memginap di sini. - pilih option tanpa breakfast saat pesan kamar - pesan taxy bluebird lewat resepsionis - ke bandara naik taxy blue bird saja bisa hemat 65% dibanding taxy hotel,3
10,Sunset Hotel,"Saya mendapatkan informasi mengenai hotel ini dari Tripadvisor. Setelah membandingkan dengan informasi hotel dari sumber yang sama, akhirnya saya memilih hotel ini. Pelayanan resepsionis biasa saja. Cenderung tidak terlalu suka menyapa tamu hotel. Kamar cukup luas dan nyaman. Sayang sekali lantai kamar mandi kami bocor. Pihak hotel baru mengirim orang untuk memperbaiki setelah jam 17 padahal kami sudah menelpon dari jam 15. Sarapan bagus dan beragam. Untuk segi rasa memang terkesan kurang bumbu buat saya. Mungkin untuk turis asing cukup karena mereka memang tidak terlalu suka makanan berbumbu tebal. Lokasi cukup dekat dengan tempat makan dan supermarket. Overall saya suka tinggal disini dan tidak keberatan datang lagi kalau tujuan ke hotel hanya untuk tidur dan sarapan.",3
11,Sunset Hotel,"saya datang ke bali untuk menghadiri acara pernikahan kerabat dan saya stay di hotel ini hanya satu malam,  kamar yg nyaman, bersih, rapih, staff pun ramah, security sangat membantu pada saat c.in c.out menyenangkan, breakfast juga menyenangkan.. recomended deh",4
12,Sunset Hotel,"Kunjungan kedua. Hotel ini memang terletak di sekitar Kuta, namun karena lokasinya di jalan besar, sunset road, tidak perlu khawatir akan kemacetan dan keruwetan jalan legian, pantai kuta, dan sekitarnya. Proses check in sangat cepat, dengan sebelumnya melakukan booking melalui expedia. Kamar bersih, begitupun kamar mandinya. Sayang menu sarapannya kurang baik. Lain kali saya akan booking room only, without breakfast.",3
13,Sunset Hotel,"Menakjubkan, itu kesan pertama saya ketika pertama kali menginap disini. Datang kesini karena ada acara di ruang pertemuannya, dari luar kesan hotel ini kecil, tapi begitu masuk ke ruang pertemuannya, saya cukup kaget karena ruangannya sangat besar, kami dengan peserta 300 an orang masih menyisakan 50% ruangan. Lalu kekagetan berlanjut pada saat memesan kamar, harga kamar sangat sangat sangat sangat murah untuk hotel yang berada di Simpang Siur dan dekat dengan Kuta dan Mall Galeria.  Fasilitas layaknya hotel mahal dangan kolam renang dan mini gym. Anda dapat menggunakan gym 24 jam dan alatnya beragam.  Tepat Disebelah hotel adalah Harvest toko kue, diseberang beragam restauran dan berbagai mini market, atm dan juga Lippo Mall , Carrefour serta Toko Souvenir Agung yg cukup besar…",5
14,Sunset Hotel,"Lokasi hotel dekat dengan simpang siur dan mall bali galeria, mall lippo, Agung Toko oleh-oleh Bali, bisa ditempuh dengan berjalan kaki. Hotel masih cukup baru, kamar sangat bersih. Dan kalau anda memesan dengan tarif pemerintah anda akan sangat surprise melihat harganya.  Hotel ini dilengkapi dengan mini Gym dan kolam renang, untuk hotel yang terhitung mungil kita tidak menyangka fasilitasnya selengkap ini. Hotel ini memiliki ruang pertemuan yang sangat besar cukup untuk menampung 500 an orang.....jadi anda dapat mengadakan acara di hotel ini. Sarapan pagi juga cukup lengkap dan lezat, sesuai dengan selera kita. Toko toko kelontong juga banyak terdapat di sekeliling hotel - circle K, indomart...... toko kue Harvest berada tepat disebelah hotel, sehingga anda tidak akan…",5
