,hotel,review,stars
0,Tejaprana Resort & Spa,"Kami mencoba memilih hotel ini karena sangat sulit memilih hotel pada saat liburan lebaran. Jadi kami memilih karena hotel ini masih baru sehingga pasti gedungnya masih bagus dan juga harga kamar hotel yang masih terbilang murah pada kondisi high season seperti itu. Puji Tuhan ketika kami di sana semua memang bagus. Kamar vila type 2 bedroom dengan privat pool sangat luas bersih dan nyaman. Pelayanan juga bagus, dan ada free shuttle bus ke monkey forest. Free breakfast juga boleh diminta untuk di antar ke kamar tdiak hanya di restaurant. Ada juga paket-paket aktivitas dengan harga yang reasonable. Hotel yang patut kami jadikan referensi👍👍",5
1,Tejaprana Resort & Spa,"Pertama kali nginep di daerah ubud liat ada penginapan Tejaprana resort & Spa langsung jatuh cinta tempatnya indah, staf yang ramah dan makannya enak semua sangat berkesan tidak akan bisa di lupakan pertama lihat dari gambarnya tempatnya bagus datang kesana langsung memang bagus sama seperti di gambar cocok buat orang yang mau honeymoon.",5
2,Tejaprana Resort & Spa,"Pengalaman berlibur tidak terlupakan, nyaman, tenang, dan damai, itu yg saya rasakan. Saya betah sekali menghabiskan waktu berlama2 di kamar sambil melihat hijaunya pepohonan dan sejuknya udara pagi.Smua stafnya jg sangat ramah dan helpful.Saya pasti kembali :)",5
3,Tejaprana Resort & Spa,"Tempat ini sungguh luar biasa. Saya mendapatkan pengalaman menyenangkan sekaligus pelayanan yang ramah. Suasana yang tepat berbatasan langsung dengan hutan menambah suasana tenang di sana jadi makin asyik.  Tejaprana cocok sekali buat pengantin baru atau pasangan yang ingin menikmati suasana privat, tenang, dan penuh suara serangga hutan dan katak. Tak hanya untuk pasangan, untuk mencari inspirasi pun sangat bisa. Desain hotel yang punya konsep ""back to nature"" akan mempercepat datangnya inspirasi menulis atau berkreasi.",5
4,Tejaprana Resort & Spa,"Kunjungan saya dan anak saya di akhir bulan Mei ke hotel ini sungguh sangat mengesankan, banyak kejutan yg diberikan dari saat check in hingga check out. Menurut saya hotel yg sangat istimewa sekali.Keramahan staff yang melayani dengan sangat professional tapi tetap dg sentuhan personal membuat kita merasa nyaman seperti dirumah sendiri. Bangunan yg didominasi konstruksi bambu menambah kesan kuat alami yang menyatu dengan lingkungan sekitar yang masih nampak asri dan tenang serta suguhan konser alam berupa suara2 jangkrik dan kodok yang bersahutan memberikan sensasi tersendiri.. Kamar yang bersih dan luas didesain dengan sangat apik memenuhi semua kebutuhan tamu dengan view yang sangat excotic... Selain itu fasilitas penunjang lainnya yang ada di hotel ini tak kalah bagusnya…",5
5,Tejaprana Resort & Spa,"Saya sangat suka bath soap nya yang sangat wangi di badan seperti terbuat dari lemon grass meski sudah selesai mandi, baunya tidak hilang dan membuat relax. Malam hari dapat mendengar suara alam langsung jadi seperti benar-benar jauh dari suasana yang sibuk. Private pool nya sangat istimewa dan direkomendasikan buat honey mooner. Staff nya sangat ramah dan hospitality. Resort baru di Tegal Lalang, Ubud dengan konsep natural ini benar-benar fabulous dan membuat tidak ingin pulang.",5
6,Tejaprana Resort & Spa,"tempatnya sangat nyaman,tenang.Cocok untuk liburan bersama pasangan.Kebersihan sangat terjaga.Jangan khawatir ttg nyamuk,krn di fogging dan kalau malam ada bagian yang memastikan kalau obat nyamuk listrik dikamar terpasang.Sarapannya enaaakkk deh,apalagi omelette nya lezato tapi saya lupa apa nama menu omelette yang top bgt itu.Cm saran utk menu supaya lebih variant dan dikamar ada baiknya disiapkan tanda petunjuk kiblat.",5
7,Tejaprana Resort & Spa,"Villa yang bagus dan unik, staf  ramah, suasana nyaman, udara sejuk sangat. Restoran dengan desain bambu yang sangat unik dengan makanan yang juga enak. cocok untuk liburan bersama keluarga ataupun untuk honeymoon.",5
8,Tejaprana Resort & Spa,"Saya dan istri saya menghabiskan bulan madu kami di Tejaprana selama 8 malam dan sejak kami mendarat di bandara Bali dan dijemput oleh sopir, kami diperlakukan seperti raja dan ratu. Staf semua tahu nama kami, dan sangat penuh perhatian dan profesional. Makanannya luar biasa, kami bertemu dengan Chef Taugos yang menyiapkan makan malam dan kelas memasak lampu lilin, dan sangat akomodatif untuk kebutuhan vegetarian kami. Fasilitas Spa mewah dan staf sangat profesional.  Vila kami tak bernoda, dengan pemandangan menakjubkan dari kolam tanpa batas, menghadap hutan hujan, seandainya kami menghabiskan banyak waktu untuk bersantai sambil menonton monyet liar, tupai, dan burung.  Antar-jemput gratis ke pusat kota Ubud sangat berguna, kami cenderung menggunakan perusahaan taksi di…",5
9,Tejaprana Resort & Spa,"Saya dan istri saya tinggal di resor indah ini untuk bulan madu kami. Vila hutan pribadi kami dengan kolam renang pribadi sangat mengagumkan. Sejak kami tiba perhatian dari staf sangat mengagumkan! Kamar kami selalu bersih dan staf selalu khawatir jika kami membutuhkan sesuatu. Mereka sangat ramah dengan layanan antar-jemput atau layanan transportasi lain yang kami butuhkan! Dan sarapannya lezat! Akhirnya, kami memiliki layanan antar-jemput yang indah kembali ke bandara dengan I Wayan Polih. . . dia sangat ramah dan penuh perhatian dan mengajarkan kami lebih banyak tentang Bali daripada panduan lain yang kami miliki. Pengalaman luar biasa",5
