,hotel,review,stars
0,The Agung Residence,"Tinggal di sini selama 10 malam, memesan dua kamar untuk saya & pasangan saya & yang lain untuk teman-teman. Dapat mengatakan bahwa itu adalah nilai besar untuk uang - Anda mendapatkan apa yang Anda bayar. Anggaran memang. . hal-hal yang bisa diperbaiki adalah sprei bersih - handuk bersih. Dan hanya ada bau konstan bau melalui hotel, bau seperti pipa drainase. Ada kolam renang namun kami tidak pernah berenang di dalamnya karena hanya terlihat hijau sepanjang waktu. Staf sangat ramah - kami tinggal di kamar 304 & 305. Mereka mungkin perlu melihat pipa-pipa di kamar mandi karena kami selalu memiliki air di lantai - kamar 305 beberapa ringan di dinding yang perlu dilihat. Meskipun semua tempat tidur yang nyaman - ukuran kamar baik - baik nilai untuk uang - dekat dengan segala…",3
1,The Agung Residence,"Saya benar-benar tidak satu untuk mengeluh tetapi ini benar-benar adalah pengalaman yang mengerikan. Hotel itu sendiri adalah di daerah yang hampir kumuh jenis daerah (jika Anda telah melihat film inbetweens itu seperti ini) Kami dipukul dengan bau berdebu tua ketika kami berjalan ke kamar dan segera menyadari mengapa ketika kita melihat dinding yang tertutup lembab. . kami diminta pindah ke kamar. . ketika kita melakukannya, itu masih basah tapi tidak seburuk - karena kita tidak suka mengeluh kami pikir kami mungkin juga benjolan itu tetapi ketika kami memeriksa tempat tidur dan seprai kotor (dan kotor maksudku noda riasan di bantal dan noda darah di seprai!!) mereka bahkan tidak mengubah mereka dari orang terakhir. Kami meminta pengembalian dana karena ini dan mereka mencoba…",1
2,The Agung Residence,"Kunjungan ini sangat bagus. Ruangan besar, tempat tidur besar, kamar mandi bersih, kamar ac. 2 botol air gratis. Resepsi sangat baik dan bermanfaat. Kolam renang luar biasa. Tempat tidur sangat baik, saya memiliki tidur terbaik di perjalanan saya. Ini adalah 200 meter dari jalan utama, tidak ada suara. Toko sudah dekat. Harganya absoluetly murah untuk 200 k. Saya tidak mendengarkan komentar buruk, tempat ini luar biasa. Beri peringkat sebagai seorang backpacker.",5
3,The Agung Residence,"Saya menginap selama satu malam di recidence Agung. Itu benar-benar murah, dan ini adalah penawaran bagus untuk harganya. Ini adalah gaya sederhana tapi memiliki semua yang anda butuhkan di sebuah kamar hotel. Tempat tidur yang nyaman, shower air panas, air minum dan handuk. Ini adalah daerah yang tenang, walaupun anda benar-benar dekat dengan sunset road. Jalan memang terlihat sedikit kembali - seperti, sekutu dan saya sedikit tidak nyaman berjalan di sana setelah mendapat gelap. Tapi itu mungkin hanya praduga saya sendiri.  Ada kolam renang kecil di lantai dasar, dan sarapan adalah pilihan masakan Indonesia, Inggris atau kontinental. Ini adalah standar, tidak ada pengalaman gourmet, tapi itu layak, dan porsi yang baik. Secara keseluruhan, pengalaman yang bagus, dan yang pasti,…",3
4,The Agung Residence,"Nyaman menginap satu malam. Tidak ada embel menginap dan dekat dengan tempat makan dan jalur utama. Sarapannya menyenangkan dan para staf sangat ramah dan membantu. Kamar memiliki tempat tidur yang nyaman, TV dan wifi yang lebih cepat dari resepsionis kami digunakan untuk. Yang dapat menemukan Uber hotel dan kami 30 menit dari bandara di hari berikutnya.",3
5,The Agung Residence,"Saya pergi ke tempat ini selama beberapa hari, dengan harga yang terjangkau di Bali, tempat yang nyaman untuk beristirahat dan jauh dari keramik,  Kamar sangat bersih, dengan kolam renang di samping restoran dan staf yang sangat ramah, di sana kami bisa mendapatkan sarapan besar dan Wifi yang cepat dan gratis.",5
6,The Agung Residence,"Ini adalah akomodasi bergaya sanggraloka, dan ya, jalan agak mengejutkan/terkejut memang, namun kamar yang kami tempati sangat bersih, dilayani setiap hari dan bau gratis dan staf sangat sopan dan membantu. Ada tidak ada restoran tetapi ada menu sarapan yang tersedia pada harga yang sangat wajar, ada kolam renang yang indah, kami tinggal di sini selama 12 malam dan tidak akan ragu untuk kembali.  Beberapa kamar sedang dalam proses sedang dicat dan dihiasi.",4
7,The Agung Residence,"Dipesan dari ulasan pada pemesanan. Gambar pada situs web dan COM. Hotel ini berlokasi di area yang agak berbahaya sebuah gang yang gelap. Cek in jam 12 . 30. Mereka lakukan tidak memiliki ruangan siap meskipun pemesanan dan membayar hari sebelumnya, nightman yang memeriksa kamar sebelum kami mengambil 3 kamar. Kamarnya adalah yang terburuk yang pernah saya lihat, seprai dan bantal yang berbau begitu buruk, kamar mencium mengerikan, semua dinding dan noda jamur hitam. Mendapatkan Password Wifi dan memesan hotel lain 20 menit kemudian dan meninggalkan. Saya tidak akan merekomendasikan tinggal di sana, ada banyak pilihan hotel murah yang bersih dan aman.",1
8,The Agung Residence,"Tempat ini adalah tempat yang luar biasa harga untuk Seminyak, sangat dasar tetapi untuk harga yang bersih, ber-AC dan memiliki staf yang ramah. 18 menit berjalan kaki yang bagus/6 menit taksi ke pantai. Jika Anda ingin 5 bintang atau socialiable tempat ini adalah tidak untuk Anda. Tenang, murah dan bersih saya akan merekomendasikan. Saya memesan satu malam dan tinggal selama 4. Ada pasar makanan yang luar biasa sebelah, yang adalah makanan lokal terbaik saya pernah makan dan tidak ada biaya.",4
9,The Agung Residence,"Kami sangat kecewa. Kamar memiliki bau jamur apak, cetakan hitam di dinding dan ditutupi noda, AC sangat bising dan tampak seperti itu telah tidak pernah telah dibersihkan. sangat sulit untuk tidur. Tempat tidur terlalu lembut karena kasur sangat tua. Tetapi yang terburuk adalah bantal bau, lembab, kuning dan memiliki cetakan hitam pada mereka. Kamar terburuk yang pernah saya tinggal di.",1
