,hotel,review,stars
0,The Anvaya Beach Resort Bali,"Menginap tanggal 1-4 oktober 2022 bersama keluarga.  Menginap disini karena ingin bersama keluarga sekalian bekerja dan berlibur dan juga sekalian foto2 yang bagus karena reviewnya bagus2. Saya memesan hotel bintang 5 ini melalui marketing bu Stefani. Thanks buat bu stefani yang dengan sabar melayani banyak permintaan kami, dan bagusnya kamar kami bisa diupgrade ke pool view.  Parkiran cukup luas, sangat banyak spot foto dihotel ini, kebetulan kami rental mobil juga, karena ada rumah juga di tegalalang. Resort ini sangat luas, poolnya ada banyak, lobbynya keren. Banyak pilihan kamar mulai standar, sampai yang ada private pool. Kebetulan kami didesainkan kamar anniversary dengan kue dan bunga2 asli yang membentuk angsa (thanks for that, apreciate)., amenitiesnya superb 5 star…",5
1,The Anvaya Beach Resort Bali,Saat ini datang dgn harapan yang benar2 ingin berlibur  Staff msh ramah Makanan msh enak Tapi sy mendptkan kmr yg tidak nyaman... Paling ujung dgn pemandangan kebun spt belakang rmh... Utk x ini agk mengecewakan... Dan hotel ini spt kurang perawatan ,1
2,The Anvaya Beach Resort Bali,Sungguh pengaalaman yang sangat berkesan setelah beberapa kali kami stay di The Anvaya Beach Resort baik sebelum pandemi maupun setelah pandemi kamar kami di upgrade dari family room ke type Suite Premiere yang sangat luas dan indah. Terima kasih kepada Bu Ayin selaku quest relations manager yang telah menyambut kami dengan baik. Hotelnya tetap indah. Tetap terjaga kebersihannya. Pantainya juga bersih. Staffnya selalu ramah dan profesional. Sarapan paginya juga tetap berkualitas walaupun variasi menunya tidak sebanyak masa sebelum pandemi. Suatu saat kami akan kembali lagi dan semoga dapat upgrade gratis lagi. Untuk kunjungan kami walau cuma semalam dari tgl 1 jan - 2 jan 2022 saya sangat merasa berkesan. Untuk nilai saya beri nilai 5. Perfect.,5
3,The Anvaya Beach Resort Bali,"Pertama kali masuk kamar, listriknya mati, katanya sistem kelistrikan bermasalah. Lalu kedua pintu ke halaman berongga membuat anak saya diserang nyamuk akhirnya hanya dilakban. Malam saya tdk bisa masuk kamar lagi katanya sistem kelistrikan lagi. Mungkin saya yg tdk pantas menginap di hotel ini. Jadi kami diberikan kamar yang bermasalah.",1
4,The Anvaya Beach Resort Bali,"Kamar yang nyaman, air panas yang cepat, tempat tidur luas. Saat kudatang malam jam 09.00 an malam kami langsung ditunngu garda depan. Lanjut ke resepsi dan langsung dpt kunci. Dan mandi. Bobo nyenyak dan bangun jam 7.00 pagi wit. Hmmmm sedap. Sarapan pagi ku di lokasi tepi pantai Kuta. Salam Penulis. #marketingplandalambisnis #clearteamworkdalambisnis #wawasankebangsaan #marketingpolitikidentitaspersonalbranding",5
5,The Anvaya Beach Resort Bali,"Tiba di hotel sudah lewat tengah malam, awalnya terlihat biasa saja. Checkin sangat cepat dengan pelayanan yang mengerti kalau kita sudah lelah dan ingin segera masuk kamar.  baru masuk kamar terasa suasana yang mewah dan nyaman. Pagi pertama sangat luar biasa, sarapan pagi di dekat pantai dengan pemandangan lepas pantai kuta. lanscape hotel sangat terawat dengan kolam renang yang bersih dan luas. pokoknya sangat puas.",5
6,The Anvaya Beach Resort Bali,"kami mengadakan gathering di the Anvaya dan saya sangat senang karena team kami tidak salah pilih, Anvaya menyajikan kualitas terbaik. Segala kebutuhan kami selalu dibantu dengan pelayanan terbaik. next saya akan menginap bersama keluarga.",5
7,The Anvaya Beach Resort Bali,Untuk hotelnya keren banget dan sangat rekomended buat keluarga terutama yg punya anak dan hoby mantai kualitas dan fasilitas sangat bersih dan nyaman pelayanannya juga memuaskan terutama bpk erwin duty manager yg sangat antusias membantu banget ... jd pengen ke bali lagi nginep disini lagi dapat diskon pula.punya pantai pribadi dwngan keamanan yg sangat terjamin krn securitynya dsekitar pantai . Makanaannya untuk breakfast nya uenakkl,5
8,The Anvaya Beach Resort Bali,Kembali ke anvaya Krn berfikir anvaya msh spt dl...semua msh serba oke.. Tapi saat ini sgt sulit mendapatkan kmr connecting. Walaupun dpt tapi di paling pojok dan paling jauh sedangkan kami bersama bayi. Depan kamar tidak ada view yang berkesan...hanya spt kebun di belakang rumah kami... Kurang terawat dan tanaman banyak gersang... Ternyata anvaya sudah tidak seperti dulu lagi... Mengecewakan...,2
9,The Anvaya Beach Resort Bali,Saat ini datang dgn harapan yang benar2 ingin berlibur  Staff msh ramah Makanan msh enak Tapi sy mendptkan kmr yg tidak nyaman... Paling ujung dgn pemandangan kebun spt belakang rmh... Utk x ini agk mengecewakan...  ,3
10,The Anvaya Beach Resort Bali,"Pertama kali datang , udh dilayanin dgn dkasih minuman sehat seger dan handtowel. Seneng bgt menginap dsni. Terbukti ratingnya paling tinggi. Anakku dkasih surprise 2x. Dkasih surprise birthday cake saat sarapan dan kamarpun dhias balon dgn bunga cantik tlsn HBD. Terima kasih banyak pelayanannya yg sgt memuaskan. Semoga bisa kembali menginap disini. Salam sayang dr ankku dan keluarga utk the anvaya hotel.",5
11,The Anvaya Beach Resort Bali,"Thank you Pak Erwin Hutasoit atas sambutan dan pelayanannya sgt welcome,prepare kamar bersih,rapi,romantic🙏, private kolam renang sangat bersih, proses cek in cepat👍....hotelnya langsung ke pantai👌thank u ya🙏🙏🙏🙏",5
12,The Anvaya Beach Resort Bali,"Hotel berlokasi di Kuta yang ramai, namun memiliki akses langsung ke pantai sehingga cukup memiliki tempat untuk bersantai. Hotel bergaya modern minimalis dengan pelayanan yang cukup bersahabat, serta memiliki berbagai fasilitas bersantai, diantaranya beberapa jenis kolam renang yang dapat dinikmati. Untuk sarapan disediakan 2 jenis restoran, yaitu yang berdekatan dengan pantai (langsung menghadap ke laut) dan yang berhadapan ke jalan kuta. Menu keduanya cukup bervariasi.",4
13,The Anvaya Beach Resort Bali,Sangat berkesan dgn pelayanan di hotel... lokasi sangat strategis... view hotel yg bagus... Sangat suka... akan kembali lagi mau ambil kamar dgn kolam private... sarapan pagi sangat banyak menux... makasih u anvaya bali,5
