,hotel,review,stars
0,The Gong,"Tidak akan merekomendasikan makan di restoran. Layanan mengerikan dan kualitas makanan di bawah rata-rata. Kami hampir tidak melihat / diajak bicara dan merasa sangat tidak diinginkan sepanjang waktu. Secara keseluruhan, pengalaman yang mengerikan. .",1
1,The Gong,"Jangan tinggal di sini. Untuk kualitas, harga untuk Bali terlalu tinggi. Sudah bobrok, dan saya di sana jauh lebih berkualitas untuk lebih murah di bali. Juga mereka tidak memperingatkan saya bahwa resepsi akan ditutup pada saat penerbangan saya masuk, jadi tidak punya ide untuk memberi mereka kepala. Mereka tidak memperingatkan satu orang yang menginap semalam bahwa akan ada seseorang yang melapor masuk, dan dia tidak tahu cara memeriksa reservasi saya, ditambah ada kendala bahasa. Ketika dia mencoba yang terbaik, setelah hari yang panjang bepergian dan berada di jalan yang sepi sebagai wanita solo, itu sedikit menakutkan dan membuat frustrasi.",1
2,The Gong,"Benar-benar baik menginap di hotel yang bagus ini. Kolam renang baru dan baik kamar, baik dan benar-benar nyaman. Ada beberapa skuter untuk berkeliling untuk 100. 000 rp. Sarapan baik (kami mencoba sarapan ala Amerika). Juga orang-orang dan layanannya bagus",4
3,The Gong,"Akomodasi yang sangat nyaman dan keluarga yang menjalankan tempat ini sangat ramah dan membantu. Mereka ingin berbicara dengan tamu mereka, mengenal mereka dan juga memberitahu tentang beberapa hal-hal kehidupan mereka. Saya merasa sangat nyaman dan akan merekomendasikan untuk menginap di sini.",5
4,The Gong,"Akomodasi ini menawarkan kamar modern yang bersih dengan AC; satu dengan pemandangan laut dari kejauhan, dengan TV; yang lain tanpa jendela, tidak ada TV dan di dalam lorong. Kamar mandi modern dengan unit pancuran besar dan air panas. Kolam renang sempit dan tempat berjemur di luar restoran. Sarapan adalah dissappointing sebagai makanan yang cukup mendasar dan jauh lebih baik yang ditawarkan di beberapa restoran di jalan seperti sudut luar dan Buddah Soul. Jadi, akomodasi baik-baik saja, bagaimanapun, tempat membosankan dan tidak ada kenangan yang dibuat di sini. Bahasa Inggris kurang diucapkan oleh manajer dan staf dapur. Tempat itu menawarkan skuter untuk disewakan.",3
5,The Gong,"Kami tinggal di 3 tempat yang berbeda selama kami tinggal di Bali dan gong sejauh ini favorit kami mutlak. Kamar, restoran dan area kolam sangat bersih dan dibangun ulang.  Wayan, Winnie, Tendy, Antie, dan semuanya staf di Gong adalah orang-orang luar biasa yang sangat peduli tentang kebahagiaan Anda dan ingin Anda memiliki pengalaman menginap yang menyenangkan.  Anda dapat menyewa skuter sekitar 50 K per hari, yang kami sarankan karena ada begitu banyak pantai dan restoran yang bagus di dekat Anda dan Anda dapat melihat lebih banyak lagi jika Anda memiliki roda (suami saya dan saya berbagi 1 sepeda).  Beberapa pantai kurang dikenal yang terkenal di dekatnya adalah pantai Nyang Nyang (menakjubkan!), Thomas Beacb dan pantai Melasti.  Gong memiliki restoran di lantai bawah dan…",5
6,The Gong,Saya menginap di sini selama 4 malam. Saya memesan karena katanya wifi. Wifi tidak mencapai di dalam ruangan. Segera setelah Anda berjalan di balkon itu bekerja. Membuat panggilan wifi tidak mungkin dilakukan. Ada air panas yang bagus. Saya melihat semprotan roach di keranjang pembersih dan saya meminta mereka untuk tidak menyemprot di kamar saya ketika membersihkan. Mereka benar-benar perlu bertanya kepada orang-orang apakah boleh menyemprotkan kamar setiap hari saat membersihkan. Mereka datang dan membuat tempat tidur setiap hari. Saya harus bertanya pada mereka pada hari ke-3 untuk memberi saya handuk baru dan untuk mengosongkan tempat sampah.  Saya melompat di kolam pada malam kedua. Saya merasakan sedikit sensasi terbakar di kaki kanan saya dan segera keluar. Suami saya…,3
7,The Gong,"Kami awalnya memeriksa tinggal yang mengerikan di seberang jalan dari The Gong. Untungnya kami sedang mencari makan malam dan menemukan tempat yang menakjubkan ini! Foto-foto di Trip Advisor sayangnya tidak up to date. Tempatnya benar-benar berbeda. Tempat tidur yang nyaman, AC sangat bagus, kamar yang sangat bersih, kamar mandi sangat besar dengan mandi air hangat yang luar biasa, kolam renang yang sangat bagus dan keluarga yang sangat baik! ! Lokasi bukan yang terbaik kecuali Anda naik skuter! Pasti merekomendasikan tinggal di sini dan kami berharap dapat segera kembali!",5
8,The Gong,"Setiap perjalanan ke Bali, kami kembali ke sini. Renovasi yang luar biasa, tapi yang paling penting keluarga ini penuh cinta, kami menawarkan mereka yang mendalam busur terima kasih dan sangat dihormati untuk berbagi ruang ini pada perjalanan kami. Taman dan kamar-kamarnya bersih, kolam renangnya bagus, makanannya luar biasa dan sangat dekat ke pantai. Jika anda berjalan di seberang jalan langsung mengikuti jalan dan belok kanan di atas akan membawa anda ke tempat yang indah di tebing Uluwatu. Jika anda adalah seorang peselancar yang jelas ini untuk anda, ini dibuat oleh seorang penduduk lokal yang masih muda peselancar yang terkenal dengan tujuan yang menjadi host energi anda dan keluarganya membawanya sekarang. Menikmati. Terima Kasih",5
9,The Gong,"Kami tinggal di kamar baru untuk 450 k malam termasuk sarapan.  Yang bagus: tenang di malam hari, dan tempatnya sangat bersih dan baru. Sarapannya ok - bervariasi dalam kualitas dan kuantitas setiap hari tergantung pada siapa yang sedang memasak. Semua orang yang tinggal di sini sangat dingin - malam yang menyenangkan berkumpul bersama mereka dan merupakan lingkungan yang menyenangkan! Kamar mandi besar (lihat gambar terlampir) tetapi pemborosan ruang sebagai ruang dengan tempat tidur sangat ketat. Air panas bekerja dengan baik!  Yang buruk: AC adalah hidup atau mati, tidak ada pengaturan suhu. Tempat tidurnya HORRIFIC. secara jujur. Mereka kokoh dan berdecit sangat keras setiap kali Anda menggeser berat badan. Tidak ada ruang untuk menyimpan tas. Tidak ada lampu sama sekali…",3
