,hotel,review,stars
0,The Jimbaran View,"Kami sekeluarga menginap di hotel the jimbraan view selama 2 malam, dalam rangka acara pernikahan saudara kami. Pelayanan dari para karyawan sangat memuaskan, ramah dengan fasilitas kolam renang yang nyaman untuk keluarga kami, pemandangan sangat indah dari atas/rooftop",5
1,The Jimbaran View,Menginap bersama pasangan di hotel ini pada akhir juli lalu. Mendapatkan kamar di lantai 6 yang memiliki pemandangan luar biasa terutama pada malam hari. Terang benderang lampu kota. Dinner di rooftop dengan suasana yang romantis dan makanan dengan harga yang sesuai. Staffnya ramah dan sangat membantu.,5
2,The Jimbaran View,"Saya dan keluarga sangat senang dan puas menginap di The Jimbaran View Hotel. Selama menginap 3 malam disini, kami sekeluarga sangat menikmati fasilitas hotel seperti swimming pool dan Fitnes center dan puas dengan palayanan para staff hotel. Kami sekeluarga sangat menikmati makan malam kami di Rooftop dengan menu BBQ Seafood ditemani pemandangan lampu-lampu kota yang sangat indah",5
3,The Jimbaran View,"Menginap bersama keluarga selama 3 malam, sangat puas sekali dengan pelayanan yang diberikan, karyawan ramah ramah, makanan enak, kolam renang menjadi favorit kami dan pemandangan sangat bagus dari rooftop.",5
4,The Jimbaran View,"Menjadi tamu pindahan dari maxone, merasa surprise dengan pelayanan di hotel ini, staf tidak ada yang menyebalkan,  Menukar welcome drink di rooftop, dan terjebak dengan pemandangan dan promo happy hour yg diberikan",4
5,The Jimbaran View,"Karyawan pada gak sekolah..gak ada sopan santun..bicara sama tamu nada suaranya bentak bentak.....pelayanan sangat tidak memuaskan,emangnya tinggal disana gak bayar apa?KURANG AJAR SEKALI...fasilitas kamar banyak yang gak disediain",1
6,The Jimbaran View,"Saya membawa keluarga besar untuk menginap disini, secara keselurahan fasilitas yang diberikan cukup baik dan komplit. Tidak ada masalah selama check menginap disana. Hal yang membuat saya kecewa adalah pada saat saya booking salah satu kamar untuk keluarga saya dan beliau early check out, dana yang sudah saya depositkan tidak dikembalikan sampai saat ini. padalah booking tersebut fleksibel dan sales nya mengatakan sudah memproses dan dana akan masuk dalam 2 hari. Sampai saat ini sudah lebih satu bulan dana tidak masuk juga dan tidak ada respons baik dari managemen hotel tsb. sungguh mengecewakan.",3
7,The Jimbaran View,"Datang untuk kedua kalinya, seperti biasa rooftop menjadi favorit saya dengan pemandangan Bay viewnya yang indah, tiap harinya ada entertainment yang berbeda. Staff sangat membantu dan ramah. Liburan berikutnya semoga bisa datang lagi. ",5
8,The Jimbaran View,"Saya berada disini selama dua malam. Setiap pagi saya sarapan pagi suasana sangat rusuh, ribut, pelayan tidak sigap mengisi kembali makanan yg habis, gelas habis tidak langsung diisi. SANGAT tidak nyaman. Jangan bayangkan akan ada pelayan yang akan menuangkan kopi anda, tidak akan ada.  Makanan kosong, bubur mau dimakan tidak ada, buahan yang mau dimakan sudah habis. Hari pertama saya mencoba makan jam 8 hal yg sama terjadi, besoknya saya datang jam 7 hal sama juga.  Saya check in jam 14.00 lebih, kamar belum siap, saya tunggu, begitu saya masuk ke kamar Bau Kain Basah.  WiFi diruangan putus nyambung. Tidak akan kemari lagi.",1
9,The Jimbaran View,"Kamar deluxe Bay View sangat recommended, dpt lt.5 sdkit jauh kepojokan tp rupax view paling bgs dr sudut lt.5. Kami tidur sampai membuka gorden utk menikmati view. Roof Top Bar & Lounge sangat nyaman dng life akustik.  Breakfast so so.....but over all, were having a pleasant stay.",3
10,The Jimbaran View,"Kami ditempatkan di lantai 6. Samapai hampir jam 12 malam ada yg clear up di lantai 7 fan sangat mengganggu.. meski 2x diinfo, tidak di gubris. Fasilitas lift mati tanpa pemberitahuan di dinding Lift lantai 6, Not recommended",2
11,The Jimbaran View,"Lumayan, price sepadan dengan  kondisi di hotel. Sayangnya kalau lagi penuh, sarapannya jadi kurang nyaman karna cepat abis dan seperti rebutan :( Tapi secara umum, cukup oke buat bermalam dan beristirahat",3
12,The Jimbaran View,"Saya menginap di kamar yang berkonsep minimalis serba putih. Kamarnya luas, fasilitasnya lengkap, view balkonnya menghadap ke kolam renang dan rooftop barnya keren bgt! Suka!!! One of my favorite hotel in Bali ❤",5
13,The Jimbaran View,"Saya sangat senang  bisa menginap di hotel the jimbaran view...pelayanannya sangat ramah dan cepat, fasilitas cukup lengkap ada kolam renang, tempat fitnes, tempat bermain anak dan bisa santai santai di lantai paling atas di rooftop dengan pemandangan yang sangat indah.",5
14,The Jimbaran View,"Kami sekeluarga menginap 3 malam di Hotel The Jimbaran View, pelayanan sangat memuaskan, kamar nyaman, pemandangan sangat indah dari atap rooftop dan sangat dekat sekali ke beberapa tempat tujuan wisata kami, GWK dan Pantai Pandawa.  ",5
15,The Jimbaran View,"Hotel yang cukup strategis terletak di daerah Uluwatu , atau banyak tempat wisata pantai yang bagus. Perlu dipertimbangkan untuk menginap di tempat ini mengingat banyak terjadi kemacetan terutama menjelang sunset time. Hotel cukup lengkap dan bersih dengan rooftop bar dan view. Kolam renang luas dan kamar cukup luas. Cocok untuk keluarga maupun pasangan yang ingin melakukan banyak aktivitas di daerah Uluwatu, GWK, pantai balangan dll.Sarapan cukup bervariasi. Tersedia free shuttle ke pantai pandawa.",4
16,The Jimbaran View,"Kami menginap 2 malam bersama keluarga, tinggal di kamar connecting menghadap ke kolam renang, pelayanan sangat baik, pemandangan diatas rooftop sangat bagus.Anak kami bisa bermain di kids club yang disediakan gratis dari hotel. sangat menyenangkan.",5
17,The Jimbaran View,"Saya dan keluarga menginap disini selama 3 malam karna lokasi yang dekat tempat tinggalnya dengan saudari saya di Ungasan. Tempat ini di pinggiran jalan, namun anda tidak perlu khawatir karna tempat ini sangat-sangat tenang. Jauh dari keramaian jalan raya, view yang sangat memuaskan di rooftop, kolam yang luas dan juga kamar yang luas. Semuanya oke, termasuk staf juga yg sangat sigap :)",4
18,The Jimbaran View,"kami sekeluarga menginap selama 2 hari, menggunakan connecting room view pool. Proses check in yang cepat dan pelayanannya ramah. Bangunan hotel baru dan bagus. Makanannya enak tapi tidak banyak variasi.",4
19,The Jimbaran View,"Kamar nyaman dan bersih, pelayanan ramah, ada kolam renang nya, ada view ke pool ataupun ke pantai bias pilih. Hotel ini wajib disinggahi karena nyaman. Harga juga terjangkau untuk menginap disini. Pelayanannya cepat.",3
20,The Jimbaran View,"hotelnya bagus, kamarnya nyaman, tempatnya juga dekat dengan banyak tempat wisata daerah jimbaran. ada rooftopnya yg asik untuk nongkrong-nongkrong sambil liat pemandangan dari atas. pelayanannya sangat ramah dan cepat",4
21,The Jimbaran View,"Bangunan hotel baru dan bagus, dekat dengan lokasi wisata cuman jalan menuju hotel gelap dan menanjak. Pelayanan sangat ramah dan cepat. Kekurangan air panasnya nggak stabil kadang2 panas kadang2 dingin.",4
22,The Jimbaran View,"lokasinya dekat dengan jalan raya uluwatu, gampang banget dijangkau. ada rooftop nya lafi, asik banget buat duduk-duduk ngumpul sambil lihat laun dan bandara ngurah rai pun kelihatan dari sini. pelayanannya sangat bagus dan ramah sekali, dimana servicenya sangat memuaskan dan sangat murah senyum. kamarnya bersih bangte,wangi dan kamar mandinya juga okee. overall semuanya bagusss banget, recomended banget deh.",5
23,The Jimbaran View,Pertama kalinya c/i di harris jimbaran yg sudah dbayangbayangkan dengan indah viewnya...  Tp setelah sampai dkamar reception malah menanyakan 'kamarnya bersih?' Karena saya niatnya berlibur yaudalah saya tidak mengecek kebersihan seluruh isi kamr .. Ternyta setelah saya tau sheetnya kotor trus meja coffe berdebu .. Sblm c/i tamu make sure lah terlbih dahulu. Smoga kedepanny lebih baek lg Thanks,3
