,hotel,review,stars
0,The Kampung Ubud Villa,Tempatnya bagus private tp sayang menu breakfast nya msh paketan gitu dan gak banyak pilihan sama air nya suka mati2 jd kalo mandi agak susah kettler utk air panas jg gak ada jd kalo mau buat air panas gak bisa..di sediain kompor tp gas nya gak standby jd harus panggil bell boy nya utk nyalain gas dlu..,3
1,The Kampung Ubud Villa,"papan nama penunjuk lokasi villa tidak kelihatan, akses perlu diperhatikan, ditambah penerangan jalan..situasi nyaman dan staff yang super ramah, perhatian dan sangat membantu..villa luas dengan pool dan open shower area.",4
2,The Kampung Ubud Villa,"Seperti villa pd umumnya, tetapi Kampung Ubud Villa menawarkan kenyamanan, ketentraman dan kedamaian. selama menginap di KUV. Pelayanan ramah yg tidak dibuat2, bersih dan yg paling favorit kolam renangnya betul2 bersih airnya, sehingga tiap hari berenang selama 5 hari. Tenang, seakan tinggal dirumah sendiri tidak ada hiruk pikuk tamu lain.",5
3,The Kampung Ubud Villa,"Kami menginap di sini selama sekitar satu minggu pada bulan September. Staf tidak mungkin lebih ramah dan menampung. Wayan, manajer, itu sangat ramah dan penuh perhatian dan melakukan semua yang dia bisa untuk membuat tetap menyenangkan. Komang dan Adi juga ramah, membantu, dan selalu mencari cara untuk membuat tetap di sini menyenangkan. (Sebagai contoh, ketika Komang mendengar saya ingin pergi ke kuil untuk mengunjungi, ia membawa sarung dari rumah berikutnya bagi saya untuk memakai - Aku tidak tahu itu dan kalau tidak aku tidak akan mampu untuk mengunjungi.) Vila-vila sendiri cukup nyaman dan foto di situs website mereka akurat. Ini adalah tentang sepuluh menit perjalanan ke Ubud, di daerah perumahan, tapi pesawat ulang-alik berjalan dua kali sehari.  Semua tempat disana,…",4
4,The Kampung Ubud Villa,"Apa yang anda pikir tentang Kampung akan sangat bergantung pada apa yang anda cari. Kami menginap  selama 5 hari yang sebenarnya terlalu lama 2 hari. Akomodasi Fisik: Terdapat tiga villa yang terletak didalam sebuah desa kecil (Kampung) hanya 15 menit jaraknya dari Ubud. Kampung adalah sebuah desa yang sesungguhnya dan terletak tepat disebelah villa-villa itu dimana ayam jantan (dalam jumlah yang banyak) berkokok dari sekitar pukul 5.30 (sangat keras)..jadi ini bisa menjadi hal yang mendukung atau pun mengurangi tergantung dengan apa yang anda cari. Ada beberapa hal kecil yang harus dilakukan disekitar vila itu sendiri. Saya bersama keluarga (istri dan 2 orang anak) tinggal di vila Nirwana, lihat videonya di http://www.youtube.com/watch?  vila-vila yang cukup bersih walaupun…",3
5,The Kampung Ubud Villa,"Pengalaman buruk di hotel ini. Kami memutuskan untuk menghabiskan satu malam dari tiga yang telah kami pesan, mereka menjanjikan penggantian kepada kami bahwa kami telah menunggu selama setahun dan mereka hanya berhenti membalas pesan kami. Hotel ini terletak di sebelah peternak ayam dan baunya tak tertahankan. Hanya menghindarinya, ada banyak hotel indah di Ubud dengan layanan yang sangat baik.",1
6,The Kampung Ubud Villa,"Kami memesan hotel sehingga kami bisa melihat Ubud. Hotel menyatakan itu adalah perjalanan singkat, perjalanan singkat adalah 4 km dan shuttle bus memiliki waktu yang aneh. Kami diberi kamar dengan kolam renang pribadi (pemikiran bagus yang akan Anda pikirkan) yang mendapat sekitar 1 jam sinar matahari di pagi hari dan tidak menyenangkan. Kamar mandi luar didukung ke apa yang tampak seperti peternakan karena babi diberi makan dan sangat bising bersama dengan satwa liar lainnya (yang dapat Anda harapkan). Saat hujan, jalan menuju kamar kami membanjiri pergelangan kaki kami. Kami memang meminta untuk dipindahkan tetapi mendapat jawaban yang jelas dari ""kami sepenuhnya dipesan"" yang kami tahu tidak benar. Bukan tempat terbaik untuk menginap karena sangat sulit untuk mendapatkan…",1
7,The Kampung Ubud Villa,"Hotel yang sangat bagus, kami mendapat rumah sangat kecil di sebelah kolam renang. Staf sangat baik, ramah dan membantu dan mereka memiliki sarapan yang luar biasa dan setiap pagi Anda memiliki pilihan di mana Anda ingin makan sarapan Anda. Di depan kamar Anda, di dekat kolam renang atau di restoran. Nice terletak di tengah-tengah pusat kota tetapi di taman (di mana kamar-kamarnya) tidak ada kebisingan kota, hanya suara katak, burung, dan binatang lainnya.",5
8,The Kampung Ubud Villa,"Vila-vila pedesaan tetapi mereka memiliki semua kontra mod. Kolam renang pribadi fantastis dan lokasi itu damai dan indah.  Stafnya benar-benar menyenangkan terutama Katut yang sangat membantu.  Ada sebuah kedai kopi dalam jarak 5 menit berjalan kaki serta sebuah toko serba ada dan beberapa restoran lokal.  Jika Anda ingin menjelajah lebih jauh, Kampung dapat dengan cepat mengatur pengemudi atau penyewaan sepeda motor.  Amed terasa seperti Bali dulu 20 tahun yang lalu. Dapatkan cepat sebelum terlalu banyak wisatawan menemukan permata yang damai ini.  Kami akan senang untuk kembali lagi!",5
9,The Kampung Ubud Villa,"Setelah minggu-minggu yang sibuk di tempat kerja, saya dan seorang teman memutuskan untuk menghabiskan satu hari jauh dari Canggu. Sesuatu yang berbeda dari getaran Canggu. Kami berpikir kemudian, ""itu ubud"". Jadi kami memesannya.  Pergi ke sana kemarin, ketika saya tiba suasana villa terasa agak kosong. Pria di kantor depan itu baik dan dia juga membuat lelucon, itu bagus. Dia mengantarku ke vila saya dan orang lain mengambil tas kami.  Jika Anda mengharapkan kemewahan, layanan luar biasa, vila bintang 4 yang baik, ini mungkin bukan yang Anda cari. Tempat ini adalah jenis tempat yang lebih santai yang dengan bersantai maksudku rasanya lebih seperti 'rumah'.  Villa itu bagus, tidak terlalu besar, tidak terlalu mewah, tidak terlalu romantis, tetapi cukup. Nyaman.  Lantai di…",3
