,hotel,review,stars
0,The Sankara Suite & Villas By Pramana,pengalaman seru di pool dan radha spa dsn pelayanan yang selalu ramah. tempat yang nyaman dan sangat tenang untuk istirahat bersama keluarga dengan fasikitas yang lengkap jadi memilih satu tempat yang fasilitas gym sekali nemilih tempat rekreasi nya.,5
1,The Sankara Suite & Villas By Pramana,"Villa yang katanya masih baru ya, vibesnya enak banget. Makanan restonya murah dan enakk.. di hotelnya ad rental motor murah sekitar 70k kemudian juga gymnyaa bersih serta banyak bulenya! Hahahaa.. will come back",5
2,The Sankara Suite & Villas By Pramana,"Menurut saya pertama kali menginap disni nilainya 9/10 mulai dari tempatnya iahh sangat asri dan nyaman banget , ada wellcome drinknya juga disni loo  , kamarnya baguss dan dibalkon suasananya sangat menenangkan apalagi dibawah balkon ada kolam ikan jadi beneran keren banget suasana disini kalo aku kmren dapet kamar 734 iaa gess  , kalo ak nginepnya kmren include breakfast jd kita makan dr jam 8 sampai 11 siang dan ternytaa makanannya enak looo  disni yang paling aku suka itu jam nya homemade dikasi roti enak banget semuanya deh enak2 makanannya disni pas kesini aku lagi ultah dan mreka ngasi kejutan dong beneran surprise bgt dehhh TOP , yang paling aku suka itu pas berenang ada bakso juga dimini barnya dan murah juga harganyaa 10 rbuan jd abis renang kita bisa makan baksoo enak…",5
3,The Sankara Suite & Villas By Pramana,"Spa, pelayanan, makanan,  kamar, semua 👍👍👍👍sangat2 puas... dan akan kembali lagi ke sana bersama keluarga untuk berlibur. Terima kasih untuk semua staf atas pelayanan dan keramahannya... oh yaa, banyak free disc dan photoshoot",5
4,The Sankara Suite & Villas By Pramana,Bagus smuanya nyaman dan ramah semua Next time bakal balik lagi nginap dsini Parkiran juga ada Kolam renang bagus  Kamar bersih Buat yang liburan ke bali stay dsini aja yaa Sarapan juga enak Pesan makanan ke kamar juga cepat diantar……………………………………….. 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻termiakasih banyak,5
5,The Sankara Suite & Villas By Pramana,"Petugas ramah, kamar nyaman, bersih dan fasilitas lengkap, kamar mandi bersih, pemandangan bagus.  Dapet free spa juga 15 menit juga, spanya enak buat ngilangin pegal pegal dan pemandangan bagus Recommended bgt penginapannya.cocok long staycation.",5
6,The Sankara Suite & Villas By Pramana,"Pelayanan luar biasa, semua staff ramah. kamar luas dan bersih. view bagus. ada layanan pijit yg enak. ada free pijit 15menit. kl suatu saat ke bali lagi, bakalan nginep di sini lagi 💙  Saran : sediakan hair dryer akan sangat berguna bagi para cewe-cewe 😁",5
7,The Sankara Suite & Villas By Pramana,"Hotel yang sangat nyaman, staff ramah, makanan restonya enak dan murah, nyesel cuma sehari di sini semoga bisa kembali ke hotel ini suatu saat nnti dan menikmati keindahan alam Ubud di sankara hotelll",5
8,The Sankara Suite & Villas By Pramana,"Pelayanan yg ramah dan baik. Kamar yang luas, bersih, dingin dan nyaman. Fasilitas umum yang lengkap dan sangat terawat. Breakfast yang selalu fresh dan enak. serta adanya Foto Session cocok untuk anda yang ingin mengabadikan momen bersama keluarga dan pasangan anda. Rasanya tidak akan pernah merasa bosan jika dihotel ini. Terimakasih atas pelayanannya",5
9,The Sankara Suite & Villas By Pramana,"The sankara suites & villas adalah penginapan yang sangat bagus untuk dijadikan tempat menginap yang nyaman dengan keluarga selain tempatnya yang indah dan juga asri, tempat ini juga memberikan kenyamanan lewat pelayanan staffnya yang sangat ramah.",5
10,The Sankara Suite & Villas By Pramana,"Tempatnya keren bgt staff ramah makanan enak ini giveaway pula😍⭐️ Makanan enak, tempat nyaman dan bersih serta view nya bagus. Cocok untuk staycation bersama rekomen sekali. Harga kamar affrodable pokoknya the best",5
11,The Sankara Suite & Villas By Pramana,"Awesome... Tempat nyaman banget, kamarnya luas, makanannya enak, pelayanannya memuaskan dan sangat recommended untuk staycation di sini, spanya juga enak, spot foto Banyak banget, ada bonus foto2 juga Di fotoin sm fotografer. Sangat puas menginap disini.",5
12,The Sankara Suite & Villas By Pramana,"Ambil paket berenang di The Sankara Suites, harganya terjangkau bangett. 35k udah dapet makanan dan minuman. Makanannya enak pula. Viewnya nyegerin mata. Cocok banget buat healing. Baru dateng udah disambut sama staff yg ramah"" banget. Hotelnya udah menuhin standar CHSE jugak. Pasti bakal balik lagi sihh",5
13,The Sankara Suite & Villas By Pramana,"ga nyesel stay di the sankara villa, the best of the best. pelayanannya memuaskan, staff ramah” bgt dan edukatif, kamar bersih bgttt ga ada minus satupun. Kalau ke daerah Ubud lagi pasti bakalan nginep disini lagi❤️ fasilitas lengkap pokoknya, ada gym free, kolam renang free, spaa nya dpt diskon 🤩 dan yg paling penting ambience nyaa juaraaaaaa🤩🤩 sejuk dan asrii. Sukaaaak bgttt pokoknya ❤️❤️❤️",5
14,The Sankara Suite & Villas By Pramana,"Secara keseluruhan tempatnya bagus, bersih, pelayanannya sangat ramah dan memuaskan. Ditambah lagi ada valley yg dekat dengan suara sungai, rasanya ingin sering-sering berkunjung kesini ☺️❤️ Terimakasih",5
15,The Sankara Suite & Villas By Pramana,"staff nya sangat membantu dan ramah2 bgt, fasilitasnya juga lengkap, spa nya enak dan worth it, makananya pun enak. cocok buat healing, tempatnya juga menjaga privacy. bakalan balik nginep disini kalau ke bali!",5
16,The Sankara Suite & Villas By Pramana,"Bagus bgtt😍 dari pelayanan, makanan, room dan lain lain cakep bgtttt☺️👍 menginap 3 hari 2 malam disini tidak ada complain sama sekali malah kita repeat order disinii sampe ketagihan nginep disini. Pokoknya kalo ke ubud, nginepnya harus disiniiii",5
17,The Sankara Suite & Villas By Pramana,"Spa nya nyaman dan memuaskan, room yang lengkap dan nyaman, privasi terjamin, service quality memuaskan, plus orang nya baik dan ramah. Terima kasih untuk pelayanan yang memuaskan. Semoga bisa dipertahankan dan ditingkatkan.",5
18,The Sankara Suite & Villas By Pramana,"tempat sangat menyenangkan,,staffnya ramah semua dan selalu siap melayani tamu yg menginap tempat bersih, view ok, tempat tenang cocok untuk healing mencari ketenangan. ingin lagi kembali kemari gak akan nyesel kalau menginap disini...coba aja pasti puas",5
19,The Sankara Suite & Villas By Pramana,Hotel bagus. Pemandangan luar biasa.. cocok utk healing. Recomended banget utk temen2 semua yg mau cari area hening.. pelayanan juga ramah.. fasilitas juga standart bintang 5 lo.. jadi pokoknya recomended banget..,5
20,The Sankara Suite & Villas By Pramana,"Kamarnya nyaman, pelayanannya ramah dan baik, makanannya enak, sangat rekomen untuk tempat menginap saat berlibur ke Ubud. spa nya oke sekali. Smua staff ramah2 dan helpful .definetely will come back again to Sankara.",5
21,The Sankara Suite & Villas By Pramana,Suasana tenang dan nyaman di lingkungan vila membuat regenerasi energi kami. Sejenak mundur dari keramaian dan kebisingan. Rekomended menginap disini. Bahagia selalu menyertai. Tuhan memberkati....🙏🏻🙏🏿🙏,4
