,hotel,review,stars
0,The Sun Hotel & Spa,+Kamar Bersihperalatan lengkapkamar cukup luaskeramahan staff sudah baik-kamar mandi relatf sempitmenu sarapan perlu ditingkatkanpelayanan staff di depan perlu ditingkatkan dalam hal kecepatan layanan karena saya datang pukul 16.00 tapi kamar belum ready,3
1,The Sun Hotel & Spa,"Saya menginap 3 malam bersama keluarga boking 5kamar, 1 kamar tidak dibersihkan dihari ke dua.. lagi asik2 mandi tiba2 air keluar coklat dan kotor.kadang berbau. Mohon lbh ditingkatkan kualitasnya yah agar tamu yg menginap tidak kecewa",3
2,The Sun Hotel & Spa,"Kami  senang menginap di hotel ini, terutama anak2.  Kami memilih kamar akses kolam renang.  Jadi kami puas berenang. Harga juga cukup terjangkau. Hanya saja ukuran kamar tdk besar, begitu jg dgn tempat tidurnya, tidak cocok buat keluarga dengan anak.  ",4
3,The Sun Hotel & Spa,"Lokasi dekat dengan pantai Kuta dan legian juga antara jalan pantai Kuta dan jalan legian, serta juga dekat dengan pasar legian untuk membeli pakaian maupun buah tangan. Saran pilih kamar yang akses ke kolam renang. Kamar nyaman dan luas. Petugas memberikan pelayan ramah dan sangat membantu. ",4
4,The Sun Hotel & Spa,Ukuran kamar dan kamar mandi terlalu kecil untuk harga hotel bintang 4. Hairdryer sering bermasalah. Dan proses check in cukup lama karena masih ada org belum check out padahal saat itu sudah pukul 4 sore Overall pelayanan perlu ditingkatkan. Trims,3
5,The Sun Hotel & Spa,Meskipun liburan sendiri.. tapi tak merasa sepi karena keramahan staf di the sun hotel and spa... legian. Anda akan di sambut dengan sangat ramah.. oleh seluruh staf yang ada di the sun hotel and spa.. Semua terasa akrab dan tidak mersa asing di tengah keramain legian.,4
6,The Sun Hotel & Spa,"pelayanan staffnya sangat ramah, hotel bagus sesuai dengan harga, dekat dengan legian dan kuta, kamar rapih, next kalau kebali akan menginap disini lagi, benar benar sangat memuaskan menginap di the sun",5
7,The Sun Hotel & Spa,"Pertama saya menilai pelayanan nya ramah, kedua letak Hotel strategis, ketiga kamar dan lingkungan hotel bersih, keempat fasilitas lumayan lengkap dari hairdyer,kulkas, Tv,air panas, peralatan mandi semua tersedia. Next mungkin saya menginap disana lagi.  ",4
8,The Sun Hotel & Spa,Saya tinggal sepekan di kamar Double Balcony. Kurang lebih 5 menit berjalan kaki ke Pullman. Tempat yang bagus untuk harga 300 ribu semalam. Banyak restoran murah di sekitarnya. Tempat cuci baju pun banyak. Pasti akan kembali.,5
9,The Sun Hotel & Spa,"Kamarnya tak sebagus yang difoto. Kasurnya berbunyi krieett krieett saat dibuat tidur. Kamar mandinya superrr sempit sekali. Kamar dari pagi minta dibersihkan tetapi sampai sore jam5 masih belum dibersihkan, tapi untungnya boleh minta pindah kamar. ",2
10,The Sun Hotel & Spa,"Secara keseluruhan bagus, ac dingin, kasur bersih, air toilet lancar, sarapan enak dan bervariatif. Lokasi dekat dengan pantai kuta dan legian. Bagi yang mau bepergian tidak direkomendasikan sewa motor di hotel ini, kecuali bawa helm sendiri.",4
11,The Sun Hotel & Spa,"Menginap di deluxe pool terrace, ketika datang kamar sudah dihias dengan hiasan honeymoon.. hotel lumayan bersih pelayanan nya baik, sarapan nya kurang beragam masih sama setiap hari., lokasinya aga kedalem gang sehingga sulit untuk masuk mobil, tetapi hotel menyediakan parkir basement over all Nice Hotel... ",3
12,The Sun Hotel & Spa,The sun hotel and spa yg berlokasi di jalan lebak bene legian.. adalah tempat menginap yg sangat baik bagi saya.. lokasi yg dekat ke pantai . Staf yg sangat ramah membuat saya tak ingin pindah hotel setiap ke bali..,5
13,The Sun Hotel & Spa,"Hotel ini sebenarnya bukan hotel bintang 4 yang sebenarnya karena fasilitasnya sangat standar. Lokasi sangat strategis dekat pantai dalam radius jalan kaki (2-3 menit), namun lokasinya dalam gang yang cuma muat 1 mobil. Semua ruangan hotel sangat minimalis dan agak kecil termasuk kamarnya (sesuai dengan harganya). Jika mengunjungi Bali dengan budget terbatas, bisa memilih hotel ini. Hotel ini juga memiliki layanan spa dengan harga terjangkau. Pelayanan spa-nya juga lumayan enak. Recomendedlah....",4
14,The Sun Hotel & Spa,"Lokasi dekat dengan pantai kuta dan pusat keramaian di Jl. Legian, kamar dengan kelas deluxe lumayan luas, bersih dan nyaman saat istirahat. Sayangnya Jl. Lebak bene tergolong sempit dan cukup untuk 1 mobil. Lokasi ini memang cocok bagi traveler yang suka berjalan kaki, naik sepeda atau sepeda motor. Banyak bar disekitar lokasi, tempat hiburan dan dinner sekitar 5 menit berjalan kaki.",4
15,The Sun Hotel & Spa,"Hotel sangat dekat dengan pantai kuta. Akses jalan menuju ke hotel sangat sempit dan hanya bisa dilalui 1 mobil, akan tetapi untungnya hotel memiliki tempat parkir dibasement. Untuk pelayanan dan kebersihan semua oke...Nice Hotel...see u next time..",4
16,The Sun Hotel & Spa,"Walau awalnya sulit ditemukan karena jalan utama depan hotel hanya satu arah, ternyata lokasi hotel sangatlah strategis, hanya butuh 5 menit untuk menuju pantai kuta. Di sAmping lokasi yg strategis, kamar hotel & toilet bersih. Pelayanannya pun memuaskan.",4
17,The Sun Hotel & Spa,"Hotel ini terletak tak jauh dari pantai kuta. Meskipun didalam gang tetapi mereka memiliki basement sebagai tempat parkir yang cukup menurut saya. Pelayanan yang diberikan pun cukup ramah tanpa memilih wisatawan baik lokal maupun asing. Memang hotel ini didominasi wisatawan asing dari berbagai negara. Hotelnya cukup bersih, fasilitasnya cukup lengkap termasuk kolam renang yang memanjang ditengah-tengah hotel. Saya sendiri memilih kamar dengan fasilitas balkon yang kemudian diupgrade menjadi family room 1 bedroom. Secara luas kamar ini sangat luas dan memungkinkan untuk membawa extrabed. kamar mandinya juga cukup besar walaupun hanya menyajikan shower. Ada tempat menjemur apabila dibutuhkan. Sarapan yang disajikan cukup enak walaupun menunya kurang variatif. Untuk bacon perlu…",5
18,The Sun Hotel & Spa,"Letaknya yang cukup strategis dekat dengan pantai menjadi salah satu pilihan kami saat berkunjung ke Bali.  Menikmati pantai yang luas dan bersih di pagi hari, disertai ombak yang menggulung lembut menyentuh kaki saat berjalan di tepinya, sungguh memberi kesan yang tidak terlupakan.  Hotel dilengkapi dengan fasilitas kolam renang di tengahnya dan berbagai fasilitas yang memanjakan pengunjung.  Sajian sarapan di cafe cukup enak dan tersedia beberapa pilihan menu.  Pelayanan ramah dan bersahabat.",4
