,hotel,review,stars
0,The Vira Bali Boutique Hotel & Suite,"Hotel yang menyenangkan, dekat dengan bandara, kolam renang nya juga bagus. Tersedia berbagai pilihan sarapan pagi. Di sekitar hotel juga banyak foodcourt dan restoran. Kamarnya bersih dan bagus. Kami sekeluarga sangat nyaman menginap disini. ",5
1,The Vira Bali Boutique Hotel & Suite,Berlibur bersama keluarga staff penerimaan tamu sangat ramah dan menyenangkan dan  kamar yg kita tempati semua nya excellent axses langsung menghadap pool side dan jg ada axses langsung money changer around lobby jd mau kemana saja sangat dekat  next akan kembali lagi ke sini,5
2,The Vira Bali Boutique Hotel & Suite,Berlibur ke hotel the vira bersama keluarga tempat yang asik dan sangat menyenangkan  kamarnya besar dan lansung axses ke balcony pool side dsini jg kita dapat sarapan gratis prasmanan dan bnyak pilihan. Dan juga dibantu dngan pelayanan yg baik ,5
3,The Vira Bali Boutique Hotel & Suite,berlibur sendiri ada tugas kantor dan memilih the vira untuk menginap karena  excellent axses lnsung bandara dan juga sangat dekat shoping mol dan pantai dapat gratis sarapan yg super enak dan banyak pilihan dan dapat pelayanan yg baik dan memuaskan ,5
4,The Vira Bali Boutique Hotel & Suite,Pengalaman berlibur di the Vira  bersama keluarga dan baru  sekali menginap dihotel letaknya strategis dekat dengan pusat perbelanjaan dan jg dekat dengan bandara spa yg cantik dan juga dapat sarapan gratis sebelum kami balik pulang ajan kembali lagi overall welldone,5
5,The Vira Bali Boutique Hotel & Suite,"Hotelnyaa sangat nyaman dan bersih dengan pemandangan yang indah, pelayanan yang selalu ramah serta selalu memberikan pelayanan yang terbaik, terdapat money changer di lobby hotel yang memudahkan kita untuk menukar uang tanpa harus keluar hotel, selain itu juga makanan di restaurant yang sangat enak. Sangat recomended untuk menginap disini.",5
6,The Vira Bali Boutique Hotel & Suite,Hotel yang sangat menyenangkan dengan pemandangan yang indah. Area hotel yang sangat bersih. Semua staff sangat ramah dan cepat tanggap. Lokasi sangat strategis disebrang mall. Terdapat money exchange pada lobby hotel  sehingga saya tidak perlu pergi jauh untuk tukar uang,5
7,The Vira Bali Boutique Hotel & Suite,Berlibur  dihotel the vira bersama keluarga pengalaman yg sangat mengesankan hotel yg unik dan cantik dngan semua fiew akses dr balcony lansung menghadap ke  teras pool side kita juga dapat sarapan sdah include   buffet makanan yg enak dan pelayanan service juga memuaskan kami semua will come back again,5
8,The Vira Bali Boutique Hotel & Suite,"Lokasi strategis, dekat dengan bandara & pusat perbelanjaan Breakfastnya mantap, enak sekali banyak varian menunya, staffnya ramah-ramah, kamar & poolnya bersih,  Overall nyaman sekali stay di sini, tempat yang recommended buat stay dengan pasangan & keluarga",5
9,The Vira Bali Boutique Hotel & Suite,Menginap  semalam.disini sangat berkesan hotel yg.nyaman  akses pergi.k mol dan.food.center.sangat dekat dan bisa jalan kepantai auma 5  menit dr hotel staff.nya ramah dan sangat membantu makanan.yg tersedia diwaga.resto  enak dan. Banyak pilihan will come back .here again,5
10,The Vira Bali Boutique Hotel & Suite,"pengalaman yang luar biasa pernah menginap di hotel ini,penerimaan tamu yang sangat baik dan menyenangkan sarapan pagi yang enak dan banyak pilihan,hotel yang dengan airport dan mall.ada tempat nongkrong yang baru waga food truck,akan datang kembali kesini untuk berlibur kembali",5
11,The Vira Bali Boutique Hotel & Suite,"Hotel yg menyenangkan dekat mol dan pantai, sarapan pagi yg enak banyak pilihan juga, pool nya bagus ada gemericik airnya untuk bersantai cocok banget, stafnya yg ramah dan lokasi hotel juga dekat dengan bandara, untuk meeting luar kota recommended pokoknya",5
12,The Vira Bali Boutique Hotel & Suite,"Pemandangan yang indah dari kamar. Staff yang ramah pada tamu. Kamar yang bersih dan rapi serta nyaman. Saya sangat menyukai makanannya, pilihan yang beragam tapi yang paling saya suka adalah burger & tacos di Waga Food Truck.",5
13,The Vira Bali Boutique Hotel & Suite,"Kamar hotel bagus dan artistic dalam penataannya, kebersihannya juga bagus. Staff yang ada juga sangat ramah dan cepat tanggap untuk membantu, breakfast yang disediakan enak dan terlihat mewah. Lokasi hotel sangat strategis karena dekat dengan airport dan mall. ",5
14,The Vira Bali Boutique Hotel & Suite,"Boutique hotel yang lokasinya sangat strategis, di depan lippo mall kuta, dekat juga dari bandara banyak tempat makan….. Awesome staff , good service , breakfastnya  mantap , kamar bersih , ada kolam renangnya juga.. Next akan kembali lagi kesini ……..",5
15,The Vira Bali Boutique Hotel & Suite,"Pengalaman yang bagus menginap di hotel the vira ,pertama lokasinya yang strategis dekat dengan airport dan daerah tujuan wisata yaitu pantai Kuta, pantai german dan juga sangat dekat dengan pusat perbelanjaan yaitu Lippo mall Kuta memudahkan menikmati indah nya pulau Bali dan khususnya kuta,selain itu juga memiliki pool yang bagus dan juga sangat dekat dengan restaurant yang memudahkan memesan makanan dari pooll,dan tidak lupa ukuran kamar yang pas, staf - staf nya sangat ramah murah senyum, menjadikan pengalaman yang indah menginap di hotel the vira Bali ini",5
16,The Vira Bali Boutique Hotel & Suite,hotel yg menyenangkan dekat dengan pantai dan disekitar bnyak super market dan toko2 kecil untuk shoping b fast  yg enak dan banyak pilihan dan staf yg ramah dan sangat membantu  akan kembali lagi kesini membawa teman dan family sangat recomend,5
17,The Vira Bali Boutique Hotel & Suite,"Pengalaman perjalanan ke Bali yg sangat menyenangkan bisa menginap di hotel yang  wowww keren habis,sangat dekat dari bandara dengan layanan antar jemput dari bandara ke hotel dan atau sebalik nya ,fasilitas hotel yang nyaman dengan pelayanan yang sangat ramah.pokok nya  pingin balik lagi deh bersama keluarga ke hotel ini,segera",5
18,The Vira Bali Boutique Hotel & Suite,Hotel yg sangat bagus dan menyenangkan.staff na sangat ramah..hotelna sangat strategis dekat dengan  Bandara dan mall...makanan di restoran sangat enak dan memuaskan.pokokna saya sangat senang menginap di hotel ini ..lain waktu saya akan menginap lagi di hotel the vira Bali..,5
19,The Vira Bali Boutique Hotel & Suite,"Hotel yang menyenangkan, breakfastnya bervariasi banyak pilihan dan enak. Staffnya ramah dan sangat membantu. Kolam unik dan cantik. Dekat dengan pusat perbelanjaan hanya di seberang jalan. Ke pantai juga dekat hanya 5 menit. Akan kembali lagi di next holiday.",5
