,hotel,review,stars
0,Uppala Villa Seminyak,"Villa yg cukup nyaman utk berlibur keluarga. Menginap 2 hari, rasanya ga mau kemana2. Private pool yg cukup utk berendam/ main basah2an. Sayang springbed nya kurang baik. Breakfast cukup baik. Letak cukup strategis, kebersihan cukup, pegawai nya ramah2. Terus tingkatkan.... terima kasih.",3
1,Uppala Villa Seminyak,"Saya punya tamu di villa 116 dia sangat suka dengan uppala villa seminyak.villa nya bersih,jauh dari keramaian,semua staff yang ramah.tamu sy bilang suka dengan uppala villa seminyak dan dia akan kembali dan menawrkan ke teman temannya buat stay di uppala villa seminyak.",5
2,Uppala Villa Seminyak,Menginap di sana waktu itu 2malam 3 hari puas.. Villanya bersih luas breakfastnya enak staff nya juga ramah ramaah.. Walaupun tempatnya agak kedalam di belakang penjara kerobokan tp aman kok jauh dr keramaian mau cari makan juga gampang,5
3,Uppala Villa Seminyak,"Lokasi nya memang jauh dari pantai, tapi suasana nya cukup memuaskan bila kita menginginkan waktu untuk quality time bersama orang-orang terdekat, kalian bisa menggunakan villa ini. sebagai ukuran bintang 3 villa ini cukup bersih dan memiliki pelayanan yang sangat baik. Dengan rate harga yang cukup terjangkau.",3
4,Uppala Villa Seminyak,"Tidak seindah seperti yg kita lihat difoto, tempat ini bisa aku rekomendasikan buat honeymoon, krn secara lokasi jauh dari keramaian. Untuk tempat sempit untuk ukuran sebuah villa, kolam renang juga sangat kecil jadi tidak cocok kalau membaea anak anak.Mungkin krn yg menginap juga tidak terlalu Banyak/sering sehingga aroma dari villa ini jadi bau apek",3
5,Uppala Villa Seminyak,"Proses Cek in dan cek out cepat, pelayanan staff hotel memuaskan, sarapan kurang variasi namun enak, villa bersih dan lengkap dengan semua fasilitasnya, hemat biaya bisa masak sendiri. Akses dari bandara lumayan jauh namun mudah ditemukan. Dan yang paling menyenangkan adalah saya dapat free return bandara-villa dan free sandwich.",5
6,Uppala Villa Seminyak,"Pelayanan nya cukup baik, booking, mengkonfirmasi waktu kedatangan, request tambahan room decor honeymoon, semua nya dilakukan  dengan pihak hotel melalu email dan Uppala Villa Seminyak membelas nya dengan segera, sangat cepat respon nya. Dan juga pihak hotel mau membantu saya dalam hal memesankan tiket fastboat ke Gili Trawangan.  Sampai di bali jam 2 Siang dan keluar dari terminal kedatangan sudah ada supir penjemput dengan berdiri membawa papan nama saya. Setalah masuk kedalam mobil, kita diberikan Air Mineral dingin.  Pada saat checkin di Frontdesk, pelayanan cukup ramah dan mendapat welcome drink.  Villa terdiri dari dua lantai, 2 Kamar tidur di lantai atas lantai bawah untuk ruang kumpul, meja makan dan dapur. Didapur tersedia wajan dan panci untuk memasak, dan juga…",5
7,Uppala Villa Seminyak,"Villa yang cocok untuk pasangan. Sangat romantis. Waktu itu kami menginap selama 3 malam untuk honeymoon dan mendapatkan pengalaman yang sangat baik di Villa ini, kami di jemput dari bandara, saat sampai di Villa kami dapatkan welcome drink, seluruh staff sangat ramah dan sangat membantu kami saat berada di bali. Bagian Villa pun benar2 luar biasa, kami sangat menyukai konsep Villa ini, semua terasa lengkap, Villa yang bersih terdiri dari ruang keluarga, dapur yang lengkap dengan alat masak dan alat makannya, kamar berada diruangan atas dapat viewnya langsung ke private pool yang berada di bawah. Bagian yang paling luar biasa di Villa ini adanya private pool yang membuat menjadi semakin romantis, saat malam hari pun kita bisa duduk-duduk dipinggir kolamnya. semua benar2 terasa…",5
8,Uppala Villa Seminyak,"Pada tanggal 19 Juli 2015 saya menginap di Villa No. 127  Kelebihan :  Villa dengan Private Pool yang memiliki Ruang Parkir sendiri didepan setiap Villa, cocok buat anda yang membawa kendaraan sendiri. Penataan Ruang yang bagus, Dapur yang lengkap, dari kompor, penggorengan, Piring, sendok garpu hingga Pisau. Pelayan sangat Ramah dan berusaha akrab dengan anda. Proses Cek In dan Cek Out yg sangat cepat.  Kekurangan : Air dikolam sangat asin dan terasa Pedih serta gatal. Breakfast kurang beragam dan ketika saya makan, nasi dan sosis sempat kehabisan. Westafel tempat mencuci piring buntu dan air tidak bisa masuk.  Overall Uppala Villa Seminyak sangat bagus dan harganya relatif murah dibandingkan dengan benefit yg didapat (Value For Money)",4
9,Uppala Villa Seminyak,"saya menginap di bulan mei 2014 saat itu untuk honeymoon, pas sampai bandara sudah di jemput langsung oleh salah satu staff uppala, pelayannya bagus dan ramah, saat baru sampai villa langsung di sambut & langsung di beri welcome drink, villa bersih, ruangan dan kamar luas dan bersih, sayangnya di dapur tidak ada spons untuk mencuci piring dan kamar mandi cukup kecil dan tidak ada bathub dan kolam renang tidak di bersihkan setiap hari sehingga kolam kotor karena banyak daun-daun berjatuhan. di luar kekurangan-kekurangan itu untuk pelayanannya kami cukup puas dan staf yang ramah-ramah,, semoga uppala bisa meningkatakn terus pelayanannya",3
