,hotel,review,stars
0,Villa Diana Bali,"Pada pandangan pertama, kami pikir kami telah membuat kesalahan karena properti ini terletak di jalanan kecil di tepi ""sungai"". Namun kami segera menemukan bahwa kami hanya perlu berjalan kaki sebentar atau naik taksi dengan membayar $2 (20.000 rupiah) ke toko-toko, restoran, dan aktivitas di Seminyak. Bonusnya adalah tempat peristirahatan yang tenang dan damai.  Vila di tempat ini baru, kamar deluxe-nya besar, memiliki pencahayaan yang baik dan berpendingin udara; kamar suite memiliki kamar mandi yang besar dengan pancuran air terpisah dan bak mandi. Vila 3 kamar tidur memiliki kolam renang pribadi.  Kolam renangnya sangat bagus dan terpelihara dengan baik.  Restoran menawarkan sarapan yang lezat dan bervariasi (termasuk) dan kudapan dan makanan, baik makanan Indonesia maupun…",5
1,Villa Diana Bali,"Hotel ini sedikit tua, tapi terpelihara cukup baik. Saya menginap di kamar dengan teras, dipan untuk bersantai, dan kolam renang pribadi yang dipakai bersama dengan 3 kamar lain (saya tidak memesannya tapi mereka menempatkan kami di kamar itu), yang sangat menyenangkan. Saya tak begitu menyukai penerangan di kamar kami karena terlalu redup untuk kami. Kamar kami memiliki pancuran air luar ruangan yang menyenangkan dan romantis. Lokasinya bagus, hanya 15 menit berjalan kaki ke pantai Double Six. Sarapannya biasa saja, butuh lebih banyak variasi. Tapi kolam renangnya bagus, bersih, dan cukup besar. Ada Wi-Fi gratis di kamar tidur, tapi penerimaan sinyal di kamar kami sangat buruk, saya nyaris tak bisa mendapat sinyal untuk menelepon dan mengirim SMS, apalagi Wi-Fi. Selain itu saat…",3
2,Villa Diana Bali,"Ini adalah kedua kalinya saya menginap disini dan saya pikir sesuai dengan harganya. tempatnya kecil dan tidak begitu sibuk, servisnya bagus dan stafnya ramah. kami menikmati waktu relaks di area kolam renang dan itu hanya dengan berkendara taksi sebentar menuju kuta/seminyak untuk kehidupan malam. JIka anda ingin berjalan kaki ke suatu tempat mungkin tempat ini tidak akan begitu hebat.",4
3,Villa Diana Bali,"Kami tiba di Bali dan bertemu dengan guide transfer seperti yang telah dijadwalkan. Kami dijemput dan segera diantar ke Vila Diana Bali. Kami sampai di Vila Diana Bali dan melakukan proses formalitas seperti biasa. Kami membayar lunas untuk waktu menginap kami dengan kartu kredit yang digunakan sebagai deposit pegangan untuk kamar kami.  Kami menghadiri sebuah pernikahan di Bali dan Ibu serta pasangan saya juga menginap di Vila Diana Bali.  Dalam paket hotel kami dijadwalkan menerima,  • Transportasi kembali ke bandara  • Sarapan harian lengkap  • 2 botol air mineral gratis tiap harinya  Kami tiba di restoran untuk sarapan pada hari pertama kami. Makanannya adalah salah satu yang terburuk yang pernah saya rasakan selama hidup. Menu sarapan terdiri dari irisan ham yang telah…",1
4,Villa Diana Bali,"Vila 3 kamar tidur besar dan sangat nyaman untuk kelompok besar. Kolam renang adalah ukuran yang baik, kamar dan kamar mandi besar. Kolam renang utama di area hotel itu indah, staf selalu tersedia untuk membantu ketika diperlukan.  Lokasinya tidak begitu bagus, terutama saat bepergian dengan anak-anak. Tidak banyak di sekitar. Kolam renang vila, selalu tampak keruh (namun staf meyakinkan kami bahwa itu karena warna ubin) Sarapan sangat mendasar tetapi hal-hal selalu membuat Anda senang.  Tempat tidur dan bantal adalah yang terburuk, sangat tidak nyaman dan tua. Seprai dan handuk sangat berubah warna. Jujur mereka semua harus diganti. Jika beberapa perubahan kecil dan pemeliharaan di villa terjadi, tempat ini akan menjadi luar biasa. Dapur sangat kotor, kami tidak menggunakannya.…",4
5,Villa Diana Bali,"Tempat yang bagus, dekat dengan pusat makanan, toko dan pantai dalam jarak berjalan kaki, taman dan kolam bagus, kamar rapi dan rapi, kebersihan bagus, hanya perlu sedikit perawatan, dan mungkin mengganti beberapa peralatan lama harus bagus",4
6,Villa Diana Bali,"Sarapan bukan yang terbaik. Handuk dan seprai menunjukkan usia mereka. Kamarnya bagus dan besar, salah satu kamar membutuhkan pemeliharaan di AC dan itu dilakukan segera dan kompeten. Kolam renang baik-baik saja dan staf sangat baik dan bermanfaat. Jika semuanya baru, harganya akan tiga kali lipat dari yang saya bayar.",4
7,Villa Diana Bali,"Ini adalah hotel terburuk yang pernah saya kunjungi di Bali. Tempat tidur sangat tidak nyaman, kamar kotor dan pendingin udara tidak berfungsi dengan baik. Untungnya kami hanya memesan satu malam, tidak ada cara saya akan tinggal lebih lama karena tidak menyenangkan sama sekali.",1
8,Villa Diana Bali,Saya dulu sering tinggal di sini beberapa tahun yang lalu. Saya memesan kamar baru-baru ini dan kamarnya sangat buruk. AC tidak bekerja sama sekali dan kolam renang sangat keruh. Ketika memeriksa saya menghubungi jetstar yang saya memesan untuk mendapatkan pengembalian uang. Pengembalian uang ditolak oleh hotel. Apa yang terjadi dengan tempat ini?,1
9,Villa Diana Bali,"Pada saat check in, saya melihat selimut di ruang tunggu di area resepsionis tertutup lalat, bukan pertanda baik. Pendingin ruangan di kamar saya tidak berfungsi. Setelah beberapa jam, setelah staf yakin saya ditawari kamar lain, sayangnya pendingin ruangan juga tidak berfungsi di ruangan ini. Kedua kamar memiliki cetakan yang terlihat tumbuh di dalamnya dan baunya sangat kuat hingga menjadi risiko kesehatan. Di salah satu dari mereka, kepala boneka itu berjamur. Area kolam terlihat sangat bagus online tetapi airnya sendiri keruh dan sangat tidak menarik. Bau dari saluran air di depan cukup yukky dan nyamuk yang buruk di sini mungkin sebagai akibat dari begitu dekat dengan air yang tergenang. Stafnya manis, tapi itu benar-benar semua Villa Dina telah lakukan untuk itu, Itu…",1
10,Villa Diana Bali,"Staf berusaha. . Saya pikir, tetapi tidak alasan benang yang melahirkan handuk (yang telah kami untuk selalu minta karena dari 5 hari, 4 hari kami bahkan tidak memiliki handuk di kamar) yang bernoda dan robek, kabel listrik yang nongkrong di belakang kamar mandi hidup cermin, sentuh yang hampir tidak terhubung, jendela yang tidak akan dekat dan tanaman growingthrough jendela. Sarapan. Tidak ada cangkir kopi dengan baik. tersedia tapi kopi yang pernah mereka yang disediakan dalam tabung unlabeled mengerikan, piring yang tetap basah, tidak ada garpu yang pernah ada, tidak ada mentega, 2 potongan pemanggang roti yang tidak bekerja, hanya roti putih dengan selai, dll.. hanya ada coklat di unlabeled mangkuk. 1 potongan daging dibawa ke meja jika anda meminta. Rata-rata yang mengambil…",2
11,Villa Diana Bali,"Mengunjungi di sini dengan pacar saya dan fantastis anggaran hotel, hotel itu sendiri sangat modern dan area kolam yang indah, kamar dibersihkan setiap hari. Staf sangat ramah dan membantu. Hotel ini terletak 5 menit berjalan kaki dari jalan utama. Sarapan sangat cantik! Satu-satunya kesalahan yang saya miliki dengan hotel ini adalah bahwa tempat tidur tidak nyaman saya bisa merasakan mata air menggali ke saya dan pendingin udara tidak yang terbaik. Saya akan merekomendasikan 100% hotel ini dan saya benar-benar menikmati saya tinggal di sana.",5
12,Villa Diana Bali,"Menginap di sini untuk satu hari, kami telah memesan 4 kamar, tempat ini sangat bagus, kolam renang yang bagus, pelayanan yang baik, wifi gratis, sarapan, dan layak dan nilai untuk uang anda. Kami tidak pernah menghadapi masalah dan memiliki pengalaman yang sangat bagus, kolam renang yang bagus untuk bersantai dan melihat pemandangan yang bagus dari properti dari balkon.",5
13,Villa Diana Bali,"Memiliki pengalaman yang sangat buruk di sini! Menginap di villa pribadi"" yang ""tidak benar-benar private. Foto-foto yang sangat menyesatkan. ""kolam renang pribadi"" dan ""pribadi area makan"" sebenarnya area komunal dengan ""vila pribadi"" yang merupakan kamar (tepat di sebelah pintu ke orang lain) dengan tempat tidur di kamar yang lain itu dengan kamar mandi yang kecil dengan toilet dan kamar mandi. Yang anda tidak bisa menggunakan menyebabkan airnya berbau got! ! ! Dan shower terbuka yang kami tidak menyadari cukup kotor, berbau. Kamar secara keseluruhan kami sangat bau mati sepanjang waktu. Kemudian ""sarapan gratis"" dengan beberapa tomat, roti panggang, ayam goreng. Semua yang telah semut dimana-mana lalat di mana-mana, dan meja, sendok garpu dan gelas kotor! ! Secara keseluruhan…",1
14,Villa Diana Bali,"Pertama-tama saya ingin mengatakan bangsa yang menghargai komentar tetapi beberapa orang pergi ke atas saya telah memesan liburan saya di bulan Januari lalu saya membaca komentar mulai setengah d mendapatkan khawatir kemudian membaca Pamela F merasa lebih baik maka Jane komentar yang muncul kembali menjadi kecewa di sini adalah dua Scotsmen pergi ke Bali dengan berpikir bahwa kami telah membuat pilihan yang buruk yang kami tidak berpikir kami telah memesan di Ritz tapi tempat tradisional Bali. pada saat kedatangan kami, kami tidak kecewa dengan hotel ini adalah apa yang kami harapkan sebuah tempat yang bagus untuk menginap bersih dan nyaman dan sesuai dengan uang yang manager kuning pada tangan untuk menyambut kami dan stafnya kepadanya kami kredit Telah memutuskan untuk…",5
15,Villa Diana Bali,"Teman saya dan saya baru-baru ini membuat perjalanan ke Bali dan menginginkan tempat yang dekat dengan pantai Kuta. Setelah menghabiskan hari di daerah wisata, ini adalah tempat yang tenang dan damai untuk kembali ke.   Setelah tinggal di sana selama seminggu, hotel merasa seperti di rumah sendiri. Staf yang sangat akomodatif dan bahkan mengubah cahaya pada ketika Anda datang kembali di malam hari. Kamarnya sederhana dan bersih dengan tv kabel dan air panas untuk mandi.   Kolam renang adalah indah dan tenang dengan hampir tidak ada orang menggunakannya pada waktu tertentu.   Kami menggunakan supir hotel untuk dua hari berturut-turut kami ke selatan ke utara untuk melihat Ulu Watu dan pura Tanah Lot. Meskipun dia tidak tahu banyak bahasa Inggris, dia mengantar kami berkeliling…",4
16,Villa Diana Bali,"Dengan begitu banyak pilihan akomodasi, itu sulit untuk memilih di Bali!~Saya membaca ulasan cukup penting, tapi kadang-kadang Anda tidak tahu sampai Anda sampai di sana!~Saya menemukan foto yang menunjukkan hotel ini dalam bentuk yang lebih baik daripada ini. Di pintu masuk, restoran & kolam renang adalah benar & sangat bagus. Di dalam kamar (dari memori kamar 602, lantai dasar yang menghadap ke kolam renang di tengah) ini membutuhkan perhatian dan kasih sayang. Perlu sentuhan dinding, pintu lemari es mini menggantung pada gantungannya. Seprai memiliki noda pada mereka. Air panas adalah Lukas hangat dan tidak, jadi jangan mencoba untuk memiliki mandi di kamar mandi!~Handuknya sangat tua & tidak benar-benar bersih dan higienis. Anda dapat meminta untuk handuk kolam renang @…",3
17,Villa Diana Bali,"Saat ini pada pagi hari terakhir dari 10 malam menginap dengan 9 siswa dan guru 2.  Ini benar-benar pengalaman yang menyenangkan.  Kami tinggal di villa 2. Mereka sedikit lelah namun sangat baik untuk tujuan kami. Staf sangat membantu dan bisa berbahasa Inggris dengan baik. Kami memesan makanan di beberapa kali dan mereka senang untuk membantu di telepon.  Sarapan adalah memadai dan lokasi yang sangat baik untuk pantai double 6.  Ingat, ini bukan sebuah resor bintang 5 dengan semua lonceng dan peluit tetapi tempat ini adalah nilai yang sangat baik untuk uang.  2 vila yang memiliki kolam renang pribadi yang kecil tapi benar-benar memadai.  Saya akan merekomendasikan tanpa ragu-ragu.",4
18,Villa Diana Bali,"Villa/hotel ini sangat lari ke bawah dan tidak mendapatkan pemeliharaan yang diperlukan. Kamar mandi perlu bekerja, dinding perlu lukisan dan pendingin ruangan perlu diganti untuk pemula. Handuk yang juga telah melihat hari yang lebih baik. Semut di mana-mana dan staf berjalan melewati puntung rokok dan sampah di lantai. Tidak akan kembali!",1
19,Villa Diana Bali,"Staf sangat baik, sopan dan sangat membantu! Hotel menyewa moped kami memiliki menyenangkan menjelajahi pulau. Kamar (402) itu baik, tetapi bak mandi adalah sedikit kotor, ujungnya telah retak dan air mata dan mandi tirai merah dari jamur. Kamar mandi adalah sangat membutuhkan untuk renevations. Tidak ada saluran air/selokan di lantai ketika salah satu dari kami mandi, lantai adalah semua basah. Dan setelah mandi di malam hari, di pagi hari dari bak mandi sudah retak dan lantai banjir. Bak mandi telah rusak penyegelan di ujungnya sehingga air bocor di lantai. Yg belum kawin bak mandi akan menjadi lebih baik dan akan menyelesaikan masalah limbah sehingga air bisa pergi ke tukang jahit setelah mandi. Tempat yang sangat bagus di luar, brankas di kamar, layanan binatu dan membantu…",3
20,Villa Diana Bali,"Staf hotel sangat ramah, sopan dan membantu. Hotel ini memiliki suasana yang tenang dan damai yang menjamin istirahat dan relaksasi. Kamar sangat bersih dan indah dan kamar mandi modern dan fungsional.",3
21,Villa Diana Bali,Saya tinggal di sini 4 malam di Januari 2107. Hotel ini memiliki sangat ' laguna tropis' terlihat dan merasa tentang hal itu. Area kolam adalah fantastis dan terbaik dari semua ini terletak sehingga Anda dapat menikmati damai dan tenang sementara Anda di sini dan menangkap semua keramaian dan hiruk pikuk ketika Anda meninggalkan dan memasuki jalan utama. Ruangan itu bersih dan AC bekerja dengan baik. Staf di hotel yang sering dapat membuat dampak yang Anda rasa tempat dan saya dapat mengatakan bahwa staf yang jauh ramah dan paling profesional sekelompok orang yang saya temui. Saya tidak mendengar kata 'tidak' atau 'bisa' t' dan saya meminta beberapa hal yang tidak masuk akal. Saya sangat terkesan dengan tingkat layanan. Sarapan juga baik. Secara keseluruhan saya sangat menyukai…,5
22,Villa Diana Bali,"Cukup lari ke bawah, hotel ini telah melihat hari yang lebih baik. Handuk mandi sangat perlu diganti, mereka sudah tua, membosankan dan robek. Sarapan tidak buruk mengingat itu gratis, porsi kecil dan sedikit variasi adalah kurang dari ideal.   Setelah mengatakan semua ini, hotel ini murah dan Anda mendapatkan apa yang Anda bayar. Semua staf yang sangat membantu dan ramah, mereka yang utama untuk yakin",2
23,Villa Diana Bali,"Kami tinggal di sini sepanjang waktu, ya itu tidak yang paling modern, hingga tanggal tempat di Bali. Tapi kami sangat menyukai tempat ini, selalu bersih dan staf yang luar biasa dan tidak ada yang terlalu banyak! Harga ini juga bagus karena kami bepergian dengan 16 tahun yang membutuhkan akomodasi sendiri, segala sesuatu yang dekat dengan Tapi berdarah panas berjalan kaki, saya tidak mengatakan bahwa para staf sangat luar biasa? Saya sarankan pemesanan Villa universal House Hotel Nanchong",5
24,Villa Diana Bali,"Kedua kalinya saya menginap di sini, kami mendapat upgrade kamar dan dua kamar dengan kamar mandi luar ruangan yang indah, kolam renang pribadi yang kecil dan hampir, staf adalah selalu sangat membantu, sangat bagus sekali tempat untuk menginap karena hotel ini dekat dengan pusat Kuta untuk pesta dan pergi ke restoran yang bagus!",5
25,Villa Diana Bali,Menikmati kami tinggal. 10 menit berjalan kaki ke jalan legian yang tidak masalah selama hari tapi saya tidak akan merekomendasikan berjalan di jalan larut malam. Bantal yang sangat tidak nyaman.  Kolam renang yang fantastis. Taman yang indah dengan rumput. Staf yang indah. Sarapan yang baik. ,4
26,Villa Diana Bali,"TIDAK TINGGAL DI SINI TAPI ITU KOTOR! Kami telah bepergian ke bali selama beberapa tahun dan tidak pernah memiliki tempat yang sangat kotor, kami tinggal selama 5 menit dan memeriksa, tidak bahkan membuka ritsleting tas, tempat tidur tidak memiliki seprai kasur pelindung kepala, kamar mandi menjijikkan dan handuk berwarna coklat dan daftar genting dan sebagainya. Ketika kami memeriksa, manajer bahkan tidak keluar untuk melihat apa permasalahan saya. INI BUKAN TEMPAT BINTANG 4! ",1
27,Villa Diana Bali,"nilai terbaik di sekitar. kolam renang yang baik makanan yang baik staf yang baik. Kamar bersih dan tidak tua dan lusuh. staf sangat dapat ditelusuri dan accomnidating. sarapan adalah baik, dan begitu juga semua makanan. beberapa tempat di bali adalah lelucon. tidak terjadi di sini semua memuaskan. aku selalu kembali ke tempat ini, tidak bisa mengalahkan nilai, dan tidak punya masalah.",5
28,Villa Diana Bali,"Tempat yang bagus! Mereka mendapatkan tas kami dari bandara ketika maskapai kehilangan mereka. Juga, kamar yang bagus dengan pancuran dan bak mandi. Ac bekerja dengan baik. Kolam renang yang bagus dan besar, dan staf yang ramah. Sarapan prasmanan juga besar.",5
29,Villa Diana Bali,"Segala sesuatu yang sangat baik. Kamar sangat bersih, sarapan lezat dan setiap hari sesuatu yang baru untuk makan. Staf yang ramah dan membantu. Kami akan menyarankan semua orang yang ingin menemukan akomodasi mewah dengan harga yang baik.",5
30,Villa Diana Bali,Saya telah tinggal di villa diana pada banyak kesempatan dan selalu menemukan itu untuk menjadi cukup baik untuk datang kembali. Hotel ini di sangat tenang street dan ketika anda pertama kali tiba saya pikir tempat ini adalah tidak lokasi yang sangat baik tetapi ketika anda mendapatkan bantalan anda cukup pusat segala sesuatu. Berada di perbatasan seminyak legian/sebagian besar restoran dan bar tidak lebih dari US $5.00 tarif taksi yang jauh. Beberapa restoran dan toko-toko hanya berjalan kaki singkat. Pantai legian adalah sekitar 20 menit berjalan kaki. Kamar bervariasi dari kolam renang ke 3 tempat tidur vila dengan kolam renang pribadi. Semua bagus dan bersih itu tergantung pada berapa banyak anda ingin menghabiskan untuk kualitas dari kamar. Sarapan termasuk dan gaya…,4
31,Villa Diana Bali,Kami upgrade ke villa kolam renang yang indah. Staf sangat membantu dalam mengatur tur sepeda dari gunung berapi. Kami jauh dari area pantai kuta yang hanya naik taksi pendek. Secara keseluruhan bernilai bagus untuk uang yang dikeluarkan. ,5
32,Villa Diana Bali,"Staf yang indah, sarapan yang fantastis, benar-benar indah tenang hotel, dan kolam renang dan halaman indah. Kami memiliki lantai atas villa, memiliki pemandangan indah, tempat tidur nyaman, kamar mandi bersih, benar-benar indah.",5
33,Villa Diana Bali,"Kami hanya tinggal di sana selama 3 hari. Akomodasi yang masuk akal. Tempat ini adalah tempat yang bagus untuk anak-anak muda. Kamar mandi/mandi sangat mengecewakan. Tata letak kamar mandinya tidak aman. Anda memiliki 3 anak tangga dan dengan langkah mendapatkan di bak mandi adalah agak rendah, orang tua dan tidak aman bagi siapa pun... Tempat ini tidak direkomendasikan untuk orang dewasa. Kami memesan kamar tipe deluxe yang berada tepat di depan kolam renang. Lebih baik upgrade ke kamar suite yang lebih aman bagi orang untuk mandi. Jika anda memiliki alergi terhadap kucing rambut, ada kucing di hotel ini. Hotel ini terletak cukup jauh dari toko-toko utama dan jika anda suka belanja baik tempat ini adalah tidak untuk anda. Itu adalah tenang dan damai dan jika anda ingin…",3
34,Villa Diana Bali,Kami membutuhkan tempat untuk tinggal pada saat kedatangan di bandara. Kami piked oleh villa diana shuttle untuk penerbangan larut malam pada harga yang wajar. Supir kami adalah sangat ramah - semua staf yang sangat sopan. Luar biasa sarapan prasmanan dan sesi pagi hari bersantai di halaman dengan kolam renang yang terawat. Saya akan sangat merekomendasikan untuk orang yang mencari di kisaran harga ini di daerah legian. ,4
35,Villa Diana Bali,"Staf yang ramah, baik akomodasi dan sangat menyenangkan liburan kami. Beruntung untuk mendapatkan kamar di lantai atas di salah satu villa. Ok kami harus berbagi kolam renang pribadi dengan orang asing tapi harga kecil untuk membayar dan orang asing yang menjadi teman-teman selama beberapa bir di ruang umum dan area makan. Sarapan yang disajikan di bagian utama hotel. Cukup dengan buah, telur dan pilihan koki termasuk mie hidangan hangat yang tersedia setiap hari.  Air gratis di kamar dan gratis handuk kolam renang yang tersedia. Kolam renang yang dibersihkan setiap hari dan lingkungan yang bersih.  Di sisi seprai dan handuk mandi adalah usang dan telah melihat hari yang lebih baik, tetapi berubah secara teratur.  Kamar kami adalah selalu bersih dan tidak ada yang terlalu banyak…",5
36,Villa Diana Bali,"Kami memesan 3 kamar tidur vila dengan anak-anak kami. Ini adalah sebuah kekecewaan. Selimut dan handuk robek dan kotor/berwarna coklat. Kami wakend dengan beberapa gigitan (serangga). Kami tidak berani untuk menggunakan clamboo, itu ditutupi dengan... ? Dapur tidak memiliki piring dan gelas dan potterie hilang atau kotor. Beberapa toilet flush dan kolam renang pribadi yang tidak bersih. Semua perabotan adalah lengket. Sarapan cukup baik dan staf melakukan yang terbaik (setelah kunjungan dari agen perjalanan kami) untuk memperbaiki semua masalah. Mereka sangat ramah dan politie. Kami mendengar bahwa pemilik tidak ingin menginvestasikan uang untuk handuk/selimut yang baru. Penutup, ini adalah sebuah bencana. Kami memesan untuk minggu tapi kiri setelah 2 4 hari.",1
