,hotel,review,stars
0,Wyndham Garden Kuta Beach Bali,"Hotel nya bagus dan keren, tempat nya nyaman dan bersih,pelayanan nya ramah dan makanan nya enak, dan lokasi strategis,dijamin oke.. pokok nya kalau ke bali, bingung mau nginap ? Di wyndham aja, karna di tengah kota",5
1,Wyndham Garden Kuta Beach Bali,Hotelnya bagus dengan restaurant yang luas dan makanan yang cukup enak walaupun masih ada pembangunan tapi tidak menggangu sama sekali. Tersedia cafe dengan cake dan gelato yang cukup enak lokasi dekat dengan pantai ,5
2,Wyndham Garden Kuta Beach Bali,Hotelnya bersih dan kamarnya luas cocok untuk menginap bersama teman maupun keluarga walaupun masih ada pembangunan tapi tidak mengganggu kenyamanan hotel🤗 Penginapan recomended untuk liburan bersama teman maupun keluarga di bali dan tentunya memiliki spot foto yang menarik.,4
3,Wyndham Garden Kuta Beach Bali,Hotel ini memiliki bar dengan interior yang bagus dan memiliki cafe juga di depan hotel. Lokasinya cukup strategis dekat dengan jalan legian dan beachwalk. Staffnya sangat membantu pada saat check in dan check out.,5
4,Wyndham Garden Kuta Beach Bali,Saya travel ke Bali dan stay di bulan Januari 2020 setelah new year. hotelnya bersih dan kamarnya cukup luas. Ada 3 pool di hotel yang cukup menarik perhatian ada pool yang menghadap ke pantai. Ada bagian dari hotel ini yang masih dalam pembangunan tetapi karena sudah hampir selesai sehingga pengerjannya sudah tidak terlalu mengganggu. Stafnya ramah dan sangat membantu pada saat stay. Overall untuk travelers yang senang dengan lokasi yang ramai dan dekat kemana mana tempat ini sangat recommended.,5
5,Wyndham Garden Kuta Beach Bali,"Menginap di Whyndham Garden Kuta karena ada acara kantor, tempatnya bersih dan kental dengan suasana Bali, sangat khas pulau dewata.  Staf disini juga sangat helpfull dan ramah, yang lebih penting lagi lokasi Whyndham Garden persis di depan pantai Kuta jadi kalau kita mau ke pantai tinggal jalan di seberang hotel",3
6,Wyndham Garden Kuta Beach Bali,"Dari awal check-in sudah sangat mengecewakan, FO yang kurang ramah, tidak menjelaskan adanya welcome drink, dan tidak menjelaskan letak kamar,hanya langsung memberikan key card kepada kami. selain itu sebelum jam check out sekitar jam 11 housekeeping sudah mengetuk pintu secara langsung untuk menanyakan jam berapa akan check out. Seharusnya dari FO yang harus menanyakannya. Kamar dan makanan sudah sangat ok! Hanya service saja yang perlu diperhatikan!",1
7,Wyndham Garden Kuta Beach Bali,"Saya br sekali nginap di Wyndham hotel, bed termsk besar (2 m x 2 m) jd bs utk 4 org jika mau maksa😂🤣, handuk bersih, kmr mandi juga lkp toiletrisnya termsk ada hairdryer, cm utk kmr yg deluxe tdk ada tpt utk meletakkan handuk spy mudah dijangkau dr dlm tpt mandi (tpt shower) jd hrs keluar basah2 utk ambil handuk, jika yg kmr ocean view baru ada pintu kmr mandi kaca yg ada tpt handuknya. Air shower berasa asin krn air tanahnya dekat laut jd mau ga mau rasa air di kmr mandi jd berasa asin😂🤣 air mineral cm ada 2 botol ukuran 600 ml jd kurang krn kami pake kumur2 stl sikat gigi krn kalo kumur2 pake air westafel rasanya asin, jd kami udh beli air mineral ukuran besar 1500 ml utk nambah tiap mlm. Welcome drink nya nggak menarik krn hanya teh. Tpt breakfast nya, ada bbrp jenis…",4
8,Wyndham Garden Kuta Beach Bali,"Kamarnya nyaman dan bersih, air conditioningnya bekerja dengan baik. Walaupun demikian, ada aroma kurang sedap dari kloset saat pertama kali memasuki kamar sehingga perlu disiram untuk menghilangkan bau. Shower dan air hangat mengalir lancar namun sepertinya airnya payau sehingga sabun tidak berbusa banyak, dan rambut menjadi terasa kaku dan kasar sesudah mandi.  Restonya perlu banyak pembenahan. Menunya kurang beragam, dan rasa masakannya standar. Ada beberapa hal yang semestinya tidak terjadi, yaitu tidak disediakan penciduk bakso. Saat saya meminta alat tersebut kepada salah seorang Staf Resto, dia malah tampak kebingungan lalu pergi mencari sendok dan tidak segera kembali. Ada tamu yang kemudian menggunakan sendok sup makan untuk mengambil bakso dari panci.  Di lain…",3
9,Wyndham Garden Kuta Beach Bali,"Saya menginap 3 malam di hotel Wyndham Garden Kuta. Kesan saya sebagai tamu yang baru pertama kali menginap di hotel ini: 1. Lingkungan Sekitar Kamar Hotel ini sedang dalam proses renovasi penambahan kamar, sehingga kalau siang hari terdengar suara proses pembangunan/renovasi. Karena kamar saya tidak terlalu dekat dengan bagian yang direnovasi sehingga kalau di dalan kamar tidak terdengar jelas. Tetapi kalau duduk di balkon terdengar. Untuk kebersihan lingkungan sekitar hotel cukup bersih. 2. Kamar & Perlengkapan Untuk kebersihan kamar cukup bersih. Untuk handuk, sprei & sarung bantal menurut saya perlu dilakukan penggantian karena selama 3 malam menginap mendapatkan handuk yang sudah tidak putih lagi keliatan sudah terlalu lama dipakai. Sama halnya dengan sarung bantal  dan…",3
