,hotel,review,stars
0,Yello Kuta Beachwalk Bali,"All crew ramah, breakfast mantap, room nyaman, lokasi di area beach walk kuta dan dekat sekali dengan pantai kuta, dapat harga yang sepadan dengan fasilitas kamar. Semoga suatu saat bisa stay lagi disini..",5
1,Yello Kuta Beachwalk Bali,"bagus, dibantu mbak tika as receptionist, jelasinnya very clear dan ramah jg.. tempatnya bersih, hotelnya cocok buat pergi bareng temen2, ac nya dingin tp kyk kuncinya cuma dikasi 1 doang jd kalau keluar ac nya mati, mungkin emg budget ya, tp good. would try this hotel again",5
2,Yello Kuta Beachwalk Bali,"Kami sangat puas dengan pelayanan di sini,cocok untuk menginap bersama keluarga,kak marsha geulis,ramah,cekatan pisan.. saat pesan motor voy juga dibantu dengan cepat dan mudah penjelasannya juga bagus terimakasih,senang menginap disini",5
3,Yello Kuta Beachwalk Bali,"Resepsionis kak marsha ramah sangat membantu,lingkungan hotel dekat dengan mall sehingga mudah dijangkau. Fasilitas hotel bersih. Semua menyenangkan dari awal menginap hingga check out. Koridor terang. Sangat rekomendasi jika ingin berlibur di bali bersama keluarga",5
4,Yello Kuta Beachwalk Bali,"Hotel ternyaman untuk staycation. Setiap ke beli pasti nginep di yellow karna senyaman itu. Pilihan menu Breakfast lengkap, pelayanan ramah, kamar hotel bersih dan nyaman, staff yang selalu senyum setiap ketemu tamu, termasuk pada saat sy chek out di bantu sama marsha yang sangat ramah. Pelayanan yang sangat memuaskan. ",5
5,Yello Kuta Beachwalk Bali,"Hotel sangat nyaman, pelayanan juga sopan dan ramah. Kebetulan di bantu di front office oleh marsha, sangat baik dan ramah. Sarapan nya juga enak. Hotel yang cocok buat keluarga. Bersih dan modern. Bakal nginep sini lagi untuk next holiday .",5
6,Yello Kuta Beachwalk Bali,"It's my second time stay here... Kamar bersih, view mall yg bisa bgt dengerin live music, good service from the staffs....Deket mall ,cuma mlm aja ada suara berisik dr AC nya,,,but its oke..s.ukses selalu ya team Yello kuta beach. See u next time..",5
7,Yello Kuta Beachwalk Bali,"Everything was so good, the staffs really nice and good. I loved staying here~^^   Permasalahannya hanya di parkir saja. Bisa di buatkan voucher untuk gratis parkir bagi yang menginap dan membawa kendaraan, agar tidak berulang kali naik turun. Apalagi jalan keluar sedang ada perbaikan sehingga harus melewati parkiran. Akan lebih memudahkan jika ada voucher sehingga bisa langsung dibawa ke parkiran. That’s all, thankyou so much for the great service here^^",5
8,Yello Kuta Beachwalk Bali,"Memuaskan . Karyawan dan pelayanan ok dan makan breakfast jg oke ada ice cream , pop mie dan live cooking , Mau kepantai dekat dan mainan anak jg banyak , tempat nyaman dan masih hotel baru 2021 . Bersih keren . Dan lupa juga klo tinggal jalan ke mall aja sebelah tidak pakai keluar jalan raya",5
9,Yello Kuta Beachwalk Bali,"dari fasilitas hotel udah lengkap banget! dari kesediaan pembuatan air panas,perlengkapan mandi apalagi untuk sabun dan shampoonya , ga pelit hehehe.. untuk acnya juga tidak panas,dan bakalan nyenyak banget.. sekali lagi terimakasi untuk kak marsha karna udah ngebantu check-in dan check-out dengan cepat ",5
