,hotel,review,stars
0,Alaya Resort Ubud,kamarnya nyaman bgt bersih dan yg paling nyaman ada balconi yg ter the best yang menghadap kolam renang dan bnyk tanaman klo bisa cr kamar yg menghadap kolam renang dan  menghadap resto karena ada viewnya tp klo mau yg lebih private pemandangannya menghadap pohon pohon rindang disini ada kok..yang pasti so ga pernah menyesal menginap disini..walau baru pertma nginep dsni udh jatuh cinta dgn fasilitas kamarnya plus yg kerja dsni jg ramah ramah so bisa silahkan di coba menginap disini😍😍,4
1,Alaya Resort Ubud,"Tempat yg sangat cocok untuk Anda yg butuh ketenangan. 🤗❤️  Failitas dalam kamar sangat oke. Sabun mandi, shampoo, bath foam, lotion membuat Anda istirahat dengan tenang dan nyaman. ❤️  I’ll be back. 😊🤗  ",5
2,Alaya Resort Ubud,"Saya tiba sore sekitar jam 3 sore tanggal 24 september hari senin . Rencana mau nginap disini tapi batal karna sambutan Staff securuity tidak ramah , bukannya greeting malah nanya “mau ngapain” ? . What the hell ? Is it your hospitality manner ?",1
3,Alaya Resort Ubud,"Stay di alaya room, kamar bersih, pelayanan ramah. Kami mendapatkan free upgrade dr standard room ke alaya room, plus free massage di Dala Spa. Breakfast cukup baik namun dirasa kurang variasinya, untuk rasanya enak. Kami mendapat kamar yg ckp jauh di belakang, 200m dr receptionist sehingga jika bawa anak kecil atau orang tua mesti request kamar yg dekat. Over all, kami merekomendasikan untuk stay di Alaya Ubud.",5
4,Alaya Resort Ubud,Suasana di tempat menginap yang tenang dan sunyi walaupun terletak di area main street hotel ini juga sangat tenang dan asri restaurantnya juga di kelilingi suasana persawahan semakin menambah nafsu makan,4
5,Alaya Resort Ubud,"Alaya Ubud Hotel terletak di desa Padantegal Ubud, berbatasan dengan wilayah desa Pengosekan, dekat dengan Monkey forest ( Hutan kera di Ubud ). Hotel kategori berbintang 4, dan memiliki bar dan restorant dekat jalan raya Pengosekan. Hotel ini memberikan servis yang sangat baik dan memuaskan, dan memiliki armada mobil angkut bagi wisatawan yang ingin pergi berdarmawisata di sekitar Ubud. Pemandangan sawah yang indah dan berlantai, dengan kamar yang cukup luas. Memiliki kolam dan kebun yang indah. Bisa membayar dengan uang tunai maupun kartu kredit. Tidak ada jalan khusus untuk kursi roda.",5
6,Alaya Resort Ubud,"Saya menginap di Alaya Suite, desain kamar modern dan tidak memberikan suasana etnis berlebihan. Karyawan sangat ramah, F&B banyak varian dan rasa makanan enak. View ke arah sawah yang sangat luas memberi suasana tenang dan menginspirasi.  Lokasi Alaya Suite juga di tengah kota ubud, jadi tidak susah untuk mencapainya.",5
7,Alaya Resort Ubud,"Saya menginap 2 hari, dan memesan lewat Agoda (Deluxe Room). Via Agoda, saya request agar diberikan kamar di wing baru dan rice paddy view. Ketika sampai, petugasnya menyampaikan bahwa kamar saya di upgrade menjadi Alaya Room for free, karena Deluxe Room tidak berada di wing baru & tidak ada rice paddy view. Kemudian, entah bagaimana caranya saat itu saya terkunci di balkon, dan petugasnya sangat cepat membetulkan pintu. Breakfast juga enak. Suasana juga sangat menenangkan, cocok untuk honeymooners dan orang-orang yang ingin ke Bali tetapi ingin jauh dari suasana hingar bingar. Untuk harga memang cukup mahal, tetapi semua sesuai dengan harganya. Saya sangat terkesan dengan Alaya Ubud, dan sepertinya setiap tahun saya akan kesini.",5
8,Alaya Resort Ubud,"Pada tanggal 23 Nopember saya mengunjungi hotel ini dan menginap untuk 1 malam. Awal saya tiba disana saya belum melihat suasana ubud, namun saat memasuki area dalam hotel ini terlihat hamparan sawah yang dimiliki khusus oleh hotel ini. Dari segi kamar hotel ini memiliki kamar yang nyaman dan lega. Cocok sekali untuk honeymooners.",5
9,Alaya Resort Ubud,"Hotelnya keren banget.nuansa desa dan ricefield bner2 bikin mata n pikiran nyaman.makanan jg enak,service dari hotel bener2 top.mungkin bakal balik lg untuk liburan di alaya ubud.....dan pas bgt untuk liburan kluarga ato honeymooners",5
