,hotel,review,stars
0,Bali Mandira Beach Resort & Spa,"Karena saya dan keluarga termasuk yang malas pergi ke beberapa tempat dalam satu hari, jadi kami selalu memilih tempat dengan fasilitas lengkap dan nyaman. Mulai dari Gym, area bermain anak, hingga fasilitas lain. Tidak lupa pemilihan tempat dengan review terbaik dari restaurant juga selalu keutamaan. Ada akses ke pantai, dan punya danau di area dekat restaurant.",5
1,Bali Mandira Beach Resort & Spa,"Nice nice saya sangat suka sekali tempatnya, next saya akan datang kemabali dan saya akan referensikan lepada temen-teman saya juga keluarga saya untuk datang ke tempat ini.  Di jamin tidal akan nyesel",5
2,Bali Mandira Beach Resort & Spa,"Disini tempatnya bener-bener bagus deh, kolam renangnya sih yang bikin tertarik. Pemandangannya juga bagus. Untuk pelayanannya oke disini pelayanannya ramah"", kamarnya rapih bersih dan wangi cocok untuk bersantai""  ",5
3,Bali Mandira Beach Resort & Spa,"Hotel ini terletak dijalan padma no 2 kuta. Pelayanan yg diberikan oleh staff sangat baik mulai dari proses check ini. Tempat tidur sangat nyaman. Rate per malam sangat terjangkau, ruangan bersih dan nyaman",5
4,Bali Mandira Beach Resort & Spa,"hotel yang sangat nyaman, tenang, jauh dari keramaian, terletak persis di depan pantai, dengan pool yang ok.staff ramah, dan kamar dengan konsep etnik bali.makanan yang  bervariasi tetapi menunya cukup banyak ""pork"" secara keluarga tidak makan itu",4
5,Bali Mandira Beach Resort & Spa,"Hotel bersih, seluruh pegawai wellcome dan ramah. kolam renang untuk dewasa ditaruh di atas, jadi untuk saya yang pemalu jadi tidak sungkan untuk berenang.makanan Ok, pemandangan Ok, fasilitas OK, cuman mungkin karena kamar saya di atas, pulang dari laut atau habis berenang saya ga bisa jemur baju basah seperti yang di bawah.",5
6,Bali Mandira Beach Resort & Spa,"Pengalaman yg termasuk biasa saja dari hotel ini, krn mungkin faktor sarapan pagi kurang berkesan sama sekali (tidak enak dan minim variasi). Yg cukup menyenangkan adl kolam renang, lokasi hotel di pinggir pantai dan staff yg cukup ramah",3
7,Bali Mandira Beach Resort & Spa,"Bagus deh situasi hotelnya,cocok untuk liburan keluarga apalagi yg suka berenang.kolam untuk anak2nya menyenangkan,tetapi harus tetap selalu dibersihkan beberapa waktu sekali,krn banyak daun2 kering yg jatuh ke kolamnya.tapi overall PERFECT",4
8,Bali Mandira Beach Resort & Spa,"Beberapa hotel paling bagus yang pernah saya kunjungi dalam hidup. setiap sudut tempat ini sempurna. Dimulai dari manager yang ramah saat kami order kamar, proses cek-in yang cepat, semua pegawai yang sangat ramah, kamar yang bersih dan luas, shower air hangat berfungsi dengan baik, makanan yang sangat variatif, dan yang paling oke adalah akses langsung ke pantai. COOL and PERFECT.  Sangat cocok untuk honeymoon maupun liburan keluarga. Kemarin sayangnya saya menginap untuk pekerjaan, jadi tidak sempat explore hotel resort ini.  Yang kurang dari hotel ini adalah saat breakfast, tidak dibedakan antara makanan yang halal dan yang tidak halal dan tidak ada tag untuk tiap makanan, sehingga menyulitkan rekan kerja saya yang Muslim untuk bebas memilih makanan.  Over all, this is PERFECT",5
9,Bali Mandira Beach Resort & Spa,"Pertama kalinya mengunjungi Azul Beach Club saat ke Bali pertengahan bulan Januari 2016. Tempatnya aselik asik banget. Viewnya juga oke abis, ditambah sama musik yang pas banget buat menikmati sunset di legian  Keren!",4
