,hotel,review,stars
0,Grand Inna Kuta,"bali is so amazing kereeeeeennnnn bgtttt,memori yang ga terlupakan  grand inna hotel juga menjadi tempat istirahat yg nyaman untuk kami menghabiskan liburan di bali…..kerenn bangetttt makasii grand inna dan bali",5
1,Grand Inna Kuta,"Pelayanan sangat bagus dan ramah, makanan dan minuman juga enak, harga affordable lokasi strategis. Terima kasih mbak Cristina sudah melayani dengan baik dan sangat ramah, sampai bertemu lagi🥳🥳🥳❤️❤️",5
2,Grand Inna Kuta,"seronok bagus banget service herlokk , bali is the best to chilling everyone .. good service seronok staff so freindly .. penerangan yg jelas dan paham tenpat yg luas makanan yang enak dan amat bersih . kolam yg luas dan besar",5
3,Grand Inna Kuta,Sistem pelayanan sangat luar biasaya   Menu yg ada juga sangat sesuai dengan selera.  Saya merasa sangat nyaman ketika makan dan mon di tempat ini.  Terus semangat teman teman yang bekerja di Grand Inna Kuta.   Sampai jumpa di lain waktu,5
4,Grand Inna Kuta,"Suasananya menyenangkan, staff nya ramah sekali, masakannya enak, harga standart. Tidak terlalu mahal...serasa romantic dinner ala cafe..dekat dengan pantai kuta.. Sukses selalu untuk Grand Inna Kuta dan Waroeng Senggol nya..",5
5,Grand Inna Kuta,"Excellent Service, disapa dengan senyum dan sopan, ditanyain rasa makanannya seperti apa, kebetulan pesan es kelmud, sate manis ayam dan ikan bakar, rasanya enak bangeeet. Sate ayam manis dan ikan bakar, bumbunya nyatu bangeeettt. Recommended. ",5
6,Grand Inna Kuta,"Hampir dua minggu berkegiatan di sini, pelayanan seluruh staf sangat baik, ramah, profesional, makanan enak, kamar selalu bersih dan rapih, fasilitas hotel juga sangat memadahi. Sehat dan sukses selalu all staff of Grand Inna Kuta",5
7,Grand Inna Kuta,Rekomen bagi yg cari hotel di tepi pantai. Pemandangan laut indah. Kamar tidur cukup nyaman dan cepat sekali jika minta bantuan kepada room service. Breakfast nya banyak pilihan dan lokasi resto di tepi pantai,5
8,Grand Inna Kuta,"nginep di hotel yang deket mau ke mana mana, ke mall deket, pantai deket, beli oleh oleh ala ala bali jg deket.. service dan pelayanannya oke banget, semua karyawannya ramah.. cuma breakfastnya aja yg kurang beragam menurut saya.. next semoga bisa kesini lagi yaa hehe.. 😁",5
9,Grand Inna Kuta,Beliau sangat ramah dan pelayanan memuaskan. Sangat membantu saya dan hasilnya memuaskan . Tentunya akan kembali menginap kembali karena pelayanan sangat baik. Dengan berbagai fasilitas di hotel dan staff nya semua baik.,5
10,Grand Inna Kuta,Sangat bagus Pelayanan sangat bagus Pelayan ramah Kamar sangat nyaman Dekat dengan pantai Staff sangat ramah Makanan enak Sangat memuaskan Sangat menyenangkan  Rekomended sekali untuk liburan bersama teman keluarga ataupun sendiri..,5
11,Grand Inna Kuta,*Lokasi yang sangat strategis kesemua tempat Dengan pemandangan pantai Kuta yang sangat indah *Petugas/karyawan yang sangat ramah terutama pak cok dan mba Loji yang selalu setia membantu kami *Kebersihan hotel yang sangat terjaga,5
12,Grand Inna Kuta,Good hotel. Good service. ramah pelayanan.  .lokasi ok . Bagus juga untuk grup. Luas hotel nya. Langsung ke pantai Kuta. Mau shopping tinggal jalan kaki . Near beachwalk mall .kuliner malam mudah cari makan. Pool nya terawat. Harga nya ok ..,5
13,Grand Inna Kuta,"Hotelnya nyaman, letaknya cukup strategis, mau ke pantai kuta juga tinggal selangkah aja. pelayanan juga ramah, makanannya enak, cuma sedikit bingung kalau mau menuju kamar saking banyaknya kamarnya hahaa",5
14,Grand Inna Kuta,"Harganya relatif terjangkau, letaknya sangat strategis dengan pusat perbelanjaan dan hiburan, ke pantai kuta cukup dengan jalan kaki ngga sampe 10 menitdengan pelayanannya yg sangat ramah, tempatnya bersih dan indah... Makanannya juga enak... Ngga rugi nginep disini",5
15,Grand Inna Kuta,"Untuk menginap di grand inna kuta lokasi sngat bagus bisa liat sunset very nice,staff front office,cok is my good friends .....at duty manager...bnyk fasilitas yg bagus juga dan bnyk tmpt shopping smua serba dekat pingin ras lama tinggal disini lama",5
16,Grand Inna Kuta,Menyenangkan . Selalu jadi hotel tujuan utama kita klau ke bali . Krna akses pantai sangat dekat . Dan akses poolnya yg sangat mnyenangkan untuk anak saya . Palayanan hotelnya ramah .  Terimakasihhhhhhhhh ..,4
17,Grand Inna Kuta,"Respon dari semua staff sgt baik, bhsa yg sopan dan ramah. Hotel luas, sarapan enak, lokasi strategis. Ada pantai lgsg dpn hotel. Track utk joging jga dpn hotel, dekat beachwalk mall, byak minimatket, fash food dan resto. ",5
18,Grand Inna Kuta,"Pelayanan ramah. Kamar bersih sekali, ac dingin sekali, kasur besar, kasur empuk, bantal empuk dan banyak. Kamar mandi bersih, showernya hanya perlu diganti supaya bisa keluar air yg mode hujan kecil kecil. Lokasi dekat pantai kuta dan kalau malam ada resto live music. ",5
19,Grand Inna Kuta,"Hotel yang nyaman di daerah Kuta..lokasinya strategis persis pinggir pantai kuta, mau ke pantai deket bgt tinggal jalan ke belakang hotel lgsg bs main di pantai.. deket dengan Legian dan Beachwalk. Enak banget utk jalan2 di sekitar hotel atau daerah Kuta  Bagian reservasinya Mbak Loji jg oke bgt utk handle tamu atau calon tamu..sdh pasti akan stay di Grand Inna Kuta lagi kalau ke Bali..☺️",5
20,Grand Inna Kuta,"Kami menginap di hotel grand inna kuta, hotelnya bagus banget,fasilitas lengkap dan view cakep banget mengarah kelaut, pegawai hotel ramah banget, kamarnya bagus banget dan selalu dibersihkan setiap hari tanpa diminta  Regrads by Dwi",5
21,Grand Inna Kuta,"Saya mendapatkan pengalaman yang menyenangkan selama menginap di hotel ini. Great hospitality dari para staf terutama pak Cok Byong, staf yang sangat ramah dan helpful. Beliau memberikan bbrp rekomendasi tempat wisata dan kuliner di Bali. Thanks pak Cok Byong.",5
22,Grand Inna Kuta,"5 pertama kali menginap disini memuaskan,akses ke pantai nga perlu nyeberang jalan..semua armada Grand Inna Kuta TOP 👍👍👍👍👍,saya reservasi dengan Ibu Siti dan amat2 dipermudah..Thank you very much Bu Siti..🙏 untuk room beach wing recommended 👍",5
23,Grand Inna Kuta,"Hotel bagus pelayanan sangat ramah seluruhnya, hotel sangat bersih, seluruhnya wangi, makanannya enak, diberi hand sanitizer dan tisu basah juga. Kita rapat juga ditungguin barang safety semuanya, mantap",5
24,Grand Inna Kuta,"View hotel wonderful,pelayan hotel excellent,cepet tanggap(ga dicuekin),room good,price ramah di kantong,yg jelas klo bawa group atau healing kesini ga akan kapok,terbantu sekali 🤗thank for all my favorite hotel ❤",5
25,Grand Inna Kuta,dengan hotel yang super besar jalan begitu jauh jadi sering nyasar tetapi untuk pelayanan dan semua fasilitasnya begituuuu bagus..sangat bagus..semua pelayan ramah sekali terutama pak cok yang sangat helpfully..makasih ya semuanya...,4
26,Grand Inna Kuta,"Love it, anak2 suka sekali lokasi nya yg strategis langsung ke pantai kuta Staf nya ramah2 Sarapannya enak Kami mendapat kamar yg pool akses, kamarnya wirh it with the price Next trip ke Bali...harus stay disini lagi",5
27,Grand Inna Kuta,kamar nya bersih karyawan sangat ramah restaurant nya makanan nya enak semua karyawan di front office dr front desk dan bell boy nya ramah sekali selama saya menginap saya sangat merasa nyaman trimakasih untuk seluruh staf karyawan yg bekerja…semoga pariwisata Bali segera pulih,5
28,Grand Inna Kuta,"Cok Oka always give me the best service. Thank you Cok. See u again : )  Grand Inna Kuta selalu memberikan pelayanan terbaik. Dari tahun ke tahun selalu ada peningkatan pelayanan dan fasilitas.  Jangkauan ke pantai dan pasar, sangat dekat sekali. Memudahkan kita untuk menikmatinya.",5
29,Grand Inna Kuta,"Pertama kali menginap di hotel ini krn perjalanan dinas kantor.  View nya keren, lgsg ke Pantai Kuta.  Crew2 nya ramah, fasilitas hotel memadai.  Mohon dipertahankan & ditingkatkan kualitasnya.  Sukses utk Grand Inna Kuta",5
30,Grand Inna Kuta,"Pak Cok as Good services 👍🏻, good hotel service and satisfying facilities, good quality food, wcnya juga nyaman dan kebetulan letak strategis yang sangat dengan pantai kuta, jadi keluar hotel langsung pasir",5
31,Grand Inna Kuta,"Inna Kuta manteppp, suasana oke kamar dan fasilitas  bagus sekalii, pelayanan ramah. Jauh jauh dari bdg tidak menyesal, makasi juga untuk Bli Oka cok yang sudah banyak membantuuuuu huhuyy. Pastinya kako balik lagi ke Bali ingin menginap lgi disana",5
32,Grand Inna Kuta,"Saya dan grup keluarga besar menginap di grand Inna Kuta pada tanggal 03/05/2022 -05/05/2022  Terima kasih kepada Bapak Wayan Nurata yang telah memberikan servis terbaik di acara kami Diner Bani Djalal di Pasar Senggol dan kami bener2 terkesan dan puas dengan suasana tempat, makanan dan hiburan yang disediakan oleh pihak Hotel Grand Inna   Terima kasih buat Hotel Grand Inna Kuta dan team Pasar Senggol 🙏   Dan saya juga berterima kasih juga buat seluruh pihak Hotel Grand Inna Kuta Ibu Dayu Putri dan yang tidak bisa saya sebut nama satu persatu karena tidak tau nama 🙏mulai pelayanan room, acara team building games yang sukses dan salah satu anggota keluarga kami mengalami sakit harus dibawa ke Rumah Sakit Siloam karena serangan jantung dapat terselamatkan karena pertolongan dan…",5
33,Grand Inna Kuta,"Kamarnya sangat nyaman dan bisa istirahat dengan sangat nyenyak, untuk sarapan nya sangat bervariasi dan enak, viewnya langsung pantai. Lokasi strategis dekat pantai dan shopping mall. Kalau kebali ingin datang kembali",5
34,Grand Inna Kuta,"Pelayanan Ramah Lokasi strategis dekat pantai kuta Fasilitas lengkap dan bagus Kamar bersih Rekomended , kolam renang bersih restaurant di pinggir pantai kuta view laut bagus . Minus ada beberapa lift yg mati jdi harus pakai tangga",4
35,Grand Inna Kuta,"pelayanan nya sangat baik, dan tempat serta kamar nya sangat baik, bagus, nyaman,  ada 3  kolam renang dan dekat sekali dengan pantai, dan untuk akses dari hotel, sangat mudah dan dekat kemana pun.  pelayanan yang sangat ramah.",5
36,Grand Inna Kuta,Kami beserta keluarga melakukan refresshing sth ada kelonggaran aturan ttg covid ke Bali. Berangkat Senin 7 maret tiba di Grand Inna Kuta jelang magrib sth berputar2 di tempat wisata. Sepanjang jl kuta tampak sepi dan bnyk.toko2 tutup ..sedih melihat kondisi kuta yg sepi dan redup. Proses check in cepat dan kami minta kamar yg ada connecting door dan oleh petugas diberikan kmr depan pool. Semua pegawai ramah dan sopan.kamar bersih luas dingin dan penerangannya baguus. Lokasi bagus kolam renang bersih dan banyak.Depan restoran tampak pantai kuta. Breakfast lumayan walau variasi kurang lengkap. Laundry man sigap dan ramah. Sangat menyenangkan. Inshaa Allah kami akan menginap kembali di Grand Inna Kuta,5
37,Grand Inna Kuta,"kamarnya enak, makanannya oke, tapi kalau malem kenapa serem pas mau kekamaee. but overall Gooddd. tapi enaknya ke pantai deket, nyari makan gampang, indomart deket, pokoknya lengkap. mau pinjem motor juga ada didepan pantai jadi balikinnya gajauh. Semoga bisa balik lagi ke bali🙏🥰😘❤️",5
38,Grand Inna Kuta,"Tempatnya bersih dan nyaman, dekat dengan tempat tempt wisata dan bandara, memiliki akses langsung ke pantai, view pada waktu sarapan pagi sungguh indah karena berada di tepi pantai, banyak kolam renang nya sehingga disukai oleh anak anak",5
39,Grand Inna Kuta,"Room with pool view yg sangat cantik, namun dari lobby sangat jauh jalan menuju kamar, tp untung ada jalan pintas yg bisa dilalui di samping pantry, tiap hari mencium aroma masakan chef hotelnya yg sungguh indonesia cita rasa masakan breakfast nya, tidak banyak macam namun cukup enak dilidah. Yg menyenangkan dia punya akses langsung ke pantai..! ",4
40,Grand Inna Kuta,Hotel lama Tp msh terawat utk kebersihan kamar & bangunan hotelnya. Kolam renang bersih. Hanya d restaurant saja yg kotor tempatnya. Rasa makanan gak enak menurut lidah saya. Pelayanan ok. Lokasi tinggal jalan kaki aja k pantai Kuta. View dr restaurant saat breakfast jg langsung k pantai Kuta.,4
41,Grand Inna Kuta,"Bagus, Staff ramah dan sangat membantu.. Kamar luas, bersih, nyaman. Makanan / breakfast, so so.. tapi masih ok lah minus nya, ada beberapa, TV hanya channel national, Kulkas tidak dingin, Hot water shower kurang (katanya ada maintenance pipa). Overall PUAS, Recommended.. Lokasi juga sangat strategis.",5
42,Grand Inna Kuta,"pelayanan staf hotel bagus, kamar bersih dan nyaman serta menu sarapan pagi enak dan lengkap,lokasi hotel strategis tepat di depan gapura pantai kuta dan ada akses langsung dari hotel ke pantai kuta,,",4
43,Grand Inna Kuta,"Pelayanan sangat ramah, khususnya bagian laundry. Kualitas makanan enak dengan harga terjangkau. Pokoknya tidak menyesal menginap di hotel ini, apalagi ada akses langsung ke pantai kuta. Kekurangan hanya bangunan saja yang sudah tua dan peralatan misal shower harus sering-sering dirawat.",5
44,Grand Inna Kuta,Pelayanan ramah Hotel bersih Menu sarapan ok Tempat sarapan menghadap pantai  Kawasan hotel sangat luas dari kamar ke lobby perlu 5 menit Sayang keran air panasnya kurang maksimal Secara keseluruhan hotel ini tergolong memuaskan,5
45,Grand Inna Kuta,Januari 2022 bersama saudara liburan ke bali. Seperti biasa mencari hotel yg murah meriah tspi dekat dengan pantai kuta.  Terpilihlah hotel grand inna pas bibir pantai kuta yg legendaris. Setelah 3 malam menginap kesan saya Sangat memuaskan. Kebersihan dan susananya sangat baik. Nextime bila liburan lagi akan ke hotel grand inna lagi. Asalkan harga nya masih murah meriah dan terjangkau. Hehehehe. Sukses trus. ,5
46,Grand Inna Kuta,"Menginap di Grand Inna Kuta sangat memuaskan, sangat dekat dengan pantai. Tidak perlu jauh-jauh menikmati suasana pantai Kuta. Sarapan paginya buat saya enak. Kamarnya bersih, kamar mandi juga bersih. Terimakasih ya.",5
47,Grand Inna Kuta,lokasi yang membuat kami mengambil hotel ini. secara keseluruhan baik. hanya mungkin karena dampak pandemi ada pengaruh juga dengan kondisi hotel. ini bukan kali pertama kami kesana hanya krn pandemi sudah agak menurun kami baru berani untuk traveling ke hotel ini lagi.hotel maupun pelayanan masih sama dengan yg dulu hanya mgkn perlu pembenahan dan perawatan kembali agar hotel terlihat semakin menarik. untuk makanan mgkn bisa lebih bervariasi lagi.,5
48,Grand Inna Kuta,"Hotel dengan lokasi yang strategis, terletak dipantai kuta, dekat dgn mall, dan beberapa mini market, breakfast agak monoton, tp masih termasuk lengkap, karyawan ramah dan siap membantu, kolam renang ada 2",5
49,Grand Inna Kuta,"Hotel yang besar. Saya memilih kamar ocean view, tapi tdk keliatan viewnya. Saya ditempatkan di kamar yg jauh dari lift. Gak kebayang klo pesen makan via ojol. Jauuh sekali jalannya. Ada lift trdkt tp tdk berfungsi.   Lokasi strategis sekali dekat kemana mana.   View ketika sarapan pantai kuta. Kereen.. ",4
50,Grand Inna Kuta,"menginap dengan keluarga minggu lalu sangat memuaskan di grand inna kuta. service oke, kamar bersih, fasilitas juga oke, dapet harga promo pula kemarin jadi murah bgt. mantapss! thank you grand inna kuta",5
51,Grand Inna Kuta,Breakfast nya ramai tidak kebagian tempat duduk.... Next dilebih kan tempt duduknya.. tiap hari harus menunggu dan mencari tempat duduk untuk breakfast..... Overall ok walaupun sudah cukup tua hotel nya,4
52,Grand Inna Kuta,"Good,fasilitas baik semua,sangat menyenangkan,dekat sekali dengan pantai kuta,area sarapan bisa lihat pemandangan laut,menghadap pantai kuta,makanan enak,mungkin hanya sedikit saran area sarapan bisa diperluas mengingat banyak sekali tamu yang menginap. Sukses selalu.",5
53,Grand Inna Kuta,"manajemen harus untuk tetap mengutamakan kebersihan dan prokes di masa pandemi ketika full kapasitas, terutama di aktifitas sarapan. ketersediaan amenities cukup minimalis. variasi menu sarapan dan rasa standar.",3
54,Grand Inna Kuta,"Memang dari awal check-in pun sudah terasa berbeda, tidak terlalu ramah, dan waktu saat mau check-out pun saya berdua dengan teman saya melihat seperti ada booth untuk test antigen/pcr dihotel ini lalu setelah melakukan test dan membayar cash langsung keluar hasilnya namun untuk hasil pdfnya akan dikirimkan by whatsapp (Medicare Bali), test jam setengah 9 pagi sampai jam 1 siang hasil belum keluar2, padahal di chat katanya dikirim jam 1 siang, aneh, lalu saya mencoba bertanya di resepsionis dan mereka tidak tahu sama sekali katanya itu berbeda & dari group dll, maksud saya apakah iya mereka sangat tidak peduli dengan aktivitas yg terjadi di hotel ini? Mereka tidak membantu sama sekali dengan keluhan saya ini padahal saya tamu dan saya fikir akan lebih aman jika test di hotel…",2
55,Grand Inna Kuta,"Hotelnya luas banget jd agak jauh dr lobby ke kamar. Tp lokasi strategis dekat bgt sm kuta. Secara keseluruhan oke apalagi dengan harga promo pas covid. Kolam renang ada 3, tinggal milih mau renang dmn",5
56,Grand Inna Kuta,"Waktu itu dpet harga 350 k  di Tiket.com Awalnya pengen yg sea view tp abs dan konfirm ternyata bisa upgrade tp manual dgn nambah 250 k, untuk harga 600 rb an cukup worth it lah, kamarnya lumayan luas, bersih, sayang belom ad bidetnya, breakfastnya lumayan enak, pilihan menunya lumayan variatif, minusnya ad bberapa pegawai yg serba ga tau ketika kita tanya menu bfastnya, btw bfastnya berlokasi pinggir pantai, minusnya jarak dari kamar keluar hotel / parkiran / tempat bfast sangat amat jauh, PR bgt klo bolak balik, overall dengan harga sgitu, cukup worth it",3
