,hotel,review,stars
0,Hard Rock Hotel Bali,"Harga dan kualitasnya sejalan! Fasilitas buat kegiatan keluarganya banyak bangett, dan sangat menyenangkan!  Kaget dengan penampilan satpam tatoan full dan tindik, taunya ramaaahh sekaliii, servicenya pun luar biasa baik. Sabar dampingi kami yg baru  datang liburan ke Bali. ",5
1,Hard Rock Hotel Bali,"Saya amat senang dan berkesan bermalam di hard rock hotel Bali, pelayanannya sangat memuaskan, dari mulai reservation, kamarnya rapih dan bersih. Untuk break fast menunya banyak mulai dari asia hingga eropa dan pelayanannya sangat bagus dan ramah terutama untuk mas kipli Bob Marley, kami dilayanin dengan full mulai menawarkan aneka kopi dan lain sebagainya, sampai saat anak saya tertinggal tas mas kipli mengejar kami dan meberikan tas kecilnya kepada kami demgam senyum yg tulus, saat kami chek out bell boy nya sangat ramah, terima kasih buat mas jay dan mas alvian atas layanan yg diberikan...TOP BGT deh Hard Rock Bali pertahankan untuk pelayanannya 🙏",5
2,Hard Rock Hotel Bali,"Hotelnya nyaman,fasilitas semua okay,dpt paparazi foto jg yg gak ada d hotel lain sptnya😁 pokoknya bakal balik lagi deh klo ke bali...ooo iya ada staff yg baik dan ramah thank you bli kipli dan mba siapa ya kmrn lupa aku🤭 Pokoknya hard rock bali the best👍🏻👍🏻👍🏻👍🏻",5
3,Hard Rock Hotel Bali,Fasilitasnya lengkap pas untuk mengajak keluarga berlibur disini kemana2 juga deket banget ..terimakasih atas pelayanan yg baik dan ramah dan harapannya makannnya bisa beraneka ragam lagi yaaa semoga semakin sukses dan jaya untuk hotel hardrock,4
4,Hard Rock Hotel Bali,Kebersihan okey. Bilik pun okey. Saya bawa 3 anak kecil. Bilik ada tab mandi. Katil selesa plus dua day bed. Kekurangan hotel ini ialah vibes hard rock di swimming pool itu agak kurang meriah. Slides pun jauh. Tempat untuk duduk pun tak sesuai,4
5,Hard Rock Hotel Bali,"Saya, suami dan anak sangat happy dan enjoy selama menginap di Hard rock hotel bali. Staff yang ramah dan sangat membantu saya selama menginap, kamar yang luas, kolam renangnya benar2 menyenangkan, fasilitas yang lengkap, lokasi yang strategis. Terima kasih Hard rock hotel bali untuk pengalaman menginap yang menyenangkan...",5
6,Hard Rock Hotel Bali,"Hotel Hardrock sih bagus. Pelayanan nya bagus. Tapi pantai kuta pas  sebrang hotel hardrock kuta sangat meresahkan. Ibu2 penjual dan massage benar2 meresahkan. Pertama masuk ditawarin bangku2  sampai ngom ""tolong bantu. Bantu2 lah bu"". Hrg 100rb utk 1 jam. Saya kasian. Akhirannya sy duduk. Nga lama banyak ibu2 dtng. Menawarkan massage, barang dagangan. Ditolak. Datang lagi yang lain. Main pegang bahu. Ditolak. Tetap dipegang. Saya tanya harganya katanya 100rb. Saya tolak. Tapi tetap dipegang dan disuruh coba. Sambil ngom tolong bantu. Bantu2 sedikit. Saya kasian. Akhirannya ya sudah. Eh tidak lama datang gerombolan ibu2 yang lain. Main pegang kaki dan tangan. Sy mau kabur. Tapi pundak sy di tahan. Saya bilang sy ngamau. Tapi keluar kata2 nya lagi ""tolong bantu2 sedikit lah"". Dan…",5
7,Hard Rock Hotel Bali,"Gak nyesal nginap di hard rock Kuta Bali...mulai dr kamar sampai breakfastnya TOP lah...pramusajinya ramah ramah,,,terutama untuk bli kifli thank you..semoga next bisa nginap disini lagi bersama keluarga besar",5
8,Hard Rock Hotel Bali,"Hotel Hard Rock sangat bersih, luas, makanannya enak, semua pegawai ramah, akses untuk masuk ke kamar sangat aman karna harus menggunakan access card, sangat recommended, saya suka hotel Hard Rock & pasti akan kembali lagi.",5
9,Hard Rock Hotel Bali,"Blii Kipli sangat ramah, sangat profesional,  menjamu dan dr kedatangaan sampai selesai. Baru 2 x breakfast disini sangat puas dengan pelayanan Beliau. Dengan menyebutkan nama saya dengan benar ... Bli Kipli ... Semangat trus, pertahankan pelayanan nya ...  Terima kasih yaaa pelayanannya.",5
10,Hard Rock Hotel Bali,"Wow pengalaman luar biasa di Hard Rock Hotel Bali, makanannya mantap, pelayanan luar biasa ramah dan sigap, terutama dg Bpk Kipli beliau sangat ramah dan helpfull sekali. Pasti balik ke Hard Rock kl ke Bali",5
11,Hard Rock Hotel Bali,Service bagus..makanan enak..server ramah dan baik..tempat nyaman..kolam renang bagus..besar dan bersih buka sampai jam 9 malam... sangat memuaskan..  Tolong di tingkatkan lagi  Bapak Kipli ( good service ),5
12,Hard Rock Hotel Bali,"Hotel bersih dan sangat baik, pelayanan Staff hotel ramah, kolam berenang bersih, sarapan pagi makanan sangat baik. Sewaktu saya tinggal hanya jaringan internet yg putus nyambung sangat cocok untuk keluarga",5
13,Hard Rock Hotel Bali,"Fasilitas kidsclub berbayar tiap jamnya..hotel2 bintang 5 yg lain fasilitas ini gratis. Kalo untuk menu sarapan standar aja, kurang banyak variasi menunya. Untuk kebersihan oke..kolam renang juga banyak macamnya",3
14,Hard Rock Hotel Bali,"Nice staf restauran for spc bli kipli and bli dave 5 star..anak saya lagi ultah di kasih birthday suprised,makanan enak.. terutama kopi nya boleh di bawa ke kamar.. nice ❤️ terpisah antara halal dan non halal recomended banget",5
15,Hard Rock Hotel Bali,"Hotel dengan pelayanan yang sangat ramah, ditunjang dengan entertainment yang sangat lengkap, dan kebersihan yang sangat dijaga oleh pihak hotel, kami bersama keluarga sangat senang dan nyaman bisa stay holiday di hotel hard rock.",5
16,Hard Rock Hotel Bali,"Untuk penyediaan menu sarapan sudah variatif, terutama ada penyajian pork bacon yang luar biasa rasanya, mungkin bisa ditambah dengan pilihan daging lain seperti sapi dan kambing. Untuk pastry juga sudah baik.",5
17,Hard Rock Hotel Bali,"Ini merupakan liburan keluarga yang sangat menyenangkan. 2 malam di Hard Rock Hotel, kita tidak kemana-mana, hanya menghabiskan waktu di hotel ini. Menikmati bermain di kolam seharian, pesan makan di pool bar, lanjut bermain air lagi. Anak-anak sangat menikmatinya. ",5
18,Hard Rock Hotel Bali,"Mesti kesini lagi iy kalo liburan ke Bali, full entertaint, ga perlu kemana-mana pun dah enak banget siy kalo disini,deket kemana-mana, deket mall, full tempat makan, walopun bingung juga karena harus cari yang halal",5
19,Hard Rock Hotel Bali,"Petugas hotel sangat ramah. Makanannya enak. Menu breakfast cukup variatif. Fasilitas dan suasana hotel menyenangkan dan ramah anak. Yang paling spesial kolam renang nya. Kalau ada kesempatan, akan kembali ke sini lagi. ",5
20,Hard Rock Hotel Bali,"Keseluruhan pelayanan sangat baik dan cukup membuat impressed karena pelayan melayani dengan ramah dan sangat membantu terutama Mas Kipli yang melayani kami pada waktu sarapan. Sarana dan prasana hotel lengkap, terjaga, bersih, dan unik. Kami memastikan akan kembali ke Hard Rock Hotel Bali dalam perjalanan kami ke Bali berikutnya.",5
21,Hard Rock Hotel Bali,"Menginap utk staycation di weekend, kamar yg nyaman, kolam renang yg lega, ada foam party, jadi si kecil betah. Breakfast dengan banyak pilihan dibantu bpk Kipli, thanks to him, sangat ramah dan mantu pada saat minta ini itu pas breakfast:). Overall pengalaman yg menyenangkan, pasti akan dateng lagi dan smua staff nya ramah, selalu standby, siap membantu",5
22,Hard Rock Hotel Bali," Omelette kejunya enakk bangettt , donat jg enakkk ank sy suka 🤭 Bersih , kamarnya luas dan besar , makanan enak , pool nya besar dan staf nya ramah semua, pasti kembali lagi next time nginep d sini . Sukses selalu utk hard rock hotel.👍👍👍👍",5
23,Hard Rock Hotel Bali,"Tempat yang sangat nyaman untuk tinggal di sekitar wilayah pantai kuta dengan fasilitas yg sangat lengkap untuk anak anak, sarapan paginya pun nikmat. Lorong kamarnya memiliki wangi yg menenangkan terutama saat di dalam kamar hal ini dikarenakan hardrock baru melakukan renovasi semua kamar. Jika kita menginap di kamar yg ada pool aksesnya akan mendapatkan service laundry untuk 5 baju setiap harinya serta afternoon tea  secara gratis. Jika memang suka berjalan di sekitar kuta dan legian hotel ini cocok sekali untuk di tinggali. Kamar mandinya juga lumayan besar dan peralatannya berfungsi dengan baik terutama bagian showernya airnya mengalir dengan presure yg sangat baik. Para staff melayani dengan senyum dan ramah ☺️. Jika ingin ke pantai hanya perlu berjalan kaki 5 menit saja",5
24,Hard Rock Hotel Bali,"Harga dengan fasilitas dan semua kenyamanan yang kita dapat sesuai banget sih. Akses dekat kemana2 cuman karena macet jadi ga bisa keluar suka2 hati pakai mobil, better sewa motor kalau mau keliling2.. Kalau sudah nginep disini harus dicoba semua fasilitasnya, pasti ketagihan mau nginep lagi. Yang bawa anak2 ga pake pusing karena water park rasa water boom.. seruuuu..",5
25,Hard Rock Hotel Bali,"Fasilitas hotel sangat lengkap, ada bonus paparazi jadi banyak punya foto bagus deh  Staff sangat ramah dan membantu, terima kasih untuk Richie reception, Danny di Bar, dan mbak Utari di breakfast Kalian adalah aset untuk hotel   Akan rekomend ke teman teman dan saudara, Thank you hard rock hotel",5
26,Hard Rock Hotel Bali,"Bapak Kipli served us excellent sekali selama breakfast. Super informatif dan cekatan explaining all the menu and have a small chats with all of our kids.  Breakfastnya enak dan staff nya super ramah. Kamarnya comfy and vintage dan terutama tidak bau rokok. Kolam anak2 super fun, bersih plus safe jg utk anak2. The life guard also awesome. Room service nya jg super cute..",5
27,Hard Rock Hotel Bali,"fasilitas hotel sangat luar biasa, anak enjoy, kolam renang spt waterboom, Bli Nyoman Mangku sangat perhatian dalam merapihkan kamar, Bli Kipli sangat ramah di restaurant, sedikit masukan utk variasi breakfast masih kurang (mgkn krn habis pendemi) tapi overall sangat puas..  semangat Hard Rock Hotel dan semoga wisata Bali maju terus..",5
28,Hard Rock Hotel Bali,"Kolam renang yang luas, bersih sangat menyenangkan. Utamanya beachpool. Anda tidak memerlukan pergi ke pantai bila hanya ingin merasakan berenang dengan sensasi pasir. Hotel ini selain memiliki kids club juga memilili teen club saya rasa itu ide yg briliiant. Makanan yg enak saat sarapan. Anda harus coba bila mereka menyajikan laksa seafood. Pelayanan fotografi dengan Mr. edy. Luar biasa.   Letak hotel sangat strategis, hanya menyebrang jalan untuk ke pantai kuta serta mudah untuk menerima food delivery . ",5
29,Hard Rock Hotel Bali,"the best in town... ini merupakan hotel terbaik untuk keluarga yang ada di Bali, karena semua pelayanannya memuaskan. semua petugas hotel sangat ramah dan melayani dengan senyum. kamar luas dan bersih. menu sarapan sangat bervariatif dengan rasa yang lezat",5
