,hotel,review,stars
0,Komoneka at Rasa Sayang,"Kami berani menyebutnya demikian karena dari manager hingga para staff nya memperlakukan kami sebagai keluarga/teman karib. Mereka sejak kedatangan kami menanyakan nama2 setiap anggota keluarga kami dan sejak itu mereka menyebut kami dengan nama. Mereka melayani dengan hati dan tidak membedakan sekalipun kami bukan turis asing. Biasanya, tanpa disadari, staff hotel atau restoran di Bali memperlakukan turis asing lebih baik dan ramah ketimbang dengan turis lokal yang notabene bangsanya sendiri, namun di Komaneka, syukurlah kami tidak merasa perbedaan itu, bahkan kami merasa dimanjakan dan dihormati. Berasa di rumah sendiri. Kamar yang luas, bath up yang besar, ruang ganti yang tersembunyi. Semuanya bersih dan rapi. Piyama yang nyaman dan handuk yang selalu diganti. Untuk harga…",5
1,Komoneka at Rasa Sayang,"berada tepat di jantung Ubud, lepas dari halaman hotel langsung bertemu dengan deretan toko, resto dan suasana khas Ubud. Jalan kaki dan sepeda bisa menjadi alternatif mengexplorasi keunikan Ubud. Desain dan suasana khas Bali terasa di area lobby…dilengkapi taman yang cantik Kamar yang unik, interior yang lapang, praktis & simple dan mewah modern..terasa nyaman untuk beristirahat... Pelayanan yang super ramah sehingga terasa seperti di rumah sender Menu yang sangat lezat dan resto yang unik melengkapi kenyamanan hotel ini...",5
2,Komoneka at Rasa Sayang,"Menyenangkan sekali menginap di hotel ini. Pegawai yang sangat welcoming serasa di rumah sendiri dan itu bikin betah. Baru masuk hotel ini saja kita sudah dilayani dengan keramahan pegawai plus welcoming drink yang menyegarkan. Sangat suka dengan tea time di sore hari ditemani kue kue tradisional yang enak  dinikmati disamping kolam renangnya yang sangat cantik. Kita order makan malam di beranda kamar hotel, sangat romantis dan penyajian makanannya sangat keren berasa makan di restaurant bintang 4.. Awesome! Suasana hotel yang sangat tenang dan natural. Hotel yang sangat hangat dan betah untuk tinggal lebih lama disini.  Akan kembali lagi ke Komaneka Rasa Sayang.. Tak terlupakan...",5
3,Komoneka at Rasa Sayang,"Hotel sangat nyaman, lokasinya strategis, di Monkey Forest street, pusat wisata, banyak pilihan restoran, toko souvenir. Kamar tenang, pemandangan dinding kaca penuh melihat kehijauan. Kolam renang diteduhi nyiur, pemandangan dan suara kali. Kamar bersih, lengkap dgn bunga dan aroma Bali. Pelayan semua ramah, termasuk di coffe-shop selalu menawari makan, minuman jam breakfast dan sore. Ada antar jemput (free) ke resto atau museum di Ubud. Hotel yang penuh kenangan.",5
4,Komoneka at Rasa Sayang,"Saya memilih hotel ini karena ratingnya yg tinggi di Tripadvisor dan sangat direkomendasikan di Agoda. Ketika sampai, agak ragu dg lobbynya yg sangat sederhana. Namun sambutan ramah dan check in secepat kilat.   Kamar, Saya diantar ke kamar yg luas. Ada bunga kamboja dan mawar disusun cantik berbentuk hati. Aduh jadi sayang sekali menyingkirkannya he he he. Koper sudah tertata rapi di ruang terpisah, menjadi satu dg ""ruang"" toilet, tempat shower berdinding full kaca tembus pandang, bak mandi (bath tub), dan tempat berdandan. Perlengkapan mandi (amenities) tersedia dg jumlah berlebih, lengkap dan beberapa merupakan produk asli Bali. Balkon cukup besar dg meja dan kursi plus sofa bersantai. Oh ya ada gift dalam kotak berwarna silver. So nice.  Makan pagi, Tersedia secara ala carte…",5
5,Komoneka at Rasa Sayang,"Hanya berdasarkan review di beberapa online booking, saya memesan Komaneka Rasa Sayang.  Ternyata, benar-benar hotel kelas satu!  Semua bisa dibilang Sempurna!  Makanan, service kamar.  Can't wait to come back again.",5
6,Komoneka at Rasa Sayang,"Menginap dua malam di penginapan yang benar-benar mewah ini, sayangnya kami tidak bisa tinggal lebih lama. Mulai dari check in sampai check out, stafnya luar biasa. Ramah, sopan, dan lebih dari membantu. Kamarnya mewah, dengan area untuk duduk-duduk/lounge, beranda di taman, dan kamar mandi terbaik yang pernah kami huni. Kapan kami kembali lagi ke sana?",5
7,Komoneka at Rasa Sayang,"Saya dan suami baru kembali dari menginap 4 hari di Komaneka Hotel di Monkey Forest dan semalam di Komaneka at Rasa Sayang. Kami minum teh sore-sore di Komaneka at Tanggayuda dan Komaneka at Bisma. Semua resor Komaneka di Ubud, Bali, dikelilingi dengan keindahan alam Ubud. Tepuk tangan untuk tim yang luar biasa di Monkey Forest, Room Division Manager, dan Manajer Operasionalnya yang membuat pengalaman menginap kami menakjubkan dan tak terlupakan. Layanan kamarnya bekerja luar biasa, sehingga tempat ini selalu besih. Sarapan lezat dan tersedia teh sore. Mereka menyiapkan semuanya untuk membuat kami senang.  Dengan kartu keanggotaan keluarga, Manajer Operasional dan Komaneka at Bisma memberikan kami layanan luar biasa dan pengalaman indah. Juga Komaneka at Rasa Sayang dan Komaneka…",5
8,Komoneka at Rasa Sayang,"Kami menginap saat berbulan madu - salah satu teman kami memesankan kamar untuk kami berdua, berdasarkan pengalamannya di Komaneka Monkey Forest. Saya sangat beruntung! Komaneka at Rasa Sayang adalah salah satu hotel terbaik yang pernah saya inapi. Stafnya yang baik, perhatian, tetapi santai, membuat pengalaman menginap kami sangat nyaman dan semuanya berpengetahuan luas dan sangat membantu. Kamarnya luas dan rapi. Dan, seluruh bagian hotel sangat tenang, walaupun lokasinya tepat di Jalan Monkey Forest. Kami memesan hotel di Jimbaran, setelah kami menginap di tempat ini. Tetapi seluruh pengalaman saat berada di Bali Selatan benar-benar payah, sehingga kami membatalkan semua rencana liburan di sana dan kembali lagi menginap di tempat ini! Sebagai tamu langganan, mereka menawarkan…",5
9,Komoneka at Rasa Sayang,"Dari kedatangan hingga keberangkatan, stafnya sopan dan bersedia membantu dengan apa pun. Kamarnya luas dan sangat bersih. Semua fasilitas bersih dan terawat dengan baik. Restoran adalah besar, makanan yang sangat baik dan staf memastikan semuanya sesuai dengan keinginan Anda. Surya di meja depan sangat membantu karena semua staf. Lokasi bagus, dekat dengan Hutan Monyet dan Pasar Ubud Benar-benar menikmati kami tinggal.",5
