,hotel_link,hotel_link-href,review_count,hotel_name
43,Munduk Sari Nature & Garden Villa,https://www.tripadvisor.co.id/Hotel_Review-g608490-d1163439-Reviews-or5-Munduk_Sari_Nature_Garden_Villa-Munduk_Banjar_Buleleng_Regency_Bali.html,129,munduk_sari_nat
45,Bayad Ubud Bali Villa,https://www.tripadvisor.co.id/Hotel_Review-g608492-d2309358-Reviews-or5-Bayad_Ubud_Bali_Villa-Payangan_Gianyar_Regency_Bali.html,136,bayad_ubud_bali
62,Batur Mountain View,https://www.tripadvisor.co.id/Hotel_Review-g303952-d3586078-Reviews-or5-Batur_Mountain_View-Kintamani_Bangli_Bali.html,133,batur_mountain_
106,Argasoka Bungalows,https://www.tripadvisor.co.id/Hotel_Review-g297701-d2076497-Reviews-or5-Argasoka_Bungalows-Ubud_Gianyar_Regency_Bali.html,107,argasoka_bungal
151,Restu Bali Hotel,https://www.tripadvisor.co.id/Hotel_Review-g297697-d656543-Reviews-or5-Restu_Bali_Hotel-Kuta_Kuta_District_Bali.html,128,restu_bali_hote
176,OYO  Casa Ganesha Hotel,https://www.tripadvisor.co.id/Hotel_Review-g297701-d1467676-Reviews-or5-OYO_3419_Casa_Ganesha_Hotel-Ubud_Gianyar_Regency_Bali.html,143,oyo__casa_ganes
205,Gustis Garden Bungalows,https://www.tripadvisor.co.id/Hotel_Review-g297701-d675604-Reviews-or5-Gustis_Garden_Bungalows-Ubud_Gianyar_Regency_Bali.html,148,gustis_garden_b
210,Fourteen Roses Beach Hotel,https://www.tripadvisor.co.id/Hotel_Review-g297697-d1163210-Reviews-or5-Fourteen_Roses_Beach_Hotel-Kuta_Kuta_District_Bali.html,220,fourteen_roses_
228,The Agung Residence,https://www.tripadvisor.co.id/Hotel_Review-g469404-d7099131-Reviews-or5-The_Agung_Residence-Seminyak_Kuta_District_Bali.html,105,the_agung_resid
244,Coco de Heaven,https://www.tripadvisor.co.id/Hotel_Review-g297696-d3522220-Reviews-or5-Coco_de_Heaven-Jimbaran_South_Kuta_Bali.html,154,coco_de_heaven
278,The Kampung Ubud Villa,https://www.tripadvisor.co.id/Hotel_Review-g297701-d2298887-Reviews-or5-The_Kampung_Ubud_Villa-Ubud_Gianyar_Regency_Bali.html,100,the_kampung_ubu
327,Villa Puri Royan,https://www.tripadvisor.co.id/Hotel_Review-g297696-d2109299-Reviews-or5-Villa_Puri_Royan-Jimbaran_South_Kuta_Bali.html,182,villa_puri_roya
363,Suriwathi Hotel,https://www.tripadvisor.co.id/Hotel_Review-g608487-d1373011-Reviews-or5-Suriwathi_Hotel-Legian_Kuta_District_Bali.html,186,suriwathi_hotel
366,Full Moon Bungalows,https://www.tripadvisor.co.id/Hotel_Review-g2538506-d8650169-Reviews-or5-Full_Moon_Bungalows-Nusa_Penida_Bali.html,133,full_moon_bunga
422,Puri Bali Hotel,https://www.tripadvisor.co.id/Hotel_Review-g1600236-d2102946-Reviews-or5-Puri_Bali_Hotel-Anturan_Lovina_Beach_Buleleng_District_Buleleng_Regency_Bali.html,112,puri_bali_hotel
427,Bounty Hotel,https://www.tripadvisor.co.id/Hotel_Review-g297697-d308771-Reviews-or5-Bounty_Hotel-Kuta_Kuta_District_Bali.html,623,bounty_hotel
429,Dedy Beach Inn,https://www.tripadvisor.co.id/Hotel_Review-g297697-d3222900-Reviews-or5-Dedy_Beach_Inn-Kuta_Kuta_District_Bali.html,101,dedy_beach_inn
452,Balangan Sea View Bungalow,https://www.tripadvisor.co.id/Hotel_Review-g297696-d1643578-Reviews-or5-Balangan_Sea_View_Bungalow-Jimbaran_South_Kuta_Bali.html,300,balangan_sea_vi
474,Nyoman Karsa Bungalows,https://www.tripadvisor.co.id/Hotel_Review-g297701-d1091887-Reviews-or5-Nyoman_Karsa_Bungalows-Ubud_Gianyar_Regency_Bali.html,103,nyoman_karsa_bu
481,The Amasya Villas,https://www.tripadvisor.co.id/Hotel_Review-g469404-d601518-Reviews-or5-The_Amasya_Villas-Seminyak_Kuta_District_Bali.html,142,the_amasya_vill
482,Marbella Pool Suite,https://www.tripadvisor.co.id/Hotel_Review-g608486-d3161054-Reviews-or5-Marbella_Pool_Suite-Kerobokan_North_Kuta_Bali.html,149,marbella_pool_s
485,The Widyas Luxury Villas,https://www.tripadvisor.co.id/Hotel_Review-g608486-d3930257-Reviews-or5-The_Widyas_Luxury_Villas-Kerobokan_North_Kuta_Bali.html,109,the_widyas_luxu
486,The Tanis Villas,https://www.tripadvisor.co.id/Hotel_Review-g1137831-d1164704-Reviews-or5-The_Tanis_Villas-Nusa_Lembongan_Bali.html,212,the_tanis_villa
494,Dewa Bungalows,https://www.tripadvisor.co.id/Hotel_Review-g297701-d1547571-Reviews-or5-Dewa_Bungalows-Ubud_Gianyar_Regency_Bali.html,140,dewa_bungalows
512,Rivavi Hotel,https://www.tripadvisor.co.id/Hotel_Review-g608487-d2441523-Reviews-or5-Rivavi_Hotel-Legian_Kuta_District_Bali.html,245,rivavi_hotel
515,Sense Sunset Seminyak,https://www.tripadvisor.co.id/Hotel_Review-g469404-d4107310-Reviews-or5-Sense_Sunset_Seminyak-Seminyak_Kuta_District_Bali.html,511,sense_sunset_se
520,Lavender Villa & Spa,https://www.tripadvisor.co.id/Hotel_Review-g297697-d1486410-Reviews-or5-Lavender_Villa_Spa-Kuta_Kuta_District_Bali.html,118,lavender_villa_
540,Legian Village Hotel,https://www.tripadvisor.co.id/Hotel_Review-g608487-d588410-Reviews-or5-Legian_Village_Hotel-Legian_Kuta_District_Bali.html,450,legian_village_
548,Hillstone Uluwatu Villa,https://www.tripadvisor.co.id/Hotel_Review-g1219108-d14176523-Reviews-or5-Hillstone_Uluwatu_Villa-Ungasan_Bukit_Peninsula_Bali.html,147,hillstone_uluwa
553,Puri Padi Hotel,https://www.tripadvisor.co.id/Hotel_Review-g297701-d590449-Reviews-or5-Puri_Padi_Hotel-Ubud_Gianyar_Regency_Bali.html,100,puri_padi_hotel
574,New Kutus Kutus Sunari Beach Resort,https://www.tripadvisor.co.id/Hotel_Review-g1599559-d582188-Reviews-or5-New_Kutus_Kutus_Sunari_Beach_Resort-Lovina_Beach_Buleleng_District_Buleleng_Regency_Ba.html,260,new_kutus_kutus
601,Anema Villa Seminyak Bali,https://www.tripadvisor.co.id/Hotel_Review-g608487-d5040708-Reviews-or5-Anema_Villa_Seminyak_Bali-Legian_Kuta_District_Bali.html,119,anema_villa_sem
602,Amor Bali Villas & Spa Resort,https://www.tripadvisor.co.id/Hotel_Review-g469404-d1737990-Reviews-or5-Amor_Bali_Villas_Spa_Resort-Seminyak_Kuta_District_Bali.html,110,amor_bali_villa
617,Kayun Hostel,https://www.tripadvisor.co.id/Hotel_Review-g608487-d2587931-Reviews-or5-Kayun_Hostel-Legian_Kuta_District_Bali.html,205,kayun_hostel
618,Dream Beach Kubu,https://www.tripadvisor.co.id/Hotel_Review-g1137831-d3498284-Reviews-or5-Dream_Beach_Kubu-Nusa_Lembongan_Bali.html,130,dream_beach_kub
633,Pandawa All Suite Hotel,https://www.tripadvisor.co.id/Hotel_Review-g608486-d5892414-Reviews-or5-Pandawa_All_Suite_Hotel-Kerobokan_North_Kuta_Bali.html,188,pandawa_all_sui
662,Oka7 Bungalow,https://www.tripadvisor.co.id/Hotel_Review-g1137831-d1234550-Reviews-or5-Oka7_Bungalow-Nusa_Lembongan_Bali.html,128,oka7_bungalow
675,Puri Uluwatu Villas,https://www.tripadvisor.co.id/Hotel_Review-g1380108-d1379535-Reviews-or5-Puri_Uluwatu_Villas-Pecatu_Bukit_Peninsula_Bali.html,112,puri_uluwatu_vi
695,Mahagiri Panoramic Resort & Restaurant,https://www.tripadvisor.co.id/Hotel_Review-g297697-d1944623-Reviews-or5-Mahagiri_Panoramic_Resort_Restaurant-Kuta_Kuta_District_Bali.html,198,mahagiri_panora
707,Hotel Sorga Cottages,https://www.tripadvisor.co.id/Hotel_Review-g297697-d1225120-Reviews-or5-Hotel_Sorga_Cottages-Kuta_Kuta_District_Bali.html,153,hotel_sorga_cot
720,The Jayakarta Bali Beach Resort & Spa,https://www.tripadvisor.co.id/Hotel_Review-g608487-d309124-Reviews-or5-The_Jayakarta_Bali_Beach_Resort-Legian_Kuta_District_Bali.html,1919,the_jayakarta_b
721,Crystal Kuta Hotel,https://www.tripadvisor.co.id/Hotel_Review-g297697-d8322300-Reviews-or5-Crystalkuta_Hotel_Bali-Kuta_Kuta_District_Bali.html,157,crystal_kuta_ho
723,Villa Mandi Ubud,https://www.tripadvisor.co.id/Hotel_Review-g15880600-d3186943-Reviews-or5-Villa_Mandi_Ubud-Singakerta_Ubud_Gianyar_Regency_Bali.html,301,villa_mandi_ubu
724,Lumbung Bali Huts,https://www.tripadvisor.co.id/Hotel_Review-g1137831-d1601219-Reviews-or5-Lumbung_Bali_Huts-Nusa_Lembongan_Bali.html,144,lumbung_bali_hu
725,Bumi Ubud Resort,https://www.tripadvisor.co.id/Hotel_Review-g297701-d598215-Reviews-or5-Bumi_Ubud_Resort-Ubud_Gianyar_Regency_Bali.html,107,bumi_ubud_resor
726,Sun Royal Hotel,https://www.tripadvisor.co.id/Hotel_Review-g297697-d8365496-Reviews-or5-Sun_Royal_Hotel-Kuta_Kuta_District_Bali.html,110,sun_royal_hotel
747,The Adma Umalas,https://www.tripadvisor.co.id/Hotel_Review-g608486-d6847513-Reviews-or5-The_Adma_Umalas-Kerobokan_North_Kuta_Bali.html,133,the_adma_umalas
756,Jati 3 Bungalows,https://www.tripadvisor.co.id/Hotel_Review-g297701-d1060418-Reviews-or5-Jati_3_Bungalows-Ubud_Gianyar_Regency_Bali.html,297,jati_3_bungalow
764,Nitya Home Stay,https://www.tripadvisor.co.id/Hotel_Review-g1137831-d3209468-Reviews-or5-Nitya_Home_Stay-Nusa_Lembongan_Bali.html,138,nitya_home_stay
811,Grand Sinar Indah Hotel,https://www.tripadvisor.co.id/Hotel_Review-g608487-d614386-Reviews-or5-Grand_Sinar_Indah_Hotel-Legian_Kuta_District_Bali.html,201,grand_sinar_ind
812,Villa Danoya,https://www.tripadvisor.co.id/Hotel_Review-g608486-d729451-Reviews-or5-Danoya_Villa_Private_Luxury_Residence-Kerobokan_North_Kuta_Bali.html,160,villa_danoya
824,Euphoria Hotel,https://www.tripadvisor.co.id/Hotel_Review-g608487-d6939688-Reviews-or5-Euphoria_Hotel-Legian_Kuta_District_Bali.html,101,euphoria_hotel
826,Fat Yogi Cottages,https://www.tripadvisor.co.id/Hotel_Review-g297697-d308782-Reviews-or5-Fat_Yogi_Cottages-Kuta_Kuta_District_Bali.html,212,fat_yogi_cottag
831,KAYUN Hostel Downtown,https://www.tripadvisor.co.id/Hotel_Review-g608487-d6627826-Reviews-or5-KAYUN_Hostel_Downtown-Legian_Kuta_District_Bali.html,115,kayun_hostel_do
838,Rosani Hotel,https://www.tripadvisor.co.id/Hotel_Review-g608487-d648432-Reviews-or5-Rosani_Hotel-Legian_Kuta_District_Bali.html,145,rosani_hotel
839,Aquarius Star Hotel,https://www.tripadvisor.co.id/Hotel_Review-g297697-d2706821-Reviews-or5-Aquarius_Star_Hotel-Kuta_Kuta_District_Bali.html,149,aquarius_star_h
840,Sagitarius Inn,https://www.tripadvisor.co.id/Hotel_Review-g297701-d1453645-Reviews-or5-Sagitarius_Inn-Ubud_Gianyar_Regency_Bali.html,149,sagitarius_inn
843,Lakeview Hotel & Restaurant,https://www.tripadvisor.co.id/Hotel_Review-g303952-d309158-Reviews-or5-Lakeview_Hotel_Restaurant-Kintamani_Bangli_Bali.html,373,lakeview_hotel_
856,Puri Alam Bali Bungalows,https://www.tripadvisor.co.id/Hotel_Review-g608490-d1930151-Reviews-or5-Puri_Alam_Bali_Bungalows-Munduk_Banjar_Buleleng_Regency_Bali.html,129,puri_alam_bali_
861,Kumpul Kumpul Villa II Legian,https://www.tripadvisor.co.id/Hotel_Review-g608487-d6107113-Reviews-or5-Kumpul_Kumpul_Villa_II_Legian-Legian_Kuta_District_Bali.html,101,kumpul_kumpul_v
867,Jenny's Place,https://www.tripadvisor.co.id/Hotel_Review-g1137831-d3367421-Reviews-or5-Jenny_s_Place-Nusa_Lembongan_Bali.html,105,jenny's_place
871,Kutabex Beach Front Hotel,https://www.tripadvisor.co.id/Hotel_Review-g297697-d7146434-Reviews-or5-Kutabex_Beach_Front_Hotel-Kuta_Kuta_District_Bali.html,357,kutabex_beach_f
872,Palm Beach Bali Resort,https://www.tripadvisor.co.id/Hotel_Review-g297697-d6428000-Reviews-or5-Palm_Beach_Bali_Resort-Kuta_Kuta_District_Bali.html,251,palm_beach_bali
884,Bali Rich Luxury Villa,https://www.tripadvisor.co.id/Hotel_Review-g469404-d309382-Reviews-or5-Bali_Rich_Luxury_Villa-Seminyak_Kuta_District_Bali.html,428,bali_rich_luxur
887,Sadeg Lembongan Villa,https://www.tripadvisor.co.id/Hotel_Review-g1137831-d5061050-Reviews-or5-Sadeg_Lembongan_Villa-Nusa_Lembongan_Bali.html,207,sadeg_lembongan
888,Melati Cottages,https://www.tripadvisor.co.id/Hotel_Review-g297701-d633802-Reviews-or5-Melati_Cottages-Ubud_Gianyar_Regency_Bali.html,100,melati_cottages
