web-scraper-order,web-scraper-start-url,hotel_link,hotel_link-href,review_count,pagination
"1684891313-1","https://www.tripadvisor.co.id/Hotels-g294226-oa3000-Bali-Hotels.html","3001. New Ubud Hostel","https://www.tripadvisor.co.id/Hotel_Review-g297701-d12075158-Reviews-New_Ubud_Hostel-Ubud_Gianyar_Regency_Bali.html","18 ulasan",""
"1684891313-2","https://www.tripadvisor.co.id/Hotels-g294226-oa3000-Bali-Hotels.html","3002. Bali Jungle Huts","https://www.tripadvisor.co.id/Hotel_Review-g608497-d12383462-Reviews-Bali_Jungle_Huts-Tegalalang_Gianyar_Regency_Bali.html","23 ulasan",""
"1684891313-3","https://www.tripadvisor.co.id/Hotels-g294226-oa3000-Bali-Hotels.html","3003. Lushy Hostel","https://www.tripadvisor.co.id/Hotel_Review-g5323528-d23380073-Reviews-Lushy_Hostel-Pererenan_Canggu_North_Kuta_Bali.html","8 ulasan",""
"1684891313-4","https://www.tripadvisor.co.id/Hotels-g294226-oa3000-Bali-Hotels.html","3004. Villa Del Mar Canggu","https://www.tripadvisor.co.id/Hotel_Review-g311298-d17564121-Reviews-Villa_Del_Mar_Canggu-Canggu_North_Kuta_Bali.html","9 ulasan",""
"1684891313-5","https://www.tripadvisor.co.id/Hotels-g294226-oa3000-Bali-Hotels.html","3005. Ode Hostel","https://www.tripadvisor.co.id/Hotel_Review-g297701-d8706824-Reviews-Ode_Hostel-Ubud_Gianyar_Regency_Bali.html","37 ulasan",""
"1684891313-6","https://www.tripadvisor.co.id/Hotels-g294226-oa3000-Bali-Hotels.html","3006. The Onion Collective","https://www.tripadvisor.co.id/Hotel_Review-g297701-d17537310-Reviews-The_Onion_Collective-Ubud_Gianyar_Regency_Bali.html","11 ulasan",""
"1684891313-7","https://www.tripadvisor.co.id/Hotels-g294226-oa3000-Bali-Hotels.html","3007. Royal Cottage","https://www.tripadvisor.co.id/Hotel_Review-g1137831-d19313289-Reviews-Royal_Cottage-Nusa_Lembongan_Bali.html","10 ulasan",""
"1684891313-8","https://www.tripadvisor.co.id/Hotels-g294226-oa3000-Bali-Hotels.html","3008. Gading Treehouse","https://www.tripadvisor.co.id/Hotel_Review-g12948593-d17820041-Reviews-Gading_Treehouse-Ped_Nusa_Penida_Bali.html","5 ulasan",""
"1684891313-9","https://www.tripadvisor.co.id/Hotels-g294226-oa3000-Bali-Hotels.html","3009. Hotel Captain Goose","https://www.tripadvisor.co.id/Hotel_Review-g297697-d10160918-Reviews-Captain_Goose_Hotel-Kuta_Kuta_District_Bali.html","75 ulasan",""
"1684891313-10","https://www.tripadvisor.co.id/Hotels-g294226-oa3000-Bali-Hotels.html","3010. Dewantara Boutique Villa Resort Bali","https://www.tripadvisor.co.id/Hotel_Review-g13326453-d13207350-Reviews-Dewantara_Boutique_Villa_Resort_Bali-Umeanyar_Seririt_Buleleng_Regency_Bali.html","8 ulasan",""
